d_lo,d_hi,d_mid,n,V_min,V_mean,V_max
0.0,0.03469447027900112,0.01734723513950056,1727,-34.52055740356445,0.311386957825024,80.23495483398438
0.03469447027900112,0.06938894055800224,0.05204170541850168,953,-34.65938949584961,19.374268597846015,83.29138946533203
0.06938894055800224,0.10408341083700336,0.0867361756975028,946,-34.60177230834961,24.569766904914605,84.85433959960938
0.10408341083700336,0.13877788111600448,0.12143064597650391,976,-34.01009750366211,23.04964494012052,85.99727630615234
0.13877788111600448,0.1734723513950056,0.15612511625550504,652,-33.72893524169922,38.894519673466135,86.23896026611328
0.1734723513950056,0.2081668216740067,0.19081958653450615,588,-31.492069244384766,44.81994544505617,86.91732025146484
0.2081668216740067,0.24286129195300782,0.22551405681350728,645,-32.25973892211914,46.141879556293404,87.41108703613281
0.24286129195300782,0.27755576223200895,0.2602085270925084,564,-28.10698127746582,49.979075341617545,87.44416046142578
0.27755576223200895,0.3122502325110101,0.2949029973715095,674,-30.390783309936523,41.66356509243544,87.78915405273438
0.3122502325110101,0.3469447027900112,0.3295974676505107,625,-26.699254989624023,47.931127246522905,87.9218521118164
0.3469447027900112,0.3816391730690123,0.36429193792951176,573,-19.78336524963379,48.43925892097476,87.62849426269531
0.3816391730690123,0.4163336433480134,0.39898640820851283,516,-30.38564682006836,46.85460194200277,88.08938598632812
0.4163336433480134,0.45102811362701456,0.433680878487514,490,-29.35655975341797,52.90324338355234,88.28076171875
0.45102811362701456,0.48572258390601564,0.4683753487665151,390,-31.47850799560547,51.57206671148157,88.21237182617188
0.48572258390601564,0.5204170541850168,0.5030698190455163,423,-21.22030258178711,56.86405980432006,88.30723571777344
0.5204170541850168,0.5551115244640179,0.5377642893245174,367,-9.19447135925293,61.252807610820504,88.3689956665039
0.5551115244640179,0.589805994743019,0.5724587596035184,329,-15.205520629882812,58.844716609792506,88.18895721435547
0.589805994743019,0.6245004650220202,0.6071532298825195,249,-7.20566987991333,54.39456184230835,88.34333801269531
0.6245004650220202,0.6591949353010212,0.6418477001615207,243,-10.082415580749512,67.12380946712729,88.26249694824219
0.6591949353010212,0.6938894055800224,0.6765421704405219,195,23.70423698425293,67.62889896295009,88.12105560302734
0.6938894055800224,0.7285838758590235,0.711236640719523,141,22.956714630126953,64.506029480738,87.7499771118164
0.7285838758590235,0.7632783461380246,0.745931110998524,122,24.43568992614746,66.08253292959245,87.6561050415039
0.7632783461380246,0.7979728164170258,0.7806255812775251,89,29.2777042388916,64.66799337408516,87.24919891357422
0.7979728164170258,0.8326672866960269,0.8153200515565263,81,36.204322814941406,66.60779839974863,86.26116943359375
