episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha
2,24,24,1.6298145055770874e-09,-0.00235747293724368,11.862825006246567,0.4636485390365124,0.0439223680490007,0.13199500072126588,0.01925634142632286,1.3970244725545247,1.0833713660637538,0.004888740974517229,0.05748697929084301,0.1750983533759912,0.0033698659062793013,0.010872666297170023,0.969765359108249
4,24,24,7.916241884231567e-09,0.001284043479245156,15.354896108309427,0.3666332960128784,0.06287613309298952,0.1506801318998138,0.01769199377546708,1.3484125286340714,1.2367714668313663,0.006031986498176896,0.07457682319606344,0.1779351563503345,0.010513007078164568,0.014186911168508232,0.9404448517263514
6,24,24,1.3969838619232178e-09,-8.996753119087468e-05,13.079610884189606,0.4071582431594531,0.05772172473371029,0.2222179795304934,0.018685322254896164,1.4635084370772045,1.3572623083988826,0.004980921219006025,0.06289062524835269,0.18073703659077486,0.017458063511488337,0.01314966343731309,0.9120108393559102
8,24,24,1.3969838619232178e-09,-0.006625084982564052,11.561418751875559,0.3805191268523534,0.0735150114633143,0.3487168252468109,0.018459712931265432,1.4589905093113582,1.4057501703500748,0.009389058708620723,0.1359049491584301,0.18374098961551985,0.02478772751055658,0.025968740810640156,0.8844365191385997
10,24,24,6.984919309616089e-09,-0.0019883360558499894,13.242628117402395,0.34004971633354825,0.06567086015517513,0.31433093671997386,0.017517840412134927,1.5111435949802399,1.2870543499787648,0.00695993868187846,0.09348958373690645,0.18682347362240156,0.03218795273763438,0.03520612954162061,0.8576958985908939
12,24,24,4.423782229423523e-09,-0.009791265552242598,10.219519972801208,0.4005793283383052,0.09113102809836467,0.30480847880244255,0.019004109393184383,1.4823128233353298,1.3020562529563904,0.009442447854477601,0.1154947920391957,0.1898979488760233,0.03945224219933152,0.04587389590839545,0.8317637711026707
14,24,24,6.752088665962219e-09,-0.0028574285291445753,11.160112718741098,0.4115547388792038,0.08374403820683558,0.34646110733350116,0.01959992797734837,1.4812474846839905,1.504232481122017,0.009527064733750498,0.11914062531044085,0.19290265440940857,0.0464422934067746,0.055038108645627894,0.8066156921766136
16,24,24,5.587935447692871e-09,-0.004777403315529227,13.846079448858896,0.4064096286892891,0.08632434842487176,0.30600102866689366,0.018851858874162037,1.5271803190310795,1.5132018725077312,0.006376598452334292,0.07708333355064194,0.1961066753913959,0.05378182682519158,0.05507201608270407,0.7822279563860023
18,24,24,5.587935447692871e-09,0.0002615077731510003,9.510110119978586,0.422967995206515,0.08876364771276712,0.29780658707022667,0.01891675133568545,1.486963947614034,1.3012656370798747,0.014252681200256726,0.16233723952124515,0.19933637666205564,0.06106626599406203,0.061964994141211115,0.7585775750291838
20,24,24,7.450580596923828e-09,-0.0052354614599607885,10.599642078081766,0.45129414399464923,0.054821071680635214,0.3215687597791354,0.01994130954456826,1.473260298371315,1.4351600507895153,0.01110685149251367,0.13844401172051826,0.20256527637441954,0.06823729071766138,0.05221340634549657,0.7356422544596414
22,24,24,8.847564458847046e-09,-0.003008228028193116,9.97311121225357,0.41522595410545665,0.06514386398096879,0.2867150194942951,0.01898082058566312,1.4539382259051006,1.3459852188825607,0.01077043783152476,0.14309895876795053,0.20580160183211169,0.07531904149800539,0.04768946704765161,0.713400375071256
24,24,24,9.313225746154785e-09,0.0004155132919549942,12.918262104193369,0.4492551200091839,0.08243537663171689,0.32804955790440243,0.019720437315603096,1.4694371968507767,1.1908564269542694,0.010736751418638354,0.13717447935293117,0.20886339681843916,0.08192298964907725,0.06378691364079714,0.6918309709189363
26,24,24,7.683411240577698e-09,-0.0022402300285951546,11.725230813026428,0.4278516061604023,0.07255373305330674,0.3129567044476668,0.0197608790670832,1.395008350412051,1.4507202506065369,0.01004688446604026,0.11236979238068064,0.2119931305448214,0.0885804711530606,0.06810765946283937,0.670913709955411
28,24,24,7.450580596923828e-09,-0.006225673559432228,10.729677756627401,0.4071798635025819,0.057152748107910156,0.275103905548652,0.01897176479299863,1.454533909757932,0.9382997155189514,0.012007017309466997,0.15940755233168602,0.21529033593833447,0.09549746724466483,0.056879397481679916,0.6506288748655572
30,24,24,1.257285475730896e-08,-0.012697967972295979,11.05836679538091,0.42307867482304573,0.06260753919680913,0.2406399262448152,0.01974275754764676,1.4686849315961201,1.0378488451242447,0.012187486223410815,0.15449218808983764,0.21851512106756368,0.10216982383280993,0.059821889425317444,0.6309573444801937
32,24,24,1.1408701539039612e-08,-0.009679166735926023,13.57116856177648,0.4206499171753724,0.07589807578672965,0.26164802350103855,0.020252404812102515,1.4654778391122818,1.1480635404586792,0.015841326443478465,0.19567057366172472,0.22188902025421461,0.10905460392435391,0.05701974732801318,0.6118805757518223
34,18,24,8.381903171539307e-09,0.0024650004795855945,14.707266145282322,0.44979259537325966,0.07754852043257819,0.29079104132122463,0.021952292054063745,1.4289524290296767,1.1217423213852777,0.024206349936624367,0.2534722218083011,0.22484150032202402,0.11500615667965677,0.06550998840894964,0.5933805862753281
36,24,24,1.1641532182693481e-08,-0.0022401577055764696,16.39292053381602,0.4498925358057022,0.08106794394552708,0.3402931106587251,0.021153347101062536,1.4068127671877544,1.2750385502974193,0.013248095211262504,0.16178385509798923,0.2276766337454319,0.120651309688886,0.06201083228612939,0.5754399373371567
38,24,24,9.313225746154785e-09,-0.008770095805327097,17.308303654193878,0.3972683399915695,0.0769493505358696,0.3051709284385045,0.02101457918373247,1.4125619232654572,1.0681304757793744,0.01936981702844302,0.17705078174670538,0.23124900398155054,0.12767753625909486,0.05812434619292617,0.5580417174769964
40,24,24,7.683411240577698e-09,-0.008148591654996077,18.973310867945354,0.3968170682589213,0.06813658478980263,0.3239448592066765,0.02070682231957714,1.3686915437380474,1.6652107387781143,0.016858564486028627,0.18561198065678278,0.23469962552189827,0.13437563367187977,0.06410293793305755,0.5411695265464634
42,24,24,7.916241884231567e-09,0.010536059155128896,16.812286694844563,0.3800031878054142,0.08140106592327356,0.3076477088034153,0.02171593011977772,1.3786774625380833,1.2495765934387844,0.031638501367221274,0.2679036470750968,0.2379978448152542,0.14069678572316965,0.09208649055411418,0.5248074602497722
44,24,24,1.0244548320770264e-08,-0.00468524603638798,15.721190730730692,0.3721354554096858,0.09141387324780226,0.2902195577820142,0.020865237650771935,1.4097898304462433,1.2819923013448715,0.017407588864443824,0.19462890612582365,0.24104132317006588,0.14646092367668948,0.0890067011738817,0.508940095151809
46,24,24,1.0477378964424133e-08,-0.008182759854510854,13.625870982805887,0.3530280751486619,0.08562314137816429,0.27496664598584175,0.020591804990544915,1.4112192889054616,1.4581516832113266,0.020972803885039564,0.18929036520421505,0.24432813934981823,0.15261433397730192,0.07448105762402217,0.4935524741394807
48,24,24,9.313225746154785e-09,-0.0047616617909322185,19.031714757283527,0.36767389128605527,0.08089897346993287,0.3330802731215954,0.021276740822941065,1.398006002108256,1.6126645058393478,0.019166161112176876,0.21038411557674408,0.24781668869157633,0.1590679014722506,0.08422899153083563,0.4786300923226386
50,24,24,7.683411240577698e-09,-0.007285062728139262,15.666404287020365,0.39136260251204175,0.062497604017456375,0.2998963072896004,0.02218033606186509,1.3607217619816463,1.7171168128649394,0.01553520323553433,0.17832031287252903,0.2513176879535119,0.16546953779955706,0.10307968904574712,0.46415888336127803
52,24,24,7.450580596923828e-09,-0.005122071869360904,11.554699838161469,0.38334490607182187,0.0770751837020119,0.35254381969571114,0.022992003398636978,1.411734660466512,1.3749530514081318,0.017735576616056885,0.19824218874176344,0.25477395455042523,0.17171415065725645,0.09947411405543487,0.45012520620613355
54,24,24,9.313225746154785e-09,-0.009693988220533356,21.73375991980235,0.4116566653052966,0.07565169067432483,0.3104928160707156,0.02374553874445458,1.4263653010129929,1.3367836674054463,0.02174043334283245,0.21500651072710752,0.2582463746269544,0.17791610086957613,0.09720989565054576,0.43651583224016605
56,24,24,7.450580596923828e-09,-0.0018528196184585493,17.94118998448054,0.4204159267246723,0.07690207163492839,0.31735826283693314,0.023145977640524507,1.4064515978097916,1.5240037490924199,0.022309247132701177,0.2217122409492731,0.2615550830960274,0.18376201142867407,0.10028986477603515,0.4233179328088211
58,24,24,7.450580596923828e-09,-0.005199030487953375,14.598320146401724,0.43214696273207664,0.07306339095036189,0.27977107216914493,0.023522163430849712,1.3999238461256027,1.1691187471151352,0.021678906128120918,0.22109375149011612,0.26473020513852435,0.18931278958916664,0.10633181997885306,0.4105190671273078
60,12,24,1.1175870895385742e-08,0.011708524699012438,16.403825441996258,0.406667893131574,0.07225986508031686,0.2768393928805987,0.022631066385656595,1.4017746448516846,1.0697247982025146,0.03147106392619511,0.2923177095750968,0.26703765988349915,0.19331401214003563,0.09427806735038757,0.39810717055349715
62,24,24,8.847564458847046e-09,0.0009812023878718417,14.77063008149465,0.42110128204027814,0.07958769518882036,0.24743213256200156,0.023263707446555298,1.4227852026621501,1.203466276327769,0.022537779431634892,0.2107096357891957,0.26909640803933144,0.19685673465331396,0.0703023496704797,0.3860705432153814
