episode,avg_reward,best_avg_reward,reward_above_threshold,avg_lyap,avg_barrier,avg_std,avg_abs_action,avg_mean_V,avg_std_V,avg_std_barrier,lyap_collapsed,barrier_collapsed,exploration_cleared,reward_trend_per_window,reward_trend_t,plateau_streak,plateaued,stable,checks_since_best
300,195.34499945762454,195.34499945762454,True,0.021392961617352234,0.037095043178285575,0.3604871027792493,0.29554346645664836,0.4109987449107898,0.08080347895415294,0.09550754848815916,False,False,True,29.182204291332823,3.7927878535051263,0,False,False,0
302,193.79633429679035,195.34499945762454,True,0.021395072813094072,0.03770555551810604,0.3600643437355756,0.2932003389216131,0.4116961037947071,0.08020729960666764,0.09443187746478039,False,False,True,28.559450135053996,3.715131495972206,0,False,False,1
304,192.49045153298005,195.34499945762454,True,0.021335048467800436,0.03652950794461907,0.3595719334979851,0.29713402208354733,0.4119853355818325,0.08000502984763848,0.0930073858730288,False,False,True,29.522333453272456,3.858719328639303,0,False,False,2
306,195.53899159054265,195.53899159054265,True,0.021301629687918145,0.03619959096605373,0.3590378299976388,0.29430801832220616,0.4143199489969346,0.07851340890499867,0.0925928995039107,False,False,True,28.96272327220481,3.7918023529724003,0,False,False,0
308,194.60672263689943,195.53899159054265,True,0.02118085041357618,0.03593212126417914,0.3584619061607453,0.2924368203203711,0.4134871906911333,0.07916607280106594,0.09343856067344959,False,False,True,25.15968875939219,3.302019422296246,0,False,False,1
310,195.73881377818793,195.73881377818793,True,0.021247508041819352,0.03667685325231611,0.3578303017550044,0.2861990045652621,0.414296432522436,0.08044200768539059,0.09470647873305196,False,False,True,30.940236489360114,4.171513686383945,0,False,False,0
312,196.06298669071438,196.06298669071438,True,0.021244385619906502,0.03689053458446223,0.3571535029345088,0.2853989215464227,0.410288948751986,0.08173884408703692,0.09552656978937898,False,False,True,31.49688036261685,4.245837655475196,0,False,False,0
314,196.20045154678934,196.20045154678934,True,0.021219453573899552,0.03708313137111772,0.3564674593301283,0.2842360986707111,0.4074803990829322,0.08166130370098267,0.09458580727740706,False,False,True,31.522435747585096,4.264116198936445,0,False,False,0
316,195.39374667899222,196.20045154678934,True,0.021314155362132523,0.036010206034148326,0.35577110913064747,0.28052465411730937,0.4090441877229346,0.08340300341498932,0.09505173918118494,False,False,True,30.259622125793967,4.076608692274485,0,False,False,1
318,194.23089624975057,196.20045154678934,True,0.021435718464716855,0.035733344900007874,0.3550612497246928,0.27547321430303984,0.41268811904721786,0.08578381137663704,0.09508601223998185,False,False,True,28.866074394947418,3.8619741166132435,0,False,False,2
320,194.64983815023396,196.20045154678934,True,0.021467362221382146,0.03556028220078183,0.3543337818028199,0.2760064593102369,0.4129370705741975,0.08745918517363152,0.09520224134386,False,False,True,30.935543677069578,4.182350428238027,0,False,False,3
322,196.80911705616717,196.80911705616717,True,0.021509603427774793,0.033961623124519565,0.3536133467323251,0.27516725658335617,0.4129939697268936,0.08913406586636685,0.09456981285733898,False,False,True,33.42814107691472,4.470797149350791,0,False,False,0
324,196.75190125268963,196.80911705616717,True,0.021511503124040453,0.0332517087394889,0.3528740318905977,0.271642874295099,0.41016790397051295,0.09093219176607414,0.09393014080770731,False,False,True,32.495749097124246,4.3544571331884505,0,False,False,1
326,196.30120313973373,196.80911705616717,True,0.021554430862629995,0.03294449083946852,0.3521165307404267,0.26544844898291764,0.41027992909981137,0.09294050495502437,0.09674117891376634,False,False,True,32.9464920373745,4.423121852255986,0,False,False,2
328,196.43297203615646,196.80911705616717,True,0.021602656612069247,0.03347569011902023,0.3513213835449683,0.26409892727517426,0.4084294884362154,0.0952291452455231,0.09984580623244661,False,False,True,32.57650474901795,4.371272361793068,0,False,False,3
330,196.25253409143068,196.80911705616717,True,0.021754934487398715,0.032795963246220104,0.3505269702110026,0.26194341404156557,0.4054880982264876,0.09714204153408196,0.10194897388056337,False,False,True,32.10011060525816,4.303103165270029,0,False,False,4
332,197.27554074613482,197.27554074613482,True,0.021803150803316386,0.03301415587387359,0.34974462253352007,0.26324066656331224,0.4042597208172083,0.09963691575297468,0.10286276339708518,False,False,True,33.04385957886365,4.413250265879993,0,False,False,0
334,196.303920676382,197.27554074613482,True,0.021823495773908994,0.03249859899903337,0.34891634931166965,0.26357960098733507,0.40406566224992274,0.1003854452709978,0.10272652679899089,False,False,True,34.94107647563995,4.739700357189518,0,False,False,1
336,197.01961808742416,197.27554074613482,True,0.021740789820129672,0.03253397572940837,0.34807299574216205,0.2630344666540622,0.40286344351867837,0.10046961063053458,0.10264397433493286,False,False,True,31.80988624493106,4.354280726650669,0,False,False,2
338,196.89286100465608,197.27554074613482,True,0.021712605282664298,0.032485574251040816,0.3472101347520947,0.2659587281756103,0.4030973710119724,0.09982184627248597,0.10263581213851769,False,False,True,32.27250478067611,4.428983806814764,0,False,False,3
340,197.48301318071697,197.48301318071697,True,0.021752330012774716,0.03398061790503562,0.34642084687948227,0.26407214015101393,0.40433002542704344,0.09976975790535411,0.10292810192331672,False,False,True,34.21160126599143,4.68790541573179,0,False,False,0
342,196.06585058599285,197.48301318071697,True,0.021766761845598618,0.033879734024715925,0.3457218434040745,0.26258798961838087,0.40054597606261566,0.0992518115323037,0.10372519269585609,False,False,True,35.536554789648235,4.915331970677566,0,False,False,1
344,197.6440749675433,197.6440749675433,True,0.021663044372366533,0.03558769579200695,0.3450540118540327,0.2550769021941556,0.39745675805542197,0.0976080134873175,0.10360324989176457,False,False,True,40.43784406202244,5.684985948002697,0,False,False,0
346,198.1780378294657,198.1780378294657,True,0.02158640721140222,0.03505195273189908,0.3443880452050104,0.2529595578192837,0.3933931390651398,0.09815593097721123,0.10338796952014995,False,False,True,39.61907446313387,5.561577205883284,0,False,False,0
