episode,steps,final_battery,total_reward,total_directional_reward,total_battery_reward,total_movement_penalty,loss
1,720,47.158164817103966,-104.74555,11.98778914417876,-105.68367036579207,11.040506554450126,
2,720,47.48505603267794,-104.8146,11.682583184365246,-105.02988793464412,11.456605024079591,-0.4108951687812805
3,720,46.71248056708132,-102.71683,13.158182098654372,-106.57503886583736,9.295543070291865,
4,720,46.701345784332794,-107.115944,9.043918592472599,-106.59730843133441,9.55815825676306,-0.4107227325439453
5,720,45.947521013965925,-102.26692,13.291755350788597,-108.10495797206815,7.450511169003848,
6,720,43.28836878426659,-111.681175,10.27580607781389,-113.42326243146682,8.530478653208162,-0.3991491198539734
7,720,45.74030500708994,-103.36774,11.213466514975218,-108.51938998582013,6.05956648042312,
8,720,45.98520073130759,-101.91297,12.202420842259063,-108.02959853738481,6.083721472081013,-0.43195921182632446
9,720,43.439600518193814,-105.42241,11.738384202732023,-113.12079896361237,4.039368117478065,
10,720,43.76871107119904,-105.00257,11.703469649445417,-112.46257785760191,4.242900005974415,-0.39398717880249023
11,720,43.18714645135971,-107.54851,12.29742157245271,-113.62570709728058,6.217190055919547,
12,720,43.22168225079815,-107.125854,11.907982942504555,-113.5566354984037,5.474338676922098,-0.3791138529777527
13,720,44.392834701482194,-106.38322,12.0726291073138,-111.21433059703561,7.237710052251448,
14,720,42.931489018178766,-110.26278,10.88387574164272,-114.13702196364247,7.005526351066317,-0.3845539093017578
15,720,43.46348356955351,-109.65673,10.232161751925231,-113.07303286089298,6.812037045430519,
16,720,44.83349972466487,-106.16625,10.854896727156843,-110.33300055067026,6.684901622968984,-0.3941366672515869
17,720,45.05080371143535,-103.98062,12.601907408116483,-109.8983925771293,6.680963217876949,
18,720,43.55766824791616,-109.729256,9.923228506624625,-112.88466350416768,6.7648756439253654,-0.3997116684913635
19,720,44.89669368409866,-105.37164,11.903000760228753,-110.20661263180268,7.064920932810957,
20,720,44.927611676571,-104.99637,11.841026943816939,-110.144776646858,6.689425926406072,-0.41728365421295166
21,720,44.51415203377239,-105.62948,12.020632316675508,-110.97169593245522,6.675411878976266,
22,720,44.65445291580097,-104.93109,12.684641000824554,-110.69109416839807,6.921343566498517,-0.399711549282074
23,720,44.85522099966663,-105.11048,12.640772607114574,-110.28955800066674,7.45835445280034,
24,720,44.84465210511582,-104.526054,13.331521021937704,-110.31069578976836,7.5429465197519745,-0.41351866722106934
25,720,44.75265894141186,-106.03893,11.359248325188497,-110.49468211717628,6.899537448669423,
26,720,43.90937324545222,-108.42073,11.125241126294968,-112.18125350909555,7.3608523886227,-0.3913003206253052
27,720,44.571460164479525,-107.13451,11.769285260565466,-110.85707967104095,8.040971588059465,
28,720,43.809663232819716,-110.23443,9.717373578730866,-112.38067353436057,7.565962282572039,-0.3989073634147644
29,720,45.20484175405856,-107.23686,11.02897455296019,-109.59031649188287,8.668479185764465,
30,720,45.85103327009351,-105.379135,11.988287126807062,-108.29793345981298,9.06242880978445,-0.41229063272476196
31,720,43.75797118034974,-111.4084,10.435024835810024,-112.48405763930052,9.35067325713229,
32,720,45.91189684814012,-107.27513,10.445880318151394,-108.17620630371977,9.536343501840928,-0.3987963795661926
33,720,47.203938445428435,-106.58881,11.020869325450443,-105.59212310914313,12.007106464399374,
34,720,46.88853185428782,-108.03277,10.514822475776418,-106.22293629142436,12.313548752340841,-0.4217619299888611
35,720,46.74105128647539,-107.333435,11.441116576221976,-106.51789742704922,12.245524786031424,
36,720,47.528081090927486,-105.683624,12.22452545708215,-104.94383781814503,12.95279930194047,-0.41505491733551025
37,720,45.537466081085384,-112.34305,7.33809976157878,-108.92506783782923,10.745995132117658,
38,720,45.69069572209087,-108.75393,11.180285306113802,-108.61860855581826,11.304663734712404,-0.33361995220184326
39,720,45.30296181224306,-108.60217,11.37366341920946,-109.39407637551388,10.571927952920543,
40,720,46.63398393218488,-109.90321,6.689409281050932,-106.73203213563023,9.85148374138534,-0.3587917685508728
41,720,46.224488322508336,-106.112595,9.660536216325113,-107.55102335498333,8.215160752282902,
42,720,45.5581260250483,-104.9753,12.006506472386754,-108.8837479499034,8.091104113888802,-0.3539136052131653
43,720,35.75511513623574,-127.3176,9.109723484277259,-128.48976972752854,7.931241817644333,
44,720,46.15762353621242,-103.15896,12.946208026781367,-107.68475292757516,8.413353177246668,-0.3171229958534241
45,720,45.57391479675401,-105.31576,11.322711486933134,-108.85217040649198,7.780604333211415,
46,720,45.99851832322632,-103.73852,12.142489963289142,-108.00296335354736,7.8722887868356395,-0.3406839966773987
47,720,45.644443519399736,-104.10053,12.348024457061888,-108.71111296120053,7.731981470655264,
48,720,42.56361249388849,-113.21539,9.950623827778625,-114.87277501222302,8.287602090907063,-0.32620829343795776
49,720,46.292910461882414,-105.47264,10.867534424484703,-107.41417907623517,8.920325600037522,
50,720,46.198299368842534,-103.73065,13.212577283207741,-107.60340126231493,9.333679002695051,-0.30702972412109375
51,720,43.00139334690313,-112.388535,10.850246002924074,-113.99721330619374,9.235764813984309,
52,720,45.07684149690037,-110.13791,8.793443237407494,-109.84631700619926,9.079164470341343,-0.3032514452934265
53,720,46.542762392519585,-106.980705,10.218477795931106,-106.91447521496083,10.277915027412261,
54,720,43.63093976690836,-112.806946,10.075734388464962,-112.73812046618328,10.137640839143037,-0.3054696023464203
55,720,46.73079972412336,-105.17965,11.159822739755569,-106.53840055175328,9.794726367399686,
56,720,46.689970805313536,-104.705215,11.96943186878143,-106.62005838937293,10.048494579358174,-0.3016950786113739
57,720,46.58799219006018,-105.42067,11.477186269377539,-106.82401561987965,10.06793725280029,
58,720,46.919460603411665,-106.12016,10.446861345119439,-106.16107879317667,10.399289071255346,-0.2716563940048218
59,720,42.143143471099144,-115.62352,9.766168288967684,-115.71371305780171,9.669654925210237,
60,720,46.86041444382534,-103.67217,12.341414823671528,-106.27917111234932,9.728096148988206,-0.24723240733146667
61,720,45.87244822680777,-108.225044,8.773734590715453,-108.25510354638446,8.737769598075294,
62,720,46.158695982177115,-106.30949,9.722488243660512,-107.68260803564577,8.344353969830511,-0.20954275131225586
63,720,45.73907257937085,-105.08817,10.806651211470797,-108.5218548412583,7.368725071201962,
64,720,44.64614102949918,-109.156075,9.787327465269996,-110.70771794100165,8.230672952153595,-0.23261231184005737
65,720,45.78851617927168,-102.59461,13.399299008798017,-108.42296764145664,7.566353645224209,
66,720,45.68715216780718,-104.53545,11.195294399078268,-108.62569566438565,7.100661089110476,-0.20540252327919006
67,720,42.49046378935904,-113.68013,8.67135355738986,-115.01907242128192,7.328222180779913,
68,720,39.309006805686295,-118.980446,9.439057674927623,-121.38198638862741,7.033082446901017,-0.17365777492523193
69,720,36.89114486898686,-123.002205,9.680529749325958,-126.21771026202627,6.461949620425951,
70,720,45.34863765918486,-103.08728,12.632131931348516,-109.30272468163028,6.413713235040818,-0.1656099557876587
71,720,45.21908757692617,-105.91542,10.332591685906229,-109.56182484614766,6.683009135396815,
72,720,45.46749612248778,-104.134094,11.758801547292528,-109.06500775502444,6.824407765807479,-0.17662522196769714
73,720,44.33575814511783,-108.82521,9.722410666905896,-111.32848370976434,7.215581276688052,
74,720,44.519074926336565,-107.11397,10.514323422589253,-110.96185014732687,6.663030315604252,-0.1506059765815735
75,720,46.09222169231654,-103.69971,11.859420233912966,-107.81555661536692,7.739131239738986,
76,720,46.1435377878811,-103.502594,12.034550212974317,-107.7129244242378,7.819565467814612,-0.15535199642181396
77,720,45.95672606379435,-106.108086,10.473976084648472,-108.0865478724113,8.490700975290748,
78,720,45.84448549191681,-106.628746,10.519769343525684,-108.31102901616639,8.832640457089461,-0.15829885005950928
79,720,46.481855289734355,-104.45799,11.446552586727849,-107.03628942053129,8.863156873386725,
80,720,46.17597628639027,-104.448204,12.048698380593628,-107.64804742721947,8.843854095621163,-0.14298903942108154
81,720,45.06927724855427,-107.67397,11.044802882363383,-109.86144550289146,8.852237519362744,
82,720,46.25964334414162,-105.324745,11.253399190012882,-107.48071331171676,9.092187012323398,-0.13930073380470276
83,720,46.38737552936568,-103.7228,12.829617438222796,-107.22524894126865,9.322040431458971,
84,720,36.061451583828024,-127.989334,9.342291760020354,-127.87709683234395,9.449502727634654,-0.07971739768981934
85,720,46.94530652236172,-106.185844,10.800343188676772,-106.10938695527656,10.870051207382714,
86,720,43.69497256036192,-112.20172,10.482458945660065,-112.61005487927616,10.068562438561935,-0.10668712854385376
87,720,44.24117172202621,-111.55633,9.76859587605606,-111.51765655594758,9.801424252388728,
88,720,46.615280485441815,-104.18701,12.388935732712191,-106.76943902911637,9.800106428728176,-0.10060137510299683
89,720,45.82772295942761,-106.32257,12.019793961088256,-108.34455408114478,9.992109742778618,
90,720,46.70941678885827,-104.3117,11.915290711805879,-106.58116642228346,9.640171594494154,-0.09186160564422607
91,720,47.023377671235494,-103.72459,12.353216034867065,-105.95324465752901,10.117586563680455,
92,720,47.01672304041369,-102.86431,12.916149317085672,-105.96655391917263,9.80695145781014,-0.09106266498565674
93,720,46.70703834101448,-105.9452,10.220908979770318,-106.58592331797104,9.573771316732994,
94,720,46.7535422869823,-103.5708,12.85425162255034,-106.4929154260354,9.92575111774594,-0.05144354701042175
95,720,46.62086740137423,-103.171555,13.323959501807396,-106.75826519725155,9.73059276065785,
