episode,step,x_before,y_before,target_x,target_y,x_after,y_after,battery_before,battery_after,battery_delta,reward,directional_reward,battery_reward,movement_penalty,action_dx_norm,action_dy_norm,solar_w,exposure_score,idle_mAh,motion_mAh,path_m,turn_integral
1,0,498.7212901321748,275.897931943544,498.7212901321748,269.2312649589859,498.7135114826405,269.46300800300764,39.525501090731524,39.108346178358616,-0.4171549123729079,-0.016942641148833166,-0.00893894496684252,-0.006394964021485896,0.0016087321605047502,-6.123234262925839e-17,-0.3333333432674408,0.2372566374519458,0.025076088185133606,16.086666666666837,4.634226478070844,6.482365611055899,0.8560849338133021
1,1,498.7135114826405,269.46300800300764,498.7135114826405,262.79634101844954,498.7135114826405,263.06300800300767,39.108346178358616,38.71387009011556,-0.3944760882430529,-0.01342822162588715,-0.005333734907038893,-0.006494486718848259,0.0015999999999999955,-6.123234262925839e-17,-0.3333333432674408,1.0554797296286484,0.05980424510162266,16.086666666666726,4.491278342946209,6.4,0.03355324095392698
1,2,498.7135114826405,263.06300800300767,498.7135114826405,256.39634101844956,498.7135114826405,256.6630080030077,38.71387009011556,38.29383531962554,-0.4200347704900196,-0.012010973479196801,-0.0038096710941251896,-0.006601302385071617,0.0015999999999999955,-6.123234262925839e-17,-0.3333333432674408,0.0,0.006445915489825164,16.08666666666686,4.49503708734438,6.4,0.0
1,3,498.7135114826405,256.6630080030077,498.7135114826405,249.99634101844958,498.7135114826405,250.26300800300768,38.29383531962554,37.87367446889741,-0.4201608507281307,-0.012153089009045803,-0.0038440672476273315,-0.006709021761418468,0.001600000000000003,-6.123234262925839e-17,-0.3333333432674408,0.0,0.0053885785819937585,16.08666666666673,4.501215019011556,6.4,0.0
1,4,498.7135114826405,250.26300800300768,498.7135114826405,243.59634101844958,498.7135114826405,243.86300800300768,37.87367446889741,37.45760958485015,-0.41606488404726605,-0.01225533493270172,-0.003838784832607808,-0.006816550100093908,0.001600000000000003,-6.123234262925839e-17,-0.3333333432674408,0.17420244809702284,0.009957359348625086,16.08666666666653,4.50739074862923,6.4,0.0
1,5,498.7135114826405,243.86300800300768,498.7135114826405,237.19634101844957,498.7135114826405,237.46300800300767,37.45760958485015,37.06488299675657,-0.3927265880935735,-0.012183717201540085,-0.0036648860604361943,-0.006918831141103887,0.001600000000000003,-6.123234262925839e-17,-0.3333333432674408,1.1408196265620725,0.05802604525490386,16.08666666666667,4.5135022679195025,6.4,0.0
1,6,498.7135114826405,237.46300800300767,498.7135114826405,230.79634101844957,498.7135114826405,231.06300800300767,37.06488299675657,36.651468657911096,-0.4134143388454774,-0.012441678590283686,-0.0038143556363136972,-0.007027322953969986,0.001600000000000003,-6.123234262925839e-17,-0.3333333432674408,0.29282736157508127,0.033034155301736076,16.08666666666646,4.519267310634968,6.4,0.0
1,7,498.7135114826405,231.06300800300767,493.9994664348805,235.77705305076768,494.1848099618836,235.57140591855952,36.651468657911096,36.26936963709985,-0.38209902081124625,-0.012472165040428845,-0.003746265177822107,-0.007128347257270644,0.0015975526053360928,-0.2357022613286972,0.2357022613286972,1.7180150701476902,0.09151637505531404,16.08666666666664,4.684229172951761,6.491978325110068,2.408076508571107
1,8,494.1848099618836,235.57140591855952,489.4707649141236,240.28545096631953,489.6593265622897,240.09688931815344,36.26936963709985,35.84853830332121,-0.42083133377863646,-0.017027770111232604,-0.008187323681882295,-0.007240446429350305,0.0016000000000000031,-0.2357022613286972,0.2357022613286972,0.0,0.012496126455936183,16.08666666666662,4.534068688486611,6.4,0.051882018378767575
1,9,489.6593265622897,240.09688931815344,489.6593265622897,233.43022233359534,489.6449697185624,233.7066950213426,35.84853830332121,35.44998072549358,-0.39855757782763135,-0.016590764337211114,-0.0076457929586082884,-0.007347418772466728,0.001597552606136097,-6.123234262925839e-17,-0.3333333432674408,1.0491119278365095,0.061133623374401314,16.086666666666833,4.696410305814106,6.491978326953859,2.408076503876421
1,10,489.6449697185624,233.7066950213426,489.6449697185624,227.0400280367845,489.6449697185624,227.3066950213426,35.44998072549358,35.02890428725603,-0.4210764382375487,-0.017116250504444968,-0.008054963186272962,-0.007461287318172002,0.001600000000000003,-6.123234262925839e-17,-0.3333333432674408,0.0,0.011974231909813837,16.08666666666646,4.546078806973174,6.4,0.05188201368402435
1,11,489.6449697185624,227.3066950213426,489.6449697185624,220.64002803678449,489.6449697185624,220.90669502134259,35.02890428725603,34.62326554687843,-0.4056387403776043,-0.01723890962226499,-0.008067100440310556,-0.0075718091819544295,0.001600000000000003,-6.123234262925839e-17,-0.3333333432674408,0.6339005262967099,0.03165062319764393,16.086666666666545,4.549097294496334,6.4,0.0
1,12,489.6449697185624,220.90669502134259,489.6449697185624,214.24002803678448,489.6449697185624,214.50669502134258,34.62326554687843,34.20819669039571,-0.4150688564827192,-0.017676451719134935,-0.008390710196819931,-0.007685741522315001,0.001600000000000003,-6.123234262925839e-17,-0.3333333432674408,0.25285758841593264,0.01742698332398908,16.086666666666744,4.555028983485676,6.4,0.0
1,13,489.6449697185624,214.50669502134258,489.6449697185624,207.84002803678447,489.6449697185624,208.10669502134257,34.20819669039571,33.81838020373669,-0.38981648665902213,-0.0169708850283632,-0.00757736798408693,-0.007793517044276267,0.001600000000000003,-6.123234262925839e-17,-0.3333333432674408,1.287780914094376,0.06944561373882963,16.086666666666755,4.561094607384147,6.4,0.0
1,14,489.6449697185624,208.10669502134257,489.6449697185624,201.44002803678447,489.6449697185624,201.70669502134257,33.81838020373669,33.41793374789948,-0.40044645583720495,-0.01709169905378797,-0.0075866861615482275,-0.00790501289223974,0.001600000000000003,-6.123234262925839e-17,-0.3333333432674408,0.857839582862911,0.051014468333092984,16.086666666666545,4.566787552856452,6.4,0.0
1,15,489.6449697185624,201.70669502134257,489.6449697185624,195.04002803678446,489.6449697185624,195.30669502134256,33.41793374789948,33.03885309835627,-0.3790806495432122,-0.016710467060359866,-0.007099177538506434,-0.008011289521853432,0.001600000000000003,-6.123234262925839e-17,-0.3333333432674408,1.731188565807134,0.08962258704977849,16.086666666666748,4.572632054904559,6.4,0.0
1,16,489.6449697185624,195.30669502134256,489.6449697185624,188.64002803678446,489.6449697185624,188.90669502134256,33.03885309835627,32.63373770396711,-0.40511539438916344,-0.017344539050196964,-0.007618889544475359,-0.008125649505721602,0.001600000000000003,-6.123234262925839e-17,-0.3333333432674408,0.6754467937456755,0.030553546143742824,16.086666666666638,4.578161281276506,6.4,0.0
1,17,489.6449697185624,188.90669502134256,489.6449697185624,182.24002803678445,489.6449697185624,182.50669502134255,32.63373770396711,32.211886005756654,-0.4218516982104532,-0.01766552266647558,-0.007819927310891215,-0.008245595355584362,0.001600000000000003,-6.123234262925839e-17,-0.3333333432674408,0.0,0.002026560311788732,16.08666666666676,4.584066545645621,6.4,0.0
1,18,489.6449697185624,182.50669502134255,489.6449697185624,175.84002803678445,489.6449697185624,176.10669502134255,32.211886005756654,31.789908896119144,-0.4219771096375098,-0.01581276311927217,-0.005846307054279295,-0.00836645606499287,0.001600000000000003,-6.123234262925839e-17,-0.3333333432674408,0.0,0.0018952116252937065,16.086666666666726,4.590211705571047,6.4,0.0
1,19,489.6449697185624,176.10669502134255,489.6449697185624,169.44002803678444,489.6449697185624,169.70669502134254,31.789908896119144,31.389535827921755,-0.40037306819738916,-0.01696787844205956,-0.006885936440907778,-0.00848194200115178,0.001600000000000003,-6.123234262925839e-17,-0.3333333432674408,0.8799901931765074,0.028570633939618374,16.086666666666623,4.5963545431871005,6.4,0.0
1,20,489.6449697185624,169.70669502134254,489.6449697185624,163.04002803678443,488.44885547392084,166.65720422737866,31.389535827921755,31.020424331899942,-0.36911149602181226,-0.016058735671327,-0.006650703556093864,-0.008589111965405294,0.0008189201498278422,-6.123234262925839e-17,-0.3333333432674408,0.352293624794248,0.044149636551411305,16.086666666666545,2.42656684454101,3.2773757378179185,0.3830230300923197
1,21,488.44885547392084,166.65720422737866,488.44885547392084,159.99053724282055,486.58398518692104,165.78253359489386,31.020424331899942,30.720931969786186,-0.2994923621137566,-0.015207855282442194,-0.006016341709005392,-0.008676562732174618,0.0005149508412621833,-6.123234262925839e-17,-0.3333333432674408,2.5326028069065325,0.18321887027148884,16.086666666666638,1.6598680465114852,2.099521505835223,0.8597851683892019
1,22,486.58398518692104,165.78253359489386,486.58398518692104,159.11586661033576,484.7956824996842,165.14068197744518,30.720931969786186,30.58445939157727,-0.13647257820891667,-0.013176184208271727,-0.003984625033478801,-0.008716559174792922,0.0004750000000000056,-6.123234262925839e-17,-0.3333333432674408,8.909208294252318,0.37816789826344843,16.086666666666638,1.4148137988740104,1.9,0.016608068864747416
1,23,484.7956824996842,165.14068197744518,484.7956824996842,158.47401499288708,483.00428840317363,164.50750965414989,30.58445939157727,30.613175387711884,0.02871599613461484,-0.012653824491844344,-0.003470688843620458,-0.008708135648223887,0.00047499999999999994,-6.123234262925839e-17,-0.3333333432674408,15.571042676013157,0.4746935582267606,16.086666666666837,1.4146727301152557,1.9,0.0048491688936591615
1,24,483.00428840317363,164.50750965414989,478.2902433554136,169.2215547019099,478.4311778408332,169.06307773700277,30.613175387711884,30.250400526791697,-0.3627748609201866,-0.01684915136110121,-0.006420559782034494,-0.008814850956071154,0.0016137406229955634,-0.2357022613286972,0.2357022613286972,2.5929209474832002,0.17446530876096766,16.086666666666638,4.8376992460462,6.575611050814297,1.1836681626372245
1,25,478.4311778408332,169.06307773700277,478.4311778408332,162.39641075244467,478.25602029827184,163.21870360657132,30.250400526791697,30.02552584010814,-0.22487468668355604,-0.01554739408158519,-0.005204317220320747,-0.008881327285816146,0.001461749575448299,-6.123234262925839e-17,-0.3333333432674408,7.786195656044548,0.3127743951210935,16.086666666666652,4.3966660358344,5.951140818202318,2.4447090377928284
1,26,478.25602029827184,163.21870360657132,478.25602029827184,156.55203662201322,476.60479997380946,162.37506020224882,30.02552584010814,29.75373063738826,-0.27179520271988267,-0.015820005442756226,-0.0063944342767805465,-0.00896200733854907,0.000463563827426608,-6.123234262925839e-17,-0.3333333432674408,3.628669571522567,0.1876263316908424,16.08666666666685,1.6450701230972693,2.010215506495254,1.7149733248188825
1,27,476.60479997380946,162.37506020224882,476.60479997380946,155.7083932176907,474.93744163804905,161.8409554870519,29.75373063738826,29.449165752286284,-0.3045648851019749,-0.016805835957586487,-0.007315284096991805,-0.009052848217516308,0.00043770364307837593,-6.123234262925839e-17,-0.3333333432674408,2.0350702553554543,0.10892646672370215,16.08666666666667,1.3143974583991855,1.750814572313497,0.0457774154616466
1,28,474.93744163804905,161.8409554870519,474.93744163804905,155.1742885024938,473.3130974125699,161.33951171883714,29.449165752286284,29.126626463317066,-0.32253928896921735,-0.018697125914597164,-0.009122580681449017,-0.00914954964379391,0.00042499558935423637,-6.123234262925839e-17,-0.3333333432674408,1.2798786864411795,0.08774193185509913,16.086666666666517,1.2772254207476876,1.699982357416927,0.01057806008970319
1,29,473.3130974125699,161.33951171883714,473.3130974125699,154.67284473427904,471.7325275913114,160.86389999251992,29.126626463317066,28.801482109970927,-0.3251443533461398,-0.01899815872921569,-0.009337962170050947,-0.009247552078854847,0.0004126444803098974,-6.123234262925839e-17,-0.3333333432674408,1.1459648950409087,0.06620378299490598,16.086666666666545,1.2430437283349356,1.650577921239583,0.007131228861640526
1,30,471.7325275913114,160.86389999251992,476.4465726390714,156.1498549447599,474.45592926657935,161.72382279771824,28.801482109970927,28.471475209285618,-0.3300069006853086,-0.01810461252040932,-0.008043073947903021,-0.009347553982522364,0.0007139845899839352,0.2357022613286972,-0.2357022613286972,1.8086710337421137,0.10332585020100107,16.08666666666667,2.291681123433648,2.9657928399807023,3.2657472014321733
1,31,474.45592926657935,161.72382279771824,474.45592926657935,155.05715581316014,472.8614706120502,161.14720678289856,28.471475209285618,28.13721521425625,-0.33425999502936676,-0.019163510862279808,-0.009290238188851782,-0.009449392941845068,0.00042387973158295703,-6.123234262925839e-17,-0.3333333432674408,0.9713453437372486,0.07097618111482248,16.086666666666513,1.4790403921547681,1.8024474468181744,3.2381555717246258
1,32,472.8614706120502,161.14720678289856,472.8614706120502,154.48053979834046,471.2804466271545,160.72280858132646,28.13721521425625,27.8233553258386,-0.31385988841764956,-0.01920815137687805,-0.009253383904765914,-0.0095455188714492,0.0004092486006629329,-6.123234262925839e-17,-0.3333333432674408,1.5977293274008744,0.06372964083444466,16.086666666666623,1.2467920902128034,1.63699440265178,0.1906748443982049
1,33,471.2804466271545,160.72280858132646,475.9944916749145,165.43685362908647,475.83177870145755,165.28622527002724,27.8233553258386,27.443620030081323,-0.3797352957572784,-0.019174484464644075,-0.007900737081367005,-0.009662470802323075,0.001611276580953992,0.2357022613286972,0.2357022613286972,1.937445241253692,0.12715445415196602,16.086666666666744,4.892415013368013,6.535532455832285,2.840794570401194
1,34,475.83177870145755,165.28622527002724,480.54582374921756,170.00027031778725,480.35726210105145,169.81170866962117,27.443620030081323,27.2182933623758,-0.22532666770552368,-0.016698090684581616,-0.0053658865158588715,-0.009732204168722742,0.0016000000000000031,0.2357022613286972,0.2357022613286972,7.920029200883295,0.3767180615183614,16.086666666666538,4.661813701372653,6.4,0.038547829157121224
1,35,480.35726210105145,169.81170866962117,485.07130714881146,174.52575371738118,484.88274550064534,174.3371920692151,27.2182933623758,26.847537419406503,-0.37075594296929637,-0.01910188554571423,-0.007654395348199993,-0.009847490197514236,0.0016000000000000031,0.2357022613286972,0.2357022613286972,2.105398514478701,0.1455697768560268,16.086666666666638,4.662639487885334,6.4,1.776257802498396e-13
1,36,484.88274550064534,174.3371920692151,489.59679054840535,169.62314702145508,489.4114470214023,169.82879415366318,26.847537419406503,26.65724634428541,-0.19029107512109178,-0.01614463045693113,-0.00464015330668502,-0.009906924544909991,0.0015975526053361127,0.2357022613286972,-0.2357022613286972,9.442930069349897,0.44469258606810114,16.086666666666545,4.831901419322771,6.491978325110189,1.6226783451735751
1,37,489.4114470214023,169.82879415366318,494.1254920691623,174.5428392014232,493.89526641111263,174.2872750762094,26.65724634428541,26.307410700986146,-0.3498356432992651,-0.01946983442546237,-0.007872381160564847,-0.010016656621266318,0.001580796643631206,0.2357022613286972,0.2357022613286972,3.0387087500994068,0.11916393539233806,16.08666666666665,4.788371202861094,6.427542979881633,1.6747904457206995
1,38,493.89526641111263,174.2872750762094,493.89526641111263,167.6206080916513,493.5822618124832,168.68963264541262,26.307410700986146,25.957225968084852,-0.3501847329012939,-0.01829422088380818,-0.006765520719389039,-0.010127103470871479,0.0014015966935476605,-6.123234262925839e-17,-0.3333333432674408,2.6247007988910473,0.2086160632272649,16.086666666666726,4.3001564951602065,5.712656151594896,2.606933594801699
1,39,493.5822618124832,168.68963264541262,493.5822618124832,162.0229656608545,491.6052872650339,167.6715021600828,25.957225968084852,25.757246544381633,-0.19997942370321908,-0.015402871838413866,-0.004656489094035277,-0.010190447831010788,0.0005559349133678011,-6.123234262925839e-17,-0.3333333432674408,6.623051682697319,0.4170912305577154,16.08666666666676,1.8654483209463324,2.329038118172626,1.1833683679176963
1,40,491.6052872650339,167.6715021600828,486.8912422172739,162.9574571123228,486.1506223111473,165.63187523490504,25.757246544381633,25.75794264098052,0.0006960965988866974,-0.01498985955429574,-0.003343751214570216,-0.010190226996838404,0.001455881342887122,-0.2357022613286972,-0.2357022613286972,16.55605713777677,0.5625798322134804,16.086666666666837,4.271951239121235,5.823525371548556,0.07254928573579912
1,41,486.1506223111473,165.63187523490504,476.72253221562727,156.20378513938502,475.1835922055276,161.92164160409186,25.75794264098052,25.319495098168204,-0.438447542812316,-0.02117501172453098,-0.00795080668081004,-0.010329796825570099,0.0028944082181508427,-0.4714045226573944,-0.4714045226573944,2.456329444430973,0.09877019489888578,16.08666666666654,8.422811415234118,11.577632872603951,0.03160545659206919
1,42,475.1835922055276,161.92164160409186,470.4695471577676,157.20759655633185,469.830724344558,160.30887396049513,25.319495098168204,24.938310262384608,-0.3811848357835963,-0.02077800648030177,-0.008928459967694861,-0.010451909806206746,0.0013976367064001659,-0.2357022613286972,-0.2357022613286972,1.2289840097654525,0.043828955737533745,16.086666666666652,4.107100988479117,5.5905468256008115,0.03358080352873646
1,43,469.830724344558,160.30887396049513,460.402634249038,150.88078386497511,459.0760634828743,157.46487817539332,24.938310262384608,24.463001462453853,-0.4753087999307546,-0.022746641395142545,-0.009360374566089394,-0.010605180684716865,0.002781086144336286,-0.4714045226573944,-0.4714045226573944,0.7392788080250966,0.03555091657526556,16.08667402358503,8.116219223779996,11.12434457734471,0.03411492275542113
1,44,459.0760634828743,157.46487817539332,473.2181991029915,143.32274255527614,468.3183919397229,159.87122185823574,24.463001462453853,24.00091406415269,-0.46208739830116485,-0.02271586969093391,-0.009572999157584649,-0.010755257640413239,0.002387612892936026,0.7071067690849304,-0.7071067690849304,0.4838126614365906,0.028119655641224612,16.087223912068353,7.153225789590858,9.649877965896128,3.1727399219717753
1,45,468.3183919397229,159.87122185823574,463.6043468919629,155.15717681047573,463.0792966657842,158.4825439208591,24.00091406415269,23.597195732193214,-0.4037183319594746,-0.021982361790291234,-0.009740117900035273,-0.010887240529947318,0.0013550033603086425,-0.2357022613286972,-0.2357022613286972,0.38534162826871804,0.023941446099531437,16.088594821218425,4.170659170850196,5.520668633143776,3.1753657348909776
1,46,463.0792966657842,158.4825439208591,458.3652516180242,153.76849887309908,457.84149300982625,157.1689942028692,23.597195732193214,23.223243190051612,-0.3739525421416019,-0.021602668088122178,-0.009242457594159276,-0.011010210493962945,0.0013499999999999567,-0.2357022613286972,-0.2357022613286972,1.4198030040089957,0.07310403926342492,16.09046670240521,3.99297339881692,5.4,0.07773060627489929
1,47,457.84149300982625,157.1689942028692,453.12744796206624,152.45494915510918,452.59207901581505,155.98985409571287,23.223243190051612,22.88866932431175,-0.3345738657398627,-0.02032323046326385,-0.00785736003612522,-0.011120816555707604,0.0013450538714310234,-0.2357022613286972,-0.2357022613286972,2.9647434358572284,0.2110083310852021,16.092760885625236,3.9799296417757213,5.380215485724109,0.024759279543824435
1,48,452.59207901581505,155.98985409571287,447.87803396805504,151.27580904795286,447.40796489682833,154.9426450325744,22.88866932431175,22.94347843472177,0.05480911041001946,-0.016362360700507523,-0.003937494601303727,-0.011102659467739825,0.00132220663146397,-0.2357022613286972,-0.2357022613286972,18.275987574812625,0.602387443632445,16.095269817554783,3.917122452360208,5.288826525856123,0.021634525334511386
1,49,447.40796489682833,154.9426450325744,442.6939198490683,150.2285999848144,442.29414419433914,154.02085590406068,22.94347843472177,22.84680365671594,-0.09667477800582702,-0.01666651864354636,-0.00423276416189207,-0.011134695750912747,0.0012990587307415416,-0.2357022613286972,-0.2357022613286972,12.246109845265702,0.5722510300807824,16.094829307727736,3.849027637435283,5.196234922966115,0.02098180522311804
1,50,442.29414419433914,154.02085590406068,437.58009914657913,149.30681085630067,437.25486819470456,153.21929679912586,22.84680365671594,22.77731336569013,-0.0694902910258115,-0.01626460466067574,-0.003831195882212067,-0.011157752094653398,0.0012756566838102712,-0.2357022613286972,-0.2357022613286972,13.261875252502934,0.6117964336026767,16.095614083748554,3.782093209206848,5.102626735241246,0.020598540249275387
1,51,437.25486819470456,153.21929679912586,432.54082314694455,148.50525175136585,432.24848266471236,152.52645085610607,22.77731336569013,22.88106415592186,0.10375079023172873,-0.01430052749465178,-0.001913665219151956,-0.011123337157633287,0.0012635251178665363,-0.2357022613286972,-0.2357022613286972,20.0646549454359,0.8029359893000145,16.096200392538115,3.747426722274831,5.054100471466006,0.02022194381738355
1,52,432.24848266471236,152.52645085610607,427.53443761695235,157.24049590386608,427.7014915648432,157.06050407262788,22.88106415592186,22.547195626045674,-0.33386852987618454,-0.02035149661489277,-0.0075119043570858746,-0.011234273624471497,0.001605318633335397,-0.2357022613286972,0.2357022613286972,3.7508450594912834,0.24880956429141324,16.09533185458086,4.9227254233716575,6.493668248919766,1.0669082081620498
