episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,grad_norm_control,grad_norm_aux,lr_scale,certifiable_frac,cert_violation,cert_mean_dV,cert_mean_V,cert_worst_slack,cert_in_ball_rate,cert_certifiable_frac,cert_alpha_q05,cert_alpha_q25,cert_alpha_q50,cert_alpha_used,cert_alpha_next,cert_alpha_nonpos_frac,cert_nstep,cert_n_samples,v_critic_violation,v_critic_mean,v_critic_min,v_agreement,v_critic_alpha_q05,v_critic_alpha_q25,v_critic_alpha_q50,v_critic_alpha_nonpos_frac,v_critic_violation_direct,v_critic_nonpos_direct,v_bellman_delta_mean,v_bellman_delta_std,v_bellman_delta_q95,softplus_beta,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha,lag_lambda,lag_j_c,lag_violation,lag_frozen,attn_entropy,critic_ev,critic_rmse_norm,critic_rmse_abs,returns_std,returns_mean,xv_true_corr,xv_true_rank,xv_true_flat_frac,ood_v_min,ood_v_mean,ood_nonneg_frac,ood_monotone_frac,ood_slope_corr,ood_range
8,32,32,0.0,-0.002214370237197727,345.50321674346924,,,,,,,,,17.850847721099854,0.0,0.15338655819462058,,0.38867293018847704,-0.19665116537362337,0.2978739715181291,0.5002396600320935,0.22281212359666824,0.7914062514901161,-0.0004177008913757163,0.006237383000552654,0.01798162702471018,0.010000000000000009,0.009500000000000008,0.06293870543595403,150.0,88.625,,,,,,,,,,,,,,,,,,0.002976602903800085,0.026558744080830365,0.10542813781648874,0.00015672474199845965,0.005957580033282284,0.9554904208518595,0.10000000149011612,4.929168703218338,3.6791687032183384,1.0,nan,-0.0009927749633789062,1.00053071975708,18.48568344116211,18.47587776184082,-0.2421124279499054,0.12711088359355927,0.1543656438589096,0.107421875,-0.2763969302177429,0.09586914628744125,0.776171863079071,0.39453125,0.03872651606798172,0.03463931381702423
16,24,24,0.0,0.0009847348749948044,232.69662539164224,,,,,,,,,66.08220545450847,0.0,0.1957959750359973,,0.6155041009187698,-0.1465568502123157,0.4157586929698785,0.6977980857094129,0.06550151109695435,0.8106925040483475,-0.005613463959889486,0.0009232585628827413,0.006075906256834666,0.009500000000000008,0.009025000000000007,0.21379997519155344,150.0,93.33333333333333,,,,,,,,,,,,,,,,,,0.000271576381540702,0.0,0.10547583022465308,0.00041516053533996455,0.010183040673534075,0.9215448170501063,0.10000000149011612,7.334149374813544,6.084149374813544,1.0,nan,0.00047475099563598633,1.0063679218292236,15.214372634887695,15.118102073669434,-1.4641876220703125,0.1062440574169159,0.18730570375919342,0.025390625,-0.3711199462413788,-0.27651235461235046,0.0,0.0212673619389534,-0.04838885739445686,0.0036845034919679165
24,32,32,0.0,-0.0004101159211131744,300.7707509994507,,,,,,,,,39.86658489704132,0.0,0.2508029141458572,,0.5520536284893751,-0.15955308312550187,0.3041157238185406,0.5806723590940237,0.07012132555246353,0.8571305796504021,-0.020548469328787178,0.0006182538345456123,0.00686041172593832,0.009025000000000007,0.008573750000000007,0.23133636731654406,150.0,119.75,,,,,,,,,,,,,,,,,,0.001282373867638853,0.0034257192310178652,0.10551591357216239,0.0006322941590042319,0.012085472146281973,0.8792974272867451,0.10000000149011612,7.266401478782648,6.016401478782648,1.0,nan,0.0003898143768310547,1.0020297765731812,17.74811553955078,17.7121639251709,1.3870339393615723,0.020825497806072235,0.06653054803609848,0.025390625,-0.3208991289138794,-0.20652127265930176,0.0,0.0594618059694767,-0.030334945768117905,0.0027191038243472576
32,32,32,0.0,0.001447330811060965,321.65705966949463,,,,,,,,,54.31575047969818,0.0,0.3058752790658705,,0.6913975868374109,-0.11635176767595112,0.3389290915802121,0.6676723323762417,0.0019938144832849503,0.8568115271627903,-0.02090224326821044,-0.00649466086179018,0.002413383685052395,0.00857375000000001,0.008145062500000006,0.36348517518490553,150.0,138.625,,,,,,,,,,,,,,,,,,0.001429445932899398,0.006184895915794186,0.10557737341150641,0.0009650219144532457,0.016626075812382624,0.8389272084190464,0.10000000149011612,6.845105308462692,5.595105308462692,1.0,nan,0.00038105249404907227,1.0008727312088013,17.994659423828125,17.97896957397461,-0.5199840664863586,-0.04263059422373772,-0.07448043674230576,0.0,-0.3749540150165558,-0.3096139430999756,0.0,0.0334201380610466,-0.032187286764383316,0.0013998550130054355
35,28,28,0.0,0.015911436340372478,233.35315813337053,,,,,,,,,12.023976274899074,0.0,0.34888466833784315,,0.6658344141074589,-0.12893237306603364,0.283431065934045,0.33977167680859566,0.18650350187505996,0.9503547549247742,-0.005296402947611308,-0.00015761277505329678,0.005772625761372703,0.008145062500000001,0.007737809375000006,0.24709997858319963,150.0,120.28571428571429,,,,,,,,,,,,,,,,,,0.0007996492105511217,0.00013950892857142856,0.10568504940186228,0.0015474439382420055,0.014514140718217407,0.8086820023785355,0.10000000149011612,4.166379027853051,2.9163790278530506,1.0,nan,0.0002830028533935547,1.0700421333312988,15.512938499450684,14.497503280639648,5.721999168395996,0.06370119005441666,-0.008922801353037357,0.1298828125,-0.23208805918693542,-0.19550426304340363,0.0,0.02300347201526165,-0.030319819226861,0.0005054544890299439
49,24,24,0.0,-0.000730286391141514,286.1829350789388,,,,,,,,,110.02558771769206,0.0,0.3891318936116786,,1.0,0.38141097293959725,0.438631855779224,0.6844096051322089,0.0,0.6973646158973376,-0.00425897507617871,-0.004228502511978149,-0.00419041183259752,0.007737809375000008,0.007737809375000006,1.0,150.0,0.5,,,,,,,,,,,,,,,,,,0.0015996034586957346,0.004879957064986229,0.10583115586390097,0.0023369414072173336,0.014266296251056096,0.7813575163305942,0.10000000149011612,6.487978322882901,5.237978322882901,1.0,nan,0.004629909992218018,2.6019084453582764,16.962812423706055,6.519373416900635,-14.098495483398438,-0.2451353222131729,-0.19691388309001923,0.0,-1.623418927192688,-1.5662870407104492,0.0,0.0,-0.0556279793381691,0.00538827246055007
52,24,24,0.0,-0.0021746302178750434,315.7330665588379,,,,,,,,,44.47331110636393,0.0,0.4314413256795058,,0.40114474296569824,-0.1926883558432261,0.4122399054467678,0.5883459548155466,0.20446811119715372,0.9272182981173197,-0.0016838413963948067,0.0022537956635157266,0.012431540836890539,0.007737809375000008,0.007350918906250005,0.17215772376706204,150.0,147.83333333333334,,,,,,,,,,,,,,,,,,0.0014840025863425883,0.007260702395190795,0.10588328323016565,0.0026183452961655953,0.016924498525137704,0.753616165517819,0.10000000149011612,4.742375113027784,3.4923751130277836,1.0,nan,0.00042891502380371094,1.0951250791549683,17.81403350830078,16.266666412353516,8.778096199035645,0.3300420343875885,0.3760550022125244,0.0908203125,-1.5492820739746094,-1.5061955451965332,0.0,0.0,-0.030489478260278702,0.00172037398442626
56,28,28,0.0,0.0014794469212314912,280.1301580156599,,,,,,,,,20.36252897126334,0.0,0.4751981289075969,,0.5349253980176789,-0.1163926376029849,0.27140308011855396,0.5496789600167956,0.04485699108668736,0.9378439038991928,-0.017294263433931128,-0.0034248903393745422,0.005662193255765098,0.007350918906250004,0.006983372960937505,0.33447372913360596,150.0,149.14285714285714,,,,,,,,,,,,,,,,,,0.0003160853276702775,0.0,0.10597023820238453,0.0030873948042946203,0.022480147957269634,0.7259477270348217,0.10000000149011612,6.521119742647865,5.271119742647865,1.0,nan,0.0008938908576965332,1.020554542541504,17.048433303833008,16.705068588256836,5.412400245666504,0.26212596893310547,0.24085061252117157,0.0,-2.0029351711273193,-1.9721091985702515,0.0,0.0,-0.03316831961274147,0.0016008191742002964
63,32,32,0.0,-0.0028997668850934133,251.97093534469604,,,,,,,,,23.389119416475296,0.0,0.5281490460687244,,0.2617050283588469,-0.13189510232768953,0.20841586496680975,0.16188586270436645,0.18154296278953552,0.8890787828713655,0.0018535404451540671,0.006679705809801817,0.012802109122276306,0.00698337296093751,0.006681563751499413,0.0,150.0,117.25,,,,,,,,,,,,,,,,,,0.003465283140030806,0.0338297528505791,0.10614060354419053,0.004005299801065121,0.025422272214200348,0.6938004351605934,0.10000000149011612,6.1810594024552765,4.9310594024552765,1.0,nan,0.00126725435256958,1.0205392837524414,16.168548583984375,15.84314250946045,6.6381425857543945,0.38509994745254517,0.4109223484992981,0.1474609375,-3.4205784797668457,-3.3628532886505127,0.0,0.0,-0.054013390094041824,0.002705490216612816
70,32,32,0.0,-0.0043886588246095926,306.9732828140259,,,,,,,,,31.968609869480133,0.0,0.5797029689130077,,0.3964725350961089,-0.15418983343988657,0.2560736960731447,0.26850473089143634,0.10341762565076351,0.8776425626128912,-0.01581163339142222,0.001395401544868946,0.011318523436784744,0.006681563751499417,0.006347485563924442,0.21253767842426896,150.0,115.375,,,,,,,,,,,,,,,,,,0.0028194097521918593,0.019412618246860802,0.10631550429388881,0.004946208413457498,0.02053216309286654,0.6638468536623647,0.10000000149011612,7.159049665997885,5.909049665997885,1.0,nan,0.0019565820693969727,1.0008951425552368,17.554597854614258,17.538898468017578,4.508817672729492,0.13538296520709991,-0.03433005139231682,0.005859375,-5.716075897216797,-5.580575942993164,0.0,0.0,-0.03912283107638359,0.005433550104498863
