episode,steps,final_battery,total_reward,total_directional_reward,total_battery_reward,total_movement_penalty,loss,episode_time,rollout_time,inference_time,env_time,update_time,peak_solar_w,mean_solar_w,start_battery,min_battery,idle_mAh,motion_mAh,path_m,turn_integral,net_displacement_m,V_start,V_end,alpha_T,E_max,E_argmax
1,720,33.50887669628336,-7.603472189874665,-3.803543004937599,-3.3722892427183444,0.4245497165977541,,43.20697564911097,42.9620511662215,1.2445298740640283,41.71752129215747,0.0,42.16805538300362,15.7281987394337,39.14720094663166,24.611331822471293,11582.401039746037,1262.3674456003234,1753.872111142341,1348.4838868480742,256.3806681203747,1.8788524866104126,1.9160696268081665,-0.019808441835099222,0.5884734392166138,206
2,89,0.0,-17.52145743145368,-0.6595464752068213,-1.0136949579360035,0.04793348591378782,,12.393045893870294,12.099964969791472,0.139472721144557,11.960492248646915,0.0,7.6226124241993185,1.3481622483891462,38.6361344715499,0.0,1440.7935828388847,159.1726670853215,198.81080170711897,157.60665515152596,24.24168502265157,1.7645015716552734,2.990025281906128,nan,1.2255237102508545,88
3,82,0.0,-17.455599176267242,-0.4818731182437185,-0.9477782456605658,0.05061324087841362,,9.324954783543944,9.066274028271437,0.1293003037571907,8.936973724514246,0.0,6.2514981675139465,0.8414034092978083,37.31749155113408,0.0,1327.6400257429405,165.41658916240434,208.7427218435359,146.31033220752116,71.19569409443895,1.7950611114501953,2.933323621749878,nan,1.1382625102996826,81
4,76,0.0,-17.682293306877483,-0.5781643580546841,-0.9383223490078906,0.040532231424094116,,9.975303933955729,9.710429822094738,0.12027233187109232,9.590157490223646,0.0,16.165457547331656,1.9606652008905636,32.60506633660313,0.0,1231.8266688982849,136.39877702221747,168.7528793964113,154.24927443262197,16.406872893292736,1.8414971828460693,3.0681538581848145,nan,1.2266566753387451,75
5,79,0.0,-17.477988472172857,-0.3823241740572884,-0.9991503480344232,0.046148431328719555,,11.570730223320425,11.29557804390788,0.1243985965847969,11.171179447323084,0.0,10.705016448563633,2.8263560121765017,31.934467211676136,0.0,1281.8061470519133,154.21699027069448,191.1685118010402,155.70775955749784,13.985956521067134,2.0971839427948,3.022916793823242,nan,0.9257328510284424,78
6,81,0.0,-17.36672287001925,-0.37796899451681154,-0.9378078210149562,0.05060665136001417,,11.741248374804854,11.45776668842882,0.12767860386520624,11.330088084563613,0.0,10.306724499125039,0.9850804883706845,37.10250840008173,0.0,1311.378530310512,166.30751114111837,209.2699711471818,152.23221441066835,17.11049865865695,1.7513267993927002,2.8940536975860596,nan,1.1427268981933594,80
7,74,0.0,-17.6155687531998,-0.49625203817800745,-0.901542641616138,0.04241111971626706,,11.97514118719846,11.690039372071624,0.11639323830604553,11.573646133765578,0.0,5.677687895698196,1.1224508898988457,33.878278012165936,0.0,1199.2958151934033,141.32752110740404,175.98282928009704,146.98225747939918,14.037907197900928,1.8887534141540527,2.9467592239379883,nan,1.0580058097839355,73
8,720,56.55482464765611,-6.692332971680674,-3.620761789293041,-2.6684196134045925,0.4002189718875439,1.7043688297271729,49.24551058001816,48.174956497736275,1.1141783092170954,47.06077818851918,0.7885571997612715,42.263415660643176,17.547040130908243,39.74196736977151,17.43223847261611,11584.420145543072,1173.2955029409122,1653.272360823865,1345.3796553288257,262.22517422257346,1.8807837963104248,1.1926777362823486,0.36586132939785476,0.9090747833251953,244
9,72,0.0,-17.691646442839787,-0.49815594523377793,-0.929590237673293,0.03864493488554724,,7.683331433683634,7.442191512323916,0.11425487045198679,7.327936641871929,0.0,15.392994389616382,2.5898380035972846,31.030269168599645,0.0,1169.593846760501,129.43162512589626,160.36353740047755,132.97620389789137,30.327661509403622,2.1309707164764404,2.652731418609619,nan,0.5217607021331787,71
10,98,0.0,-17.626560056334096,-0.7460849997045664,-1.246849556058188,0.05822384757894133,,11.110131286084652,10.871462156996131,0.1542828306555748,10.717179326340556,0.0,26.248895409771638,5.446281879275037,31.330324154429672,0.0,1588.6895579769443,192.2958706732105,239.49001257990696,178.8305576518497,67.6506497656022,2.015627384185791,2.792522668838501,nan,0.77689528465271,97
11,67,0.0,-17.462321807697126,-0.2585453978827374,-0.8125329198002567,0.04097006139163597,,12.53895425517112,12.24563227314502,0.10681185591965914,12.13882041722536,0.0,0.5696776601442569,0.05826968574980558,33.28931871920549,0.0,1085.366602639928,135.54183389742678,169.57123446130606,123.47660813371944,67.21450419418883,2.142698049545288,2.895094156265259,nan,0.7523961067199707,66
12,720,47.613214994922906,-6.12432361558814,-2.9122944434177462,-2.825049337479127,0.3838648198151798,,44.818038252182305,44.575209371745586,1.1210361691191792,43.45417320262641,0.0,42.26340427808324,20.9405106210062,39.26355380405157,16.937870232256298,11587.726399341935,1106.5172739933028,1585.18282155988,1372.1284116979004,143.19315088837632,1.6343533992767334,1.4527432918548584,0.11112046360490013,0.9122061729431152,108
