episode,steps,final_battery,total_reward,total_directional_reward,total_battery_reward,total_movement_penalty,loss,episode_time,rollout_time,inference_time,env_time,update_time,peak_solar_w,mean_solar_w,start_battery,min_battery,idle_mAh,motion_mAh,path_m,turn_integral,net_displacement_m
1,89,0.0,-17.644040003963124,-0.6855039348318444,-1.1058704582620429,0.052317880519371154,,8.052393870428205,7.820150466635823,0.2651770645752549,7.554973402060568,0.0,14.905683230215331,3.149139648036765,34.38025706189988,0.0,1444.6788046966292,173.48378328260225,216.39822360632948,157.67807319884187,21.713847706278923
2,76,0.0,-17.604461816838903,-0.4902558354179247,-0.9465419934844361,0.04237932417220559,,9.445400758646429,9.177844776771963,0.12368576228618622,9.054159014485776,0.0,13.925119194421539,2.485584791580374,31.773541427698753,0.0,1231.9682814483697,141.92790102043594,175.66383346509485,151.23314800605777,14.855786824300276
3,154,0.0,-17.257912050921192,-1.0271066946847789,-1.9584052200244066,0.09668575962651003,,13.800221472978592,13.548767721280456,0.24599194154143333,13.302775779739022,0.0,30.061136264900902,8.333026038799186,34.33180834792255,0.0,2500.02957933897,319.33092341463407,398.73000392199936,289.5209725911627,29.106302703055892
4,125,0.0,-17.439106644475068,-0.9479496056385037,-1.5161829262153654,0.07439372994165576,,12.782568567432463,12.527716564945877,0.2035242384299636,12.324192326515913,0.0,26.992383123845972,5.223376258361316,38.511880857942316,0.0,2030.138671780538,246.31982626976605,307.96210136954926,242.82191974126187,11.481038371772652
5,720,37.94113945286784,-7.252619636826935,-3.89458624585328,-2.92388856310657,0.43090486745878476,,38.344686849974096,38.13289621472359,1.1412085108458996,36.99168770387769,0.0,40.48255203424805,16.145904129824952,39.6332189279473,28.0404423941565,11582.3999999999,1275.5169625016263,1779.1571740356617,1372.3866370832882,73.21542072403288
6,90,0.0,-17.51850333322447,-0.6363981201633352,-1.0455633402935427,0.06101006702639473,,14.969174418598413,14.638116104528308,0.14385832846164703,14.49425777606666,0.0,20.423374139992784,3.1008284174124134,35.26461053987244,0.0,1456.158656416938,197.65760419799895,251.00584930494648,165.81898068090157,10.646046264584145
7,84,0.0,-17.51283882102947,-0.5839144040943762,-0.9522160464283053,0.051315191379208785,,12.562192742712796,12.282076369971037,0.13382512610405684,12.14825124386698,0.0,1.7703189527139567,0.4465797947661903,38.64136752244619,0.0,1359.4707318321496,166.31177094639128,211.25215915894114,148.58990013924281,5.120482646692156
8,720,50.80862118452395,-8.305109336769931,-3.768503037546555,-4.093337007636487,0.4400865805491944,1.810744285583496,41.661829279735684,40.56148465164006,1.1220339927822351,39.43945065885782,0.8691570423543453,42.20569201139393,17.14630485920016,39.59688344865998,11.713375829344743,11614.604547902845,1307.6866758598946,1815.5863937624838,1321.3438358897286,79.13375184508355
9,75,0.0,-17.506705249273267,-0.3956663385509647,-0.9206111103868893,0.04012647818933612,,10.993629527278244,10.710733477026224,0.12018471583724022,10.590548761188984,0.0,6.206479337808289,1.5568742688253956,33.04210983460156,0.0,1215.3832823009604,133.7186548559898,166.36271649869616,151.54750114427938,25.918430059130767
10,85,0.0,-17.71396654386362,-0.706790608200251,-1.052149680414701,0.05460436367982131,,9.557753132656217,9.301560494117439,0.13400562852621078,9.167554865591228,0.0,19.285761399426768,3.346036897227732,33.65577770197794,0.0,1379.2467904544258,179.88458071805883,225.42145184523352,164.6445397221401,43.11400067874087
