episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha
2,24,24,6.51925802230835e-09,0.010787540310351082,18.535223722457886,0.5639791538317999,0.04156895509610573,0.044579366610075034,0.021262032833571236,1.5682476113239925,1.3690087497234344,0.004835346255276818,0.05242608778644353,0.17506828531622887,0.0032935870658548083,0.011550743501478186,0.969765359108249
4,24,24,2.0954757928848267e-09,-0.001162187351534764,12.528369466463724,0.7785493806004524,0.17815956100821495,0.16206687378386656,0.02684616530314088,1.5657629321018856,0.9065601006150246,0.004921511533514907,0.055686358362436295,0.17784412081042925,0.01028623884000505,0.01042435314351072,0.9404448517263514
6,24,24,1.3969838619232178e-09,-0.002140596703005334,9.159274031718573,0.6539259168008963,0.21166064590215683,0.19332001358270645,0.0259406011706839,1.6305863708257675,0.9810077846050262,0.006571147493862857,0.08318114187568426,0.18052611810465655,0.016939477490571637,0.015313110197894275,0.9120108393559102
8,24,24,4.656612873077393e-10,-0.010953009710647166,13.641206363836924,0.8168958177169164,0.16164054504285255,0.2396214703718821,0.02876126083234946,1.6620924671490986,0.7798732419808706,0.0050656193440469606,0.05776498140767217,0.18339099797109762,0.023940684894720714,0.023915969378625352,0.8844365191385997
10,24,24,4.423782229423523e-09,-0.006613783509237692,10.204080939292908,0.8612648571530978,0.23270822937289873,0.24254548052946726,0.029501328555246193,1.7270230849583943,0.7392988751331965,0.008271814333663011,0.10759943126079936,0.18613352067768574,0.030542220454663038,0.037693163535247244,0.8576958985908939
12,24,24,5.820766091346741e-09,0.004468364126902695,13.119642396767935,0.821792205174764,0.23482352743546167,0.21705086094637713,0.027812960945690673,1.7897557020187378,0.9402744794885317,0.0046671086626399,0.052734374961194895,0.18919411053260168,0.03779928432777524,0.038985551024476685,0.8317637711026707
14,24,24,2.0954757928848267e-09,-0.0012107346750174959,10.493815441926321,0.9054558649659157,0.23090732718507448,0.20915984796981016,0.02965600579045713,1.8067588210105896,0.9879487504561743,0.0053383650568624335,0.06264947385837634,0.19224818733831248,0.04492845851927996,0.03959125792607665,0.8066156921766136
16,24,24,5.122274160385132e-09,-0.008040784664141635,11.241041223208109,0.9109991739193598,0.18900346818069616,0.23799173471828303,0.03078774851746857,1.884957104921341,1.1769173641999562,0.008269942443196973,0.10551883047446609,0.19534951696793237,0.05205811203146974,0.041264227125793695,0.7822279563860023
18,24,24,8.149072527885437e-09,0.001837218568349878,14.976323465506235,0.8818452507257462,0.2721272986382246,0.2144015207886696,0.029383344498152535,1.756672739982605,1.0457621415456135,0.007130067019412915,0.08789206529036164,0.19847597554326057,0.05913690865660707,0.05485034423569838,0.7585775750291838
20,24,24,9.080395102500916e-09,0.002713805763050914,9.115195512771606,0.9412971337636312,0.24989285071690878,0.18760129809379578,0.029975780751556158,1.8466447740793228,0.9527108073234558,0.008925073915937295,0.11735026041666667,0.2014975113173326,0.0658784822250406,0.06113675283268094,0.7356422544596414
22,24,24,7.683411240577698e-09,0.016048642108216882,10.278257956107458,0.8472627550363541,0.2552108032008012,0.23243013148506483,0.029684027346471947,1.830670138200124,1.224060408771038,0.007353366379296252,0.0808604247868061,0.2045144159346819,0.07251542092611392,0.05311140123133858,0.713400375071256
24,24,24,8.847564458847046e-09,0.0030438636701243618,15.830055952072144,0.9156998693943024,0.25354755856096745,0.2331841600437959,0.030973776786898572,1.8749476472536724,1.1569779937465985,0.006375026544750047,0.08014614387260129,0.20746134469906488,0.07891116694857676,0.058417312490443386,0.6918309709189363
26,24,24,6.05359673500061e-09,-0.0037739070054764547,12.293555994828543,0.9692685926953951,0.202109324435393,0.2000491532186667,0.030272883595898747,1.8698379794756572,0.9262926702698072,0.006354075929266401,0.07804822642356157,0.21059325834115347,0.08561416901648045,0.06470366582895319,0.670913709955411
