d_lo,d_hi,d_mid,n,V_min,V_mean,V_max
0.0,0.03599264396710133,0.017996321983550664,1983,0.19462260603904724,0.7937421652249357,1.2474220991134644
0.03599264396710133,0.07198528793420265,0.05398896595065199,1161,0.19543874263763428,0.7232861833824976,1.2709405422210693
0.07198528793420265,0.10797793190130398,0.08998160991775331,1001,0.20222826302051544,0.6408517670321774,1.2895866632461548
0.10797793190130398,0.1439705758684053,0.12597425388485464,668,0.20411700010299683,0.6214136373541669,1.2872898578643799
0.1439705758684053,0.17996321983550664,0.16196689785195598,602,0.2107984870672226,0.5366842895498704,1.2485530376434326
0.17996321983550664,0.21595586380260795,0.19795954181905728,577,0.21871791779994965,0.5266114422725433,1.2511546611785889
0.21595586380260795,0.2519485077697093,0.23395218578615862,494,0.23866574466228485,0.4830313728224893,1.2673594951629639
0.2519485077697093,0.2879411517368106,0.26994482975325995,491,0.24422328174114227,0.4720224971805231,1.284876823425293
0.2879411517368106,0.32393379570391195,0.3059374737203613,511,0.25539419054985046,0.49616028406382073,1.104130506515503
0.32393379570391195,0.3599264396710133,0.3419301176874626,527,0.27306443452835083,0.5284441123651146,1.102516531944275
0.3599264396710133,0.3959190836381146,0.37792276165456395,545,0.2965986728668213,0.5631246432251886,1.158638596534729
0.3959190836381146,0.4319117276052159,0.4139154056216653,587,0.3136279284954071,0.604341348096906,1.022752285003662
0.4319117276052159,0.46790437157231723,0.44990804958876657,592,0.33589157462120056,0.6430659767340969,1.1293166875839233
0.46790437157231723,0.5038970155394186,0.4859006935558679,708,0.3593318462371826,0.7161854370418241,1.1836684942245483
0.5038970155394186,0.5398896595065199,0.5218933375229693,1028,0.39298343658447266,0.8626587294940818,1.4013491868972778
0.5398896595065199,0.5758823034736212,0.5578859814900705,1485,0.4120302200317383,0.970983187498067,1.458295464515686
0.5758823034736212,0.6118749474407226,0.593878625457172,1187,0.4627267122268677,1.0491717821575557,1.5247117280960083
0.6118749474407226,0.6478675914078239,0.6298712694242732,1078,0.5023443102836609,1.1094805104502499,1.4874489307403564
0.6478675914078239,0.6838602353749252,0.6658639133913746,420,0.5421125888824463,1.1107806622982026,1.4143493175506592
0.6838602353749252,0.7198528793420266,0.7018565573584759,276,0.5949034094810486,1.0561199218466661,1.440107822418213
0.7198528793420266,0.7558455233091279,0.7378492013255773,98,0.7997090816497803,1.1164471318527145,1.4272940158843994
0.7558455233091279,0.7918381672762292,0.7738418452926785,47,0.9031549692153931,1.0855939185365717,1.3180558681488037
0.7918381672762292,0.8278308112433306,0.80983448925978,12,0.9881288409233093,0.9991923868656158,1.0164121389389038
0.8278308112433306,0.8638234552104318,0.8458271332268812,8,1.0235106945037842,1.0415458381175995,1.053109884262085
