step,x_before,y_before,target_x,target_y,x_after,y_after,battery_before,battery_after,battery_delta,reward,action_dx_norm,action_dy_norm
0,596.4168813093077,229.26706186865027,616.3436429365049,249.20409647558387,616.8579554358832,250.3714738433297,100.0,99.91831342324939,-0.08168657675061297,-0.38126009641741454,0.9963381290435791,0.9968517422676086
1,616.8579554358832,250.3714738433297,636.7891592780463,270.32854896234824,637.1849327511964,271.2634538034088,99.91831342324939,99.83739846028664,-0.08091496296275125,-0.3789379432755333,0.9965602159500122,0.9978537559509277
2,637.1849327511964,271.2634538034088,657.1104546017823,291.1902631143219,657.3826927100318,292.6407744964451,99.83739846028664,99.75527976860779,-0.08211869167884345,-0.387944840537435,0.9962760806083679,0.9963404536247253
3,657.3826927100318,292.6407744964451,677.3284591590065,312.58863139952126,677.7744341518887,313.580272860733,99.75527976860779,99.67308557078758,-0.08219419782021475,-0.38808075464126923,0.9972882866859436,0.9973928332328796
4,677.7744341518887,313.580272860733,697.6679831173428,333.4987260772857,699.1628565708498,333.7219404506128,99.67308557078758,99.59092531110782,-0.08216025967975327,-0.39311649046749647,0.9946774840354919,0.9959226250648499
5,699.1628565708498,333.7219404506128,719.1088957706789,353.6832899379175,719.648644363036,353.8586939769491,99.59092531110782,99.5097595661855,-0.08116574492233042,-0.38403876710211554,0.9973019957542419,0.9980674386024475
6,719.648644363036,353.8586939769491,739.5753640285634,373.8079642253622,741.0252950808349,374.07896732310485,99.5097595661855,99.42754296384126,-0.08221660234423211,-0.3994630975326526,0.9963359832763672,0.9974635243415833
7,741.0252950808349,374.07896732310485,760.9407499453368,394.01738666514586,761.9500366837489,394.48384582898893,99.42754296384126,99.34523195788701,-0.08231100595425289,-0.39945789348971134,0.9957727789878845,0.9969209432601929
8,761.9500366837489,394.48384582898893,781.8553024918543,414.43330299756803,782.0546083252503,415.9060414316078,99.34523195788701,99.26295663810494,-0.08227531978207026,-0.40433905194054565,0.9952632784843445,0.9974728226661682
9,782.0546083252503,415.9060414316078,800.0,435.8333867074867,799.2591147779476,437.490014170918,99.26295663810494,99.180893408402,-0.08206322970293911,-0.3795753004622128,0.9968687295913696,0.9963672757148743
10,799.2591147779476,437.490014170918,800.0,454.9335585587354,802.4652008981545,455.47770113213346,99.180893408402,99.10085426931549,-0.08003913908650873,-0.23612713027463988,0.7972419261932373,0.872177243232727
11,802.4652008981545,455.47770113213346,800.0,470.12235349877164,800.2958126601842,472.1049498609126,99.10085426931549,99.02218208794639,-0.07867218136910026,-0.21073468891865446,0.37187647819519043,0.7322326302528381
