episode,steps,final_battery,total_reward,loss
1,720,41.12496269404571,-151.08650595926187,
2,720,41.95857498876926,-156.40282687839934,
3,720,63.31559308449789,-98.66020684679657,
4,720,76.54004874192199,-63.88605324835003,
5,720,76.27505952968338,-63.09925512422719,193.2475128173828
6,720,77.65304643593028,-80.24419985701675,
7,720,78.98531980637544,-75.8407472007941,
8,720,78.99449336863677,-77.39145800741876,
9,720,77.0887219994195,-80.87588072791718,
10,720,77.0296087955776,-79.93004072498289,40.515785217285156
11,720,79.40966191766425,-46.373749629819656,
12,720,79.7549539760581,-44.5104963105909,
13,720,79.76257002805161,-57.270106571673814,
14,720,79.79673054289282,-50.87848773814387,
15,720,79.75443071454164,-47.28231445640779,27.82988929748535
16,720,79.54632769345189,-42.31295774453754,
17,720,79.62829630676069,-39.66520417501998,
18,720,79.2417815172475,-33.03901941700272,
19,720,79.72771668286246,-41.375171209036964,
20,720,79.413512612393,-42.37552540290372,25.14583969116211
21,720,79.24195820408147,-14.10156179633681,
22,720,78.9703997959724,-17.515379157917106,
23,720,79.12055017375313,-6.457420013833713,
24,720,79.17565877195486,-21.99182067828686,
25,720,79.41538039162972,-18.83279941009063,22.592124938964844
26,720,79.17400252551698,14.77120760120751,
27,720,79.00127343662419,12.204865435722475,
28,720,78.91998364760315,10.623011887692256,
29,720,78.92141037638461,8.40859604128643,
30,720,78.82166192136772,11.632968200751085,30.142316818237305
31,720,78.95566986227021,18.264311350681,
32,720,79.1933064538653,19.502782155117032,
33,720,79.10838484889445,24.95240054017028,
34,720,79.2095473467129,24.908688035357727,
35,720,79.08434508361792,20.963610134265142,29.305810928344727
36,720,79.24130820102256,13.317990236804901,
37,720,79.06151893407186,24.899984192312882,
38,720,78.94792532218382,20.372465183043264,
39,720,78.9227970967876,22.86874764671497,
40,720,79.1205038127522,14.243397936866781,27.60248374938965
41,720,79.15476608894564,33.75141203343335,
42,720,79.0789722359108,38.43217331579101,
43,720,78.89469553168911,22.54451861747475,
44,720,78.97940907874104,32.09715958804748,
45,720,78.76557272123526,29.542318044410475,27.67884635925293
46,720,79.09996477685436,32.79367917932994,
47,720,78.88750853664162,30.44938800899069,
48,720,78.99580702236855,28.589086538913936,
49,720,78.97619106276191,32.30413399677879,
50,720,79.07595135313615,31.3750200510603,25.9898738861084
51,720,79.05392333717732,34.308362422570625,
52,720,78.76607256214389,31.11673074844474,
53,720,78.91569023960889,36.318599776159125,
54,720,78.82745295421611,37.85816391215571,
55,720,79.02165582032711,33.064155955852016,25.8138427734375
56,720,78.8666704075856,44.85046776342653,
57,720,78.99478921050921,38.026272812509205,
58,720,79.03336690114693,37.258874583089955,
59,720,78.95728429091785,45.514238752554256,
60,720,79.06950406793804,36.574859109319036,26.349632263183594
61,720,78.94269970791154,35.83014735700738,
62,720,79.0482347202744,36.22212617388127,
63,720,79.05808430975586,43.50221467953306,
64,720,78.98526180237926,33.05785569845221,
65,720,78.98030634603771,36.380429196321124,24.24643325805664
66,720,78.94081732185003,42.557387333214706,
67,720,78.88346935169653,40.47301029335647,
68,720,78.80723032222947,35.354151998049154,
69,720,79.08274176517818,32.78277781466067,
70,720,78.76180342417048,39.26993713779706,24.312105178833008
71,720,78.95915901255839,34.86757959656452,
72,720,78.81732949349171,40.86079856220574,
73,720,79.03060938570957,40.397326341023664,
74,720,78.67696054181093,37.312631000273875,
75,720,78.86511078635162,33.701304015483274,21.71412467956543
76,720,78.99611507752128,35.74431072665312,
77,720,78.97631030490084,33.64681599805242,
78,720,78.96544978074012,40.36409343744747,
79,720,79.03939326382256,39.61555387684145,
80,720,78.92541176600953,43.23978989713509,20.533248901367188
81,720,78.60708587438081,33.64604943826421,
82,720,79.03487726652845,43.422951419666,
83,720,79.02449041319089,36.463731280118914,
84,720,78.878710937192,28.800023870034416,
85,720,79.04178790478565,37.952068779589574,20.913040161132812
86,720,78.9503906178401,35.14847282022748,
87,720,78.90664727685571,35.674920855709445,
88,720,78.97823686408657,43.40724743243965,
89,720,78.72160707959911,37.24537340661607,
90,720,79.04491947289955,34.02327961963126,19.25905990600586
91,720,78.97566612021001,31.616161820035984,
92,720,78.98273830891121,28.232416346968062,
93,720,78.99940583631285,32.2879450839817,
94,720,78.9957218606839,33.1781879911812,
95,720,78.92504457862576,41.4066614931633,20.11197853088379
96,720,78.75287390640538,37.637653302424454,
97,720,78.95666217578517,25.90941788915279,
98,720,78.94156861606064,32.954595908821965,
99,720,79.05654969670147,37.042316045635694,
100,720,78.77711963437484,27.179407493144282,17.55288314819336
101,720,78.73165825181047,33.70391347658098,
102,720,79.06360348188713,30.56784748353963,
103,720,78.94379774104718,35.440151669533826,
104,720,78.77207098197644,37.96809288737949,
105,720,78.89515353532612,29.374341687900785,19.4372615814209
106,720,79.09219221551584,27.39251083807312,
107,720,78.86672416404643,38.696354394255124,
108,720,78.9074467876479,42.42710721600042,
109,720,78.94349971605543,34.490961214402795,
110,720,79.0224726715337,34.5967963714869,17.429424285888672
