episode,steps,final_battery,total_reward,total_directional_reward,total_battery_reward,total_movement_penalty,loss,episode_time,rollout_time,inference_time,env_time,update_time,peak_solar_w,mean_solar_w,start_battery,min_battery,idle_mAh,motion_mAh,path_m,turn_integral,net_displacement_m
1,720,87.40680666971743,383.5235564180533,287.3749140324581,96.51921144617152,0.36250484870168165,N/A (planner),36.61003223992884,36.37170945107937,1.1987635274417698,35.1729459236376,0.0,42.26358845941731,32.490906346458615,39.14720094663166,38.654861855642096,11582.39999999997,88.08250758310625,128.2291518466723,935.8542364222882,99.26146270903456
2,720,86.88551672651649,363.29379217292757,267.256974974438,96.49876450993317,0.42956041050307414,N/A (planner),38.9123850017786,38.6256911107339,1.1942329066805542,37.43145820405334,0.0,42.26346646072213,30.48667005472237,38.6361344715499,33.288787981434716,11582.399999999981,125.72347665522734,170.38660627884175,920.0023649586939,90.60404103271374
3,720,87.6924299102627,390.82301909573044,290.3739772342858,100.74987671825724,0.2745768068292686,N/A (planner),34.23278456926346,33.96978923585266,1.1925001363269985,32.77728909952566,0.0,42.263514782237586,31.56808605681686,37.31749155113408,27.868125674476403,11582.39999999996,84.82882681741532,111.82521161382567,1005.0754549779781,33.17258815825814
4,720,89.04761860917962,417.9608738331205,305.39809476936404,112.88510454515298,0.2913815721211709,N/A (planner),35.9372856519185,35.66384313208982,1.1919319005683064,34.47191123152152,0.0,42.26349086267358,32.18438048167037,32.60506633660313,26.04062652975036,11582.399999999981,80.51418870472646,105.86118164609302,1027.6986689580367,42.926554470746446
5,720,89.141446984,364.00382168441143,249.89337481123917,114.41395954464772,0.28505165495835255,N/A (planner),36.46711176401004,36.1889595836401,1.1922356099821627,34.996723973657936,0.0,42.26379865901581,31.67766444583641,31.934467211676136,23.262608684544457,11582.49137942851,87.76491902492549,118.70052593887098,1011.2540601666432,21.338535598785136
6,720,85.02422096970179,347.0150786017901,251.7092992842729,95.84342513924011,0.4944913940065234,N/A (planner),38.31699724914506,38.024422065354884,1.1924879616126418,36.83193410374224,0.0,42.26372509296166,29.343700925961194,37.10250840008173,20.44597059084396,11583.363977579527,139.123079926961,190.54709452908872,846.5585972793958,122.83850000326588
7,720,85.47787897163317,380.4121668903486,277.65689469884893,103.19920191893448,0.3985477599066456,N/A (planner),40.76562697812915,40.47098988108337,1.1935094445943832,39.277480436488986,0.0,42.263763430090904,31.176263593047526,33.878278012165936,26.883839872201502,11582.399999999967,104.32699428681255,145.24553849131695,910.9868544837784,82.31641853365491
8,720,87.92838265427378,414.8883081109574,318.77307418430115,96.37283056900453,0.24787144164401156,N/A (planner),36.404597233980894,36.11921196477488,1.193172995466739,34.92603896930814,0.0,42.26363821619324,32.80388946312609,39.74196736977151,39.70035312551117,11582.399999999983,58.18089736405351,85.24017713370439,1002.8619749672004,64.58869929182987
9,720,88.78510397499421,386.9308597538423,271.756700937365,115.50966961278914,0.3040874232851657,N/A (planner),33.42876871582121,33.15203806804493,1.1933151367120445,31.958722931332886,0.0,42.26368162569806,30.518610010135433,31.030269168599645,21.652183614498636,11582.774534861845,85.94770195370127,115.64230875067508,932.2130819073506,25.698844852778464
10,720,75.84303100926707,349.0048187041556,260.3889207758303,89.02541370967478,0.3809971985375701,N/A (planner),43.116363854147494,42.85274849971756,1.1929246517829597,41.659823847934604,0.0,42.263430850485506,29.84730061476945,31.330324154429672,30.533294576168817,11582.399999999965,109.06194382612628,153.708730695309,919.865086269725,68.9974677822431
