episode,avg_reward,best_avg_reward,reward_above_threshold,avg_lyap,avg_barrier,avg_std,avg_abs_action,avg_mean_V,avg_std_V,avg_std_barrier,avg_lyap_violation,avg_lyap_mean_dV,avg_lyap_in_ball,lyap_stable,lyap_collapsed,barrier_collapsed,exploration_cleared,reward_trend_per_window,reward_trend_t,plateau_streak,plateaued,stable,checks_since_best
300,181.9404182743799,181.9404182743799,True,0.006034853692593364,0.03822093481236758,0.3578008444979787,0.2080817653383646,0.4013582963910367,0.09070586699526757,0.08032423072598047,0.46170952524989844,-0.0005411551699984962,0.02366699166595936,False,False,False,True,58.63628687123692,7.123369009416061,0,False,False,0
302,180.56505586301813,181.9404182743799,True,0.006123000527441037,0.037248713156441224,0.35697960524509353,0.2115009927397801,0.39855250260896147,0.09137656992146123,0.08078296705563036,0.4623982174322009,-0.0005421442414242645,0.028230793649951617,False,False,False,True,57.88561960676214,7.039907457366361,0,False,False,1
304,183.7307806076432,183.7307806076432,True,0.006269259054453062,0.032670298110719566,0.3561584083984296,0.2118089117109776,0.39936927948147055,0.09252409348005636,0.08006923372546833,0.45508111158592834,-0.0005689428826169913,0.03481282480061054,False,False,False,True,56.0759947612106,6.867190152127733,0,False,False,0
306,184.4221381821191,184.4221381821191,True,0.006324556768878313,0.03143452061792939,0.3553580795104305,0.21268070396035915,0.3933199427090585,0.09418064444067163,0.08030887618660928,0.4488851215897335,-0.0005886477462910181,0.0479199210802714,False,False,False,True,56.021015037109336,6.896221434361441,0,False,False,0
308,184.12278637481057,184.4221381821191,True,0.006456294496860615,0.033354123761980894,0.35461026976505916,0.2115834806424876,0.3863256216359635,0.09812986974656167,0.0821378599231442,0.4393490635065569,-0.000612661548661385,0.05631184801459312,False,False,False,True,56.16747452340776,6.876425420120061,0,False,False,1
310,184.98462941181663,184.98462941181663,True,0.006882431672582042,0.03194321691989899,0.35391097755895723,0.21296855106742846,0.3842277151325511,0.10326364648580137,0.08409358480324348,0.4425397818494175,-0.0006074832349137676,0.05413736874858539,False,False,False,True,56.34719935707345,6.890699820788426,0,False,False,0
312,184.55618208931756,184.98462941181663,True,0.007265065394555374,0.032955236324212614,0.35327903570400354,0.21589984731334777,0.3864179658703506,0.10661379524972289,0.08471287683480316,0.4425332712837392,-0.0006074512112415202,0.05413736874858539,False,False,False,True,54.75824761834061,6.846994047710206,0,False,False,1
314,187.68729260303562,187.68729260303562,True,0.007581545337678916,0.033625095260019104,0.35268200511733694,0.21759004486310812,0.38611493142735626,0.110392290351188,0.08556370205349392,0.43882613780183927,-0.0006191914978141237,0.06253580624858539,False,False,False,True,54.58675604128684,6.843964166112142,0,False,False,0
316,188.6420591376624,188.6420591376624,True,0.007931214954037893,0.034280323415684204,0.3520874187350273,0.21890329068733583,0.38622745009553106,0.11448952617485904,0.08587355647339588,0.44152439362886886,-0.0006108904239833161,0.05719075414041678,False,False,False,True,54.9398765575616,6.919862968095627,0,False,False,0
318,188.10686646605132,188.6420591376624,True,0.008149466834503174,0.03402690203317131,0.3514756903673212,0.22138003095363573,0.39054287737235427,0.11719639809129552,0.0863819691300806,0.446703430161708,-0.0006008132342887822,0.05719075414041678,False,False,False,True,54.346891882925064,6.81305834097141,0,False,False,1
