episode,policy_loss,value_loss,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,alpha
2,0.3333194851875305,419.5533447265625,0.029619919136166573,1.1675397157669067,1.5481888055801392,0.5554860830307007,0.7479166984558105,0.2911282479763031,-1.160439372062683,0.9802265618354915
4,0.1204218789935112,403.5784912109375,0.025532076135277748,1.1545090675354004,1.2289140224456787,0.18874141573905945,0.5729166865348816,0.8346205353736877,0.1351780742406845,0.9608441125278288
6,0.05488985404372215,373.7935791015625,0.024444999173283577,1.21407151222229,1.3610607385635376,0.10033237189054489,0.4444444477558136,0.9819040894508362,0.8566128611564636,0.9418449208830277
8,0.022268148139119148,340.0511779785156,0.023162823170423508,1.2622534036636353,1.269010305404663,0.03987952321767807,0.2736111283302307,1.2025740146636963,1.3019620180130005,0.9232214085793908
10,0.0003705700219143182,313.0968017578125,0.02191024273633957,1.316605806350708,1.152475357055664,0.013851516880095005,0.0902777835726738,1.4312115907669067,1.665505290031433,0.9049661471446958
12,0.00542244641110301,285.8180847167969,0.02216297574341297,1.3681167364120483,1.021417260169983,0.004670831840485334,0.04652778059244156,1.5197134017944336,1.7569180727005005,0.8870718549931568
14,-0.0030709533020853996,278.70318603515625,0.022308066487312317,1.3921732902526855,0.9410042762756348,0.001709663076326251,0.04444444552063942,1.5033094882965088,1.6874492168426514,0.8695313945209737
16,0.006063698325306177,257.4993896484375,0.022967910394072533,1.4124292135238647,0.8886913061141968,0.003117803717032075,0.05694444477558136,1.454025149345398,1.5754081010818481,0.8523377692593145
18,-0.0022649685852229595,250.79212951660156,0.02265651524066925,1.438839077949524,0.8198841214179993,0.011045727878808975,0.05486111342906952,1.432723045349121,1.5364017486572266,0.8354841210835904
20,0.0034155077300965786,242.06861877441406,0.022070840001106262,1.463144302368164,0.7386162877082825,0.0015527245122939348,0.05416666716337204,1.4386470317840576,1.5306437015533447,0.8189637274779153
22,0.0025837912689894438,240.0565185546875,0.02011742629110813,1.4909110069274902,0.6703318357467651,0.0076102907769382,0.03541666641831398,1.4721324443817139,1.6043230295181274,0.8027699988536554
24,0.0018010776257142425,229.53550720214844,0.019775792956352234,1.5151005983352661,0.634223222732544,0.005049008410423994,0.02361111156642437,1.5075277090072632,1.701301097869873,0.7868964759210001
26,0.0035903349053114653,223.72296142578125,0.019359102472662926,1.5380520820617676,0.6120089292526245,0.0007942537777125835,0.01944444514811039,1.5400574207305908,1.82526433467865,0.7713368271125066
28,0.002072333125397563,221.21566772460938,0.01922028698027134,1.5604838132858276,0.622990608215332,0.001562274876050651,0.0173611119389534,1.5629854202270508,1.94190514087677,0.7560848460575893
30,0.0009913709945976734,219.2748565673828,0.01841914840042591,1.5783125162124634,0.6213715076446533,0.0007572098984383047,0.02013888955116272,1.5809919834136963,2.061886787414551,0.7411344491069477
32,0.00039096674299798906,214.1102752685547,0.017897797748446465,1.5933585166931152,0.5848233103752136,0.0026755807921290398,0.0069444444961845875,1.6027966737747192,2.2574946880340576,0.7264796729059444
34,0.0028799395076930523,216.00164794921875,0.017787089571356773,1.5978196859359741,0.48205870389938354,0.0012754894560202956,0.0062500000931322575,1.6205559968948364,2.522963762283325,0.7121146720159665
36,-0.0013235410442575812,211.82388305664062,0.018228836357593536,1.5958203077316284,0.34523075819015503,0.0037195549812167883,0.009722222574055195,1.6315226554870605,2.8230555057525635,0.6980337165828195
38,-0.002475535962730646,211.08828735351562,0.01842620223760605,1.5731502771377563,0.26142674684524536,0.001252930611371994,0.0076388888992369175,1.6370060443878174,3.172926902770996,0.6842311900512271
40,-0.0005291859270073473,205.45559692382812,0.01788935251533985,1.523807168006897,0.33139297366142273,0.0013094409368932247,0.0076388888992369175,1.6389931440353394,3.54884934425354,0.6707015869245212
