episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,grad_norm_control,grad_norm_aux,lr_scale,certifiable_frac,cert_violation,cert_mean_dV,cert_mean_V,cert_worst_slack,cert_in_ball_rate,cert_certifiable_frac,cert_alpha_q05,cert_alpha_q25,cert_alpha_q50,cert_alpha_used,cert_alpha_next,cert_alpha_nonpos_frac,cert_nstep,cert_n_samples,v_critic_violation,v_critic_mean,v_critic_min,v_agreement,v_critic_alpha_q05,v_critic_alpha_q25,v_critic_alpha_q50,v_critic_alpha_nonpos_frac,v_critic_violation_direct,v_critic_nonpos_direct,v_bellman_delta_mean,v_bellman_delta_std,v_bellman_delta_q95,softplus_beta,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha,attn_entropy,critic_ev,critic_rmse_norm,xv_true_corr,xv_true_rank,xv_true_flat_frac,ood_v_min,ood_v_mean,ood_nonneg_frac,ood_monotone_frac,ood_slope_corr,ood_range
9,24,24,0.0,-0.003489544595746944,273.4488830566406,,,,,,,,,6.159037152926127,0.0,0.19080411154890353,,0.1502717755114039,-0.24275334986547628,0.2905364452550809,0.12884975597262383,0.23228546231985092,0.8618267501393954,0.006298632322189708,0.011705867325266203,0.029183824857076008,0.010000000000000009,0.009846765544858527,0.0,150.0,47.333333333333336,,,,,,,,,,,,,,,,,,0.0043152409489266574,0.04492093405375878,0.10542710808416207,0.00015116730742192885,0.005759643914643675,0.9254772357419535,nan,-0.0024372339248657227,1.0147981643676758,-0.10170312970876694,-0.16289372742176056,0.201171875,-0.33276090025901794,0.169693261384964,0.8695312738418579,0.6644965410232544,0.04581061005592346,0.03108973801136017
14,28,28,0.0,-0.005197382931198392,277.64544895717074,,,,,,,,,6.4463852388518195,0.0,0.2973132497704177,,0.4190527988331659,-0.23120794977460588,0.3598863439900534,0.4972491062113217,0.27835333134446827,0.9156210401228496,-0.00832126663694258,0.004034586250782013,0.014171080929892403,0.009846765544858527,0.0093544272676156,0.13220252030129945,150.0,108.71428571428571,,,,,,,,,,,,,,,,,,0.004538564481273559,0.04686922167560884,0.10550680384039879,0.000582939557456744,0.007074261948998485,0.8450806314488875,nan,0.07818514108657837,1.0422673225402832,0.32593080401420593,0.39818575978279114,0.1962890625,-2.837294816970825,1.4261112213134766,0.6988281607627869,0.1089409738779068,-0.026336247101426125,0.1540721356868744
16,24,24,0.0,-0.00020604615565389395,249.59933535257974,,,,,,,,,7.287979294856389,0.0,0.3872044972865865,,0.24134579300880432,-0.2342963144183159,0.32117510338624317,0.42288126796483994,0.37526041517655057,0.9729166676600774,0.0007439328076657148,0.009547409291068712,0.022407501935958862,0.009354427267615597,0.008223404045443044,0.04432569385971874,150.0,110.66666666666667,,,,,,,,,,,,,,,,,,0.002782569388121677,0.029915364808402956,0.10561149132748444,0.0011496440007855806,0.006271886018415292,0.7826449995637218,nan,0.16216862201690674,1.1262460947036743,-0.03698023408651352,0.1893465220928192,0.1982421875,-5.412158012390137,-3.4572913646698,0.12890625,0.4049479067325592,-0.01336649153381586,0.1526350975036621
21,28,28,0.0,-0.002149348014167377,222.69397299630302,,,,,,,,,6.780933150223324,0.0,0.4983897415634773,,0.5189912957804543,-0.15306296784962928,0.2505474367312023,0.34754442423582077,0.15984334264482772,0.9080348121268409,-0.015981041859569296,0.003076352711234774,0.008135491183825902,0.008223404045443049,0.007812233843170891,0.1418101784906217,150.0,124.28571428571429,,,,,,,,,,,,,,,,,,0.003989132304143693,0.04130255028472415,0.10574109133865152,0.0018504097908070044,0.00841333991515317,0.7116913160551092,nan,0.3063954710960388,0.8431959748268127,0.2937864363193512,0.47929179668426514,0.08203125,-7.747966289520264,-4.227901935577393,0.22539062798023224,0.1310763955116272,-0.05824854224920273,0.31985682249069214
23,24,24,0.0,-0.0022415179992094636,156.44688510894775,,,,,,,,,6.867228259642919,0.0,0.5880629666188125,,0.4243066969017188,-0.1737238516410192,0.2786653997997443,0.44056787962714833,0.09899088243643443,0.9642903655767441,-0.0120909638547649,0.00511393075188001,0.00974834089477857,0.007812233843170893,0.007421622151012346,0.1212429824906091,150.0,161.16666666666666,,,,,,,,,,,,,,,,,,0.0035244367657772577,0.033951823017559946,0.10589576015869777,0.0026856252613166967,0.007026727718766779,0.6591106564452646,nan,0.2947646975517273,0.9772945642471313,0.20738206803798676,0.22369293868541718,0.01953125,-10.234014511108398,-6.373167514801025,0.181640625,0.2482638955116272,-0.026334498077630997,0.6262021064758301
27,28,28,0.0,0.004470999651987638,181.28703471592493,,,,,,,,,9.731041652815682,0.0,0.6889691830404029,,0.15961714754147188,-0.26846199855208397,0.357987856226308,0.34386920822518213,0.3082698328154428,0.9232316038438252,0.002777249298690419,0.010894534311124257,0.023639618286064694,0.00742162215101235,0.00700397121046014,0.016705984648849283,150.0,98.42857142857143,,,,,,,,,,,,,,,,,,0.0057907880441884375,0.0728012113166707,0.10606700315007142,0.00360891072445416,0.008462130075453647,0.6044896772350674,nan,0.4419857859611511,0.7943168878555298,0.5654413104057312,0.6806114315986633,0.1845703125,-13.524089813232422,-8.62235164642334,0.19570313394069672,0.1519097238779068,-0.053738996386528015,0.5911126136779785
31,28,28,0.0,-0.0010439261261905944,164.88524028233118,,,,,,,,,8.39333405664989,0.0,0.7889890609822529,,0.34201390721968244,-0.22739142764891898,0.3844352162310055,0.4767481131213052,0.17188234201499394,0.9121681175061634,-0.00012470118463170365,0.005479305982589722,0.011880881020001002,0.007003971210460145,0.0056280399977680865,0.06212920785349395,150.0,124.28571428571429,,,,,,,,,,,,,,,,,,0.007122735559408154,0.09029164724051952,0.10625387488731317,0.0046147962067542335,0.0062035491906239516,0.5547203190182816,nan,0.41649550199508667,0.7650600671768188,0.332752525806427,0.32942521572113037,0.115234375,-18.72697639465332,-12.628711700439453,0.16054688394069672,0.1245659738779068,-0.051062777638435364,1.1376674175262451
42,28,28,0.0,0.0038314109135951313,135.86509023393904,,,,,,,,,9.241390075002398,0.0,0.8884656541517405,,0.0,-0.1852375508419105,0.23257644048758916,-0.0027393695823515634,0.16666404902935028,0.7830714732408524,0.008661439376217979,0.00995452914919172,0.015610459659780775,0.005628039997768089,0.005771618875900276,0.0,150.0,50.0,,,,,,,,,,,,,,,,,,0.009545976720151625,0.11783985154969352,0.1064644016857658,0.005745893909728953,0.007701064426718014,0.5091842949433186,nan,0.3323604464530945,0.904355525970459,0.3746456503868103,0.3950311839580536,0.1201171875,-24.79216194152832,-9.97686767578125,0.3433593809604645,0.013020833022892475,-0.05383308231830597,1.5111138820648193
46,28,28,0.0,-0.005720083701557347,172.89131219046456,,,,,,,,,7.863896872316088,0.0,0.9886023110183257,,0.3003972912473338,-0.2026945517531463,0.32716918736696243,0.3665540335433824,0.15635057858058385,0.9244478046894073,-0.017541797199685658,0.003246584641081946,0.009003209216254098,0.005771618875900276,0.0054830379321052615,0.18568790970104082,150.0,121.85714285714286,,,,,,,,,,,,,,,,,,0.003630126832701665,0.039870354014315774,0.10668933764100075,0.006951987909685288,0.0074875377384679654,0.4670127136784893,nan,0.5927227139472961,0.6417775750160217,0.40287718176841736,0.4323275089263916,0.1083984375,-28.139467239379883,-8.14426326751709,0.42500001192092896,0.00434027798473835,-0.05266449972987175,1.5179681777954102
51,32,32,0.0,-0.004929281885779346,125.07939088344574,,,,,,,,,8.576594851911068,0.0,0.9945988534469956,,0.18777064979076385,-0.18574680713936687,0.3254139395430684,0.5249983170069754,0.2534329183399677,0.9112100396305323,-0.00029779607757518534,0.0069907656870782375,0.011787588708102703,0.00548303793210526,0.005208886035499998,0.06191462723654695,150.0,110.875,,,,,,,,,,,,,,,,,,0.006938294442079496,0.09401407046243548,0.10692915553227067,0.008235036249971017,0.008890070661436766,0.42336306139756946,nan,0.5887881517410278,0.6430572271347046,0.2620159387588501,0.21292917430400848,0.1279296875,-34.757144927978516,-15.356295585632324,0.2906250059604645,0.0720486119389534,-0.059798166155815125,2.5620474815368652
