episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha
22,24,24,0.0,-0.0014116901244657736,14.9253378311793,,,,,,,,,,,,0.009232474093247825,0.11025390680879354,0.20564459698895612,0.07497761212289333,0.040375653033455215,0.713400375071256
24,24,24,0.0,-0.005896944164608915,12.438336988290152,,,,,,,,,,,,0.011068642197642475,0.14970703174670538,0.20875639530519643,0.08169294148683548,0.04014646587893367,0.6918309709189363
26,24,24,0.0,0.0015521266808112462,16.735354761282604,,,,,,,,,,,,0.012670848567116385,0.16090494891007742,0.21204601290325323,0.08869236831863721,0.026817808703829844,0.670913709955411
28,24,24,0.0,-0.009027394698932767,13.723903695742289,,,,,,,,,,,,0.008838738460326567,0.11223958401630323,0.21570530533790588,0.09636112364629905,0.02557548174324135,0.6506288748655572
30,24,24,0.0,-0.0092479136850064,13.277518967787424,,,,,,,,,,,,0.013437170220034508,0.17698567795256773,0.2194022492816051,0.10399107541888952,0.03958403427774707,0.6309573444801937
32,24,24,0.0,-0.0019665635967006287,13.268448968728384,,,,,,,,,,,,0.01320358132943511,0.16816406262417635,0.22282079979777336,0.11094258818775415,0.03576671852109333,0.6118805757518223
34,24,24,0.0,-0.005328930138299863,14.294840355714163,,,,,,,,,,,,0.01172693827538751,0.15032552167152366,0.22640330530703068,0.11812451140334208,0.041822806000709534,0.5933805862753282
36,24,24,0.0,-0.013811768614687026,12.960504511992136,,,,,,,,,,,,0.009910270445592081,0.136360676959157,0.2301944779853026,0.12561415260036787,0.037470187060534954,0.5754399373371567
38,24,24,0.0,-0.013395486438336471,16.61077570915222,,,,,,,,,,,,0.013432027388868542,0.15768229278425375,0.23410195174316564,0.1332222285370032,0.03147501669203242,0.5580417174769964
40,12,24,0.0,0.005210431603093942,22.704288323720295,,,,,,,,,,,,0.02220726649587353,0.22636718799670538,0.2369220368564129,0.13864693542321524,0.04583253369977077,0.5411695265464636
42,24,24,0.0,-0.0052555855848671245,21.932875474294026,,,,,,,,,,,,0.013740119330274561,0.16507161408662796,0.23936617622772852,0.14329815407594046,0.0438484693877399,0.5248074602497722
44,24,24,0.0,-0.004258798823381464,27.78268297513326,,,,,,,,,,,,0.015864997466754478,0.17750651109963655,0.24228139283756414,0.14879444862405458,0.05057402995104591,0.508940095151809
46,24,24,0.0,-0.008769772752809027,16.460573732852936,,,,,,,,,,,,0.011016433321249982,0.13460286489377418,0.2453765757381916,0.15456616319715977,0.049042030703276396,0.4935524741394807
48,24,24,0.0,-0.0006885552235568563,23.1627170642217,,,,,,,,,,,,0.01616016620149215,0.17014973983168602,0.24871776873866716,0.160728070884943,0.05011400285487374,0.4786300923226386
50,24,24,0.0,-0.009446422259012857,23.19458317756653,,,,,,,,,,,,0.013228398762294091,0.16344401116172472,0.25199778750538826,0.16670808320244154,0.05292489007115364,0.46415888336127803
52,24,24,0.0,-0.009291991901894411,13.926473716894785,,,,,,,,,,,,0.015970264445059,0.19186198090513548,0.2554396043221156,0.17291241511702538,0.05793730836982528,0.45012520620613355
54,18,24,0.0,0.006909125846707159,16.97436565823025,,,,,,,,,,,,0.02438983114229308,0.2566840284400516,0.25826437440183425,0.17795427723063362,0.07260197587311268,0.4365158322401659
56,24,24,0.0,-0.005769744049757719,19.678930322329204,,,,,,,,,,,,0.01447492340230383,0.18053385460128388,0.2608278964956601,0.18248723012705645,0.05234478320926428,0.4233179328088211
