step,x_before,y_before,target_x,target_y,x_after,y_after,battery_before,battery_after,battery_delta,reward,action_dx_norm,action_dy_norm
0,315.04618442774694,439.86201092676123,295.0797156167118,459.84201046899756,294.55947246246984,460.9387196920118,100.0,99.91828678628742,-0.08171321371257534,-0.3677069502070855,-0.9983234405517578,0.9990000128746033
1,294.55947246246984,460.9387196920118,274.5794729202335,480.9187192342481,274.19315113714003,481.8453731736616,99.91828678628742,99.83748212915745,-0.08080465712997409,-0.365506513937516,-0.9990000128746033,0.9990000128746033
2,274.19315113714003,481.8453731736616,254.2131515949037,501.7198677262739,252.75223162480756,501.90392341299315,99.83748212915745,99.75535671522539,-0.08212541393206152,-0.37359801165181256,-0.9990000128746033,0.9937247633934021
3,252.75223162480756,501.90392341299315,232.77223208257124,521.8513492552784,232.66290281175338,522.3918494461742,99.75535671522539,99.67424027944884,-0.08111643577655059,-0.3642453818002647,-0.9990000128746033,0.997371256351471
4,232.66290281175338,522.3918494461742,212.68290326951706,542.3718489884105,212.0323886514045,543.5808139363311,99.67424027944884,99.59218066612216,-0.08205961332667755,-0.3820660068820733,-0.9990000128746033,0.9990000128746033
5,212.0323886514045,543.5808139363311,192.05238910916816,563.5608134785674,191.1017676882251,563.8985388624768,99.59218066612216,99.51127741175384,-0.08090325436832302,-0.3764791252697024,-0.9990000128746033,0.9990000128746033
6,191.1017676882251,563.8985388624768,171.12176814598877,583.8785384047131,169.89970161543343,584.5420261506007,99.51127741175384,99.42921056603848,-0.08206684571536016,-0.38794298033660396,-0.9990000128746033,0.9990000128746033
7,169.89970161543343,584.5420261506007,149.9197020731971,604.522025692837,149.58225862792682,605.472378719068,99.42921056603848,99.34825102491499,-0.08095954112349091,-0.3820953764740589,-0.9990000128746033,0.9990000128746033
8,149.58225862792682,605.472378719068,129.6022590856905,625.4523782613044,128.93878498243993,626.6744309673446,99.34825102491499,99.2661274135677,-0.08212361134728496,-0.3934961089985478,-0.9990000128746033,0.9990000128746033
9,128.93878498243993,626.6744309673446,108.9587854402036,646.654430509581,108.5690405863357,647.5845588157738,99.2661274135677,99.18511193186954,-0.08101548169815942,-0.3879832300550045,-0.9990000128746033,0.9990000128746033
10,108.5690405863357,647.5845588157738,88.58904104409937,667.5645583580101,87.63948793642436,667.901163502815,99.18511193186954,99.10406740641166,-0.08104452545788376,-0.3904695242717735,-0.9990000128746033,0.9990000128746033
11,87.63948793642436,667.901163502815,67.65948839418803,687.8811630450514,67.06862437825606,689.1398683987934,99.10406740641166,99.02185869137826,-0.08220871503340277,-0.4015146120419179,-0.9990000128746033,0.9990000128746033
12,67.06862437825606,689.1398683987934,47.08862483601973,709.1198679410297,46.42604104393005,710.3410186883983,99.02185869137826,98.93961805532797,-0.08224063605028675,-0.40466538374495536,-0.9990000128746033,0.9990000128746033
13,46.42604104393005,710.3410186883983,26.44604150169372,730.3210182306346,26.056278524172146,731.2511656703606,98.93961805532797,98.85849059610278,-0.08112745922518627,-0.39916204179343795,-0.9990000128746033,0.9990000128746033
14,26.056278524172146,731.2511656703606,6.076278981935818,751.2311652125969,5.126726757878313,751.5677694709133,98.85849059610278,98.77733401996356,-0.08115657613922167,-0.40164829225909865,-0.9990000128746033,0.9990000128746033
15,5.126726757878313,751.5677694709133,0.0,771.5477690131496,-0.18867788698594012,771.8716706349991,98.77733401996356,98.69062608966631,-0.08670793029725132,-0.2908802309598645,-0.9990000128746033,0.9990000128746033
16,-0.18867788698594012,771.8716706349991,0.0,791.644324214711,1.2107155082419365,793.1591980639046,98.69062608966631,98.60331613528227,-0.08730995438403966,-0.29726424056821327,-0.9981802701950073,0.9886326789855957
17,1.2107155082419365,793.1591980639046,0.0,800.0,-1.6119198768303065,798.4347250622862,98.60331613528227,98.50809891236865,-0.09521722291361812,-0.08336720237788237,-0.9981364011764526,0.9863904714584351
18,-1.6119198768303065,798.4347250622862,0.0,800.0,-2.423382268449538,800.0551560491303,98.50809891236865,98.4089339673211,-0.0991649450475478,-0.028998390153846535,-0.9776726365089417,0.9990000128746033
