episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,grad_norm_control,grad_norm_aux,lr_scale,certifiable_frac,cert_violation,cert_mean_dV,cert_mean_V,cert_worst_slack,cert_in_ball_rate,cert_certifiable_frac,cert_alpha_q05,cert_alpha_q25,cert_alpha_q50,cert_alpha_used,cert_alpha_next,cert_alpha_nonpos_frac,v_critic_violation,v_critic_mean,v_critic_min,v_agreement,v_critic_alpha_q05,v_critic_alpha_q25,v_critic_alpha_q50,v_critic_alpha_nonpos_frac,softplus_beta,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha
4,48,48,0.0,0.002623695860772083,0.0035121371038258076,,,,,,,,,6.3773043602705,0.0,0.9998272961280055,,0.9053464569151402,-0.00028611265940980957,0.2617483859260877,0.008071518745661402,0.0,0.961669921875,-0.011163432442117482,-0.004657169614802115,0.000602808260528794,0.010000000000000009,0.009500000000000008,0.46960351802408695,0.9967861299713453,1.0140929333865643,0.9885826893150806,0.21240106729480127,-0.0011547317274865538,-0.0003200756389010924,-0.00010334849753235176,0.7167267960806688,0.30555442790567455,,,,0.005607922186754877,0.061848958333333336,0.1765147913247347,0.006936402308686714,0.013957573556884503,0.8576958985908947
8,48,48,0.0,0.013268423227903744,0.00346841248635125,,,,,,,,,4.57499456902345,0.0,0.9993093549498943,,0.938403689612945,-0.00010531456796310697,0.37156710028648376,0.00888161857922872,0.0,0.962890625,-0.008935135905630887,-0.004352501331595704,-0.000564747535558278,0.009500000000000008,0.009025000000000007,0.5353907799969116,0.9857064560055733,1.099847935140133,1.0162889721492927,0.21687885490488648,-0.0027932164096758547,-0.0005123028264885457,-0.00013868585195571845,0.6377519505719343,0.3110758370942032,,,,0.005488928420769905,0.060302734375,0.18195662119736275,0.020434592326637357,0.01861247329118972,0.7356422544596414
12,48,48,0.0,-0.0018882824030394356,0.002232371776093108,,,,,,,,,3.8013600955406823,0.0,0.9984466876110786,,0.8969161361455917,-0.0002683581314310383,0.3442158065736294,0.0087340150688154,0.0,0.962646484375,-0.008429138387631005,-0.004116295890222925,0.00010129221709576086,0.009025000000000007,0.008573750000000007,0.49208130066593486,0.9709701041380564,1.1172020062804222,0.9823101833462715,0.4418565925831596,-0.005698730596729244,-0.0008998769535537576,-7.355208148851489e-05,0.5352483211706082,0.3162041890176367,,,,0.006296698753430974,0.0771484375,0.18796772447725138,0.034892195176022746,0.01898235663732824,0.6309573444801939
16,48,48,0.0,-0.002183203692159926,0.0018843639530435514,,,,,,,,,2.985191355148951,0.0,0.997240145460068,,0.9121376872062683,-0.00012918174911173233,0.3947329831620057,0.008813352692717066,0.0,0.963134765625,-0.007066547152741502,-0.004212948595522903,-0.000527419677079403,0.008573750000000003,0.008145062500000006,0.5306689832359552,0.9513978312412897,1.17019019027551,0.9533274509012699,0.5096526059011618,-0.009927629987942055,-0.00127057090139715,0.00011303886496231523,0.4759986624121666,0.3212092197867761,,,,0.005684481740596918,0.06982421875,0.19416992956151566,0.049343821980680026,0.022353851818479598,0.5411695265464641
20,48,48,0.0,0.004736399452667683,0.0015839493019787672,,,,,,,,,2.7288330097993216,0.0,0.9956909192082986,,0.8472628792126974,-0.0003226233828475718,0.2960692550987005,0.007930041872896254,0.0,0.962158203125,-0.009994048809555048,-0.004261334737141927,0.00015291712218612474,0.008145062500000008,0.007737809375000006,0.4942509091148774,0.9512177320818106,1.1877159848809242,0.9911731965839863,0.3769720569252968,-0.010597162598666424,-0.0013120185782706055,0.00026212890357631596,0.4426972878475984,0.32627123906500305,,,,0.006112567077555771,0.07185872395833333,0.20051495109995207,0.06368569750338793,0.01922252882892887,0.46415888336127836
24,48,48,0.0,-0.01044743942717711,0.0008897890705460062,,,,,,,,,1.994878612458706,0.0,0.993800537755042,,0.932893785337607,-0.00016951268113037563,0.35659922907749814,0.007239443996998792,0.0,0.962158203125,-0.007397584937280044,-0.0035356610702971616,7.711176753133486e-06,0.007737809375000011,0.007350918906250005,0.49475731203953427,0.9477304679652055,1.2258758842945099,1.0161481698354085,0.3167277254785101,-0.011792704889861247,-0.001610018647625111,0.0003830897994703264,0.4386942933003108,0.33159822509809034,,,,0.006237100464204559,0.07063802083333333,0.20695652471234402,0.07780369433263938,0.01632039510877803,0.3981071705534976
28,48,48,0.0,0.0021483718689220646,0.0019055282718909439,,,,,,,,,2.274376486738523,0.0,0.9915708666785624,,0.8513271113236746,-0.00023746710166960838,0.36193570122122765,0.00866859521678028,0.0,0.96142578125,-0.007966740512832379,-0.004325764666039807,-0.0004115685039020415,0.007350918906250004,0.006983372960937505,0.5191859391828378,0.9444202408194542,1.2615833456317584,1.0338357674578826,0.3770614642029007,-0.010516098739268879,-0.0012999988296845306,0.0004367146918108726,0.41783094592392445,0.33681304083871116,,,,0.006163888533289234,0.068359375,0.21359667585541806,0.09195048284406464,0.02017854470371579,0.3414548873833602
32,48,48,0.0,6.184676506867011e-05,0.002378744202966724,,,,,,,,,2.194662551085154,0.0,0.9890041063950216,,0.822126217186451,-0.00021962807090858405,0.3008324106534322,0.0069763473778342204,0.0,0.963134765625,-0.010361629266602298,-0.00443212205330686,0.000271819027299595,0.006983372960937504,0.0066342043128906295,0.4826325085014105,0.9306830031176409,1.2406380772590637,1.0079640957216423,0.39708674388627213,-0.010934179357718676,-0.0016879656492771271,0.00037342830053906556,0.44566520986457664,0.3415122878842331,,,,0.00559620728866624,0.06705729166666667,0.2191880764439702,0.10354782175272703,0.023909679614007473,0.29286445646252396
36,48,48,0.0,-0.00401324825361371,0.0015211611983734958,,,,,,,,,1.8311555149654548,0.0,0.98610278998693,,0.8251585041483244,-0.00023959011063349558,0.3188780080527067,0.006624446745263413,0.0,0.9638671875,-0.007824904527903223,-0.003987603151472285,0.0001908241721662781,0.006634204312890634,0.006302494097246098,0.4875784379740556,0.8776312619447708,1.232696774105231,0.9640948375066122,0.34548118865738314,-0.013741146879813945,-0.0023633072244895934,0.0004985336823513838,0.4455137047916651,0.3457596671687606,,,,0.007727423845305263,0.09423828125,0.22441047026465336,0.11413804301992059,0.03865551032746831,0.2511886431509579
40,48,48,0.0,-0.0045663645141758025,0.001391041071959383,,,,,,,,,1.7534659107526143,0.0,0.9828697807033038,,0.7892437651753426,-0.0003032237879475967,0.323993597800533,0.006922841508639976,0.0,0.963623046875,-0.00902741841855459,-0.004029448410922972,0.0002924281930821356,0.006302494097246093,0.005987369392383793,0.48159155063331127,0.8290602266788483,1.2717266802986462,0.998301071425279,0.3827662893260519,-0.015594619636734327,-0.0033589389834863446,0.0004435991467820107,0.4613273839155833,0.3503390954741789,,,,0.008641625790914986,0.10945638020833333,0.22934549488127232,0.12394462479278445,0.029669593670405447,0.2154434690031886
