episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,grad_norm_control,grad_norm_aux,lr_scale,certifiable_frac,v_critic_violation,v_critic_mean,v_critic_min,v_agreement,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha
4,48,48,0.0,0.0020322254470859966,0.004379183267398427,,,,0.9484837700923284,0.0,-0.00019864562225772411,0.009858385174690435,,5.009121671319008,0.0,0.9998272961280055,0.9619140625,0.9932328375677267,0.7949939519166946,0.7452069173256556,0.38089539141704637,,,,0.0051395516663130065,0.060953776041666664,0.17658633583535752,0.0071145000662606135,0.0075832371415647986,0.8576958985908947
8,48,48,0.0,-0.005305805476382375,0.0064712559105828404,,,,0.9702798761427402,0.0,3.964391789423871e-05,0.011310494563076645,,3.9769225319226584,0.0,0.9993093549498943,0.962158203125,0.979928887138764,0.9325121107200781,0.843747716397047,0.2969453490028779,,,,0.004381270785719001,0.042643229166666664,0.18253411569943032,0.02184433307653914,0.010888723215127053,0.7356422544596414
12,48,48,0.0,-0.0049763313339402275,0.0027395082567333398,,,,0.9303556556502978,0.0,-0.00026093452978178294,0.00930138916010037,,3.1003805150588355,0.0,0.9984466876110786,0.96142578125,0.9502289580802122,0.9505796357989311,0.7742850532134374,0.5154408489664396,,,,0.005268570723274024,0.059977213541666664,0.18857834736506143,0.036332882048251726,0.011214329686481506,0.6309573444801939
16,48,48,0.0,0.0030355428267891207,0.002756513708542722,,,,0.9001797623932362,0.0,-0.00026661424650834914,0.008982403300857792,,2.806412175297737,0.0,0.997240145460068,0.963134765625,0.9414982870221138,0.9946338571608067,0.7728854231536388,0.3980514267459512,,,,0.005060389425731652,0.055745442708333336,0.19488822327305874,0.05099118244834244,0.015078178199473768,0.5411695265464641
20,48,48,0.0,-0.007065783933891605,0.001715957168926252,,,,0.8947487697005272,0.0,-0.0002832081455229248,0.009012242924654856,,2.360030251244704,0.0,0.9956909192082986,0.9619140625,0.9391288061936697,1.004808247089386,0.7910729162395,0.3455737700375418,,,,0.008763314307240458,0.1142578125,0.20098420853416124,0.06472882985447843,0.022967986413277686,0.46415888336127836
24,48,48,0.0,0.002429827058222145,0.0026338906512440494,,,,0.9315907023847103,0.0,-0.000201490200349023,0.01053812742854158,,2.322920486330986,0.0,0.993800537755042,0.96240234375,0.9251835644245148,1.0698273815214634,0.8157299421727657,0.43270130672802526,,,,0.005187401928803108,0.059163411458333336,0.20664046177019676,0.07712833567832907,0.019872039517698187,0.3981071705534976
28,48,48,0.0,0.0005803725410563251,0.0017848585921456106,,,,0.9292356123526891,0.0,-0.00020908482391253833,0.007968685686743507,,2.389723889529705,0.0,0.9915708666785624,0.96240234375,0.9279449457923571,1.0989594906568527,0.8303707353770733,0.33268194769819576,,,,0.010145866168992749,0.123779296875,0.2121493158241113,0.08890671981498599,0.038607045581253864,0.3414548873833602
32,48,48,0.0,0.007072596286889166,0.0017137528860378854,,,,0.9390144894520441,0.0,-0.0003629098675901332,0.00967164357037594,,3.3096750639379025,0.0,0.9890041063950216,0.962890625,0.947942391037941,1.1187826643387477,0.8723760731518269,0.41005032944182557,,,,0.012199377864211177,0.15543619791666666,0.21653091286619505,0.09807489579543471,0.06658317560019593,0.29286445646252396
36,48,48,0.0,0.01164204126689583,0.001961981106433086,,,,0.8970713367064794,0.0,-0.00044156097889451,0.0097796581297492,,2.75399615863959,0.0,0.98610278998693,0.962646484375,0.9073260215421518,1.118496003250281,0.8717894156773885,0.5607114682594935,,,,0.017159170572995208,0.20711263020833334,0.22045174799859524,0.10613517385597031,0.06944043577338259,0.2511886431509579
40,48,48,0.0,-0.00437168850718687,0.0014082317441837706,,,,0.9345688434938589,0.0,-0.0002917452975168544,0.008835946093313396,,2.062549148996671,0.0,0.9828697807033038,0.962646484375,0.8953420855104923,1.1462914322813351,0.8631850145757198,0.5068809054791927,,,,0.011371771469081674,0.14298502604166666,0.22429054168363413,0.11390223198880751,0.06236199545674026,0.2154434690031886
44,48,48,0.0,-0.0029233766836114228,0.0021492229182816422,,,,0.9178606967131296,0.0,-0.00031571197465988615,0.008935538023555031,,2.1453859383861222,0.0,0.97930826913398,0.96337890625,0.9106644888718923,1.1435476541519165,0.9069215953350067,0.2945822011679411,,,,0.009367270875372924,0.12198893229166667,0.22763414308428764,0.12057003875573476,0.06558935662421088,0.18478497974222916
48,48,48,0.0,0.0006859276133279005,0.0023560928505806564,,,,0.9474165725211302,0.0,-0.00013940751007505506,0.00857689634237128,,2.4701244831085205,0.0,0.9754217700608883,0.962646484375,0.8902865412334601,1.1867566506067913,0.8690969049930573,0.18637921596625043,,,,0.00842952930543106,0.11018880208333333,0.23076600457231203,0.12673807547738156,0.0820927220241477,0.15848931924611145
52,48,48,0.0,-0.0035690336759823063,0.0022095829117461108,,,,0.8179678830007712,0.0,-0.00035168918687607703,0.008865007073230421,,2.3119667197267213,0.0,0.971214118989394,0.96240234375,0.8488507171471914,1.15597519526879,0.8428721291323503,0.4883331662664811,,,,0.012232274409446594,0.14990234375,0.23347646246353784,0.13201430377860865,0.09492813671628635,0.1359356390878527
