step,x_before,y_before,target_x,target_y,x_after,y_after,battery_before,battery_after,battery_delta,reward,directional_reward,battery_reward,movement_penalty,action_dx_norm,action_dy_norm
0,196.83699243932284,401.1236373771641,216.83698099523104,382.54317396774024,217.96364531397776,381.99146101709164,100.0,99.85571548545313,-0.14428451454686808,-0.34557343713238103,0.0,-0.28856902909373616,0.05700440803864486,0.9999994039535522,-0.9290232062339783
1,217.96364531397776,381.99146101709164,237.96363386988597,363.26123068567074,240.0302737678626,363.1332035656846,99.85571548545313,99.71124499479862,-0.14447049065451267,-0.3469950928059848,0.0,-0.28894098130902535,0.058054111496959444,0.9999994039535522,-0.9365115165710449
2,240.0302737678626,363.1332035656846,260.0302623237708,344.49915128907327,261.1872213857832,343.8966129388165,99.71124499479862,99.5664330754365,-0.14481191936211246,-0.3468134479711203,0.0,-0.2896238387242249,0.057189609246895375,0.999999463558197,-0.9317026138305664
3,261.1872213857832,343.8966129388165,281.18721184904,325.22623520749323,281.37729719545723,323.1263038747594,99.5664330754365,99.42180631122669,-0.1446267642098178,-0.34718607194456075,0.0,-0.2892535284196356,0.05793254352492516,0.9999995231628418,-0.9335188865661621
4,281.37729719545723,323.1263038747594,301.37728575136543,304.50280686548206,302.52290150860836,304.134986878313,99.42180631122669,99.27650516263125,-0.1453011485954363,-0.34744617823458285,0.0,-0.2906022971908726,0.05684388104371024,0.999999463558197,-0.9311748743057251
5,302.52290150860836,304.134986878313,322.5228919718652,285.49288368312256,322.63576548106715,283.4613590783878,99.27650516263125,99.13109521214622,-0.1454099504850319,-0.34850616219696157,0.0,-0.2908199009700638,0.05768626122689775,0.9999995231628418,-0.9321051239967346
6,322.63576548106715,283.4613590783878,342.63575403697536,264.63410001466707,343.1254090831096,263.673503550334,99.13109521214622,98.98562600729622,-0.14546920485000214,-0.3479080409551862,0.0,-0.2909384097000043,0.056969631255181875,0.999999463558197,-0.9413629174232483
7,343.1254090831096,263.673503550334,363.1253976390178,244.83308378104687,365.14761077606937,244.85408961057098,98.98562600729622,98.84064565150814,-0.14498035578807844,-0.3478968042452883,0.0,-0.2899607115761569,0.05793609266913139,0.999999463558197,-0.9420209527015686
8,365.14761077606937,244.85408961057098,385.1475993319776,226.01716982602508,386.13107677378275,225.59135707320934,98.84064565150814,98.69499570624036,-0.14564994526777753,-0.3482686086212949,0.0,-0.29129989053555505,0.05696871808573981,0.999999463558197,-0.9418460130691528
9,386.13107677378275,225.59135707320934,406.1310672370396,206.77928622665172,406.2461856861112,204.74566310909367,98.69499570624036,98.54983691943654,-0.14515878680381888,-0.348254110038474,0.0,-0.29031757360763777,0.05793653643083622,0.9999995231628418,-0.9406035542488098
10,406.2461856861112,204.74566310909367,426.2461742420194,185.81634754207707,426.8158416176988,185.71338946075977,98.54983691943654,98.40650727911824,-0.1433296403182993,-0.342707052594776,0.0,-0.2866592806365986,0.05604777195817739,0.999999463558197,-0.946465790271759
