episode,steps,final_battery,total_reward,total_directional_reward,total_battery_reward,total_movement_penalty,loss
1,720,47.82229374767101,-104.35145,12.308966346675795,-104.35541250465798,12.294589055127942,
2,720,47.62376741090792,-104.111595,12.471074134117996,-104.75246517818417,11.820323848849513,-0.3766685724258423
3,720,45.66581561537792,-98.980095,14.559189723513912,-108.66836876924415,4.869138914475845,
4,720,45.31986594894979,-102.0213,12.816408043855724,-109.36026810210042,5.475862241845875,-0.4167678952217102
5,720,44.632539062538235,-105.52135,12.18732967501341,-110.73492187492353,6.970802140638842,
6,720,44.169988697816095,-108.22527,10.331519163880538,-111.66002260436781,6.893787306865889,-0.404224157333374
7,720,46.319514015365804,-104.4988,10.943809519258426,-107.36097196926839,8.077290938335338,
8,720,46.94711322415056,-101.95756,12.300084480560649,-106.10577355169887,8.147599929869838,-0.43377500772476196
9,720,39.91649602724369,-117.44055,6.326047233641293,-120.16700794551262,3.5994380480642882,
10,720,38.521474233311835,-116.95146,9.226186959395674,-122.95705153337633,3.220444336686438,-0.2840237617492676
11,720,44.43279333641035,-102.88955,11.743218618948527,-111.1344133271793,3.498031985326722,
12,720,22.21281915489134,-153.70435,5.703324930989081,-155.57436169021724,3.8329289185272457,-0.21047139167785645
13,720,45.4093067923811,-100.596924,13.175770937210427,-109.1813864152378,4.590181076820946,
14,720,41.04335024053322,-114.77949,7.874019326534609,-117.91329951893356,4.738835754874162,-0.41039055585861206
15,720,38.22763831025372,-121.68914,8.565093860487108,-123.54472337949257,6.706800960193694,
16,720,46.32270864988105,-103.51736,10.381076562151149,-107.3545827002379,6.54076127716088,-0.3748783469200134
17,720,45.52979956903727,-105.334045,9.855508906304193,-108.94040086192545,6.246860916869923,
18,720,44.76363860519439,-107.688614,9.169313581781234,-110.47272278961123,6.38244947147656,-0.4238477945327759
19,720,45.44993994243045,-104.2734,10.674422910998947,-109.1001201151391,5.84629023208201,
20,720,45.58317453223749,-101.56048,13.136211171121417,-108.83365093552501,5.861470806195384,-0.4210260510444641
21,720,34.35658220919289,-125.36333,10.478812768429213,-131.2868355816142,4.55447822909449,
