step,x_before,y_before,target_x,target_y,x_after,y_after,battery_before,battery_after,battery_delta,reward,action_dx_norm,action_dy_norm
0,329.9154252258718,310.4691637146666,309.93542568363546,330.4491632569029,309.5681668458619,331.39297485783555,100.0,99.92010480827737,-0.0798951917226276,-0.3590909722556562,-0.9990000128746033,0.9990000128746033
1,309.5681668458619,331.39297485783555,289.5881673036256,351.3729744000719,289.21482833437693,352.28664767174007,99.92010480827737,99.83924601369259,-0.08085879458478473,-0.3634605352360748,-0.9990000128746033,0.9990000128746033
2,289.21482833437693,352.28664767174007,269.2348287921406,372.2666472139764,268.28485394032174,372.6036934981499,99.83924601369259,99.75842657160689,-0.0808194420856978,-0.36616730724138546,-0.9990000128746033,0.9990000128746033
3,268.28485394032174,372.6036934981499,248.3048543980854,392.5836930403862,247.71396906577024,393.8424194652095,99.75842657160689,99.67644557043648,-0.08198100117040497,-0.37719798255678194,-0.9990000128746033,0.9990000128746033
4,247.71396906577024,393.8424194652095,227.73396952353391,413.82241900744583,227.0713852393456,415.0435702532331,99.67644557043648,99.59443266230605,-0.08201290813043727,-0.38034783176963927,-0.9990000128746033,0.9990000128746033
5,227.0713852393456,415.0435702532331,207.09138569710927,435.0235697954694,206.14101333566148,435.3610335497558,99.59443266230605,99.51352982178115,-0.08090284052489949,-0.374590819907975,-0.9990000128746033,0.9990000128746033
6,206.14101333566148,435.3610335497558,186.16101379342516,455.34103309199213,185.5701075498799,456.59978018718135,99.51352982178115,99.43146371019279,-0.08206611158836097,-0.3856168928889961,-0.9990000128746033,0.9990000128746033
7,185.5701075498799,456.59978018718135,165.59010800764358,476.5797797294177,164.927523240658,477.80093146419864,99.43146371019279,99.349365580105,-0.0820981300877861,-0.38876670504981664,-0.9990000128746033,0.9990000128746033
8,164.927523240658,477.80093146419864,145.74503575286502,497.6969313726459,143.85084999783663,497.64690567316393,99.349365580105,99.26679111709227,-0.08257446301273319,-0.3829028991895365,-0.9591243863105774,0.9947999715805054
9,143.85084999783663,497.64690567316393,123.8708504556003,517.6269052154003,123.63724707243975,517.894427962463,99.26679111709227,99.18449219346479,-0.08229892362747648,-0.37994869219310917,-0.9990000128746033,0.9990000128746033
10,123.63724707243975,517.894427962463,103.67021940825518,537.8559414817502,102.07019722915179,538.229846576983,99.18449219346479,99.10279504512054,-0.08169714834424724,-0.39708059830775955,-0.9983513951301575,0.9980757236480713
11,102.07019722915179,538.229846576983,82.09019768691546,558.2098461192194,81.9674580701224,558.7651296705761,99.10279504512054,99.02152592818577,-0.08126911693477723,-0.3853177731012231,-0.9990000128746033,0.9990000128746033
12,81.9674580701224,558.7651296705761,61.987458527886076,578.7451292128125,60.741985596868346,579.3226504340017,99.02152592818577,98.93923907992995,-0.08228684825581922,-0.4023441421934466,-0.9990000128746033,0.9990000128746033
13,60.741985596868346,579.3226504340017,40.76198605463202,599.3026499762381,39.54113763962984,599.9649352440161,98.93923907992995,98.85696853555197,-0.08227054437797676,-0.40574366492344494,-0.9990000128746033,0.9990000128746033
14,39.54113763962984,599.9649352440161,19.611877385723588,619.9449347862525,18.586235088392982,619.9897363344734,98.85696853555197,98.77572939811654,-0.08123913743543199,-0.39737377139968233,-0.9964630007743835,0.9990000128746033
15,18.586235088392982,619.9897363344734,0.0,639.9697358767097,-1.3973234354285742,640.3252098224043,98.77572939811654,98.69380699643844,-0.08192240167809928,-0.39429584026476855,-0.9990000128746033,0.9990000128746033
16,-1.3973234354285742,640.3252098224043,0.0,620.4277336261152,0.9306229532562672,619.2217340314676,98.69380699643844,98.60593547567416,-0.08787152076428129,-0.29688728750200294,-0.9990000128746033,-0.9948737621307373
17,0.9306229532562672,619.2217340314676,0.0,599.2417344892312,-0.04006396290609661,598.1608116244629,98.60593547567416,98.51858715157677,-0.08734832409739113,-0.29391367213607394,-0.9990000128746033,-0.9990000128746033
18,-0.04006396290609661,598.1608116244629,0.0,578.1808120822266,-0.8497113189942318,577.0046718017454,98.51858715157677,98.43260800563797,-0.08597914593879352,-0.2927735590665794,-0.9990000128746033,-0.9990000128746033
19,-0.8497113189942318,577.0046718017454,0.0,557.0659606353636,0.2955585250895112,555.8772473453005,98.43260800563797,98.3453600766605,-0.08724792897747591,-0.2951448830439365,-0.9990000128746033,-0.9969355463981628
20,0.2955585250895112,555.8772473453005,0.0,535.8972478030641,-1.2226935560276098,535.1199399276061,98.3453600766605,98.25944850052743,-0.08591157613307132,-0.28764827297128115,-0.9990000128746033,-0.9990000128746033
21,-1.2226935560276098,535.1199399276061,0.0,515.1399403853698,-0.11845162920776148,514.7463064477267,98.25944850052743,98.17224971896856,-0.08719878155886818,-0.2841208953618572,-0.9990000128746033,-0.9990000128746033
22,-0.11845162920776148,514.7463064477267,0.0,494.7663069054904,1.2145976899208781,493.97537074874816,98.17224971896856,98.0860154830564,-0.0862342359121584,-0.28834983098219646,-0.9990000128746033,-0.9990000128746033
23,1.2145976899208781,493.97537074874816,0.0,473.99537120651183,-0.026557291332584165,473.99329851462875,98.0860154830564,97.99948590467636,-0.08652957838003772,-0.27737222029258873,-0.9990000128746033,-0.9990000128746033
24,-0.026557291332584165,473.99329851462875,0.0,454.0132989723924,1.2114632158285465,453.21668442009604,97.99948590467636,97.91324614571703,-0.08623975895933711,-0.28870377937471997,-0.9990000128746033,-0.9990000128746033
25,1.2114632158285465,453.21668442009604,0.0,433.2366848778597,-0.02789731158312278,433.2263049814766,97.91324614571703,97.8266500473973,-0.08659609831973114,-0.27797380087888285,-0.9990000128746033,-0.9990000128746033
26,-0.02789731158312278,433.2263049814766,0.0,413.24630543924025,1.211527440935739,412.44978216723337,97.8266500473973,97.7403486686979,-0.08630137869938892,-0.2891726926279225,-0.9990000128746033,-0.9990000128746033
27,1.211527440935739,412.44978216723337,0.0,392.46978262499704,-0.02787011797352948,392.45957192855417,97.7403486686979,97.65368956045076,-0.08665910824714729,-0.2784432395501711,-0.9990000128746033,-0.9990000128746033
28,-0.02787011797352948,392.45957192855417,0.0,372.47957238631784,1.2115261355314808,371.6830472579949,97.65368956045076,97.56732529206342,-0.08636426838734224,-0.2896445212592905,-0.9990000128746033,-0.9990000128746033
29,1.2115261355314808,371.6830472579949,0.0,351.70304771575854,-0.027870670786736246,351.69283357994345,97.56732529206342,97.48060305402069,-0.08672223804272505,-0.27891572301634204,-0.9990000128746033,-0.9990000128746033
30,-0.027870670786736246,351.69283357994345,0.0,331.7128340377071,1.211526162067958,330.9163089471204,97.48060305402069,97.3941758740157,-0.08642718000498917,-0.2901166432798131,-0.9990000128746033,-0.9990000128746033
31,1.211526162067958,330.9163089471204,0.0,310.93630940488407,0.023228868313522687,310.917829132084,97.3941758740157,97.30739046050796,-0.08678541350774083,-0.2794594359093415,-0.9990000128746033,-0.9990000128746033
32,0.023228868313522687,310.917829132084,0.0,290.9378295898477,-1.2080824170989,290.1425579276213,97.30739046050796,97.22094677333345,-0.08644368717450845,-0.2907722221284516,-0.9990000128746033,-0.9990000128746033
33,-1.2080824170989,290.1425579276213,0.0,270.16255838538495,0.029325031790024686,270.1432584292687,97.22094677333345,97.13409430862843,-0.08685246470501795,-0.27999623527379347,-0.9990000128746033,-0.9990000128746033
34,0.029325031790024686,270.1432584292687,0.0,250.16325888703238,1.2105285062280884,249.36521157405772,97.13409430862843,97.04754250868373,-0.08655179994470075,-0.2910313077882382,-0.9990000128746033,-0.9990000128746033
35,1.2105285062280884,249.36521157405772,0.0,229.3852120318214,-0.028292018765797677,229.37237332009101,97.04754250868373,96.96062950945407,-0.08691299922966778,-0.2803760035589833,-0.9990000128746033,-0.9990000128746033
36,-0.028292018765797677,229.37237332009101,0.0,209.3923737778547,1.2115463978301797,208.59587746798306,96.96062950945407,96.87401371067,-0.08661579878406656,-0.2915341661947388,-0.9990000128746033,-0.9990000128746033
37,1.2115463978301797,208.59587746798306,0.0,188.61587792574673,0.0232374071739216,188.5974507781917,96.87401371067,96.78703852678893,-0.08697518388106573,-0.2808788943888367,-0.9990000128746033,-0.9990000128746033
38,0.0232374071739216,188.5974507781917,0.0,168.61745123595537,1.2140254003867537,167.8312820825439,96.78703852678893,96.70040579700256,-0.08663272978637337,-0.291717316804472,-0.9990000128746033,-0.9990000128746033
39,1.2140254003867537,167.8312820825439,0.0,147.85128254030758,0.024300559119762612,147.8394499592351,96.70040579700256,96.6133700624641,-0.08703573453846047,-0.28124971652197484,-0.9990000128746033,-0.9990000128746033
40,0.024300559119762612,147.8394499592351,0.0,127.85945041699878,1.2140002592384527,127.07328431985249,96.6133700624641,96.52667390498647,-0.0866961574776326,-0.2921906592168778,-0.9990000128746033,-0.9990000128746033
41,1.2140002592384527,127.07328431985249,0.0,107.09328477761616,-0.02680592005060997,107.08967536525313,96.52667390498647,96.4395747519966,-0.08709915298986459,-0.28165390504639465,-0.9990000128746033,-0.9990000128746033
42,-0.02680592005060997,107.08967536525313,0.0,87.1096758230168,-1.2106496605736494,86.31182421325924,96.4395747519966,96.35276820940815,-0.08680654258844811,-0.29323193062070974,-0.9990000128746033,-0.9990000128746033
43,-1.2106496605736494,86.31182421325924,0.0,66.33182467102291,-0.022859896420457687,66.31104634724977,96.35276820940815,96.26560183018557,-0.0871663792225803,-0.28234465717058094,-0.9990000128746033,-0.9990000128746033
44,-0.022859896420457687,66.31104634724977,0.0,46.33104680501344,-1.2140342506115225,45.54487631659976,96.26560183018557,96.1787797803259,-0.08682204985967701,-0.2934426893555869,-0.9990000128746033,-0.9990000128746033
45,-1.2140342506115225,45.54487631659976,0.0,25.564876774363434,-0.02430435227412919,25.55306765205011,96.1787797803259,96.09155372648918,-0.08722605383671578,-0.28267970906565926,-0.9990000128746033,-0.9990000128746033
46,-0.02430435227412919,25.55306765205011,0.0,5.573068109813782,-1.2140001692134748,4.786902022691702,96.09155372648918,96.00466798739639,-0.08688573909279285,-0.29391695195281886,-0.9990000128746033,-0.9990000128746033
47,-1.2140001692134748,4.786902022691702,0.0,0.0,0.5261837545271253,1.20344380386248,96.00466798739639,95.90764815596062,-0.09701983143577309,-0.06191332323251441,-0.9990000128746033,-0.9990000128746033
48,0.5261837545271253,1.20344380386248,0.0,0.0,2.308916271527771,0.8776638643866853,95.90764815596062,96.41876812725039,0.5111199712897729,1.1880032264627332,-0.9990000128746033,-0.9990000128746033
49,2.308916271527771,0.8776638643866853,0.0,0.0,1.9831363320518314,-0.9050686526139344,96.41876812725039,96.95757244692331,0.53880431967292,1.2442269685079483,-0.9990000128746033,-0.9990000128746033
50,1.9831363320518314,-0.9050686526139344,0.0,0.0,-0.3301157674012993,-0.4697277183566927,96.95757244692331,97.5251170501628,0.5675446032394973,1.294772897583091,-0.9990000128746033,-0.9990000128746033
51,-0.3301157674012993,-0.4697277183566927,0.0,0.0,1.3462196990082689,-0.14334421808407627,97.5251170501628,98.12041190349922,0.5952948533364122,1.3611954330493337,-0.9990000128746033,-0.9990000128746033
52,1.3462196990082689,-0.14334421808407627,0.0,0.0,0.025503764892524428,-2.534851689377948,98.12041190349922,98.33139975371938,0.21098785022016386,0.5773426579439799,-0.9990000128746033,-0.9990000128746033
53,0.025503764892524428,-2.534851689377948,0.0,0.0,-1.7671854414499257,-0.43140571115276183,98.33139975371938,98.55659686802873,0.22519711430935274,0.6058308063676285,-0.9990000128746033,-0.9990000128746033
54,-1.7671854414499257,-0.43140571115276183,0.0,0.0,-0.03035437378039091,0.08597774288416277,98.55659686802873,98.79289462341818,0.23629775538944386,0.642993687075376,-0.9990000128746033,-0.9990000128746033
55,-0.03035437378039091,0.08597774288416277,0.0,0.0,0.4870290802576361,-1.650853324785796,98.79289462341818,99.04229920877351,0.24940458535533594,0.6695038466958368,-0.9990000128746033,-0.9990000128746033
56,0.4870290802576361,-1.650853324785796,0.0,0.0,-1.249801987413492,-2.168236778823238,99.04229920877351,99.30492567879536,0.2626264700218428,0.6964082767773647,-0.9990000128746033,-0.9990000128746033
57,-1.249801987413492,-2.168236778823238,0.0,0.0,-1.7671854414493138,-0.43140571115162696,99.30492567879536,99.58087742002176,0.2759517412264074,0.7236607915000794,-0.9990000128746033,-0.9990000128746033
58,-1.7671854414493138,-0.43140571115162696,0.0,0.0,-0.030354373777219223,0.08597774288257265,99.58087742002176,99.87024628288894,0.2893688628671782,0.7512906053497614,-0.9990000128746033,-0.9990000128746033
59,-0.030354373777219223,0.08597774288257265,0.0,0.0,0.4870290802553591,-1.6508533247900044,99.87024628288894,100.0,0.12975371711105765,0.4321175117897184,-0.9990000128746033,-0.9990000128746033
60,0.4870290802553591,-1.6508533247900044,0.0,0.0,-1.2498019874177007,-2.1682367788209604,100.0,99.90146048944408,-0.09853951055592347,-0.024730614756870144,-0.9990000128746033,-0.9990000128746033
61,-1.2498019874177007,-2.1682367788209604,0.0,0.0,-1.767185441447037,-0.4314057111474181,99.90146048944408,99.80287967519874,-0.09858081424533793,-0.02496031493305692,-0.9990000128746033,-0.9989770650863647
