d_lo,d_hi,d_mid,n,V_min,V_mean,V_max
0.0,0.0350991949772866,0.0175495974886433,2267,0.20626430213451385,0.7833822193680011,1.2433785200119019
0.0350991949772866,0.0701983899545732,0.0526487924659299,1165,0.20742739737033844,0.7695104576871119,1.279126524925232
0.0701983899545732,0.1052975849318598,0.08774798744321649,905,0.19540619850158691,0.7162382913557864,1.277671217918396
0.1052975849318598,0.1403967799091464,0.1228471824205031,743,0.20430007576942444,0.6989342256237328,1.2967289686203003
0.1403967799091464,0.17549597488643298,0.1579463773977897,550,0.20419242978096008,0.5786809967864643,1.3007102012634277
0.17549597488643298,0.2105951698637196,0.1930455723750763,461,0.205143541097641,0.4656443692856911,1.300575613975525
0.2105951698637196,0.2456943648410062,0.2281447673523629,423,0.21204796433448792,0.41010246684787965,1.2036540508270264
0.2456943648410062,0.2807935598182928,0.26324396232964953,430,0.2130669355392456,0.4299722361010174,1.1907702684402466
0.2807935598182928,0.3158927547955794,0.29834315730693606,410,0.210276260972023,0.4305763808692374,0.8311347365379333
0.3158927547955794,0.35099194977286596,0.3334423522842227,416,0.21624942123889923,0.4561209036395527,0.8631847500801086
0.35099194977286596,0.3860911447501526,0.3685415472615093,465,0.21279653906822205,0.47576940896049624,0.8986685276031494
0.3860911447501526,0.4211903397274392,0.40364074223879587,487,0.2134852409362793,0.5078301322350022,0.9261003136634827
0.4211903397274392,0.4562895347047258,0.4387399372160825,523,0.2200772613286972,0.5452111310131463,0.9504509568214417
0.4562895347047258,0.4913887296820124,0.4738391321933691,663,0.22079633176326752,0.6514361733359988,0.9919095039367676
0.4913887296820124,0.526487924659299,0.5089383271706557,708,0.24004130065441132,0.730116183411772,1.3228732347488403
0.526487924659299,0.5615871196365856,0.5440375221479423,997,0.2612672448158264,0.8651236752449809,1.3220585584640503
0.5615871196365856,0.5966863146138722,0.5791367171252289,1460,0.2992248833179474,0.96117244009694,1.3885581493377686
0.5966863146138722,0.6317855095911588,0.6142359121025155,1503,0.337030827999115,1.037601541061046,1.3313121795654297
0.6317855095911588,0.6668847045684454,0.6493351070798021,1085,0.38414767384529114,1.0588082669792087,1.3004359006881714
0.6668847045684454,0.7019838995457319,0.6844343020570887,408,0.3902985453605652,1.0213724641385031,1.3096508979797363
0.7019838995457319,0.7370830945230186,0.7195334970343752,217,0.4795253872871399,1.067371366073459,1.3046175241470337
0.7370830945230186,0.7721822895003052,0.7546326920116619,159,0.538871705532074,1.0220997071116225,1.2853158712387085
0.7721822895003052,0.8072814844775917,0.7897318869889485,118,0.6179060935974121,0.9947805273330818,1.265049695968628
0.8072814844775917,0.8423806794548784,0.824831081966235,33,0.69622802734375,0.7751431085846641,0.8835009932518005
