episode,step,soc,soc_next,d,V,V_next,dV,step_soc,step_full,alive
0,0,0.37878918840917225,0.37583480140601494,0.5212108115908278,0.9054132699966431,0.8435400724411011,-0.06187319755554199,0.0029543870031573105,0.7828448396765972,1
0,1,0.37583480140601494,0.37391261514742236,0.524165198593985,0.8435400724411011,0.7945780754089355,-0.04896199703216553,0.0019221862585925842,0.7311616758027069,1
0,2,0.37391261514742236,0.3721572917565244,0.5260873848525777,0.7945780754089355,0.723625659942627,-0.0709524154663086,0.001755323390897956,0.5518693493638209,1
0,3,0.3721572917565244,0.37040182900722923,0.5278427082434756,0.723625659942627,0.6984825134277344,-0.025143146514892578,0.0017554627492951669,1.015705624872078,1
0,4,0.37040182900722923,0.36865401425155553,0.5295981709927708,0.6984825134277344,0.7143711447715759,0.015888631343841553,0.0017478147556737045,0.48114572311724185,1
0,5,0.36865401425155553,0.367180431701912,0.5313459857484445,0.7143711447715759,0.7517096996307373,0.03733855485916138,0.0014735825496435262,0.664442130274724,1
0,6,0.367180431701912,0.36580335955646776,0.5328195682980881,0.7517096996307373,0.7738550305366516,0.022145330905914307,0.001377072145444247,0.20253427550958622,1
0,7,0.36580335955646776,0.36442990163946126,0.5341966404435323,0.7738550305366516,0.7870824337005615,0.013227403163909912,0.0013734579170064931,0.15634793994623505,1
0,8,0.36442990163946126,0.3630600942860402,0.5355700983605387,0.7870824337005615,0.7999712228775024,0.012888789176940918,0.0013698073534210709,0.11348712538478996,1
0,9,0.3630600942860402,0.36164103058425856,0.5369399057139599,0.7999712228775024,0.7712678909301758,-0.02870333194732666,0.001419063701781631,0.47439342876247786,1
0,10,0.36164103058425856,0.3598007862681504,0.5383589694157415,0.7712678909301758,0.7523030042648315,-0.01896488666534424,0.001840244316108186,0.5107421767650249,1
0,11,0.3598007862681504,0.3578360165427974,0.5401992137318496,0.7523030042648315,0.7371656894683838,-0.015137314796447754,0.0019647697253529772,0.7439277631001665,1
0,12,0.3578360165427974,0.35578792725337466,0.5421639834572026,0.7371656894683838,0.7191932201385498,-0.017972469329833984,0.0020480892894227387,0.1781634924741254,1
0,13,0.35578792725337466,0.3540120288188247,0.5442120727466253,0.7191932201385498,0.7109304666519165,-0.0082627534866333,0.0017758984345499496,0.33942972699504054,1
0,14,0.3540120288188247,0.3526572655832299,0.5459879711811753,0.7109304666519165,0.6868252158164978,-0.0241052508354187,0.0013547632355948025,0.1481654935273687,1
0,15,0.3526572655832299,0.3518047997454639,0.5473427344167701,0.6868252158164978,0.6512719392776489,-0.03555327653884888,0.0008524658377659922,0.24453214967816744,1
0,16,0.3518047997454639,0.3516468105595483,0.548195200254536,0.6512719392776489,0.6173250079154968,-0.0339469313621521,0.00015798918591564126,0.5234219516761661,1
0,17,0.3516468105595483,0.35247483661302476,0.5483531894404517,0.6173250079154968,0.601590633392334,-0.015734374523162842,0.0008280260534764827,0.25329375151042216,1
0,18,0.35247483661302476,0.3533362107715442,0.5475251633869753,0.601590633392334,0.5780020356178284,-0.023588597774505615,0.0008613741585194457,0.5526430815186391,1
0,19,0.3533362107715442,0.3541830353504741,0.5466637892284558,0.5780020356178284,0.5669177174568176,-0.011084318161010742,0.0008468245789298723,0.5424961822536226,1
0,20,0.3541830353504741,0.35505024826630704,0.5458169646495259,0.5669177174568176,0.5692049264907837,0.0022872090339660645,0.0008672129158329711,0.5681853466404121,1
0,21,0.35505024826630704,0.35602923830843336,0.544949751733693,0.5692049264907837,0.5548103451728821,-0.014394581317901611,0.0009789900421263154,0.14521110640570903,1
0,22,0.35602923830843336,0.35702859465821973,0.5439707616915667,0.5548103451728821,0.5414299368858337,-0.01338040828704834,0.0009993563497863733,0.16067897682435878,1
0,23,0.35702859465821973,0.3580951188726821,0.5429714053417802,0.5414299368858337,0.5281490087509155,-0.013280928134918213,0.00106652421446235,0.20250601483544375,1
0,24,0.3580951188726821,0.3591789787243901,0.5419048811273179,0.5281490087509155,0.5257417559623718,-0.002407252788543701,0.0010838598517080023,0.22983943838838503,1
0,25,0.3591789787243901,0.36027954415065466,0.5408210212756099,0.5257417559623718,0.5147350430488586,-0.011006712913513184,0.001100565426264577,0.2579117579621985,1
0,26,0.36027954415065466,0.3614458387958593,0.5397204558493454,0.5147350430488586,0.5049070715904236,-0.009827971458435059,0.0011662946452046241,0.16753775879060187,1
0,27,0.3614458387958593,0.3626347685105317,0.5385541612041407,0.5049070715904236,0.49767154455184937,-0.007235527038574219,0.0011889297146724376,0.19977686295786776,1
0,28,0.3626347685105317,0.36384578496495235,0.5373652314894684,0.49767154455184937,0.4891766309738159,-0.008494913578033447,0.0012110164544206214,0.2538623307972477,1
0,29,0.36384578496495235,0.36502969127960766,0.5361542150350477,0.4891766309738159,0.48525482416152954,-0.003921806812286377,0.0011839063146553142,0.17132906743795176,1
0,30,0.36502969127960766,0.3663475288237092,0.5349703087203923,0.48525482416152954,0.4965793192386627,0.011324495077133179,0.00131783754410153,0.6862292743169424,1
