d_lo,d_hi,d_mid,n,V_min,V_mean,V_max
0.0,0.03587964883034587,0.017939824415172934,2100,0.3483186662197113,0.8584618936550049,1.1169155836105347
0.03587964883034587,0.07175929766069174,0.053819473245518806,1001,0.3496420383453369,0.7381100969297902,1.1257355213165283
0.07175929766069174,0.10763894649103761,0.08969912207586467,778,0.34753409028053284,0.6523107660690126,1.1276228427886963
0.10763894649103761,0.14351859532138347,0.12557877090621056,583,0.35386359691619873,0.6447892091388768,1.1159731149673462
0.14351859532138347,0.17939824415172934,0.1614584197365564,452,0.3562491238117218,0.5406312595030903,1.1158599853515625
0.17939824415172934,0.21527789298207523,0.19733806856690228,442,0.3643636107444763,0.5357501649748686,1.1270077228546143
0.21527789298207523,0.25115754181242106,0.23321771739724814,461,0.3876866400241852,0.5578872965499274,1.166893482208252
0.25115754181242106,0.28703719064276695,0.269097366227594,419,0.3970549404621124,0.5509847065429414,1.1637797355651855
0.28703719064276695,0.32291683947311284,0.3049770150579399,422,0.436273455619812,0.5646705563881951,1.223055124282837
0.32291683947311284,0.35879648830345867,0.3408566638882857,453,0.46400436758995056,0.5998179931645888,1.2644416093826294
0.35879648830345867,0.39467613713380456,0.3767363127186316,476,0.5058702230453491,0.6279357248494605,0.8882904052734375
0.39467613713380456,0.43055578596415045,0.4126159615489775,513,0.5435655117034912,0.6784346603278296,0.9275531768798828
0.43055578596415045,0.4664354347944963,0.4484956103793234,584,0.5785225629806519,0.7543858522421694,1.0095186233520508
0.4664354347944963,0.5023150836248421,0.4843752592096692,579,0.6290245056152344,0.7982488670909137,1.0759752988815308
0.5023150836248421,0.538194732455188,0.5202549080400151,788,0.6800034046173096,0.9661679115089669,1.5066337585449219
0.538194732455188,0.5740743812855339,0.556134556870361,1410,0.7318138480186462,1.1311227858489288,1.569771647453308
0.5740743812855339,0.6099540301158798,0.5920142057007068,1605,0.8104709386825562,1.2382265799884855,1.6036474704742432
0.6099540301158798,0.6458336789462257,0.6278938545310527,1089,0.8765388131141663,1.3200863875633428,1.6682298183441162
0.6458336789462257,0.6817133277765715,0.6637735033613985,481,0.9252997636795044,1.4413044089586968,1.739216923713684
0.6817133277765715,0.7175929766069173,0.6996531521917444,238,1.0100717544555664,1.5328823052534537,1.848862886428833
0.7175929766069173,0.7534726254372632,0.7355328010220903,197,1.1029554605484009,1.6257012864659885,1.9090168476104736
0.7534726254372632,0.7893522742676091,0.7714124498524362,148,1.197253942489624,1.5861421694626678,1.9699835777282715
0.7893522742676091,0.825231923097955,0.8072920986827821,55,1.311946153640747,1.6715889367190275,2.014552593231201
0.825231923097955,0.8611115719283008,0.843171747513128,12,1.8741823434829712,1.9800816078980763,2.0443954467773438
