episode,steps,final_battery,total_reward,total_directional_reward,total_battery_reward,total_movement_penalty,loss,episode_time,rollout_time,inference_time,env_time,update_time
1,720,99.3528992400611,19.446092111956602,30.065053915047876,-1.294201519877788,7.4358359650782635,,13.769260316999862,13.676660475000972,0.7239379289530916,12.95272254604788,0.0
2,720,99.8247716470095,20.64941297041433,30.564418198893048,-0.35045670598100287,7.495604547716861,1.3540260791778564,12.97838981699897,12.694779942001333,0.6027020248729968,12.092077917128336,0.1923347500123782
3,720,99.66208109790735,19.018444421457833,30.40953119972343,-0.6758378041853064,8.080020652850433,,12.484784671003581,12.39348977500049,0.6055905869434355,11.787899188057054,0.0
4,720,99.94756997064482,19.48818624735124,30.441247488564528,-0.10486005871035786,8.223871942558016,0.5013359785079956,12.759441399000934,12.577848683999036,0.6053907691093627,11.972457914889674,0.09346983299474232
5,720,99.84578727220955,25.84253747911177,30.204201178954165,-0.3084254555809025,3.890012705320585,,12.159278200997505,12.068941140998504,0.6033542880759342,11.46558685292257,0.0
6,720,99.96653140640052,26.18973899981124,30.460075497364905,-0.06693718719895969,4.061389145985805,-0.4945772886276245,12.791293141999631,12.60257255799661,0.6035365861316677,11.999035971864942,0.08320450499013532
7,720,99.79215605269233,27.697237997522297,31.551437123114166,-0.4156878946153313,3.3909310489750815,,12.420153896993725,12.332809540996095,0.604084244929254,11.728725296066841,0.0
8,720,99.780987729748,26.671595468559442,30.5860651271543,-0.43802454050398865,3.4267518148776497,-0.5397239327430725,13.275805843004491,13.10139916400658,0.6037239380384563,12.497675225968123,0.08362830898840912
9,720,99.9659274648698,26.733033064013473,30.451405402758372,-0.06814507026041383,3.6299431027682743,,12.814873936004005,12.725751156001934,0.6046172291389666,12.121133926862967,0.0
10,720,99.92348019889677,26.955327944171845,30.439484243727733,-0.15303960220646218,3.305807726535085,-0.8561509251594543,12.595044054993195,12.418631370994262,0.6046071700257016,11.81402420096856,0.08377831400139257
11,720,99.76017505339554,26.102162773853202,29.931432030134125,-0.47964989320891505,3.336655817208876,,12.42718903599598,12.32595276000211,0.6040925431298092,11.721860216872301,0.0
12,720,99.93477337410792,26.491498755362656,30.325770652448647,-0.13045325178416078,3.6848290933943892,-0.8468742370605469,12.555097062009736,12.379323075991124,0.6034302468324313,11.775892829158693,0.08757076499750838
13,720,99.97736868598798,27.274182575368993,30.755962964183166,-0.0452626280240338,3.4243783351714616,,12.514333081999212,12.419672727002762,0.6035906758188503,11.816082051183912,0.0
14,720,99.81361144490117,26.460222786736843,29.61476020213672,-0.37277711019766,2.7741056701096065,-0.9062458276748657,12.530811213000561,12.356263997004135,0.6042751577479066,11.751988839256228,0.08482575100788381
15,720,99.76688543732311,25.676468607482786,29.407249705338977,-0.46622912535377736,3.26096270757686,,13.408327852012007,13.309493366003153,0.6040671578957699,12.705426208107383,0.0
16,720,99.72182672055109,25.612834505768184,29.462829698147836,-0.5563465588978147,3.288509180112516,-0.9416465163230896,13.773827002005419,13.593555661005666,0.6042492322012549,12.989306428804412,0.08641293799155392
17,720,100.0,27.968216797569344,31.03659365379467,0.0,3.064931685063679,,12.569928051001625,12.478948963005678,0.6036261569825001,11.875322806023178,0.0
18,720,99.81962042621689,26.61457002449346,30.04818904096363,-0.3607591475662275,3.0696847257383815,-0.9072134494781494,13.128284559003077,12.954515299003106,0.6030879189493135,12.351427380053792,0.08629515199572779
19,720,99.72449838882885,27.522286769343733,31.117175297821728,-0.5510032223423025,3.042075958028829,,13.202071370003978,13.114325034999638,0.603106299036881,12.511218735962757,0.0
