episode,minibatches,policy_loss,value_loss,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha
2,1,0.06712427735328674,0.2903403341770172,0.02999245375394821,1.2658202648162842,0.9861122369766235,0.043941713869571686,0.25390625,0.4723665714263916,0.0,0.6855873465538025,0.9802265618354915
4,2,0.16775889694690704,0.4839433580636978,0.03720157407224178,1.244909644126892,0.9340823590755463,1.5692313206382096,0.626953125,0.47261931002140045,0.00042797205969691277,0.7430675327777863,0.9608441125278288
6,1,0.10878260433673859,0.3063160181045532,0.03348705172538757,1.3214364051818848,0.47054359316825867,0.024170909076929092,0.5546875,0.4728502631187439,0.0008187505882233381,0.9409035444259644,0.9418449208830277
8,1,0.14719483256340027,0.2903733253479004,0.03192879259586334,1.343238115310669,0.6029176115989685,0.09151981770992279,0.5625,0.4730129837989807,0.0010940334759652615,0.973318338394165,0.9232214085793908
10,1,0.0698612779378891,0.21308618783950806,0.029925692826509476,1.3546829223632812,0.9040346145629883,0.11318740993738174,0.6953125,0.4731809198856354,0.00137797137722373,0.9866966009140015,0.9049661471446958
12,1,0.1937783658504486,0.14646822214126587,0.03220907971262932,1.343991994857788,1.2996195554733276,0.08644157648086548,0.6875,0.4733525514602661,0.001668079406954348,0.9867079257965088,0.8870718549931568
14,1,0.15148143470287323,0.12504202127456665,0.02638283744454384,1.320439338684082,1.5869877338409424,0.08374789357185364,0.65625,0.4735269844532013,0.00196287059225142,0.9911416172981262,0.8695313945209737
16,1,0.11456318199634552,0.10217326879501343,0.026197684928774834,1.2940309047698975,1.6752125024795532,0.22081011533737183,0.66015625,0.47370389103889465,0.0022616637870669365,0.9929584264755249,0.8523377692593145
18,1,0.12034210562705994,0.11436291038990021,0.02784666419029236,1.2745094299316406,1.5591857433319092,0.2186201512813568,0.7578125,0.4738770127296448,0.002554049249738455,0.9944686889648438,0.8354841210835904
20,1,0.18150782585144043,0.09754148125648499,0.02826015278697014,1.2679071426391602,1.3085520267486572,0.25393450260162354,0.7890625,0.4740515351295471,0.0028485271614044905,0.995659589767456,0.8189637274779153
22,1,0.1746850162744522,0.09692161530256271,0.025591270998120308,1.27919340133667,1.1291327476501465,0.29844003915786743,0.75390625,0.4742289185523987,0.0031479154713451862,0.9953083992004395,0.8027699988536554
24,1,0.2817760109901428,0.09641706943511963,0.029182009398937225,1.3067021369934082,1.031243920326233,0.28625184297561646,0.8203125,0.4744074046611786,0.0034489366225898266,0.9950902462005615,0.7868964759210001
26,1,0.25189197063446045,0.08055721968412399,0.03112819418311119,1.3406105041503906,1.0539158582687378,0.3743528723716736,0.83984375,0.47458750009536743,0.003752501681447029,0.9967185258865356,0.7713368271125066
28,1,0.1538194864988327,0.09702496230602264,0.03186112642288208,1.3689134120941162,1.1260347366333008,0.31722235679626465,0.78125,0.47476714849472046,0.004055424593389034,0.9985005855560303,0.7560848460575893
30,1,0.1652223765850067,0.07298563420772552,0.0313907116651535,1.3860340118408203,1.2137424945831299,0.26900720596313477,0.78125,0.4749472737312317,0.004358808510005474,0.999332070350647,0.7411344491069477
32,1,0.3822250962257385,0.05475657805800438,0.03201603889465332,1.3936554193496704,1.2973793745040894,0.29043108224868774,0.8125,0.4751243591308594,0.004657086916267872,0.9997553825378418,0.7264796729059444
34,1,0.23641806840896606,0.050701312720775604,0.032689083367586136,1.389803409576416,1.3383402824401855,0.26052600145339966,0.82421875,0.4752935767173767,0.0049419524148106575,0.99990314245224,0.7121146720159665
36,1,0.22736552357673645,0.048167891800403595,0.03043500706553459,1.3820313215255737,1.3446075916290283,0.3105085492134094,0.84375,0.47545650601387024,0.00521619850769639,0.9999592304229736,0.6980337165828195
38,1,0.14698070287704468,0.04982843995094299,0.030474284663796425,1.377569317817688,1.3320701122283936,0.25645989179611206,0.73828125,0.47561776638031006,0.005487391259521246,0.9999805688858032,0.6842311900512271
40,1,0.11824897676706314,0.04462119936943054,0.026578089222311974,1.3719418048858643,1.3104114532470703,0.28694233298301697,0.80859375,0.47578081488609314,0.005761602893471718,0.9999895691871643,0.6707015869245212
42,1,0.11059170961380005,0.04678979143500328,0.027495499700307846,1.3706027269363403,1.2789559364318848,0.3012126088142395,0.8125,0.47594940662384033,0.0060450974851846695,0.9999939799308777,0.6574395105686315
44,1,0.0596906840801239,0.04089425876736641,0.029469437897205353,1.370149850845337,1.2545968294143677,0.2542140483856201,0.80859375,0.4761185050010681,0.006329244002699852,0.9999966621398926,0.644439671059498
46,1,0.1380520761013031,0.04096369445323944,0.02889329008758068,1.3720576763153076,1.2391455173492432,0.2636500895023346,0.79296875,0.4762852191925049,0.00660933181643486,0.9999982118606567,0.6316968830730468
48,1,0.12471551448106766,0.040817901492118835,0.02645132876932621,1.3752431869506836,1.2268123626708984,0.21032172441482544,0.81640625,0.47645193338394165,0.006889356765896082,0.9999990463256836,0.6192060638168891
50,1,0.1909494400024414,0.11258351802825928,0.025580819696187973,1.3817691802978516,1.2043304443359375,0.29298219084739685,0.79296875,0.4766232967376709,0.0071770669892430305,0.9999994039535522,0.6069622310029172
52,1,0.12169677019119263,0.03932206332683563,0.026646526530385017,1.387843370437622,1.1934939622879028,0.291170209646225,0.79296875,0.4767960011959076,0.007466839626431465,0.9999996423721313,0.594960500859989
54,1,0.2855191230773926,0.0555277094244957,0.024225765839219093,1.3955142498016357,1.1818645000457764,0.251509428024292,0.7734375,0.47696632146835327,0.007752627599984407,0.9999997615814209,0.583196086185909
56,1,0.1323031783103943,0.047792255878448486,0.02597150392830372,1.4041835069656372,1.1845852136611938,0.21614636480808258,0.765625,0.47713345289230347,0.00803288258612156,0.9999997615814209,0.5716642944379285
58,1,0.20892655849456787,0.04409487918019295,0.024713683873414993,1.414130449295044,1.1725506782531738,0.278022438287735,0.80078125,0.47729653120040894,0.008306363597512245,0.9999998807907104,0.5603605258610028
60,1,0.21254906058311462,0.05031803622841835,0.025007490068674088,1.4238557815551758,1.1775448322296143,0.27073389291763306,0.7734375,0.47745823860168457,0.00857720896601677,0.9999998807907104,0.5492802716530588
62,1,0.2950170338153839,0.058458901941776276,0.023654498159885406,1.4324945211410522,1.1759661436080933,0.2500617206096649,0.73828125,0.4776197075843811,0.008847877383232117,1.0,0.5384191121665427
