episode,steps,final_battery,total_reward,total_directional_reward,total_battery_reward,total_movement_penalty,loss,episode_time,rollout_time,inference_time,env_time,update_time,peak_solar_w,mean_solar_w,start_battery,min_battery,idle_mAh,motion_mAh,path_m,turn_integral,net_displacement_m
1,60,0.0,-17.751256091912197,-0.42697346664540226,-0.7617326543359533,0.0372852346914756,,7.927958309650421,7.674863696098328,0.21648737415671349,7.458376321941614,0.0,2.781533840254383,0.37844788602049095,30.19099483101786,0.0,973.187986940721,123.82571963575666,153.99990793929464,115.95854300137638,40.849839982430254
2,85,0.0,-17.67579636229865,-0.7615684021894913,-0.9671286699992422,0.04680628615878656,,9.798057854175568,9.535123392939568,0.13167558517307043,9.403447807766497,0.0,5.546988903396965,0.9039107177586194,37.73636394458143,0.0,1375.3886125304048,153.6283599714827,193.596801885354,150.8496564540978,7.385374352155276
3,720,33.08336543925853,-9.082708925738652,-3.8191909009182043,-4.830021561656207,0.43020651239820556,,41.47865638136864,41.235506180208176,1.1019252613186836,40.13358091888949,0.0,42.253811274374605,15.857156055949268,32.636070296546784,10.22887288300083,11612.539971597496,1321.1160996835201,1779.3322175479163,1411.464733259816,125.9259613429491
4,82,0.0,-17.706892761966355,-0.6918301444727372,-0.9913932940428705,0.04831957142384068,,9.856567044742405,9.582594425883144,0.12682451494038105,9.455769910942763,0.0,11.36641150028936,1.7120210275288688,35.78672938035808,0.0,1329.683914686468,159.69515144042379,199.8395712172488,156.02475994721704,24.70336473576644
5,71,0.0,-17.7949769957624,-0.6059145650639522,-0.8978341758344213,0.040877457717012414,,9.367241205181926,9.102596195880324,0.10965447779744864,8.992941718082875,0.0,6.294619503325028,1.3203854132776827,32.16376694537122,0.0,1152.5965103490828,135.75260157247095,169.30926635664014,138.21681239704128,7.57220153922674
6,74,0.0,-17.65686822571728,-0.4938582248292938,-0.9435222252925984,0.044121476547141075,,10.75433177081868,10.480484266765416,0.11458526318892837,10.365899003576487,0.0,15.545535120421519,2.5822808968556332,31.194700627614175,0.0,1200.7429992946895,146.5623639792417,182.46417703295205,143.49207093046607,26.61300091258637
7,720,46.79337811058992,-5.800079911277365,-3.2637972616678805,-2.0950460386813354,0.43792712665888217,1.7105584144592285,45.74903231067583,44.70718982908875,1.0939817698672414,43.613208059221506,0.7904923311434686,42.258866914017396,18.600372405395813,38.43400107632098,25.55277498194828,11582.399999999898,1251.7149129595148,1810.477648757012,1395.6036531220277,144.95726263610754
8,118,0.0,-17.41369648481635,-0.7677234136170777,-1.4962990488450694,0.0741387867438733,,13.0138831846416,12.7662756270729,0.18238388979807496,12.583891737274826,0.0,26.294819867023943,6.853305342736809,32.5747581801968,0.0,1913.239792406508,243.152913027421,304.15591701827856,203.27652570099784,43.62402299654569
9,720,15.655234758672723,-8.090551516220724,-4.048227028551466,-3.6261422183172316,0.41294209025801576,,44.553667393978685,44.3050785753876,1.1090973517857492,43.19598122360185,0.0,42.26337289377091,14.567251024623776,35.44740101829007,15.655234758672723,11584.060987872188,1243.6525355603335,1706.373581943621,1377.4824650039277,57.40851382195262
10,181,0.0,-17.19780767342614,-1.192003793934545,-2.3925544221559796,0.11237375442756163,,15.00636334484443,14.770794052630663,0.2796802818775177,14.491113770753145,0.0,34.82204614706468,8.754186838762452,38.26827788886417,0.0,2951.1696651416055,375.0795309480881,465.0281443431218,345.3320031721746,37.239850221373516
11,113,0.0,-17.36626322686798,-0.8034911605852743,-1.2905075711422693,0.07172544293783556,,11.606917549856007,11.352405786048621,0.1749313366599381,11.177474449388683,0.0,24.905931444358195,4.1992190657158845,39.1807324040227,0.0,1830.1676950365463,233.81165901564142,295.9240939095197,210.29684385084514,20.22207496711469
12,99,0.0,-17.634903836113637,-0.8164209983836884,-1.2050875441971538,0.06296052486695726,,13.979576311074197,13.673647783696651,0.15415411489084363,13.519493668805808,0.0,23.854346555017415,4.097502303842098,35.240494333582085,0.0,1603.8145980979336,206.50907053418175,259.6079088277749,176.880129665041,17.30157009018943
13,720,34.79261038328384,-8.483538898001372,-3.690233303600683,-4.360997766609335,0.42911918641776275,1.458067536354065,44.12147280899808,43.17451719660312,1.0990746333263814,42.07544256327674,0.6942836423404515,42.263527308266966,15.867313817366693,35.1291916277647,16.59280087300263,11590.335111857727,1308.2100007586312,1775.0514010044735,1383.8384154172227,115.76160498844688
14,173,0.0,-16.73991305429132,-1.0204635237786455,-1.9114286685241497,0.10709847554827459,,21.178217456676066,20.84822834795341,0.26492445077747107,20.583303897175938,0.0,22.019301592936753,7.722811539977479,39.253607913385366,0.0,2791.997150286281,350.36966071300566,442.9172946727146,361.766736607764,36.41419067881834
15,720,53.98549990726336,-5.894021989631778,-2.6874707323334714,-2.772306081325964,0.43098795240937665,,38.24233884504065,38.0274740671739,1.0995086026377976,36.9279654645361,0.0,42.26355731063074,22.72385764872767,34.33253233304323,17.882293899696364,11587.651368432107,1232.8362047623425,1779.025379236861,1346.519347367703,167.64777218272457
16,720,37.08564685482958,-8.348856820855726,-3.931323930506389,-3.984958421539672,0.42961026356455306,1.4160606861114502,42.390954160131514,41.5269883396104,1.0922262696549296,40.43476206995547,0.6129386969842017,42.26376166774769,15.858651940937182,38.26993585457147,15.540253035264056,11589.393002579334,1288.9219177656644,1773.9424684761666,1328.4601872863939,203.9670340303193
17,720,41.942166724549814,-6.367592263871485,-3.4670553658482954,-2.4636976936105976,0.4337047014260349,,44.63191228499636,44.36402223166078,1.09197306772694,43.27204916393384,0.0,42.26378048769116,18.764911062463426,39.33037733366563,20.52893305156871,11583.041399773323,1245.895111494221,1789.9019421661178,1334.4266499495388,117.84991398136671
18,720,49.93561185554229,-6.702907413472173,-3.116658047153132,-3.1589984820384607,0.4240950197242362,1.2084656953811646,42.19190439209342,41.42366945790127,1.0924048884771764,40.33126456942409,0.524553348775953,42.20003273036235,19.91888802820776,30.849510864970824,16.00061004708384,11590.171976118298,1230.9718906726882,1749.443941072962,1337.2471006178032,95.6684951312441
19,109,0.0,-17.53285708923382,-0.726102162885285,-1.4416998944860033,0.06454468229201069,,11.896122717298567,11.65474252589047,0.16612985264509916,11.48861267324537,0.0,23.301906507131957,6.950913473087617,31.463908233500977,0.0,1774.1481383093812,214.36944262850352,266.49109029521594,211.85848713556157,27.585539252936307
