episode,steps,final_battery,total_reward,total_directional_reward,total_battery_reward,total_movement_penalty,loss,episode_time,rollout_time,inference_time,env_time,update_time,peak_solar_w,mean_solar_w,start_battery,min_battery,idle_mAh,motion_mAh,path_m,turn_integral,net_displacement_m,V_start,V_end,alpha_T,E_max,E_argmax
1,720,42.26898969281011,133.13411666516743,131.27848717069966,6.243577492356906,4.078780108594486,,43.15870927646756,42.91351820528507,0.8831607215106487,42.030357483774424,0.0,42.23751913281994,17.959189279241194,39.14720094663166,15.444907448859265,11592.055532642156,1227.9813235080749,1754.533592900441,1343.3130653196242,88.12378274350691,nan,nan,nan,nan,nan
2,104,0.0,-72.59970612914691,5.039491541854088,-77.2722689430998,0.32951728136514313,,13.66711332835257,13.376738108694553,0.11191956046968699,13.264818548224866,0.0,20.23116934688171,3.4679746532745233,38.6361344715499,0.0,1687.8802648416738,193.30026022925946,240.50935776273838,191.99126116083477,27.00036871643033,nan,nan,nan,nan,nan
3,81,0.0,-74.0487106763534,0.8231633262109116,-74.63498310226817,0.20738707201688605,,9.007902218960226,8.746449382044375,0.08715658076107502,8.6592928012833,0.0,3.3810942664519166,0.5999577345587919,37.31749155113408,0.0,1311.3081154505307,156.98862785778618,197.8653060129948,146.52171858489842,54.51892742733156,nan,nan,nan,nan,nan
4,71,0.0,-63.83114472348174,1.5760586010489668,-65.21013267320626,0.17238994487674053,,9.526193261146545,9.262478906661272,0.07729848101735115,9.185180425643921,0.0,3.5775206806055584,1.1323942845852317,32.60506633660313,0.0,1150.3459548027208,125.61400125359931,154.71829325974664,148.81175452134553,19.61740226858622,nan,nan,nan,nan,nan
5,64,0.0,-63.49290776784336,0.5787275661398873,-63.868934423352265,0.17012822759326005,,10.011934782378376,9.739716188982129,0.06948927603662014,9.670226912945509,0.0,2.6393767031581223,0.42502294913131444,31.934467211676136,0.0,1036.9148147230278,130.55674499292647,163.0821726099942,123.92265803509011,12.313585508238573,nan,nan,nan,nan,nan
6,83,0.0,-72.93329391220387,1.5364347579449542,-74.20501680016345,0.23058862367181282,,11.919363413006067,11.634063944220543,0.08954891469329596,11.544515029527247,0.0,8.430604398229606,1.1149404810661638,37.10250840008173,0.0,1344.028980447609,165.66457523505645,207.75230461895154,160.4622025566149,21.53480379083486,nan,nan,nan,nan,nan
7,79,0.0,-65.1185553758287,2.9199221946992506,-67.75655602433187,0.24376558738837398,,12.150418987497687,11.864772809669375,0.08463982585817575,11.7801329838112,0.0,20.781075177729548,2.3624092521125752,33.878278012165936,0.0,1281.771266931367,152.05607625205346,189.1161369506856,157.45457591372295,20.74161647751014,nan,nan,nan,nan,nan
8,720,39.8329140951764,139.30463225133437,143.62160882403037,0.18189345080978114,4.2055888854423555,2.4882164001464844,47.76162903290242,47.00851319357753,0.7627987964078784,46.24571439716965,0.47097562719136477,42.26345467372061,19.16715773668563,39.74196736977151,30.98714445125393,11582.399999999912,1184.6763778539864,1713.3622894521172,1334.4486758549667,238.87965758951768,nan,nan,nan,nan,nan
9,97,0.0,-53.88981973953062,8.55386875438563,-62.06053833719929,0.3476572913910262,,9.514181186445057,9.272877745330334,0.10459937900304794,9.168278366327286,0.0,19.07972647181502,6.004704595235177,31.030269168599645,0.0,1582.38360912634,176.78292471237168,216.9038725431485,187.03961796069467,49.561660006483365,nan,nan,nan,nan,nan
10,64,0.0,-62.08449868827334,0.7653695739291155,-62.66064830885935,0.16553668948678696,,7.764002605341375,7.524784890003502,0.06931575387716293,7.455469136126339,0.0,5.600756289158573,0.5290478410239868,31.330324154429672,0.0,1037.823916641407,121.39109216980623,152.21976356758077,105.09606815067012,37.3149181788687,nan,nan,nan,nan,nan
11,68,0.0,-66.49583949411975,0.2687853935326104,-66.57863743841098,0.15795687322346913,,12.857768973335624,12.562680358067155,0.07380407024174929,12.488876287825406,0.0,2.7967104633079747,0.2255702431916411,33.28931871920549,0.0,1101.8353959211413,127.50295994863585,159.3031423606406,135.48887389151884,36.15531773490125,nan,nan,nan,nan,nan
12,720,49.90818731636016,149.35606237322057,132.2605862505501,21.28926702461719,3.8774966722776827,,45.32866197358817,45.084098362363875,0.7676375610753894,44.316460801288486,0.0,42.25838187044955,17.410437583256222,39.26355380405157,20.600466780729093,11583.15254935519,1195.7297296187232,1685.5471475658792,1389.1162404035472,40.14702759123403,nan,nan,nan,nan,nan
13,72,0.0,-62.569929426169054,1.8237984494202986,-64.16538331557776,0.19733889561508988,,11.096902944147587,10.800487779080868,0.07754750922322273,10.722940269857645,0.0,6.349338014891809,1.6665638302531975,32.08269165778888,0.0,1167.3591832622742,135.39134251655653,168.34295617315416,136.95374669925235,15.246946664905979,nan,nan,nan,nan,nan
14,72,0.0,-58.42017527423693,3.074322769460298,-61.234188645093894,0.2307404471698594,,8.93455872591585,8.661919036880136,0.07781166769564152,8.584107369184494,0.0,13.640752643866325,2.54453997154286,30.61709432254695,0.0,1169.7757040415204,139.54133280226895,174.49478295314384,119.99841066951613,28.872987369973504,nan,nan,nan,nan,nan
15,143,0.0,-57.87864330908225,15.018522161685475,-72.15468091448238,0.6652583836160298,,13.228716253302991,12.991492210887372,0.15336481854319572,12.838127392344177,0.0,21.863637508053632,7.331615634252944,36.077340457241185,0.0,2314.260903955386,299.3646702384608,377.85602899371105,273.0696631848945,66.04079464455744,nan,nan,nan,nan,nan
16,720,70.3989084613325,233.36331677529162,161.78485165014257,76.42667431776438,4.53914773673042,2.391955852508545,47.22764776553959,46.59655086696148,0.7679261416196823,45.8286247253418,0.366208634339273,42.26054866897527,21.325373026376543,32.185571302450306,22.74444518660281,11582.521694242401,1174.20532461702,1701.745563369313,1345.7909582436125,155.3450069100051,nan,nan,nan,nan,nan
17,89,0.0,-63.82358662924618,4.603042978218447,-68.09659905375936,0.2936930390004745,,10.483206327073276,10.219445766881108,0.09659688081592321,10.122848886065185,0.0,20.326852087680564,3.3419770029545415,34.04829952687969,0.0,1442.85861981461,179.3923085978648,224.68610050054255,162.00741561723214,10.722398447697115,nan,nan,nan,nan,nan
18,115,0.0,-65.34706691194617,9.483814878227417,-74.31694647354372,0.46065838480478466,,11.536715539172292,11.283530350774527,0.12377304770052433,11.159757303074002,0.0,26.67242852419263,4.99835404551702,37.158473236771854,0.0,1858.9919997862987,223.2850648778428,281.00775258289065,226.31494087780783,20.813458065913892,nan,nan,nan,nan,nan
19,108,0.0,-54.40735157752881,11.042972259375352,-64.96967971287009,0.4369612882486526,,12.552490372210741,12.296831149607897,0.11569188348948956,12.181139266118407,0.0,25.229353743089476,6.157616407093393,32.48483985643504,0.0,1753.212274303117,205.67101102344807,254.48111592592323,211.4357312904571,30.376792699947654,nan,nan,nan,nan,nan
20,77,0.0,-57.41240079729759,4.498808486845053,-61.58428876522261,0.2881034604259784,,10.069629862904549,9.864206788130105,0.08284343127161264,9.781363356858492,0.0,15.492103184112127,3.4637928869520316,30.79214438261132,0.0,1249.2109855352069,165.86523775576464,206.39216530893106,153.56966355828428,14.531340749441375,nan,nan,nan,nan,nan
21,720,46.30240630053017,145.3057780222762,126.64563658897357,22.862405193158438,3.9100338498845106,,39.20194110274315,38.95762425288558,0.7675902834162116,38.19003396946937,0.0,42.24732612642989,17.16761042394214,34.87120370395095,12.342608932713816,11611.259040790832,1227.2745220512961,1705.3233468390765,1360.217055214381,180.1080564145216,nan,nan,nan,nan,nan
22,97,0.0,-64.85973130999244,6.0082919376399895,-70.46136393109067,0.3598166720512003,,10.884702276438475,10.616913947276771,0.10445716325193644,10.512456784024835,0.0,13.50330854273548,4.109475936860515,35.230681965545344,0.0,1572.854705812091,199.60707703935492,250.71246548525335,185.00621175806273,43.555422222355354,nan,nan,nan,nan,nan
23,121,0.0,-55.69125616643308,12.501622304604867,-67.57654019015956,0.555380845816187,,12.029671279713511,11.767981517128646,0.12981759011745453,11.638163927011192,0.0,29.66480921478894,6.569008888330988,33.78827009507979,0.0,1962.6314757999576,246.0571829907559,308.0932649149182,232.07688343060533,42.82377855772932,nan,nan,nan,nan,nan
24,66,0.0,-62.42556001447987,1.0236548744752134,-63.2289765870913,0.1868628288215291,,9.64717923477292,9.357999603264034,0.07159068062901497,9.286408922635019,0.0,5.926438113252897,0.9635576503717491,31.614488293545655,0.0,1070.0273942548781,139.20724442713293,173.79731800005985,132.28795268250855,21.295309739831193,nan,nan,nan,nan,nan
