episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,grad_norm_control,grad_norm_aux,lr_scale,certifiable_frac,cert_violation,cert_mean_dV,cert_mean_V,cert_worst_slack,cert_in_ball_rate,cert_certifiable_frac,cert_alpha_q05,cert_alpha_q25,cert_alpha_q50,cert_alpha_used,cert_alpha_next,cert_alpha_nonpos_frac,cert_nstep,cert_n_samples,v_critic_violation,v_critic_mean,v_critic_min,v_agreement,v_critic_alpha_q05,v_critic_alpha_q25,v_critic_alpha_q50,v_critic_alpha_nonpos_frac,v_critic_violation_direct,v_critic_nonpos_direct,v_bellman_delta_mean,v_bellman_delta_std,v_bellman_delta_q95,softplus_beta,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha,lag_lambda,lag_j_c,lag_violation,lag_frozen,lag_cost_scale,attn_entropy,critic_ev,critic_rmse_norm,critic_rmse_abs,returns_std,returns_mean,xv_true_corr,xv_true_rank,xv_true_flat_frac,ood_v_min,ood_v_mean,ood_nonneg_frac,ood_monotone_frac,ood_slope_corr,ood_range
8,32,32,0.0,-0.006969181587919593,316.26515007019043,,,,,,,,,6.9985994547605515,0.0,0.15338655819462058,,0.38867293018847704,-0.19665116537362337,0.2978739715181291,0.5002396600320935,0.22281212359666824,0.7914062514901161,-0.0004177008913757163,0.006237383000552654,0.01798162702471018,0.010000000000000009,0.009500000000000008,0.06293870543595403,150.0,88.625,,,,,,,,,,,,,,,,,,0.004057941630890127,0.04200908960774541,0.10542907612398267,0.000161820470651719,0.008792251464910805,0.9554904208518595,0.10000000149011612,4.929168703218338,3.6791687032183384,1.0,57.00889205932617,nan,-0.0009927749633789062,1.00053071975708,18.48568344116211,18.47587776184082,-0.2421124279499054,0.12711088359355927,0.1543656438589096,0.107421875,-0.2763969302177429,0.09586914628744125,0.776171863079071,0.39453125,0.03872651606798172,0.03463931381702423
16,32,32,0.0,-0.00298894991283305,244.6540389060974,,,,,,,,,6.541760981082916,0.0,0.20770937309707807,,0.3659260990098119,-0.18606183677911758,0.30713500175625086,0.45550500974059105,0.2074778527021408,0.8923071846365929,-0.00777977552570519,0.003310918342322111,0.01670742779970169,0.009500000000000008,0.009025000000000007,0.10766624240204692,150.0,98.125,,,,,,,,,,,,,,,,,,0.004091772123501869,0.04674697469454259,0.10550059750676155,0.0005493420658240211,0.011229459923924878,0.9122269125366679,0.10000000149011612,5.943509183904384,4.693509183904384,1.0,57.0001993560791,nan,0.10373896360397339,0.9528168439865112,16.417369842529297,17.2303524017334,3.20011043548584,0.5823961496353149,0.5741549730300903,0.0888671875,-2.99453067779541,-1.3184198141098022,0.24882812798023224,0.1558159738779068,-0.011692930944263935,0.07929154485464096
25,36,36,0.0,0.002303076843317184,277.07478586832684,,,,,,,,,6.194392349984911,0.0,0.26637733727039525,,0.42555926657385296,-0.21415187625421417,0.38536756651269066,0.5216869554585881,0.1635566900173823,0.8964543276362948,-0.005849858771802651,0.0031220134761598376,0.013660485545794169,0.009025000000000007,0.008573750000000007,0.19727014688154063,150.0,91.88888888888889,,,,,,,,,,,,,,,,,,0.0027624520338981207,0.025357238275723323,0.10560024074382252,0.001088756856107567,0.011137166655518942,0.8676892112783667,0.10000000149011612,6.825977148156794,5.575977148156794,1.0,57.44551100692749,nan,0.1908562183380127,0.9022061228752136,17.25267219543457,19.122760772705078,2.715575695037842,0.3268328309059143,0.31116214394569397,0.0712890625,-4.395364761352539,-1.385646104812622,0.375,0.1032986119389534,-0.01585194282233715,0.10662257671356201
30,28,28,0.0,-0.004939406943906631,257.63730566842213,,,,,,,,,6.380450240203312,0.0,0.31322957279774954,,0.44783770931618555,-0.19446673510330065,0.30754899233579636,0.47590141211237225,0.17376938462257385,0.9240997987134116,-0.004724251563727323,0.003112349659204483,0.010490009827273232,0.008573750000000012,0.008145062500000006,0.17622077172355993,150.0,115.71428571428571,,,,,,,,,,,,,,,,,,0.0024391627105485114,0.017225681371720775,0.10571143323821681,0.0016901310840954206,0.009711351744564516,0.833677234789757,0.10000000149011612,5.734011817256279,4.484011817256279,1.0,57.5762173348465,nan,0.17623180150985718,0.9512407183647156,17.285518646240234,18.171550750732422,6.492197036743164,0.5213677883148193,0.5797744989395142,0.0986328125,-5.8183183670043945,-1.5659632682800293,0.44414064288139343,0.094618059694767,-0.012907714582979679,0.13723932206630707
32,24,24,0.0,-0.005049820678929488,226.86542828877768,,,,,,,,,6.749764293432236,0.0,0.3531847291260366,,0.48847657814621925,-0.18092691712081432,0.32971634591619176,0.4206578694283962,0.13434244443972906,0.933007816473643,-0.0050071672691653175,0.0028067740301291146,0.008979565153519312,0.008145062500000003,0.007737809375000006,0.11794077760229509,150.0,148.83333333333334,,,,,,,,,,,,,,,,,,0.003505673414717118,0.034147135622333735,0.10581487572441499,0.0022490412229672074,0.011572835229647657,0.805718114172581,0.10000000149011612,5.919438708626088,4.669438708626088,1.0,57.60122000829979,nan,0.3304653763771057,0.8809630274772644,16.00849151611328,18.171581268310547,9.996591567993164,0.05960843339562416,-0.08168131113052368,0.072265625,-7.54282808303833,-3.80716872215271,0.2750000059604645,0.21484375,-0.01537418644875288,0.19838547706604004
34,24,24,0.0,-0.001037219645998751,248.43171628316244,,,,,,,,,5.865399698416392,0.0,0.39312522529943256,,0.5406041443347931,-0.1553723867982626,0.3601977104942004,0.5286700328191122,0.11399739235639572,0.9630859394868215,-0.013860564911738038,0.00024801430602868396,0.006362723807493846,0.007737809375000008,0.007350918906250005,0.2242498149474462,150.0,162.83333333333334,,,,,,,,,,,,,,,,,,0.0035488557283921787,0.033658854120100536,0.10592008599390586,0.002816899369160334,0.011124932828048864,0.7786966615077787,0.10000000149011612,2.3825441049819385,1.1325441049819385,1.0,57.777304060658196,nan,0.38469481468200684,0.8425205945968628,15.686747550964355,18.61882972717285,10.244241714477539,0.0035917286295443773,0.1133364886045456,0.01953125,-9.609197616577148,-4.627697944641113,0.2679687440395355,0.1692708283662796,-0.04293067380785942,0.7093865275382996
43,36,36,0.0,-0.003318568846831719,158.68270768059625,,,,,,,,,9.298866742187077,0.0,0.4501773508670514,,0.4254526152378983,-0.15800445857975218,0.2740570728977521,0.34961082362052465,0.09388020634651184,0.8148871544334624,-0.002876091496242831,0.003267776221036911,0.008461756010850271,0.007350918906250005,0.007464909554562051,0.12347603340943654,150.0,104.33333333333333,,,,,,,,,,,,,,,,,,0.004426787511167479,0.04722222230500645,0.10606579172114532,0.0036024091855829787,0.012302991934120655,0.7416439755401004,0.10000000149011612,6.6395076151659165,5.3895076151659165,1.0,58.07872032058872,nan,0.4091237187385559,0.7708466649055481,15.31887435913086,19.872791290283203,2.023355722427368,0.3242420554161072,0.36557069420814514,0.05078125,-11.726847648620605,-3.3642871379852295,0.4156250059604645,0.01128472201526165,-0.04484172165393829,0.715341329574585
45,24,24,0.0,-0.0047126098749383045,147.9590187072754,,,,,,,,,5.995491584142049,0.0,0.4900737304184459,,0.5238639066616694,-0.15740992377201715,0.3153972116609414,0.37067436799407005,0.19244791318972906,0.9319010451436043,-0.00428304000524804,0.002095770090818405,0.0068505120774110155,0.007464909554562054,0.007091664076833948,0.10566990861358742,150.0,161.83333333333334,,,,,,,,,,,,,,,,,,0.006350726151140407,0.08782552074020107,0.10621584641436736,0.004410288839911421,0.00872770237037912,0.7167713839641098,0.10000000149011612,3.3028452714081,2.0528452714081,1.0,57.6508187642029,nan,0.4851416349411011,0.8204257488250732,14.758299827575684,17.98858642578125,13.521133422851562,0.06155731901526451,0.07508314400911331,0.072265625,-14.664928436279297,-5.344267845153809,0.3218750059604645,0.0004340277810115367,-0.05429363250732422,0.7804173231124878
52,24,24,0.0,-0.0002557765692472458,190.42599042256674,,,,,,,,,7.275329172611237,0.0,0.5305297872773712,,0.32753238019843894,-0.18952954187989235,0.39564451202750206,0.6461452593406042,0.17318786680698395,0.8564695964256922,-0.003942558658309281,0.004358441258470218,0.018790991355975468,0.007091664076833951,0.006737080872992251,0.16893396930148205,150.0,62.333333333333336,,,,,,,,,,,,,,,,,,0.0074157381265346585,0.10349584308763345,0.10634929065903027,0.005127750628162175,0.01071978018929561,0.6923884174916424,0.10000000149011612,7.528503613387142,6.278503613387142,1.0,58.24205784523763,nan,0.4329746961593628,0.757677435874939,16.87193489074707,22.26796531677246,1.9820060729980469,0.21009179949760437,0.23595882952213287,0.1669921875,-17.540403366088867,-4.564571380615234,0.4371093809604645,0.0225694440305233,-0.04841667786240578,0.9504249095916748
60,24,24,0.0,-0.0027243873773841187,137.69784609476724,,,,,,,,,7.799297392368317,0.0,0.5704081167809255,,0.2624200402448575,-0.21146072509388128,0.36077140892545384,0.6195327577491602,0.17050720502932867,0.7947105914354324,-0.002965689442741374,0.006372728074590365,0.021961833039919536,0.006737080872992251,0.006400226829342638,0.1241830267633001,150.0,61.666666666666664,,,,,,,,,,,,,,,,,,0.00810772241675295,0.1100806330020229,0.10649113139758508,0.005889444495551288,0.022076884905497234,0.6691518628929104,0.10000000149011612,9.106461711651555,7.856461711651555,1.0,58.75661259332334,nan,0.36025166511535645,0.7999693751335144,16.013681411743164,20.017868041992188,-3.710066080093384,0.4492412507534027,0.488143652677536,0.0830078125,-17.96708869934082,4.085993766784668,0.744140625,0.0,-0.06739892810583115,1.3678250312805176
