episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,grad_norm_control,grad_norm_aux,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha
2,24,24,0.0,0.002296566109483441,17.372740626335144,,,,,,,,,5.929792592922847,0.0,,,,0.006594853349573289,0.0830403648627301,0.17509549918274084,0.0033627204926839718,0.016747834199729066,0.969765359108249
4,24,24,0.0,-0.0004162243179356058,10.141038596630096,,,,,,,,,4.686589697996776,0.0,,,,0.005431374777496482,0.06949869822710752,0.17795614960292974,0.010564925847575068,0.01587032402555148,0.9404448517263514
6,24,24,0.0,-0.0007993301842361689,11.509615163008371,,,,,,,,,5.144074708223343,0.0,,,,0.007603482040091573,0.09580078177774946,0.18091798449556032,0.017903483433959384,0.01716143967738996,0.9120108393559102
8,24,24,0.0,-0.006436399222972493,11.926284829775492,,,,,,,,,3.9000527759393058,0.0,,,,0.006493671620167636,0.08001302105064194,0.18385180458426476,0.025055230129510164,0.018221333002050717,0.8844365191385997
10,24,24,0.0,-0.0014488554540245484,11.118692457675934,,,,,,,,,4.113611300786336,0.0,,,,0.007594800117658451,0.10345052074020107,0.1870283161600431,0.03267543336066107,0.019357331097126007,0.8576958985908939
12,24,24,0.0,-0.0035424348122129836,8.917338281869888,,,,,,,,,3.9532990157604218,0.0,,,,0.006393747566714107,0.08408203162252903,0.19018402881920338,0.04012192009637753,0.023393614528079826,0.8317637711026707
14,24,24,0.0,-0.006302845955360681,9.71993229786555,,,,,,,,,3.664137899875641,0.0,,,,0.004472514631440087,0.04892578135089328,0.19340786524116993,0.04760669202854236,0.022244745943074424,0.8066156921766136
16,24,24,0.0,-0.0020846070256084204,10.576656897862753,,,,,,,,,3.4940194189548492,0.0,,,,0.005850935599786074,0.0739583334652707,0.1967752439280351,0.055298542603850365,0.022613333305343986,0.7822279563860023
18,24,24,0.0,-0.0029763021739199758,5.787731925646464,,,,,,,,,3.282129247983297,0.0,,,,0.006489635509448514,0.08421223983168602,0.20021231720844904,0.06302174056569736,0.023010205011814833,0.7585775750291838
20,24,24,0.0,0.002168842824175954,12.476873914400736,,,,,,,,,3.239643027385076,0.0,,,,0.005114055439965644,0.057291666666666664,0.20365625247359276,0.07063582011808951,0.02290202382331093,0.7356422544596414
