episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,grad_norm_control,grad_norm_aux,lr_scale,certifiable_frac,cert_violation,cert_mean_dV,cert_mean_V,cert_worst_slack,cert_in_ball_rate,cert_certifiable_frac,cert_alpha_q05,cert_alpha_q25,cert_alpha_q50,cert_alpha_used,cert_alpha_next,cert_alpha_nonpos_frac,cert_nstep,cert_n_samples,v_critic_violation,v_critic_mean,v_critic_min,v_agreement,v_critic_alpha_q05,v_critic_alpha_q25,v_critic_alpha_q50,v_critic_alpha_nonpos_frac,v_critic_violation_direct,v_critic_nonpos_direct,v_bellman_delta_mean,v_bellman_delta_std,v_bellman_delta_q95,softplus_beta,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha,lag_lambda,lag_j_c,lag_violation,attn_entropy,critic_ev,critic_rmse_norm,critic_rmse_abs,returns_std,returns_mean,xv_true_corr,xv_true_rank,xv_true_flat_frac,ood_v_min,ood_v_mean,ood_nonneg_frac,ood_monotone_frac,ood_slope_corr,ood_range
8,32,32,0.0,-0.002214370237197727,345.50321674346924,,,,,,,,,17.850847721099854,0.0,0.15338655819462058,,0.38867293018847704,-0.19665116537362337,0.2978739715181291,0.5002396600320935,0.22281212359666824,0.7914062514901161,-0.0004177008913757163,0.006237383000552654,0.01798162702471018,0.010000000000000009,0.009500000000000008,0.06293870543595403,150.0,88.625,,,,,,,,,,,,,,,,,,0.002976602903800085,0.026558744080830365,0.10542813781648874,0.00015672474199845965,0.005957580033282284,0.9554904208518595,0.10763581842184067,4.929168703218338,3.6791687032183384,nan,-0.0009927749633789062,1.00053071975708,18.48568344116211,18.47587776184082,-0.2421124279499054,0.12711088359355927,0.1543656438589096,0.107421875,-0.2763969302177429,0.09586914628744125,0.776171863079071,0.39453125,0.03872651606798172,0.03463931381702423
16,24,24,0.0,0.0009821559263703723,232.6966234842936,,,,,,,,,66.08089542388916,0.0,0.1957959750359973,,0.6155041009187698,-0.1465568502123157,0.4157586929698785,0.6977980857094129,0.06550151109695435,0.8106925040483475,-0.005613463959889486,0.0009232585628827413,0.006075906256834666,0.009500000000000008,0.009025000000000007,0.21379997519155344,150.0,93.33333333333333,,,,,,,,,,,,,,,,,,0.0002725420623998313,0.0,0.10547582836200793,0.0004151575837264924,0.010185293232401213,0.9215448170501063,0.12156344950199127,7.334149374813544,6.084149374813544,nan,0.00047475099563598633,1.0063679218292236,15.214372634887695,15.118102073669434,-1.4641876220703125,0.1062440574169159,0.18730570375919342,0.025390625,-0.3711199462413788,-0.27651235461235046,0.0,0.0212673619389534,-0.04838885739445686,0.0036845034919679165
24,32,32,0.0,-0.0007306052357307635,309.9357976913452,,,,,,,,,44.27264595031738,0.0,0.2498867258900876,,0.6357147712260485,-0.16821525897830725,0.3176629086956382,0.5751420073211193,0.050217846408486366,0.8516689222306013,-0.017304788896581158,0.003854678478091955,0.007062315009534359,0.009025000000000007,0.008573750000000007,0.15700885094702244,150.0,123.625,,,,,,,,,,,,,,,,,,0.0011105864409728383,0.00271997696836479,0.10551427118480206,0.0006233837193576619,0.011852634663227946,0.8799850796347936,0.13971401751041412,8.208063705822179,6.958063705822179,nan,0.00034999847412109375,1.0004631280899048,17.341346740722656,17.33331871032715,0.8274030089378357,0.04077791050076485,0.05646560341119766,0.033203125,-0.2921152412891388,-0.20464761555194855,0.0,0.0629340261220932,-0.029398638755083084,0.002718730363994837
29,28,28,0.0,-0.0032300109243286507,302.0772269112723,,,,,,,,,19.218267338616506,0.0,0.2966887691459847,,0.24210159054824285,-0.22575136167662485,0.3237967661448887,0.4155456817575863,0.271649922643389,0.9134654040847506,0.0015955423815674813,0.008938387568507875,0.02027622823204313,0.008573750000000012,0.007986777472205586,0.020289340455617224,150.0,104.57142857142857,,,,,,,,,,,,,,,,,,0.0018289348632346705,0.008363095211929508,0.10558984561690263,0.0010325057727251469,0.01263352915910738,0.8455311843971567,0.15444377064704895,6.261626187769008,5.011626187769008,nan,0.0005276799201965332,1.0528361797332764,17.663923263549805,16.7774658203125,5.8470377922058105,0.10101190954446793,0.05173197388648987,0.111328125,-0.35523781180381775,-0.30785423517227173,0.0,0.0,-0.025615986436605453,0.0011368419509381056
36,32,32,0.0,0.0031123166845645756,336.18743419647217,,,,,,,,,39.1610369682312,0.0,0.34963372329015224,,0.5305027943104506,-0.16409223899245262,0.33797469176352024,0.48524964321404696,0.1131760161370039,0.8144152406603098,-0.020079188980162144,0.00017953244969248772,0.006783440709114075,0.007986777472205582,0.007587438598595306,0.24336626008152962,150.0,111.5,,,,,,,,,,,,,,,,,,0.002787453523978911,0.02105502417543903,0.10570521163754165,0.0016565078949497547,0.00830465366016142,0.8081649291125369,0.17074939608573914,6.268342502982675,5.018342502982675,nan,0.0009003877639770508,1.0001157522201538,18.49675178527832,18.494611740112305,1.8171226978302002,0.1417548954486847,0.12305552512407303,0.056640625,-1.2306677103042603,-1.194017767906189,0.0,0.0017361111240461469,-0.0531039759516716,0.0035031228326261044
43,32,32,0.0,0.0015570878458674997,271.06279277801514,,,,,,,,,26.724858105182648,0.0,0.40296917945824573,,0.6971782576292753,-0.14089677087031305,0.28159816563129425,0.3365800157189369,0.08313360996544361,0.9066795744001865,-0.011736600161384558,0.0024537891149520874,0.005900198593735695,0.007587438598595309,0.00720806666866554,0.11048667191062123,150.0,120.0,,,,,,,,,,,,,,,,,,0.0012899793878204946,0.003279125434346497,0.10581249743700027,0.0022361741393979173,0.006223773641977459,0.7721755558384981,0.18856041133403778,6.2110721889237155,4.9610721889237155,nan,0.00042378902435302734,1.000207543373108,16.442445755004883,16.43903350830078,2.016371250152588,0.11002089828252792,0.17612099647521973,0.02734375,-1.6015677452087402,-1.540322184562683,0.0,0.00824652798473835,-0.03616923838853836,0.0017821826040744781
49,32,32,0.0,-0.0018555576098151505,307.07454013824463,,,,,,,,,31.274114459753036,0.0,0.45402934775130344,,0.593722096644342,-0.12339794251602143,0.3685622988268733,0.5563983116298914,0.11017090082168579,0.872221676632762,-0.016580209477979224,-0.0010489895939826965,0.0037519587203860283,0.007208066668665546,0.006847663335232263,0.3453426812775433,150.0,118.25,,,,,,,,,,,,,,,,,,0.0008305912256219017,0.000732421875,0.10594952502287924,0.002975692979816813,0.008388430112972856,0.7392059128251384,0.202379047870636,4.786201465700175,3.5362014657001746,nan,0.0010520219802856445,1.0011694431304932,17.29224967956543,17.272050857543945,2.7829549312591553,0.22024327516555786,0.27752670645713806,0.0361328125,-1.803133249282837,-1.7756210565567017,0.0,0.005642361007630825,-0.033972371369600296,0.0017091874033212662
55,32,32,0.0,0.009062551194801927,290.0991792678833,,,,,,,,,51.66174632310867,0.0,0.5040601439031004,,0.20572684425860643,-0.22477923333644867,0.34819953236728907,0.5109527315944433,0.1933070570230484,0.8921247255057096,0.0012451636750938633,0.008971476461738348,0.014984987676143646,0.006847663335232263,0.006798379054434714,0.03948856075294316,150.0,101.0,,,,,,,,,,,,,,,,,,0.0008675004073666059,0.000244140625,0.10607848945073783,0.003670815938676242,0.010511481232242659,0.7082477201251439,0.2306039035320282,7.777956206328235,6.527956206328235,nan,0.0020017027854919434,1.0140540599822998,17.319581985473633,17.079544067382812,5.190690517425537,0.23886889219284058,0.08380987495183945,0.0576171875,-2.2487101554870605,-2.2143707275390625,0.0,0.0212673619389534,-0.03989787399768829,0.0018372857011854649
64,24,24,0.0,-0.0016330578364431858,325.78886795043945,,,,,,,,,98.13759358723958,0.0,0.5450892071594774,,0.46241793781518936,-0.1376348091289401,0.289097639421622,0.4105080800751845,0.0,0.7509765625,-0.02261108501503865,-0.0070815471311410265,0.0072417544821898145,0.006798379054434711,0.0064584601017129775,0.283787639811635,150.0,88.66666666666667,,,,,,,,,,,,,,,,,,0.00012529090205741036,0.0,0.1061613525574406,0.004117079467202227,0.013862246802697578,0.6838144464879258,0.2645223140716553,8.111203045035195,6.861203045035195,nan,0.0020887255668640137,1.109002947807312,18.24506378173828,16.451772689819336,-4.489563941955566,0.1646738201379776,0.14338411390781403,0.0,-3.4699366092681885,-3.434011936187744,0.0,0.0,-0.0570860281586647,0.004558047279715538
67,24,24,0.0,-9.625257613758247e-05,245.11982854207358,,,,,,,,,9.0433802207311,0.0,0.5873646161519356,,0.44635135183731717,-0.14434171468019485,0.30551668008168537,0.3759585420290629,0.16555884977181753,0.9378255158662796,-0.016661570291034877,-3.326063354810079e-05,0.008812546730041504,0.006458460101712974,0.0061355370966273285,0.2511141753445069,150.0,143.0,,,,,,,,,,,,,,,,,,0.00351609410669577,0.03814369083071748,0.10629641854514678,0.004843499666700761,0.01523373924040546,0.659505022052429,0.2863927483558655,5.221919992627458,3.971919992627458,nan,0.0012145042419433594,1.0640137195587158,16.401844024658203,15.415068626403809,7.880588054656982,0.16765610873699188,0.2711080014705658,0.1083984375,-2.2720885276794434,-2.251405715942383,0.0,0.0,-0.03102998062968254,0.0010761553421616554
