d_lo,d_hi,d_mid,n,V_min,V_mean,V_max
0.0,0.03274349255204411,0.016371746276022055,1856,0.13610605895519257,0.5413428958071845,0.8413487076759338
0.03274349255204411,0.06548698510408822,0.04911523882806616,1018,0.12728121876716614,0.48777494117002823,0.8636350035667419
0.06548698510408822,0.09823047765613233,0.08185873138011027,683,0.12815876305103302,0.4178082877510987,0.8572640419006348
0.09823047765613233,0.13097397020817644,0.11460222393215438,522,0.13023458421230316,0.38670677120772357,0.8716952204704285
0.13097397020817644,0.16371746276022056,0.1473457164841985,453,0.13366913795471191,0.33757472890233886,0.9073224067687988
0.16371746276022056,0.19646095531226465,0.1800892090362426,413,0.1387883871793747,0.2998644590882932,0.9099143743515015
0.19646095531226465,0.22920444786430877,0.2128327015882867,404,0.15183043479919434,0.29904812703480815,0.9274919629096985
0.22920444786430877,0.2619479404163529,0.24557619414033083,410,0.16246044635772705,0.3108621909124095,0.9200727939605713
0.2619479404163529,0.294691432968397,0.27831968669237495,410,0.17524470388889313,0.33680022129925286,0.9373295903205872
0.294691432968397,0.3274349255204411,0.31106317924441906,424,0.19686713814735413,0.35439161857906376,0.7887483835220337
0.3274349255204411,0.36017841807248524,0.3438066717964632,421,0.22665676474571228,0.37057535028231114,0.5929567217826843
0.36017841807248524,0.3929219106245293,0.3765501643485073,438,0.24743682146072388,0.40309314477389263,0.6529713869094849
0.3929219106245293,0.4256654031765734,0.40929365690055136,447,0.2791551351547241,0.4347102856076004,0.6884039044380188
0.4256654031765734,0.45840889572861754,0.4420371494525955,456,0.30797716975212097,0.4771932470693923,0.7592970132827759
0.45840889572861754,0.49115238828066166,0.4747806420046396,532,0.33838531374931335,0.5352388727933841,0.8496400117874146
0.49115238828066166,0.5238958808327058,0.5075241345566837,651,0.3911958336830139,0.6278282549066294,1.2153739929199219
0.5238958808327058,0.5566393733847499,0.5402676271087279,932,0.456004798412323,0.7354480664489607,1.3086827993392944
0.5566393733847499,0.589382865936794,0.5730111196607719,1224,0.5144880414009094,0.8513073280356289,1.3631939888000488
0.589382865936794,0.6221263584888381,0.6057546122128161,1294,0.5925918817520142,0.9798606558597807,1.4181867837905884
0.6221263584888381,0.6548698510408822,0.6384981047648601,908,0.6256358623504639,1.0376944828138477,1.4473810195922852
0.6548698510408822,0.6876133435929264,0.6712415973169044,507,0.6883127689361572,1.0995897059374777,1.4559497833251953
0.6876133435929264,0.7203568361449705,0.7039850898689484,197,0.8518248796463013,1.1944766428869993,1.4798098802566528
0.7203568361449705,0.7531003286970146,0.7367285824209926,123,0.9028266668319702,1.1807966426136047,1.3980598449707031
0.7531003286970146,0.7858438212490586,0.7694720749730366,131,0.9829883575439453,1.2051070077728678,1.4594628810882568
