episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,grad_norm_control,grad_norm_aux,lr_scale,certifiable_frac,cert_violation,cert_mean_dV,cert_mean_V,cert_worst_slack,cert_in_ball_rate,cert_certifiable_frac,cert_alpha_q05,cert_alpha_q25,cert_alpha_q50,cert_alpha_used,cert_alpha_next,cert_alpha_nonpos_frac,cert_nstep,cert_n_samples,v_critic_violation,v_critic_mean,v_critic_min,v_agreement,v_critic_alpha_q05,v_critic_alpha_q25,v_critic_alpha_q50,v_critic_alpha_nonpos_frac,v_critic_violation_direct,v_critic_nonpos_direct,v_bellman_delta_mean,v_bellman_delta_std,v_bellman_delta_q95,softplus_beta,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha,attn_entropy,critic_ev,critic_rmse_norm,xv_true_corr,xv_true_rank,xv_true_flat_frac,ood_v_min,ood_v_mean,ood_nonneg_frac,ood_monotone_frac,ood_slope_corr,ood_range
8,32,32,0.0,-0.003703248978126794,0.046436510085186455,,,,,,,,,7.757967077195644,0.0,0.22010806781340528,,0.38867293018847704,-0.19665116537362337,0.2978739715181291,0.5002396600320935,0.22281212359666824,0.7914062514901161,-0.0004177008913757163,0.006237383000552654,0.01798162702471018,0.010000000000000009,0.009500000000000008,0.06293870543595403,150.0,88.625,0.9716190695762634,1.0864694006741047,0.7015442531555891,0.7204512383323163,-0.0064144057396333665,-0.001620417310277844,0.0012903641322736803,0.38331588078290224,0.9023852273821831,0.4590473584830761,-0.0016799494765109557,0.011634974245680496,0.02476946427486837,0.30086008587853547,,,,0.004167402115854202,0.04089918883983046,0.10544288600794971,0.00023665043678988695,0.011571718350751325,0.9026289515247966,nan,-0.0534977912902832,1.1128110885620117,-0.15426485240459442,-0.16655147075653076,0.107421875,0.48986193537712097,0.9100155234336853,1.0,0.6141493320465088,-0.03720475360751152,0.027941375970840454
14,28,28,0.0,-0.0035317460008497748,0.03495633001771888,,,,,,,,,7.266110335077558,0.0,0.3300318161998668,,0.4105586526649339,-0.24480384535023145,0.4638978051287787,0.6178383954933712,0.21016023201601847,0.8480947102819171,-0.0015155489797637398,0.0028686534081186566,0.015482192592961448,0.009500000000000008,0.009025000000000007,0.18147714329617365,150.0,108.85714285714286,0.9274288501058306,1.1982737268720354,0.7125207483768463,0.5765468951846872,-0.006846809560166938,-0.0022499139356243958,0.001619660834096846,0.39001047185489107,0.8984184009688241,0.4732594851936613,-0.0023725135277865256,0.012990111085985388,0.02391228631937078,0.2999747096362793,,,,0.002845868231296273,0.02648676687385887,0.10554463709039348,0.0007877987040306575,0.00968292954244784,0.8218045066154435,nan,0.49522680044174194,0.7667126059532166,0.3396868109703064,0.32828277349472046,0.134765625,0.7569430470466614,1.068823218345642,1.0,0.9418402910232544,0.042332231998443604,0.022536419332027435
24,36,36,0.0,-0.005451246889101135,0.024935071220776688,,,,,,,,,6.951168258984883,0.0,0.4640464417450007,,0.49592165980074143,-0.20107021431128183,0.2888244022097852,0.33098021646340686,0.18464410139454734,0.8374479148123,-0.007576939067803323,-0.0011478679047690497,0.009316192732916938,0.009025000000000007,0.008573750000000007,0.284464281052351,150.0,88.11111111111111,0.9859058111906052,1.3308196167151134,0.6053105849358771,0.7444378253486421,-0.0063291471839571995,-0.0030293826776970592,8.088188213959156e-05,0.49435017506281537,0.859342215789689,0.5129664027028613,-0.0008495601500473842,0.013714160330386626,0.027651959668017097,0.29828240567626363,,,,0.0029239553696243092,0.02769097199456559,0.10570255211657947,0.001642066965966175,0.011756808729842305,0.7329026572494544,nan,0.7028638124465942,0.5744577050209045,0.6185176968574524,0.6105512380599976,0.1533203125,0.6266264319419861,1.2022336721420288,1.0,0.984375,0.041561927646398544,0.0357278473675251
27,28,28,0.0,-0.00041073246393352747,0.03397383130088981,,,,,,,,,10.212536334991455,0.0,0.5601780098911621,,0.606261459844453,-0.1385414032265544,0.2348240858742169,0.32673678307660986,0.17883051293236868,0.942083865404129,-0.011366582176248943,0.004433284380606243,0.007910535803862981,0.008573750000000012,0.008297643035128281,0.19222024455666542,150.0,124.85714285714286,0.987667481814112,1.2017093918153219,0.716538382428033,0.5091739648154804,-0.005849173675025148,-0.0034336566500964443,-0.0017098160559336456,0.7001191792743546,0.862128591963223,0.47336944192647934,0.0020880730298813432,0.010978029358999006,0.021074437436514666,0.2993526995283586,,,,0.005306259891118056,0.07188695882047925,0.10587908380797931,0.0025956317799032797,0.008551825336845858,0.675038749794869,nan,0.7659669518470764,0.5198078751564026,0.42558279633522034,0.43900376558303833,0.1337890625,0.671598494052887,1.3159795999526978,1.0,0.8372395634651184,0.016311034560203552,0.014095185324549675
31,28,28,0.0,-0.005197082962175565,0.017962327958749875,,,,,,,,,5.482750398772104,0.0,0.6679084559914361,,0.24017245428902761,-0.21640004803027427,0.3087239893419402,0.6253675052097866,0.30124248777117046,0.9311139030115945,-0.007531060186530729,0.009201438831431525,0.02217670955828258,0.008297643035128281,0.007882760883371866,0.07980871865791934,150.0,98.57142857142857,0.9844471535512379,1.1159722294126238,0.538363624896322,0.6560215747782162,-0.00610223163052329,-0.003386617122617151,5.473286884288038e-06,0.4975782388022968,0.853767624923161,0.444253004023007,0.0010487789743040463,0.010961067713131862,0.02333119012681501,0.2966472397585987,,,,0.006105431559262797,0.07649929342525345,0.10605720004865102,0.00355610837660996,0.007824519665778748,0.6155114143444488,nan,0.7514746189117432,0.5041049718856812,0.565978467464447,0.6399745345115662,0.2197265625,0.6850219368934631,1.2098758220672607,1.0,0.5286458134651184,-0.004676565993577242,0.0068830386735498905
34,28,28,0.0,-0.006639374287000724,0.019646299021717693,,,,,,,,,6.071910296167646,0.0,0.7689035751936873,,0.47879913236413685,-0.12294761224516801,0.23311685185347283,0.6549862548708916,0.07197127597672599,0.9601862984044212,-0.019804989553189704,0.002374551658119474,0.008503754224096025,0.007882760883371866,0.007488622839203272,0.17300779478890554,150.0,144.0,0.9599593899079731,1.0696480082614082,0.5921289484415736,0.6282262269939695,-0.005684061108955315,-0.0029412491962180604,-0.00042192745383675046,0.5440009364059993,0.8408927576882499,0.46908172219991684,0.0007020243402280357,0.012009909343240517,0.02395766753969448,0.2955498157500218,,,,0.0034270750516692977,0.03115495014935732,0.10627391215945993,0.0047225461541009804,0.007098056625441781,0.564383195383083,nan,0.7105647325515747,0.5380337834358215,0.48541930317878723,0.4619349539279938,0.0185546875,0.5413060784339905,1.0957297086715698,1.0,0.9613715410232544,0.021403979510068893,0.015074117109179497
41,32,32,0.0,-0.00884182289155433,0.02436211243912112,,,,,,,,,5.870431639254093,0.0,0.8854362037127644,,0.3470161999575794,-0.19831345323473215,0.29824545653536916,0.29592628218233585,0.16769476607441902,0.8571316208690405,-0.017913677118485793,0.004952644929289818,0.01432892307639122,0.007488622839203269,0.0071141916972431085,0.12095941323786974,150.0,100.375,0.9301084261387587,1.2137717306613922,0.5844698492437601,0.6931495554745197,-0.0057796726759988815,-0.002669045246875612,0.0003768248833466714,0.45443999022245407,0.8494662214070559,0.5150393946096301,-0.0007581729637422541,0.01372074159735348,0.026062189834192395,0.29400381838434225,,,,0.00669756284878531,0.08913031732663512,0.10651861038058996,0.006036753213265911,0.006992128648562357,0.5105158841766445,nan,0.7988281846046448,0.47753989696502686,0.5878590941429138,0.6141538619995117,0.0625,0.542803168296814,1.124022364616394,1.0,0.8532986044883728,0.005711258389055729,0.010124586522579193
44,24,24,0.0,-0.005374893221111658,0.011832417406064147,,,,,,,,,6.233154445886612,0.0,0.9789840331122678,,0.43027474731206894,-0.19220107483367124,0.3595611900091171,0.5792987793684006,0.12995692590872446,0.914055568476518,-0.01049479260109365,0.0013268118103345234,0.009987051288286844,0.0071141916972431085,0.006758482112380952,0.20183345240851244,150.0,150.66666666666666,0.8992208540439606,1.126091902454694,0.545195672661066,0.4126969712475936,-0.006840467860456556,-0.00390817864293543,0.00027698551093635615,0.48575419932603836,0.8263758098085722,0.4773214248319467,-0.00020889726177604948,0.01363364269491285,0.0239535685783873,0.2918935941876827,,,,0.006039984742528759,0.07958499489662547,0.10677051295836766,0.007386611483525485,0.010440621660867086,0.47091206217009024,nan,0.815560519695282,0.43146124482154846,0.3061273992061615,0.4398191571235657,0.041015625,0.5464922189712524,1.0805695056915283,1.0,0.796875,0.0004319778236094862,0.009860429912805557
49,28,28,0.0,-0.0070249114318617755,0.01520621677627787,,,,,,,,,5.683175095490047,0.0,0.9947790704013891,,0.3836464594517435,-0.13717866156782424,0.22366474409188544,0.3122729738908155,0.1433878732579095,0.9020462738616126,-0.02177104809587555,0.003844163247517177,0.013366903577532088,0.00675848211238095,0.006420558006761904,0.1502651870250702,150.0,124.42857142857143,0.9655958137341908,1.1929893025330134,0.5722643488219806,0.6853334073509488,-0.005329726862588099,-0.0032463756506331265,-0.001209839037203762,0.6408725849219731,0.8233128764799663,0.47438253994498936,0.0008656866817286105,0.013414222979918122,0.024508946309132234,0.29056508781528656,,,,0.007046569787364986,0.08880444456424032,0.10699499824217387,0.008586810968284096,0.013140078068577818,0.42954558467892967,nan,0.7731345295906067,0.47631916403770447,0.5830353498458862,0.6284388303756714,0.0732421875,0.5738292336463928,1.175658106803894,1.0,0.9140625,-0.008882568217813969,0.008769296109676361
52,24,24,0.0,-0.006687296127590041,0.01180150217260234,,,,,,,,,6.302652368942897,0.0,0.9937302316743201,,0.14058976527303457,-0.2562598157674074,0.32436153044303256,0.20902578781048456,0.4441571732362111,0.937510664264361,0.0029091650455181175,0.011591743677854538,0.025676360974709194,0.006420558006761907,0.006214004667083601,0.0,150.0,102.83333333333333,0.8733828788002332,0.9018541276454926,0.46588198840618134,0.6903857265909513,-0.0076425142857866986,-0.003116174222668633,0.001010717314784415,0.4425772801041603,0.7042264690001806,0.3807344747086366,0.0029619515410862127,0.016051217176330585,0.030172818961242836,0.2849024581836311,,,,0.00516706634274063,0.05720895187308391,0.10721294271449248,0.009749710327014327,0.013716169943412146,0.3960330965310011,nan,0.907723605632782,0.35175031423568726,0.6879937052726746,0.6153028011322021,0.361328125,0.5343614816665649,1.0286858081817627,1.0,0.9605034589767456,0.01106914971023798,0.009084237739443779
