episode,steps,final_battery,total_reward,total_directional_reward,total_battery_reward,total_movement_penalty,loss,episode_time,rollout_time,inference_time,env_time,update_time,peak_solar_w,mean_solar_w,start_battery,min_battery,idle_mAh,motion_mAh,path_m,turn_integral,net_displacement_m
1,720,42.26898969281011,-6.650737549991641,-3.3486670064807207,-2.87446761764802,0.4245112469699447,,42.879734873073176,42.63582545495592,0.7907354533672333,41.84509000158869,0.0,42.23751913281994,17.959189279241194,39.14720094663166,15.444907448859265,11592.055532642156,1227.9813235080749,1754.533592900441,1343.3130653196242,88.12378274350691
2,104,0.0,-17.45332568965407,-0.7211512573732741,-1.2487613957983874,0.058038922017032285,,13.58884759596549,13.296849092002958,0.09835024061612785,13.19849885138683,0.0,20.23116934688171,3.4679746532745233,38.6361344715499,0.0,1687.8802648416738,193.30026022925946,240.50935776273838,191.99126116083477,27.00036871643033
3,81,0.0,-17.522965317354675,-0.5382986656208939,-0.9364394371851493,0.04793217626582675,,8.9488808051683,8.68737647891976,0.07733465358614922,8.61004182533361,0.0,3.3810942664519166,0.5999577345587919,37.31749155113408,0.0,1311.3081154505307,156.98862785778618,197.8653060129948,146.52171858489842,54.51892742733156
4,71,0.0,-17.735772313770088,-0.579814831746512,-0.8686539235176274,0.03705675144145743,,9.46857302589342,9.203676942037418,0.06772404327057302,9.135952898766845,0.0,3.5775206806055584,1.1323942845852317,32.60506633660313,0.0,1150.3459548027208,125.61400125359931,154.71829325974664,148.81175452134553,19.61740226858622
5,64,0.0,-17.491230037960825,-0.23900209317354001,-0.7874518597391196,0.03945035821777585,,9.948060835013166,9.675123577937484,0.061114665353670716,9.614008912583813,0.0,2.6393767031581223,0.42502294913131444,31.934467211676136,0.0,1036.9148147230278,130.55674499292647,163.0821726099942,123.92265803509011,12.313585508238573
6,83,0.0,-17.34533807314609,-0.37911234879170935,-0.965662787345481,0.05022170454575169,,11.856739526847377,11.571034773020074,0.07919511781074107,11.491839655209333,0.0,8.430604398229606,1.1149404810661638,37.10250840008173,0.0,1344.028980447609,165.66457523505645,207.75230461895154,160.4622025566149,21.53480379083486
7,79,0.0,-17.58831480787175,-0.5121902346595635,-0.9801171692935785,0.045625844330515926,,12.088629789184779,11.801727131009102,0.07529685064218938,11.726430280366912,0.0,20.781075177729548,2.3624092521125752,33.878278012165936,0.0,1281.771266931367,152.05607625205346,189.1161369506856,157.45457591372295,20.74161647751014
8,720,39.8329140951764,-5.541419339635133,-3.094170935472209,-2.029695086678862,0.41462050610342327,1.4664644002914429,47.49890940194018,46.67489560414106,0.6759492661803961,45.99894633796066,0.539563087048009,42.26345467372061,19.16715773668563,39.74196736977151,30.98714445125393,11582.399999999912,1184.6763778539864,1713.3622894521172,1334.4486758549667,238.87965758951768
9,67,0.0,-17.735807817212567,-0.4997596352048382,-0.8509961776971954,0.03481481656364063,,7.311402624007314,7.070062855957076,0.06402667635120451,7.006036179605871,0.0,6.108199280140119,1.3498299970727854,31.030269168599645,0.0,1087.1349315386933,117.287508340858,144.9463442921052,131.54804111404795,12.186712945706024
10,102,0.0,-17.647098726788013,-0.7693457803784249,-1.3414371517902097,0.06089521280962867,,11.118891415884718,10.879394395044073,0.09712178097106516,10.782272614073008,0.0,27.225610723886273,5.8922384277798745,31.330324154429672,0.0,1657.5683597824793,201.1612112372575,250.03119539897838,173.39048654026413,64.79342695691086
11,71,0.0,-17.576861967932928,-0.4079230274938766,-0.876764578495986,0.04189325817861208,,13.18644939106889,12.891028804006055,0.06811568583361804,12.822913118172437,0.0,10.060980605120898,0.49909572224622956,33.28931871920549,0.0,1151.3557148143234,139.09970000377908,173.45086804479254,134.726812355832,60.34579982367129
12,720,43.14387828684562,-7.576090160258135,-3.441615790927586,-3.733741376373873,0.397621219283015,,43.11931696697138,42.875860295956954,0.6771807298064232,42.19867956615053,0.0,42.26202991242109,19.240483675381007,39.26355380405157,10.922325467828779,11605.55089322284,1173.9088515252959,1642.8339443180255,1370.4240678039307,51.81468120327607
13,80,0.0,-17.624190200842083,-0.5320219644702475,-1.0196724809187483,0.04714778968417914,,12.10090832808055,11.806811091955751,0.07669472368434072,11.73011636827141,0.0,17.810257478781207,3.032955138674393,32.08269165778888,0.0,1298.557411872099,156.3735905836885,194.97637304871745,151.88105027196815,26.437708997956296
14,720,54.579638109100856,-7.805265091650385,-3.312909356894738,-4.072466844870266,0.41658010035609544,1.3282299041748047,43.285132182063535,42.60292173991911,0.6784420604817569,41.924479679437354,0.41442161286249757,42.263193638166904,18.861814338776398,30.61709432254695,10.746231600616968,11618.623030537623,1241.8099871182492,1718.4869935470651,1327.641800248735,135.8108792724011
15,81,0.0,-17.645413849886964,-0.6639548451884933,-0.9371161481398829,0.04407295862775167,,11.267755354056135,10.987318972824141,0.07791370432823896,10.909405268495902,0.0,4.562544871982611,1.0386834738325719,36.077340457241185,0.0,1311.1306271944143,145.9853568462269,182.60694983994688,150.10021417439205,25.289186545772573
16,91,0.0,-17.550692092729356,-0.6406814764980017,-1.102373996027819,0.05720689964364048,,10.184556981083006,9.921678713988513,0.08729022112675011,9.834388492861763,0.0,12.954376983667899,4.470963897810997,32.185571302450306,0.0,1474.161793739748,188.09991107841338,236.0484915242981,169.89031192462284,25.03798827457809
17,70,0.0,-17.770304842182586,-0.6083611065176809,-0.8438360923248402,0.0427851638881636,,12.62113273399882,12.316691028187051,0.06752849789336324,12.249162530293688,0.0,0.8964578915198358,0.0795288363359535,34.04829952687969,0.0,1134.0805569555666,141.63223930205697,176.98099945965478,136.08162699915798,22.62548232701178
18,84,0.0,-17.581827612533388,-0.648359672856619,-0.9631839767861274,0.045020946953038245,,8.37001796788536,8.137658660067245,0.08015570743009448,8.05750295263715,0.0,3.9799579821534854,1.113153744261794,37.158473236771854,0.0,1359.5833730366564,148.30103942663277,186.14076868046476,152.79834855039675,27.51974385171143
19,720,69.33908205759111,-4.366769226167897,-2.221738630022279,-1.7478336633728524,0.3941308058012825,,38.08875719597563,37.83859251206741,0.6772498274222016,37.161342684645206,0.0,42.26280877644677,25.781713329594364,32.48483985643504,24.504150261420527,11582.403548275803,1098.922712579011,1630.625168703973,1380.2853581649356,65.2459669833457
20,82,0.0,-17.572510391968397,-0.5334409786288751,-1.0147804390947188,0.048898231053096784,,8.392568787094206,8.14593489211984,0.07847536774352193,8.067459524376318,0.0,16.45558739103664,3.9994546003559015,30.79214438261132,0.0,1328.1967976487197,162.6825841777497,202.78808295276656,160.28673033568552,55.810501943371825
21,74,0.0,-17.536795035381473,-0.43751520501482827,-0.882292759902663,0.041655216617868786,,9.610869301948696,9.352647505933419,0.07053718226961792,9.282110323663801,0.0,1.8995040110607069,0.47032050381879925,34.87120370395095,0.0,1198.5278742542903,137.30064438686207,172.15669633995336,136.31483186266053,35.27769253886053
22,147,0.0,-17.265430763927117,-1.0564838349007435,-1.7749420779028555,0.08343924318897106,,13.187042791163549,12.939968295861036,0.13939631753601134,12.800571978325024,0.0,29.544245540300576,7.422796650989818,35.230681965545344,0.0,2377.674377030806,277.402347329763,345.447752948599,287.03753662118186,49.39985616699294
23,79,0.0,-17.70142878269553,-0.6487869078135339,-0.949604342643406,0.05257898672817462,,10.858565159142017,10.571694287005812,0.07604647753760219,10.49564780946821,0.0,5.706636428617486,2.2471676451430294,33.78827009507979,0.0,1279.5946142199837,171.19836741923206,216.2693381129881,158.63268731166556,30.61069625806025
24,720,48.93244285008967,-7.606736644649482,-3.5360951664080456,-3.6421290241384705,0.42554703549265355,1.1673306226730347,44.59809516207315,43.7873062370345,0.67745480267331,43.10985143436119,0.5220916590187699,42.24125197131834,17.054248349730113,31.614488293545655,10.41599925561628,11609.355552992181,1266.2923512778216,1756.561260358611,1301.6091832887996,255.68876365613883
25,103,0.0,-17.50929424346302,-0.7622508361523527,-1.2367277697414432,0.05990405672374992,,10.82743248785846,10.572555970167741,0.0984674384817481,10.474088531685993,0.0,25.852188403824375,3.9041573779889753,37.01561209959996,0.0,1670.7029968654854,196.12023020280836,246.30370882755633,179.95698269533634,55.740771116966435
26,720,33.06563227758026,-7.003946735993389,-3.7954442313134953,-2.761287389411744,0.44392419312676556,,42.60445985314436,42.340042697964236,0.678078142227605,41.66196455573663,0.0,40.55683596807173,16.070806920279338,31.050564611894416,25.09935262021095,11582.399999999905,1301.8968954475133,1828.325056946248,1320.6928040505254,158.0001885725531
27,720,51.694031028340056,-5.376618960110125,-2.7174433697623757,-2.2280819552027173,0.427945618898985,1.3294767141342163,45.81812024884857,45.13014588714577,0.6762417366262525,44.45390415051952,0.40104101598262787,42.239353396795835,22.208657105546795,32.38423915216037,16.89602529900582,11586.948036892269,1209.1760940861911,1767.905617875938,1363.0923504410116,160.54781938549453
28,120,0.0,-17.30932137353217,-0.7927077413507182,-1.4239176786513847,0.06731642750943574,,16.57242025900632,16.27968225395307,0.11615203972905874,16.16353021422401,0.0,24.166713269113394,5.833638906301641,35.106600231573424,0.0,1940.969524634849,223.09936509359176,278.100484971037,207.4987553828622,46.311453127735355
29,720,54.55164837277201,-5.370747872181735,-2.9357405084903228,-2.0225607731946846,0.40934330911700995,,42.11993296910077,41.87661330890842,0.6764565561898053,41.20015675271861,0.0,42.26341112982973,21.75759530122327,37.48588658343736,19.460299103324832,11583.84624546594,1157.0428335861397,1692.5898754000013,1366.4554610686027,83.86868862290925
30,172,0.0,-16.96938066992719,-1.0745886587145832,-2.069176126929585,0.0999087220734076,,16.72782607888803,16.456438260851428,0.16261383681558073,16.293824424035847,0.0,23.400437442040566,9.121743379067318,31.8385354765012,0.0,2781.038040372568,329.1961604762977,412.63580633604437,321.9470966444704,45.66508639763206
31,720,68.79236969505055,-5.854347364631757,-2.866597122552178,-2.5548151052755363,0.42979855021446883,1.004749059677124,39.74487523804419,39.08197085489519,0.67577507882379,38.4061957760714,0.40945473895408213,42.26330805276356,21.910976203233673,39.42926311990025,18.862329297407417,11585.968584635933,1223.362283840395,1776.7948502389659,1343.5274415965557,111.48222696777391
32,720,54.07985884031127,-5.875191657294469,-3.5277988977918233,-1.9215784242550484,0.4227530320274296,,41.51036677695811,41.267936100950465,0.6748988411854953,40.59303725976497,0.0,41.123856930466815,18.341525683704575,36.883548350590154,24.275824177891437,11582.408750023937,1201.7275216938394,1747.5100815034225,1373.4413838677913,89.14931918514971
33,187,0.0,-17.097019375235575,-1.2314234436760965,-2.39404854070721,0.12067335177447908,,14.466521207010373,14.228158147074282,0.17597294715233147,14.05218519992195,0.0,28.138453626935057,9.34151960364469,36.04438066252045,0.0,3042.3076889316317,398.7024567776535,497.46185543353965,326.41180062795354,68.09639298188685
34,720,42.94970272342222,-7.385753759499029,-3.6141984617971725,-3.3291615317608776,0.43924540857883443,0.9575369358062744,46.427945791045204,45.7251927300822,0.6764542206656188,45.04873850941658,0.40533924708142877,42.22989712083676,16.77845608456196,38.262932491149265,20.054027719743505,11583.958139466451,1298.1078395431207,1812.6602540253675,1325.8237931985452,43.66642787308384
35,112,0.0,-17.36823544924137,-0.7613301678142672,-1.3115749782968171,0.06977870935192124,,13.276400174945593,13.000029191141948,0.10798312490805984,12.892046066233888,0.0,23.421165118505797,4.555558718534138,37.285687888590516,0.0,1812.4886362590212,229.30326985754098,288.9875135549437,227.25966730485098,50.067736649452065
36,94,0.0,-17.56134098804064,-0.7161873817062603,-1.1155914481194995,0.05424197130970616,,11.558226953959092,11.29844719893299,0.09135667886584997,11.20709052006714,0.0,18.320651436203057,2.5386738683484205,37.89902905148855,0.0,1524.2138267394987,178.84411610587102,223.86304637350784,164.22653450076464,19.189246627892274
37,94,0.0,-17.541995767861632,-0.5435233916489427,-1.2657227635132533,0.057343575268382324,,9.503435790073127,9.265257943188772,0.09011836536228657,9.175139577826485,0.0,26.10660596820463,5.451695336704782,31.79703470908008,0.0,1532.040602244102,192.01927583847626,237.42353811126344,180.30095322195098,42.202446041078574
38,60,0.0,-17.638458878322737,-0.3186883673873871,-0.7575967012385477,0.036902080108719114,,10.130754348123446,9.84953357395716,0.058742488734424114,9.790791085222736,0.0,2.4673475258572264,0.2776811224294153,30.480247750408523,0.0,972.8789566363372,121.9067091881567,152.7564573935689,117.74086623161708,25.363567492813864
39,720,46.14130269444019,-6.877420550419025,-3.6320129143239264,-2.809127652809577,0.43311299378154866,,37.984003400895745,37.71949683991261,0.6786820224951953,37.04081481741741,0.0,42.252916625685394,17.874655443333307,34.24941091533704,20.139721725412198,11582.929002091496,1260.009578286143,1786.6617616277945,1318.188634432425,68.43175785240413
40,82,0.0,-17.4459960989246,-0.4581474277539636,-0.9623850200788555,0.050093429247099516,,10.68416422791779,10.432417884003371,0.07937348494306207,10.353044399060309,0.0,12.225271699616664,1.2511081630018845,36.31914441270065,0.0,1327.5024760357808,164.5816622499628,206.99055248471348,138.75198464303614,47.220371194587486
41,720,51.32490188514885,-6.551934919984057,-3.3702296495667716,-2.7665275859813,0.4120603679221018,0.8018884658813477,46.23372280411422,45.50847638188861,0.6793894080910832,44.82908697379753,0.4597010950092226,41.64390584975076,18.725812219152623,38.26160715003977,10.555348172700631,11601.730373081906,1189.0825917125765,1703.2462957408586,1380.4151037206113,74.01710855220713
