episode,steps,final_battery,total_reward,total_directional_reward,total_battery_reward,total_movement_penalty,loss,episode_time,rollout_time,inference_time,env_time,update_time,peak_solar_w,mean_solar_w,start_battery,min_battery
1,720,10.87827702715003,53.45675014273607,123.23466943447585,-57.241192830820566,7.674890407956715,,20.54719100400689,20.39195950901194,0.7722853721061256,19.619674136905815,0.0,42.263797153698945,24.94286667579386,39.4988734425603,10.87827702715003
2,720,2.8010715860590762,45.747745429601025,122.12666246312278,-64.74915498307897,7.293059405387373,-1.1858512163162231,20.460900218007737,19.933967525998014,0.6509331271226984,19.283034398875316,0.3614502729906235,42.261545439166454,24.457071721867052,35.17564907759857,2.8010715860590762
3,720,8.203898941958384,59.260329986029056,125.08265486375102,-53.7417959056305,7.455607377993582,,20.41250762900745,20.23471100500319,0.6519079259742284,19.582803079028963,0.0,42.26309502011921,25.145952237447453,35.07479689477364,8.203898941958384
4,720,7.734384694865063,45.150922221881245,121.64082363486334,-64.33104584276953,7.511525062090527,-1.1107810735702515,20.059262568000122,19.624892727006227,0.6509661869204137,18.973926540085813,0.2905874260031851,42.26362430497953,24.48837186492063,39.89990761624983,7.734384694865063
5,720,8.778233669768412,53.77610202805228,125.68208630315863,-59.77199931619462,7.2280152445367385,,20.548254997993354,20.40131995199772,0.6519132618122967,19.749406690185424,0.0,42.25035707240621,24.8205864285851,38.66423332786572,8.778233669768412
6,720,0.18174149490531,27.418507694894302,116.5563705444797,-77.2188000974323,7.125247979315309,-1.2471789121627808,20.85441175500455,20.40401162201306,0.6521230290818494,19.75188859293121,0.29654912700061686,42.259560679051724,23.72340736701144,38.79114154362147,0.18174149490531
7,720,6.1116167557123795,65.78159766116508,127.24640888482944,-49.74879600645983,7.230213605773045,,19.578261845003,19.42620546699618,0.6525286249234341,18.773676842072746,0.0,42.263645362192236,25.451234677415393,30.986014758942314,6.1116167557123795
8,720,7.016486178055165,51.94401993011848,124.0885229997716,-60.26389178810476,6.997039406215731,-1.398850917816162,20.14710479299538,19.695032364994404,0.6523305429436732,19.04270182205073,0.30374234200280625,42.263699116939875,24.871852000071648,37.14843207210752,7.016486178055165
9,720,6.84840866749635,50.74511104104792,123.53921344639144,-61.29707331219694,7.088270831900956,,19.897941695991904,19.750627159999567,0.6512676878483035,19.099359472151264,0.0,42.25926619090576,24.78140074147643,37.496945323594794,6.84840866749635
10,720,1.5371608909963441,45.67284625657179,121.72636348391781,-63.64125019500556,7.457456813296735,-1.4016101360321045,20.52814154198859,20.075991277000867,0.6516483249579323,19.424342952042934,0.29465657100081444,42.26058107505241,24.46794718966188,33.3577859884991,1.5371608909963441
