episode,avg_reward,best_avg_reward,reward_above_threshold,avg_lyap,avg_barrier,avg_std,avg_abs_action,avg_mean_V,lyap_collapsed,barrier_collapsed,exploration_cleared,reward_trend_per_window,reward_trend_t,plateau_streak,plateaued,stable,checks_since_best
300,49.391821050648225,49.391821050648225,True,0.02059745786633963,4.356190983495859e-05,0.8885239538219241,0.38036824208166853,0.5201923178922798,False,False,True,0.5979512416290688,0.17448104480948753,1,False,False,0
302,49.7821767728313,49.7821767728313,True,0.020617890381254254,4.726106365069427e-05,0.8892726998362276,0.38089919870512345,0.5206218248233199,False,False,True,1.0905011772283024,0.3169490369526505,2,False,False,0
304,50.29090412761607,50.29090412761607,True,0.020617939500759044,4.51410529194618e-05,0.8900020207795833,0.3833295793376034,0.5208248345181345,False,False,True,1.6471630845179277,0.4723491212036271,3,False,False,0
306,50.44396232480005,50.44396232480005,True,0.020622533105779436,4.51410529194618e-05,0.8907205029908154,0.38510631867167017,0.5210242547715703,False,False,True,1.686997929264438,0.4841842872722299,4,False,False,0
308,51.86930601997094,51.86930601997094,True,0.02064238272917767,4.51410529194618e-05,0.8914364856564335,0.39156321980473063,0.5218986071025331,False,False,True,4.051509011531774,1.1369255441074393,5,False,False,0
310,51.761194070797146,51.86930601997094,True,0.020640930114313956,4.51410529194618e-05,0.8921344468577039,0.39706865137235986,0.5217950320492188,False,False,True,4.588832478252395,1.2932548231635235,6,False,False,1
312,51.76695379427448,51.86930601997094,True,0.02063562824623659,4.51410529194618e-05,0.89281043778691,0.40419458552367155,0.5213873382657767,False,False,True,3.6531207510355044,1.0282277344941193,7,False,False,2
314,52.56319546448055,52.56319546448055,True,0.020638820160335546,4.51410529194618e-05,0.893463604359163,0.41111223441031247,0.5216021844496329,False,False,True,4.126833961247269,1.1639728114724033,8,False,False,0
316,52.479098986022244,52.56319546448055,True,0.02063088281623398,4.4953322526453124e-05,0.8941159492565527,0.4159347427181072,0.5211379787574211,False,False,True,3.900406877638283,1.1004917133308205,9,False,False,1
318,53.417034224727765,53.417034224727765,True,0.020611880238478382,4.3267365337366456e-05,0.8947555910382008,0.4219684730387397,0.5208256002515554,False,False,True,5.205830952442684,1.4642264855532305,10,True,False,0
320,54.097549365361125,54.097549365361125,True,0.020606791674314687,5.2473618760965714e-05,0.8953583339436187,0.42825632080849685,0.5202756666888793,False,False,True,7.142939310972976,2.015613443703052,0,False,False,0
322,55.394317531829344,55.394317531829344,True,0.020594601100310684,4.216737028173157e-05,0.8958954603307776,0.4363884064472384,0.5197868883609772,False,False,True,8.468129181751163,2.364670475877637,0,False,False,0
324,55.142035542031955,55.394317531829344,True,0.02060953228113552,4.216737028173157e-05,0.8964082046929333,0.44003327766226397,0.5206823841358225,False,False,True,8.1997328781246,2.2854415965842603,0,False,False,1
326,55.13500738247438,55.394317531829344,True,0.02060484723576034,4.123933231691505e-05,0.8969183167649641,0.4425012899355757,0.5207588345433275,False,False,True,8.131561522033564,2.2621906247070767,0,False,False,2
328,56.79176704767819,56.79176704767819,True,0.020568494827279616,3.354375124899889e-05,0.8974468404634133,0.4447053567195932,0.5192888183105323,False,False,True,9.605875868117264,2.6241339472205483,0,False,False,0
330,56.323600119882315,56.79176704767819,True,0.020543724793889044,3.388894109548346e-05,0.8979668498867088,0.44424886883546916,0.5190571586497955,False,False,True,9.807170689872668,2.6850303472305503,0,False,False,1
332,56.36331410293728,56.79176704767819,True,0.02052996096641032,3.390454820646482e-05,0.8985058472802241,0.44418766691039,0.5189447067884936,False,False,True,8.726675440062898,2.3959984811678634,0,False,False,2
334,56.12043445344621,56.79176704767819,True,0.02057310544187203,3.464299640225161e-05,0.8990806507981484,0.44158965972148706,0.5208156580933266,False,False,True,8.564177513825866,2.3560873996510856,0,False,False,3
336,56.10045827950203,56.79176704767819,True,0.020569035670875264,1.9680859932375628e-05,0.8996489982224173,0.4380556337121459,0.5214585089642141,False,False,True,9.24160595618691,2.549650478218028,0,False,False,4
338,56.99539846460161,56.99539846460161,True,0.02057287321658805,2.0260903237259406e-05,0.9002216030326154,0.43235282167378386,0.5218538567630782,False,False,True,10.516347856350928,2.9206035334662666,0,False,False,0
340,57.1607274174554,57.1607274174554,True,0.020572519880564265,1.9510694663596148e-05,0.9008476260221666,0.42477343090706404,0.5219767272679342,False,False,True,10.232450130581151,2.8368787560854556,0,False,False,0
342,57.596089905228574,57.596089905228574,True,0.0205582114479815,1.581154084786047e-05,0.9015259175664848,0.4186286591200365,0.5222585046249959,False,False,True,10.531149514849162,2.9193796821594025,0,False,False,0
344,56.96587677634953,57.596089905228574,True,0.020548719901125882,1.581154084786047e-05,0.9021783564653661,0.4097620222303603,0.5220724671044283,False,False,True,9.832035453074022,2.7240500110757835,0,False,False,1
346,56.96125429741501,57.596089905228574,True,0.020549624184301746,1.6581249124353944e-05,0.9028026363915869,0.4003075740196639,0.5219320026122861,False,False,True,10.645034659879327,2.9331434914202448,0,False,False,2
348,56.73511590683065,57.596089905228574,True,0.020527403642578674,1.6581249124353944e-05,0.9034348843412268,0.3909464191231463,0.5208881325605843,False,False,True,9.723295092833721,2.677527327659366,0,False,False,3
350,56.86846111924538,57.596089905228574,True,0.02052578823640943,1.6581249124353944e-05,0.9040707922644085,0.3817751297934188,0.5207143123158151,False,False,True,10.194009799753239,2.8087198068817822,0,False,False,4
352,56.416000336972246,57.596089905228574,True,0.020551817794330417,1.6581249124353944e-05,0.9047060349749195,0.3710494180727336,0.5220559700288706,False,False,True,10.64977842054969,2.956616972705479,0,False,False,5
354,56.337279293993994,57.596089905228574,True,0.020571632442685464,1.6581249124353944e-05,0.9053609076059527,0.3601407670933339,0.5229190697479579,False,False,True,11.458664966405173,3.200149695497747,0,False,False,6
356,56.59522667472026,57.596089905228574,True,0.020583116981045653,1.6581249124353944e-05,0.9060447492119337,0.34950369586133295,0.5235702154744002,False,False,True,10.857042379584573,3.0195585308737165,0,False,False,7
358,55.65691814994301,57.596089905228574,True,0.020582317355244108,1.432103413081778e-05,0.906794548448589,0.33932298141428163,0.5235468196579152,False,False,True,11.33708855398264,3.1704947635694305,0,False,False,8
360,56.42417480586059,57.596089905228574,True,0.02057783355315526,5.074801897030234e-06,0.9075883586373594,0.3291677021007571,0.5237398702858223,False,True,True,13.183607863670389,3.7019281045408263,0,False,False,9
362,57.17640129173319,57.596089905228574,True,0.020574569224845615,5.672681203981888e-06,0.908375494596031,0.31808831991834774,0.5236927549251251,False,True,True,13.49359778477583,3.8234993880233867,0,False,False,10
364,57.069064215794015,57.596089905228574,True,0.02053457295987755,5.672681203981888e-06,0.9091231863117881,0.31160506763392026,0.5219504464003776,False,True,True,12.423053670679948,3.545431559632796,0,False,False,11
366,57.440261536636896,57.596089905228574,True,0.020513948247147105,5.665934814816057e-06,0.9098536706633038,0.3062057525747352,0.5210875934196844,False,True,True,13.358136257556886,3.8163029088376588,0,False,False,12
368,57.66925982657864,57.66925982657864,True,0.02052656998599155,5.665934814816057e-06,0.9105742164370086,0.3030884986743331,0.5220557119697333,False,True,True,14.644394403803101,4.18679924622805,0,False,False,0
370,57.158198601221166,57.66925982657864,True,0.020505217976299013,5.048629064832413e-06,0.9112936288532284,0.3034978562345107,0.5213884372264147,False,True,True,15.278281381794907,4.352891984432746,0,False,False,1
372,56.225660072042935,57.66925982657864,True,0.02051021220524692,5.033021953851049e-06,0.9120095238503483,0.3034378974388042,0.5216606313983599,False,True,True,16.155484022601332,4.741209801510466,0,False,False,2
374,56.76209135399858,57.66925982657864,True,0.02050546685932204,4.294573758064265e-06,0.9127292091647782,0.3048775636901458,0.5218637770662705,False,True,True,16.385981005950903,4.8025911433960555,0,False,False,3
376,57.5750363485311,57.66925982657864,True,0.020510104317994167,4.229061058443524e-06,0.9134772880623737,0.30973670271535714,0.522107620164752,False,True,True,16.223732888185012,4.727465546259655,0,False,False,4
378,56.64432315438818,57.66925982657864,True,0.020493113012829172,1.5230744338623481e-06,0.9142349878946939,0.31677225319047764,0.5215808290367325,False,True,True,15.490081517204324,4.534373829866748,0,False,False,5
380,56.63459743398462,57.66925982657864,True,0.02049775147267307,1.5230744338623481e-06,0.9149683209757009,0.3277105572323004,0.5216001532971859,False,True,True,14.309275095812241,4.170267389419302,0,False,False,6
382,57.24794290701462,57.66925982657864,True,0.02046300779329613,1.5230744338623481e-06,0.9156674293180306,0.3379218852768342,0.5198121610408027,False,True,True,14.489432338563685,4.208235727112574,0,False,False,7
384,57.64572542853311,57.66925982657864,True,0.020460228140776353,1.5230744338623481e-06,0.9163931695123513,0.35015349046637617,0.5199888448541363,False,True,True,14.485136410349982,4.137281422915534,0,False,False,8
386,57.65918324907114,57.66925982657864,True,0.020476390440793083,7.533661573688732e-07,0.9171462208032608,0.36258967965841304,0.5210160347322623,False,True,True,13.943975192845922,4.001151723149608,0,False,False,9
388,57.49063700439254,57.66925982657864,True,0.020480097741043816,7.533661573688732e-07,0.917878258228302,0.3721796347449224,0.5213253491868576,False,True,True,13.41212640786804,3.846671472904434,0,False,False,10
390,56.893325576042656,57.66925982657864,True,0.020478110135688135,7.533661573688732e-07,0.9185985693087181,0.3831079788506032,0.521216939886411,False,True,True,12.52067069988083,3.573032850436445,0,False,False,11
392,56.51186111937437,57.66925982657864,True,0.020453872369964505,7.533661573688732e-07,0.919340272123615,0.39453965377890404,0.519817908687724,False,True,True,11.356345196393436,3.2243472498655583,0,False,False,12
394,57.003022380817086,57.66925982657864,True,0.02043694431712437,1.0023756734274989e-06,0.9201300922781229,0.4050044202142292,0.5191233203642898,False,True,True,11.740831250795775,3.329947574056441,0,False,False,13
396,56.57741045785195,57.66925982657864,True,0.02043751198151666,1.0023756734274989e-06,0.9209152209262055,0.4153117787920767,0.5192098337743017,False,True,True,11.166735813181749,3.1545906388087706,0,False,False,14
