episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha
2,24,24,2.6775524020195007e-09,9.597057942301035e-05,14.33713444073995,0.45838356390595436,0.019195685861632228,1.465380236506462,0.42182136699557304,0.003801741887097402,0.03649088554084301,0.4743800846238931,0.0034003024241731814,0.02230422037731235,0.9802265618354914
4,24,24,1.3969838619232178e-09,-0.002214467618614435,12.736337006092072,0.33855603635311127,0.017021167014415067,1.4339965383211772,0.6756890192627907,0.006673408109539499,0.08274739561602473,0.4782354012131691,0.009877041137466827,0.04696684066827098,0.9608441125278292
6,24,24,1.3969838619232178e-09,0.0035054684849455953,7.520747900009155,0.36796869337558746,0.01785832185608645,1.4064858555793762,0.7098807742198309,0.002582537902829548,0.021516927052289248,0.48137319708863896,0.015109309072916707,0.057142878572146096,0.9418449208830281
8,24,24,9.313225746154785e-10,-0.0018560659761230152,6.9544313450654345,0.49205907930930454,0.02057332933569948,1.4608776172002156,1.055023988087972,0.004948451712455911,0.05901692706781129,0.48539476344982785,0.02176698964710037,0.03855526773259044,0.9232214085793907
10,24,24,2.3283064365386963e-09,-0.005902091817309459,10.071468417843183,0.4809843214849631,0.020222191077967484,1.441234330336253,0.858483798801899,0.0033817247507007173,0.026757812593132257,0.4896498794356982,0.028753895545378327,0.04792800429277122,0.9049661471446956
12,24,24,4.190951585769653e-09,-0.000993522737796108,8.108566085497538,0.5946587224801382,0.022912784634778898,1.5118438005447388,1.1088390499353409,0.0020257918076822534,0.014778645903182527,0.49407398452361423,0.03595680231228471,0.06435101277505358,0.8870718549931563
14,24,24,4.889443516731262e-09,0.0014618809412543972,7.265484819809596,0.5138870812952518,0.020612879811475675,1.451189359029134,0.8723415384689966,0.002301904123063044,0.019177738577127457,0.49854860951503116,0.04318042301262418,0.06185320081810156,0.8695313945209736
16,24,24,5.3551048040390015e-09,-0.0027673024839411178,12.140010058879852,0.5342616190512975,0.020908493005360167,1.421464244524638,0.8766152958075205,0.003802845889974075,0.04843750006208817,0.5032079666852951,0.050639726066341005,0.07475765282288194,0.8523377692593145
18,24,24,5.005858838558197e-09,-0.002023383198926846,6.664666006962459,0.5832507386803627,0.022536561746771138,1.4624619881312053,0.9647682756185532,0.0024253706651506945,0.022467814618721604,0.5076583549380302,0.05770375284676751,0.06886303859452407,0.83548412108359
20,24,24,2.0954757928848267e-09,-0.005841683247126639,7.483087211847305,0.4876753091812134,0.020072913185382884,1.4366161525249481,0.7821845735112826,0.003155307251290651,0.03307744961542388,0.5127858097354571,0.06577414320781827,0.08544908122469981,0.8189637274779149
22,24,24,4.190951585769653e-09,-0.002518350762935976,13.24489172299703,0.5504704490303993,0.021608524722978473,1.4865886370340984,0.9465571517745653,0.0029166540310446485,0.028949359664693475,0.5176312600572904,0.07333524711430073,0.08508698362857103,0.8027699988536554
24,24,24,8.847564458847046e-09,-0.0031004021778547517,11.67546671628952,0.6155681138237318,0.023277680622413754,1.388159617781639,0.8924226934711138,0.004881970885132129,0.05306939998020729,0.5219779883821806,0.0800647335126996,0.07342269100869696,0.7868964759210004
26,24,24,6.51925802230835e-09,-0.004634656244888902,8.5192821820577,0.5688201437393824,0.02181842379892866,1.382058913509051,0.8404804617166519,0.00440302077428593,0.050544024154078215,0.5264831955234209,0.08698773228873809,0.08873806179811557,0.7713368271125064
28,24,24,6.05359673500061e-09,-0.005553201500636836,7.166000247001648,0.5740615253647169,0.0225415649668624,1.4330715487400691,0.8955792387326559,0.0038751486038866765,0.04348090306545297,0.5314204643170038,0.09451638131091993,0.11093456639597814,0.7560848460575896
30,24,24,5.238689482212067e-09,0.0032430153029660382,10.06988176703453,0.5873383308450381,0.022407323044414323,1.4241928706566493,0.8780313183863958,0.0038083657733902023,0.034865221357904375,0.5364134460687637,0.1020706786463658,0.10032291896641254,0.7411344491069477
32,24,24,6.984919309616089e-09,-0.008221648323039213,12.147877951463064,0.5553804834683737,0.022469500623022515,1.4149949302275975,0.9383258894085884,0.003743245729613894,0.03453776038562258,0.5413094982504845,0.1094212755560875,0.08931329194456339,0.7264796729059442
34,24,24,3.725290298461914e-09,-0.00508589578870063,7.899918168783188,0.4994429262975852,0.02127795061096549,1.3725366493066151,1.1172165622313817,0.004366204336596032,0.04723307288562258,0.5462078799804052,0.11672028278311093,0.09360125722984473,0.7121146720159662
36,24,24,4.423782229423523e-09,-0.006280419455530743,13.099846065044403,0.49496816222866374,0.02092468529008329,1.4589084088802338,0.9196906959017118,0.00286441390926484,0.02116397232748568,0.5512504850824674,0.12417947066326936,0.08595216398437817,0.6980337165828199
38,24,24,4.423782229423523e-09,0.00023375855137904486,12.197034994761148,0.4950650321940581,0.0202024281801035,1.4843754768371582,0.6335567956169447,0.004159751212379585,0.04690755205228925,0.5561004454890887,0.13130231946706772,0.10672259020308654,0.6842311900512269
40,24,24,6.868503987789154e-09,-0.002342189196497202,15.656259854634603,0.6149362921714783,0.023192413461705048,1.5013941824436188,0.7838007236520449,0.004592637754588698,0.05000000016298145,0.5605813612540563,0.13783999097843966,0.13033696170896292,0.6707015869245209
42,24,24,5.005858838558197e-09,-0.00949755515129406,12.003758450349173,0.6420283888777097,0.023812049223730963,1.489553987979889,0.8597513288259506,0.007849090829646835,0.09762369810293119,0.5650129318237305,0.14426536237200102,0.13440495387961468,0.6574395105686311
44,24,24,9.778887033462524e-09,0.0035025451021889844,14.203144172827402,0.5824351360400518,0.022069040220230818,1.3789298832416534,0.7206980809569359,0.006544436284457333,0.08501438113550346,0.569918250044187,0.15133305887381235,0.13548635070522627,0.644439671059498
46,24,24,8.498318493366241e-09,-0.003772220225073397,13.60469820102056,0.6024157901604971,0.023132439081867535,1.458914319674174,0.7006173605720202,0.005380454002685535,0.06188151054084301,0.5745373889803886,0.15794658474624157,0.13239094987511635,0.631696883073047
48,24,24,7.566995918750763e-09,0.0014993483976771433,11.322145938873291,0.5385895346601804,0.021950441335017484,1.4467899004618328,0.7133510783314705,0.005818453840523337,0.06580185952285926,0.5791711757580439,0.1645413308093945,0.14526161147902408,0.6192060638168894
50,24,24,5.704350769519806e-09,-0.004929771414026618,8.778998782237371,0.6034895305832227,0.022809317335486412,1.4662278642257054,0.8634332170089086,0.006809174214140512,0.08245442776630323,0.5841369604070982,0.17156575495998064,0.167098684857289,0.6069622310029174
52,24,24,7.450580596923828e-09,-0.0030424050346482545,13.592515250047049,0.5810617183645567,0.022385940576593082,1.43780813117822,0.8302477399508158,0.007779278263721305,0.09615842908776055,0.5891912803053856,0.1786718498915434,0.13976199366152287,0.5949605008599886
54,24,24,1.0244548320770264e-08,-0.000839843686359624,9.523095349470774,0.5484823708732923,0.02143693567874531,1.4512980182965596,0.9801119094093641,0.005105265503516421,0.06067708336437742,0.5939630270004272,0.1853408801058928,0.12220059676716725,0.583196086185909
56,24,24,5.3551048040390015e-09,-0.006966826932815214,17.36398285627365,0.5378054827451706,0.021368556035061676,1.421474317709605,0.8591616898775101,0.006474609263629342,0.0833333336437742,0.5986959636211395,0.1919194906949997,0.10758521190534036,0.5716642944379285
58,24,24,5.3551048040390015e-09,-0.005561155189449589,12.541240155696869,0.5285885197420915,0.02093978140813609,1.4507400145133336,0.7164229253927866,0.0029479631290693455,0.026567508233711123,0.6034043828646342,0.19842783299585184,0.09910457705458005,0.5603605258610026
60,24,24,5.587935447692871e-09,-0.0036320920335128903,13.611883680025736,0.5693484246730804,0.022255787315467995,1.4440780282020569,0.7046435698866844,0.004582664444266508,0.04621773834029833,0.6086257596810659,0.20560591233273348,0.08249343124528725,0.5492802716530588
62,24,24,6.28642737865448e-09,-0.001470253123746564,11.477566868066788,0.5716585963964462,0.022415069319928687,1.4549129505952199,0.7418412690361341,0.0026583379318860048,0.022330729213232797,0.613360603650411,0.21208016326030096,0.05839323112741113,0.5384191121665426
64,24,24,6.51925802230835e-09,-0.007255424085694055,10.093437721331915,0.5144611683984598,0.020972998347133398,1.482760618130366,0.8675008937716484,0.004781412911446144,0.05195312527939677,0.6184518163402876,0.21900494086245695,0.07727695318559806,0.5277727151455279
66,24,24,2.0954757928848267e-09,-0.004949443158693612,7.5883466104666395,0.5333125318090121,0.02114665733339886,1.4869879831870396,0.9368954499562582,0.003943502068674813,0.04632161468422661,0.6237469464540482,0.22616911058624586,0.07739312046517928,0.5173368339976835
68,24,24,6.28642737865448e-09,0.0020330853876657784,16.95348592599233,0.535757397611936,0.021182354384412367,1.4249517569939296,0.8081518858671188,0.0015761607525443349,0.009244791678308198,0.6287424092491468,0.23289327385524908,0.0873971985032161,0.5071073061004073
70,24,24,5.3551048040390015e-09,-0.00497983384411782,8.479008863369623,0.5120954116185507,0.020508340171848733,1.404956539471944,0.722354975839456,0.004015356331365183,0.04279428821367522,0.6335311233997345,0.2393076028674841,0.10861995878318946,0.4970800511404607
72,24,24,3.958120942115784e-09,-0.0016422633780166507,18.594121257464092,0.5021888886888822,0.020090332642818492,1.3863619764645894,0.6442132691542307,0.004780925664817914,0.05058593803551048,0.6386642009019852,0.2461515652636687,0.1444460948308309,0.4872510694864241
74,24,24,2.3283064365386963e-10,-0.0009478828287683427,8.942391872406006,0.5338836212952932,0.021181063648934167,1.4106247027715046,0.7106264332930247,0.003613376924477052,0.041048177207509674,0.6430392613013586,0.2519589712222417,0.15091352413098016,0.4776164405933437
76,24,24,6.28642737865448e-09,-0.007122879285210122,13.954827785491943,0.5099766192336878,0.021019803282494347,1.47485746939977,0.7251947646339735,0.004886933233744155,0.058007812748352684,0.6476940910021464,0.25811269382635754,0.10773748904466629,0.46817232143891857
78,24,24,4.656612873077393e-10,0.0016090935096144676,14.721818486849466,0.5752312863866488,0.0220582348604997,1.4182247420152028,0.681624248623848,0.0030815388478610353,0.03388671871895591,0.6520556807518005,0.26385606080293655,0.1208462758610646,0.45891494499061186
80,24,24,7.683411240577698e-09,-0.001831915423584481,11.489317655563354,0.5722532967726389,0.021913404654090602,1.4484387437502544,0.6905256857474645,0.004050805228568303,0.045345052339447044,0.656923974553744,0.2702410767475764,0.15219132353862128,0.449840618703071
82,24,24,3.958120942115784e-09,-0.0015943550000277658,12.463460206985474,0.5405588100353876,0.021438358118757606,1.4750234335660934,0.820455459256967,0.0044474225032899994,0.05078125015522043,0.6616438701748848,0.2764068953692913,0.11696330861498912,0.44094572304526186
84,24,24,5.820766091346741e-09,-0.004053709524062772,10.200184017419815,0.4972092732787132,0.0206518506941696,1.5384298115968704,0.7931657259662946,0.006082272171624936,0.07919921906432137,0.666637142499288,0.2829047180712223,0.11736551796396573,0.43222671005672164
86,24,24,5.3551048040390015e-09,-0.0031281846653049192,17.10897131760915,0.5789770732323328,0.02249009084577362,1.6190464198589325,0.8406001354257265,0.0041773251626485335,0.04256972445485493,0.6712237497170767,0.28885098174214363,0.13967041422923407,0.42368010193236594
