episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,grad_norm_control,grad_norm_aux,lr_scale,certifiable_frac,cert_violation,cert_mean_dV,cert_mean_V,cert_worst_slack,cert_in_ball_rate,cert_certifiable_frac,cert_alpha_q05,cert_alpha_q25,cert_alpha_q50,cert_alpha_used,cert_alpha_next,cert_alpha_nonpos_frac,cert_nstep,cert_n_samples,v_critic_violation,v_critic_mean,v_critic_min,v_agreement,v_critic_alpha_q05,v_critic_alpha_q25,v_critic_alpha_q50,v_critic_alpha_nonpos_frac,v_critic_violation_direct,v_critic_nonpos_direct,v_bellman_delta_mean,v_bellman_delta_std,v_bellman_delta_q95,softplus_beta,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha,attn_entropy,critic_ev,critic_rmse_norm,critic_rmse_abs,returns_std,returns_mean,xv_true_corr,xv_true_rank,xv_true_flat_frac,ood_v_min,ood_v_mean,ood_nonneg_frac,ood_monotone_frac,ood_slope_corr,ood_range
8,24,24,0.0,-0.006218109551506738,238.26230557759604,,,,,,,,,6.729551355044047,0.0,0.1901792537122852,,0.21420286068071923,-0.22375057140986124,0.28290928651889163,0.36396927821139496,0.2081286385655403,0.8099138041337332,0.00405942412908189,0.010982148970166842,0.02615268900990486,0.010000000000000009,0.009810022460698365,0.012562615990949174,150.0,50.666666666666664,,,,,,,,,,,,,,,,,,0.0049326807202305645,0.05784385340909163,0.10542691747347514,0.00015012927046124483,0.012021059247975549,0.9259706519694729,nan,-0.003783106803894043,1.011698842048645,16.56662940979004,16.37506103515625,-2.4663214683532715,0.1113247200846672,0.13047796487808228,0.09765625,-0.21500982344150543,0.1547549068927765,0.931640625,0.8359375,0.07444678992033005,0.026213442906737328
16,32,32,0.0,-0.007657871465198696,271.27915239334106,,,,,,,,,6.713510796427727,0.0,0.31436043132465064,,0.11758453992661089,-0.24121084716171026,0.27676006872206926,0.15419511613436043,0.3416723161935806,0.8610092476010323,0.006388448076904751,0.016814272850751877,0.027068098075687885,0.009810022460698363,0.009496598046713108,0.01729407161474228,150.0,72.25,,,,,,,,,,,,,,,,,,0.006557572949532187,0.07878766697831452,0.10551600088365376,0.0006327469509415096,0.01071723987115547,0.8328728471719247,nan,0.12701475620269775,0.9608194231987,17.97014045715332,18.702932357788086,5.238114833831787,0.5453410744667053,0.7192511558532715,0.25390625,-2.898401975631714,-0.9717764258384705,0.24648438394069672,0.32421875,-0.009541047737002373,0.09585575759410858
19,24,24,0.0,-0.0039633048775916295,204.46352513631186,,,,,,,,,6.592339952786763,0.0,0.40860472104619316,,0.6275319904088974,-0.157620624328653,0.3339190222322941,0.5800816342234612,0.03319605439901352,0.8961121415098509,-0.01412192425535371,-0.00032623112201690674,0.005189107110102971,0.009496598046713102,0.009021768144377452,0.25633483938872814,150.0,172.16666666666666,,,,,,,,,,,,,,,,,,0.003853340371279046,0.0412236750125885,0.10563409483681123,0.0012719229174156983,0.009041557786986232,0.7684666063206262,nan,0.19489610195159912,1.0312252044677734,14.966536521911621,14.51335334777832,9.746896743774414,0.0025281498674303293,-0.14751891791820526,0.0,-4.99477481842041,-2.4871060848236084,0.20195312798023224,0.2465277761220932,-0.023004507645964622,0.18377766013145447
22,24,24,0.0,-0.0030843565473333,247.40585072835287,,,,,,,,,7.9642929037412005,0.0,0.5031878036074869,,0.24242584966123104,-0.2505539922664563,0.3311241418123245,0.2860728036612272,0.4247380768259366,0.9241776739557584,0.0037609044617662826,0.009443109234174093,0.024973824620246887,0.009021768144377447,0.008685725808915558,0.0,150.0,104.16666666666667,,,,,,,,,,,,,,,,,,0.004246560420142487,0.05084099698190888,0.10575811627010505,0.0019424190977588296,0.008093340671621263,0.7087764175679969,nan,0.07714438438415527,1.095785140991211,17.19645881652832,15.693276405334473,14.008346557617188,0.2627074420452118,0.5422341823577881,0.3330078125,-6.400051116943359,-5.785653591156006,0.03437500074505806,0.5464409589767456,-6.576885789399967e-05,0.0489468090236187
24,24,24,0.0,-0.003684098308440298,178.20270983378092,,,,,,,,,7.474081774552663,0.0,0.5928543971429927,,0.4890482450524966,-0.16997812564174333,0.3435181404153506,0.5603062535325686,0.09527994692325592,0.9457356805602709,-0.008995207773599153,0.0021243753532568612,0.009218882769346237,0.008685725808915553,0.00825143951846978,0.12916748939702907,150.0,160.66666666666666,,,,,,,,,,,,,,,,,,0.006204347679158673,0.07402343768626451,0.10589566236982743,0.0026851093765192977,0.01105203943249459,0.6564111143657562,nan,0.29999953508377075,0.8906475901603699,15.233576774597168,17.103933334350586,10.781867980957031,0.013986878097057343,-0.05426643043756485,0.0166015625,-8.784405708312988,-5.647162437438965,0.17656250298023224,0.1375868022441864,-0.03367605805397034,0.24135231971740723
27,24,24,0.0,0.0014502140693366528,138.99913469950357,,,,,,,,,7.128226627906163,0.0,0.6869815266322464,,0.7074466819564501,-0.11616422360142072,0.3508867919445038,0.7168117662270864,0.14214687049388885,0.9345216304063797,-0.0057518487446941435,0.0006195139139890671,0.003917223463455836,0.008251439518469786,0.00783886754254629,0.22688700134555498,150.0,149.66666666666666,,,,,,,,,,,,,,,,,,0.004869345231175733,0.05398359661921859,0.10605535376816988,0.00354615484441941,0.011015523419094583,0.6055215858355343,nan,0.36986565589904785,0.7991939187049866,14.070252418518066,17.605554580688477,10.339917182922363,0.40319696068763733,0.6534861326217651,0.1103515625,-11.941054344177246,-8.438791275024414,0.16796875,0.5399305820465088,0.010316701605916023,0.16972826421260834
31,28,28,0.0,-0.0013921935876299227,179.91546031406946,,,,,,,,,7.516111603804997,0.0,0.7911582278725892,,0.4930316188505718,-0.19322953213538444,0.3111417219042778,0.35815138476235525,0.14988527127674647,0.8971624055079052,-0.020097441372594664,0.00442571725164141,0.008559968854699816,0.007838867542546287,0.007446924165418975,0.1565447183591979,150.0,124.85714285714286,,,,,,,,,,,,,,,,,,0.007727459455574197,0.09216954905007567,0.1062461252191237,0.004573110258206725,0.012721185539183872,0.5536864416451723,nan,0.44009947776794434,0.7542855739593506,15.970056533813477,21.172428131103516,10.732246398925781,0.30691099166870117,0.49318552017211914,0.1162109375,-15.475483894348145,-9.04114818572998,0.22382812201976776,0.098524309694767,-0.047983504831790924,1.2841589450836182
36,28,28,0.0,-0.005792985803314618,157.67848668779646,,,,,,,,,6.956487596035004,0.0,0.8979233707789273,,0.3971367967980249,-0.17015678648437774,0.2666523658803531,0.22434711030551366,0.14605108967849187,0.8998990186623165,-0.01643064495043031,0.004305181226560048,0.009283481964043208,0.007446924165418977,0.007074577957148026,0.15780286517526423,150.0,121.28571428571429,,,,,,,,,,,,,,,,,,0.0061361046391539276,0.07815378718078136,0.10646955695535455,0.005773572417508278,0.011892295841659819,0.5050487881097588,nan,0.5813822746276855,0.6492465138435364,14.711451530456543,22.659269332885742,11.593332290649414,0.38342198729515076,0.5030957460403442,0.1123046875,-21.452653884887695,-10.460820198059082,0.29023438692092896,0.224392369389534,-0.03829949349164963,0.8977211117744446
42,32,32,0.0,-0.004130653163883835,168.1146080493927,,,,,,,,,9.170029006898403,0.0,0.9955318113620253,,0.4317628387361765,-0.16773264156654477,0.26387750590220094,0.3381856754422188,0.1625104583799839,0.8989781029522419,-0.016429906652774662,0.0013074581511318684,0.00998756568878889,0.007074577957148026,0.006720849059290625,0.23816881468519568,150.0,102.125,,,,,,,,,,,,,,,,,,0.00796498408089974,0.09913853311445564,0.10672877007164061,0.007163091984693892,0.013486067444318905,0.45767327734549734,nan,0.5611051917076111,0.6668664216995239,16.059749603271484,24.082408905029297,12.72916030883789,0.49994081258773804,0.6364740133285522,0.109375,-26.952289581298828,-14.555862426757812,0.26289063692092896,0.0503472238779068,-0.022959154099225998,0.9909281730651855
45,24,24,0.0,-0.004038467227170865,145.65167045593262,,,,,,,,,7.766687333583832,0.0,0.9945680756311989,,0.12882388352106014,-0.26477277278900146,0.3365952620903651,0.35099263054629165,0.3480531598130862,0.9004049027959505,0.0021164196872026273,0.014038550357023874,0.02395341917872429,0.006720849059290626,0.006202559327836479,0.03136389097198844,150.0,107.33333333333333,,,,,,,,,,,,,,,,,,0.006233595253434032,0.07885028328746557,0.10695190634578466,0.008356667861031989,0.008679970206382373,0.422326320006114,nan,0.5354111194610596,0.7115033864974976,17.334932327270508,24.363807678222656,14.473794937133789,0.3658619821071625,0.42068883776664734,0.2734375,-29.387723922729492,-9.785449028015137,0.3355468809604645,0.0,-0.04534376040101051,1.570677399635315
