episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,grad_norm_control,grad_norm_aux,lr_scale,certifiable_frac,cert_violation,cert_mean_dV,cert_mean_V,cert_worst_slack,cert_in_ball_rate,cert_certifiable_frac,cert_alpha_q05,cert_alpha_q25,cert_alpha_q50,cert_alpha_used,cert_alpha_next,cert_alpha_nonpos_frac,cert_nstep,cert_n_samples,v_critic_violation,v_critic_mean,v_critic_min,v_agreement,v_critic_alpha_q05,v_critic_alpha_q25,v_critic_alpha_q50,v_critic_alpha_nonpos_frac,v_critic_violation_direct,v_critic_nonpos_direct,v_bellman_delta_mean,v_bellman_delta_std,v_bellman_delta_q95,softplus_beta,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha,attn_entropy,critic_ev,critic_rmse_norm,xv_true_corr,xv_true_rank,xv_true_flat_frac,ood_v_min,ood_v_mean,ood_nonneg_frac,ood_monotone_frac,ood_slope_corr,ood_range
2,24,24,0.0,-0.0030962328892201185,594684005034.6666,,,,,,,,,5.969631264607112,0.0,0.1899917960600304,,0.4962343896428744,-0.19713636860251427,0.29555894061923027,0.5108135504027208,0.18079426884651184,0.9381184900800387,-0.013475161511451006,-0.0034138690680265427,0.010085326929887136,0.010000000000000009,0.009500000000000008,0.29989620360235375,150.0,146.5,0.7754047711690267,0.8322560911377271,0.668573742111524,-0.04719924046366941,-0.007481635994433115,-0.003093349931684012,0.0003184865471250002,0.4775001344581445,0.930743724728624,0.4830851508304477,-0.0005287166907995319,0.008934787338754782,0.01732234047570576,0.30187187358373413,,,,0.007880474266130477,0.09905598995586236,0.10542673182984193,0.0001491200306039294,0.007537515416818981,0.9261187281287931,0.03155088238418102,-2.0541460514068604,2.208113431930542,-0.029695913195610046,-0.012663424015045166,0.068359375,0.0,1056368.625,1.0,0.4149305522441864,-0.012545529752969742,59624.25390625
12,24,24,0.0,-0.007879641915981969,0.4398784240086873,,,,,,,,,6.283299217621486,0.0,0.2831992993359043,,0.3304230322440465,-0.16119905623296896,0.22816181182861328,0.27610929620762664,0.09998709956804912,0.7910647615790367,-0.010194669817186272,0.008431093767285347,0.015536314497391382,0.009500000000000008,0.009025000000000007,0.10244192260627945,150.0,66.33333333333333,0.5593530597786108,0.9085152993599573,0.6367925703525543,-0.18623931954304376,-0.005773966491688043,-0.0009381739558496823,0.008168462780304253,0.2951132444043954,0.9376820276180903,0.5237086017926534,-0.005853653089919438,0.011271868560773632,0.023727081638450425,0.30307274121450306,,,,0.007160691083602917,0.09525783717011412,0.10549667198210955,0.0005280633170817358,0.009517193519665549,0.8553219740722017,0.8511181473731995,0.040612220764160156,1.2578120231628418,0.02267032489180565,0.028242455795407295,0.0302734375,0.6915163397789001,0.888575553894043,1.0,0.0451388880610466,-0.058959778398275375,0.01939234510064125
20,32,32,0.0,-0.006779500923585147,0.23659972567111254,,,,,,,,,5.762632340192795,0.0,0.40361385297807617,,0.6351030878722668,-0.16220900742337108,0.3444431908428669,0.4977159332484007,0.07508393563330173,0.8614225722849369,-0.01497678505256772,0.0016247187741100788,0.00621469970792532,0.009025000000000007,0.008573750000000007,0.1708698095753789,150.0,121.0,0.8109927028417587,1.035320458933711,0.44017218984663486,-0.22922188485972583,-0.006910774784046225,-0.0031177649143501185,0.0015263572379353718,0.44284624606370926,0.9714016597718,0.5017778566107154,-0.0029226850674604066,0.011059566604672,0.019401928962906823,0.30754305345986616,,,,0.008028259720958886,0.0957494581816718,0.10561392060481012,0.0011627606600086438,0.009341452314401977,0.7717503797452236,0.8813507854938507,-0.30040526390075684,1.25802743434906,-0.2578212320804596,-0.17797954380512238,0.052734375,0.6212812662124634,1.036800503730774,1.0,0.0078125,-0.06778068840503693,0.0186734851449728
26,32,32,0.0,0.002902075881138444,0.15255930740386248,,,,,,,,,6.935188509523869,0.0,0.5175177386310159,,0.5576463835313916,-0.1658888105303049,0.26123506808653474,0.23148412350565195,0.10865304060280323,0.8857456762343645,-0.0169975645840168,0.004836396314203739,0.0078020477667450905,0.00857375000000001,0.007294495321961536,0.14000558201223612,150.0,114.125,0.8742317780852318,1.1785054467618465,0.6512736137956381,-0.45355026703327894,-0.007309470645850524,-0.004513787978794426,-0.0018686533603613498,0.6042874604463577,0.9704476408660412,0.5590239148586988,-0.0001185633554996457,0.013574219308793545,0.01661857371800579,0.31300501458455493,,,,0.007326780098082963,0.09340820321813226,0.10578496241942048,0.0020874173133051954,0.01452954686828889,0.7001404755134327,0.8873037695884705,-0.528117299079895,1.2556004524230957,-0.504008412361145,-0.46513426303863525,0.0390625,0.5620281100273132,1.1209813356399536,1.0,0.0173611119389534,-0.01916082575917244,0.009964609518647194
29,24,24,0.0,-0.011060229211580008,0.10338453839843471,,,,,,,,,4.431750903526942,0.0,0.6128248251654295,,0.6790566618243853,-0.10160461006065209,0.28236187001069385,0.40679793308178586,0.0,0.9484250545501709,-0.013049342941182355,-0.00019232742488384247,0.003220199296871821,0.0072944953219615345,0.0069297705558634595,0.23924620387454829,150.0,185.83333333333334,0.814359669884046,0.9898560593525568,0.7089657460649809,-0.26034442863116664,-0.006340638792607933,-0.0020360828978785626,0.0003464946191040023,0.46286267042160034,0.9925983970363935,0.5989383906126022,-0.0015686673902261343,0.008005646600698432,0.011541908723302186,0.31762333819959776,,,,0.011300506526216244,0.0897769605120023,0.10596107287953298,0.0030379496553602317,0.011504772837118557,0.6452757887866252,0.9683666527271271,-0.021113038063049316,1.0160163640975952,-0.12210463732481003,-0.031923335045576096,0.0,0.9986763596534729,1.1628365516662598,1.0,0.0,-0.02854055166244507,0.0018977192230522633
37,36,36,0.0,0.018813954717997048,0.25714796409010887,,,,,,,,,6.046090397569868,0.0,0.7422327518634727,,0.4396686487727695,-0.18878477791117299,0.3180678192940023,0.36379197322660023,0.12634548544883728,0.8608630961842008,-0.015155515659393536,0.0025800375474823844,0.008206403089894189,0.006929770555863463,0.006583282028070286,0.183461154707604,150.0,98.11111111111111,0.5704937155048052,0.9332351403103935,0.5684170201420784,-0.24331506807357073,-0.006028920657829278,-0.001526978123971882,0.003819280043697088,0.35601936239335275,0.9751016133361392,0.5519123698274294,-0.004934360816453894,0.01890520030994796,0.01733317678897745,0.3162087850845925,,,,0.009535994632945707,0.09945746578483118,0.1061858350618018,0.004248660911495487,0.016242122924369242,0.577467806776241,0.9234952032566071,-0.09302830696105957,1.188705563545227,-0.19148799777030945,0.1437610685825348,0.087890625,0.49379077553749084,0.9441491961479187,1.0,0.0611979179084301,-0.0155513696372509,0.003906790167093277
44,32,32,0.0,0.0003190735151292756,0.21658439841121435,,,,,,,,,4.54859409481287,0.0,0.8622435827903738,,0.4765169117599726,-0.17203666316345334,0.3695217426866293,0.5204753503203392,0.11009900271892548,0.8871068488806486,-0.017130371823441237,-0.0003778296522796154,0.008211028762161732,0.00658328202807029,0.006254117926666771,0.27506752498447895,150.0,113.75,0.5556491548195481,0.9817306417971849,0.6465246044099331,-0.21557983930688351,-0.006603329311474226,-0.0017513891707494622,0.005401910842920188,0.3496012734249234,0.9493792317807674,0.52164551243186,-0.004481823183596134,0.018089112083544023,0.02054763084743172,0.3201476600390456,,,,0.0065333581833328935,0.06958512915298343,0.10645558591932058,0.005698552311514504,0.01437768418691121,0.5208225922664341,0.9486323893070221,-0.07277798652648926,1.157049536705017,-0.14343972504138947,-0.13607364892959595,0.048828125,0.6961859464645386,0.9711477160453796,1.0,0.06640625,-0.019779352471232414,0.0016619018279016018
50,32,32,0.0,-0.00405833128024824,0.16073415870778263,,,,,,,,,4.360261745750904,0.0,0.977257381758747,,0.5863157194107771,-0.1261309734545648,0.2665822673588991,0.3210490606725216,0.1402448397129774,0.8926025424152613,-0.0072242287860717624,-0.00026322808116674423,0.0036671943962574005,0.006254117926666774,0.005941412030333432,0.27991420263424516,150.0,115.25,0.7779383603483438,1.0201810281723738,0.678603446111083,-0.1636373684523278,-0.006545029740664177,-0.0030381536053027958,0.00046937339681107915,0.47828162275254726,0.9794689174741507,0.5630288124084473,-0.002438440620608162,0.011365197846316732,0.015366791951237246,0.324734885399869,,,,0.0031751651904414757,0.02534179697977379,0.10673154564574361,0.00717794023512397,0.015909908135654405,0.4716153836842666,0.963863879442215,-0.03264319896697998,1.0592122077941895,-0.018848659470677376,0.0023973830975592136,0.115234375,0.6736990809440613,1.0151132345199585,1.0,0.0086805559694767,-0.021457485854625702,0.002244444563984871
52,24,24,0.0,-0.0006902773942177495,0.030016909431045253,,,,,,,,,4.6279880205790205,0.0,0.9949826963143309,,0.3595421140392621,-0.15735102569063505,0.2830027975142002,0.4958324320614338,0.1769205704331398,0.9633463571468989,-0.01577564519053946,0.004130171611905098,0.010240284105141958,0.005941412030333434,0.0056443414288167605,0.14307630993425846,150.0,143.0,0.8282462532321612,0.9926759029428164,0.7676007797320684,-0.17599221117173633,-0.007229920748310785,-0.003579532611183822,-0.00012875380309651518,0.510825801640749,0.9675224125385284,0.5358866254488627,-0.0005566005365835736,0.010196753777563572,0.012815401540137827,0.3271281543741296,,,,0.006181266076358345,0.07867838550979893,0.10698486771434546,0.008532771181004742,0.013729751847373942,0.43677183930364616,0.9501201808452606,-0.3914821147918701,1.1950664520263672,-0.15801848471164703,-0.15031856298446655,0.1220703125,0.6944034099578857,1.018074870109558,1.0,0.0,-0.026847945526242256,0.002509188372641802
59,32,32,0.0,-0.001789009547792375,0.23716281400993466,,,,,,,,,4.5128297582268715,0.0,0.9936363623688029,,0.45711806137114763,-0.15292000165209174,0.35226166527718306,0.585079712793231,0.1083544921129942,0.8790227398276329,-0.0021699649878428318,0.0005127722397446632,0.00718409288674593,0.005644341428816758,0.0053621243573759225,0.22964745154604316,150.0,112.5,0.5511028757318854,0.8943618480116129,0.6529771257191896,-0.051007625384954736,-0.0055536220606882125,-0.0017783946809686313,0.004135854331252631,0.3424977674148977,0.9288508500903845,0.5307368226349354,-0.0045294526553334435,0.01920589554356411,0.021218757494352758,0.32750992006795204,,,,0.004151357903538155,0.04621233243960887,0.10721725202165544,0.009772680408786982,0.014749816618859768,0.3932984385672959,0.9012032747268677,-0.19703400135040283,1.2244489192962646,-0.13245022296905518,-0.04272976145148277,0.0634765625,0.6525028347969055,0.9659425020217896,1.0,0.0,-0.02039158344268799,0.0036906541790813208
