episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,grad_norm_control,grad_norm_aux,lr_scale,certifiable_frac,cert_violation,cert_mean_dV,cert_mean_V,cert_worst_slack,cert_in_ball_rate,cert_certifiable_frac,cert_alpha_q05,cert_alpha_q25,cert_alpha_q50,cert_alpha_used,cert_alpha_next,cert_alpha_nonpos_frac,cert_nstep,cert_n_samples,v_critic_violation,v_critic_mean,v_critic_min,v_agreement,v_critic_alpha_q05,v_critic_alpha_q25,v_critic_alpha_q50,v_critic_alpha_nonpos_frac,v_critic_violation_direct,v_critic_nonpos_direct,v_bellman_delta_mean,v_bellman_delta_std,v_bellman_delta_q95,softplus_beta,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha,attn_entropy,critic_ev,critic_rmse_norm,xv_true_corr,xv_true_rank,xv_true_flat_frac,ood_v_min,ood_v_mean,ood_nonneg_frac,ood_monotone_frac,ood_slope_corr,ood_range
8,32,32,0.0,-0.00728069432079792,0.03098810628580395,,,,,,,,,8.118926167488098,0.0,0.22010806781340528,,0.38867293018847704,-0.19665116537362337,0.2978739715181291,0.5002396600320935,0.22281212359666824,0.7914062514901161,-0.0004177008913757163,0.006237383000552654,0.01798162702471018,0.010000000000000009,0.009500000000000008,0.06293870543595403,150.0,88.625,0.9935832787305117,1.213356114923954,0.8034598920494318,0.7752530602738261,-0.006874183512991294,-0.0023250741378433304,0.0003039399431692402,0.46724135987460613,0.9144726805388927,0.46698325779289007,-0.0005158729918548488,0.011579896905459464,0.02263167896308005,0.10000000149011612,,,,0.004463011275220197,0.05098219669889659,0.10544226714409888,0.0002332944910108381,0.010969414099236019,0.9026289515247966,nan,0.0007598400115966797,1.0442876815795898,0.15978746116161346,0.16655147075653076,0.107421875,0.7907094359397888,1.1060794591903687,1.0,0.3858506977558136,0.0372038260102272,0.029628418385982513
19,24,24,0.0,-0.0023163697915151715,0.046995287373041116,,,,,,,,,7.499501824378967,0.0,0.31348627163365195,,0.8097718134522438,-0.05992982544315358,0.3934812893470128,0.5478787583609422,0.0,0.7313597649335861,-0.015623185589599112,-0.0011732590695222218,0.000855959951877594,0.009500000000000008,0.009025000000000007,0.4211785892645518,150.0,89.83333333333333,0.9954115102688471,1.6255678882201512,0.9556502550840378,0.6335049370924631,-0.004347322469887634,-0.0005935581410388598,0.00096136534496812,0.3337341907123725,0.9206266726056734,0.5218658211330572,-0.0023228872672310294,0.012479880126193166,0.024659577757120132,0.10000000149011612,,,,0.0034097959942300804,0.04022680455818772,0.1055341192210714,0.0007308525952491133,0.010594361655724546,0.8334945756039537,nan,0.4907919764518738,0.9843351244926453,0.4231024384498596,0.4141547977924347,0.0,0.8164354562759399,1.3218573331832886,1.0,0.9583333134651184,0.04477434605360031,0.03753972053527832
28,24,24,0.0,-0.002374942870422577,0.060221656186816595,,,,,,,,,8.86716745297114,0.0,0.4047992086830406,,0.07841027450437348,-0.22938753726581732,0.2519455843915542,0.053135536378249526,0.27314044038454693,0.8250245427091917,0.008945059167065969,0.020630676299333572,0.03649746626615524,0.009025000000000007,0.008954374941525326,0.0,150.0,38.5,0.9922579601407051,1.558799187342326,0.8472271536787351,0.7589116034408411,-0.007086835762796302,-0.0023095236125906617,4.0637236149147306e-05,0.5254328101873398,0.9069369832674662,0.4967872090637684,0.00018899585120379925,0.013575447024777532,0.0276302940522631,0.10000000149011612,,,,0.0036860997400557003,0.03850395566162964,0.1056392810617884,0.0012999856165455033,0.011351448212129375,0.7709692152321338,nan,0.47798776626586914,0.7373632788658142,0.3996138572692871,0.4953795075416565,0.212890625,0.910347580909729,1.4865492582321167,1.0,0.9079861044883728,0.02506791055202484,0.016044192016124725
32,28,28,0.0,-0.01054122728029532,0.020407330236464207,,,,,,,,,6.712161796433585,0.0,0.5095431797531732,,0.3496919854411057,-0.2271321713924408,0.34666696935892105,0.3949269652366638,0.24846540178571427,0.9403986866985049,0.0018473943470910723,0.005696204624005726,0.019240785922322954,0.008954374941525322,0.008319063334299702,0.007449917595035264,150.0,107.57142857142857,0.998860593352999,1.3350219471114022,0.6849959024361202,0.5873894563743046,-0.006927987760198968,-0.003687927025436823,-0.0006645108392149268,0.5950360638754708,0.9028308753456388,0.4235954231449536,0.0019869420305310215,0.012027825860838805,0.02366144522758467,0.10000000149011612,,,,0.0035533100911249805,0.03893849227045264,0.10577275045216084,0.0020214661781210452,0.011649087670126132,0.7049334974921208,nan,0.8559208512306213,0.4169321060180664,0.49967408180236816,0.5442957878112793,0.2060546875,0.8247836828231812,1.442563533782959,1.0,1.0,0.019835246726870537,0.01891276240348816
38,32,32,0.0,-2.675448195077479e-05,0.012849195682065329,,,,,,,,,6.424660034477711,0.0,0.6238335677810164,,0.588031112216413,-0.15504729561507702,0.39477978087961674,0.6041416730731726,0.09552556462585926,0.8872625213116407,-0.009824136068345979,-0.0016312450170516968,0.0058392807841300964,0.008319063334299708,0.007903110167584717,0.3594321357086301,150.0,118.75,0.9773934707045555,1.5269520431756973,0.672115083783865,0.6104698469862342,-0.005456215571030043,-0.0026945550853270106,-0.0008094383390471194,0.6280718743801117,0.8774870745837688,0.5022851172834635,0.0010711807303778187,0.012893871346022934,0.025024028669577092,0.10000000149011612,,,,0.004457482158613857,0.04939408763311803,0.10596257378347218,0.0030459995759883896,0.010654294906998985,0.6392167521559233,nan,0.8473144173622131,0.3907504975795746,0.5946266651153564,0.5994724631309509,0.048828125,0.7021051645278931,1.500051498413086,1.0,0.9704861044883728,0.01414221990853548,0.01896185800433159
44,32,32,0.0,-0.015121451782761142,0.01387020421680063,,,,,,,,,6.51860973238945,0.0,0.7380135970814115,,0.4435556083917618,-0.13472088612616062,0.25543545465916395,0.49612049479037523,0.11891771107912064,0.8768310565501451,-0.01361354118125746,0.004681329242885113,0.00840483233332634,0.007903110167584717,0.00750795465920548,0.160783804487437,150.0,111.625,0.9995013289153576,1.400366012006998,0.6634649392217398,0.7020231783390045,-0.006072214629966766,-0.003334976405312773,-0.0011938040543100215,0.6738451709970832,0.8692377265542746,0.4750455804169178,0.0016567380738479187,0.013894973875721917,0.025954663346055895,0.10000000149011612,,,,0.004742168463508278,0.05353048600954935,0.1061973397154361,0.004310620664909948,0.011163861374370754,0.5795646014614276,nan,0.8409454226493835,0.4083116054534912,0.6037210822105408,0.5680003762245178,0.0830078125,0.6249740719795227,1.4450279474258423,1.0,0.9626736044883728,0.016362546011805534,0.021289363503456116
47,28,28,0.0,-0.0017920758109539747,0.026229770721069405,,,,,,,,,8.723603878702436,0.0,0.8354465045849154,,0.4076553274478231,-0.21843817883304187,0.36330998688936234,0.3884476444550923,0.19718811980315618,0.9418402782508305,-0.0090199225627917,0.004992793713297162,0.010388465864317757,0.00750795465920548,0.0070053312714715875,0.07948084055845227,150.0,125.57142857142857,0.9803276530333928,1.2898845842906408,0.6909230777195522,0.4744440902556692,-0.007772839179129473,-0.003605821045182113,-0.00016449522653212107,0.5032108181289264,0.8210574260779789,0.4840890169143677,0.0014049667037657595,0.01638840584616576,0.02980889067319887,0.10000000149011612,,,,0.00809369159729353,0.10832093263577137,0.10643332424972739,0.005579077721839505,0.012289867836183735,0.5329825164083742,nan,0.7760975360870361,0.4905850291252136,0.4248104691505432,0.4302551746368408,0.111328125,0.7403640747070312,1.331723690032959,1.0,0.7864583134651184,0.024837955832481384,0.016912970691919327
50,28,28,0.0,0.054518612168197124,0.038384414510801435,,,,,,,,,19.909327064241683,0.0,0.930728210591158,,0.3767350763082504,-0.23746770726782934,0.4196826045268348,0.5164686207509865,0.3260602674313954,0.9159319209200996,0.0009429398757804717,0.006798182747193745,0.01637063388313566,0.007005331271471591,0.0068732368840333565,0.10014141404203006,150.0,106.71428571428571,0.7849704527429172,1.1389647466795785,0.6875605881214142,0.3836647208247866,-0.0064808649102425465,-0.002819629141803099,0.0016420721260926388,0.39111408804144177,0.8284725780997958,0.40816531968968256,-0.00027773672107806694,0.013058142038062215,0.021976724466575042,0.10000000149011612,,,,0.00900044574934457,0.12123325999294009,0.10664233166192259,0.0067001567554793185,0.012187603445324515,0.490954976626904,nan,0.8092541694641113,0.4412623345851898,0.24072226881980896,0.2883606553077698,0.2353515625,0.6659600138664246,1.2235708236694336,1.0,0.9396701455116272,0.019663013517856598,0.01212054118514061
57,32,32,0.0,-0.00427560112439096,0.03806455171434209,,,,,,,,,6.453502394258976,0.0,0.9951062505103325,,0.18481393018737435,-0.24555136309936643,0.303753518499434,0.21016125101596117,0.31272486969828606,0.9026381149888039,-0.005580539866059553,0.010710148140788078,0.027994037605822086,0.006873236884033353,0.006529575039831688,0.0545261955994647,150.0,74.375,0.9855987727642059,1.2863784432411194,0.5184189826250076,0.7301438990980387,-0.007232490344904363,-0.0035278580980957486,-0.0005219729929990535,0.5736229233443737,0.8035844415426254,0.4627673588693142,0.002157269563213049,0.02062566886888817,0.03734306473052129,0.10000000149011612,,,,0.009550656055580475,0.1311502403113991,0.1068705020006746,0.007921486685518175,0.015560462488792837,0.4412881061206532,nan,0.5867412090301514,0.6441977620124817,0.4975567162036896,0.5793853998184204,0.2392578125,0.624508261680603,1.3094141483306885,1.0,0.7400173544883728,0.007046257145702839,0.012030737474560738
63,32,32,0.0,-0.010213970264885575,0.03411257843254134,,,,,,,,,11.43336372077465,0.0,0.9938974544125115,,0.2857843123136028,-0.1979694962501526,0.34155400818394077,0.4278340815536438,0.2091064453125,0.8546142578125,0.001231178577830677,0.007358755315503766,0.019125391398706743,0.006529575039831683,0.006529575039831688,0.06777048447439747,150.0,99.25,0.900480285767586,1.274730358272791,0.5555673372000456,0.6076918318867683,-0.006455877882188126,-0.0022464796427577255,0.0004062376692966228,0.4364127036063902,0.7641534305387928,0.47888857030099435,0.000237797950772332,0.021189116001609835,0.04145962301821959,0.10000000149011612,,,,0.005781330546597019,0.0677490234375,0.10712850745767355,0.009299505181843415,0.015825735637918115,0.40100348609839276,nan,0.7481728792190552,0.5070463418960571,0.5079090595245361,0.5444537401199341,0.1572265625,0.5226075649261475,1.2176055908203125,1.0,0.6401909589767456,0.0035919162910431623,0.00880406517535448
