d_lo,d_hi,d_mid,n,V_min,V_mean,V_max
0.0,0.037473537070756506,0.018736768535378253,2312,0.19623257219791412,0.6899405772311156,1.1544138193130493
0.037473537070756506,0.07494707414151301,0.056210305606134756,1448,0.18196289241313934,0.656899302168775,1.331299901008606
0.07494707414151301,0.11242061121226951,0.09368384267689125,1405,0.17526096105575562,0.5790414884739499,1.2396893501281738
0.11242061121226951,0.14989414828302602,0.13115737974764777,939,0.17632094025611877,0.6292920102612279,1.3582141399383545
0.14989414828302602,0.18736768535378254,0.16863091681840428,1008,0.18432515859603882,0.6063891860493829,1.2365535497665405
0.18736768535378254,0.22484122242453902,0.20610445388916077,868,0.18581846356391907,0.6108192431693253,1.2543226480484009
0.22484122242453902,0.26231475949529554,0.24357799095991728,1021,0.18320223689079285,0.6675733504023305,1.2271203994750977
0.26231475949529554,0.29978829656605205,0.2810515280306738,982,0.1845274269580841,0.6662647616717577,1.2309787273406982
0.29978829656605205,0.33726183363680856,0.3185250651014303,699,0.18857884407043457,0.6785610080703304,1.2302706241607666
0.33726183363680856,0.3747353707075651,0.3559986021721868,509,0.21739259362220764,0.6052436176065378,1.2418015003204346
0.3747353707075651,0.4122089077783216,0.39347213924294333,592,0.22973163425922394,0.642528635122486,1.2093828916549683
0.4122089077783216,0.44968244484907804,0.43094567631369984,653,0.2534180283546448,0.7200350067243094,1.2266496419906616
0.44968244484907804,0.48715598191983456,0.4684192133844563,652,0.24568791687488556,0.723568974005664,1.249833583831787
0.48715598191983456,0.5246295189905911,0.5058927504552129,676,0.2427031248807907,0.7906830857270921,1.2286605834960938
0.5246295189905911,0.5621030560613476,0.5433662875259693,430,0.35212478041648865,0.7348550375117812,1.2319751977920532
0.5621030560613476,0.5995765931321041,0.5808398245967259,352,0.36372771859169006,0.8071795970370824,1.2344359159469604
0.5995765931321041,0.6370501302028606,0.6183133616674823,330,0.4750673770904541,0.8133684024666294,1.2137528657913208
0.6370501302028606,0.6745236672736171,0.6557868987382389,311,0.5028283596038818,0.8574405128549533,1.2083226442337036
0.6745236672736171,0.7119972043443736,0.6932604358089953,337,0.5484220385551453,0.9153518386693665,1.2110048532485962
0.7119972043443736,0.7494707414151301,0.730733972879752,102,0.6613050699234009,0.9614769424877915,1.240837574005127
0.7494707414151301,0.7869442784858867,0.7682075099505083,54,0.8921192288398743,1.022008643106178,1.217369556427002
0.7869442784858867,0.8244178155566432,0.805681047021265,11,1.19253408908844,1.197481718930331,1.2069716453552246
0.8244178155566432,0.8618913526273997,0.8431545840920214,11,1.1956596374511719,1.222832733934576,1.2693946361541748
0.8618913526273997,0.8993648896981561,0.8806281211627779,20,0.9306004643440247,1.0491641968488694,1.1880097389221191
