episode,avg_reward,best_avg_reward,reward_above_threshold,avg_lyap,avg_barrier,avg_std,avg_abs_action,avg_mean_V,avg_std_V,avg_std_barrier,avg_lyap_violation,avg_lyap_mean_dV,avg_lyap_in_ball,lyap_stable,lyap_collapsed,barrier_collapsed,exploration_cleared,reward_trend_per_window,reward_trend_t,plateau_streak,plateaued,stable,checks_since_best
301,271.96705474704083,271.96705474704083,True,0.00839536317685593,0.030177198371772344,0.10928492890670893,0.041621971029477824,0.21063946651087867,0.2458863901284834,0.14878406933405336,0.39590809850229164,-0.001401659465106301,0.5438509095874099,False,False,False,True,54.90112251053164,5.149638075317453,0,False,False,0
303,273.2876817958569,273.2876817958569,True,0.008417069514042749,0.030736581649398437,0.10928031730776029,0.040970433511150386,0.2062702377430267,0.24306351924315095,0.14787132946981327,0.39161067867858546,-0.001423624211808298,0.5496289042549002,False,False,False,True,56.37003696390301,5.278812699687999,0,False,False,0
305,275.9873259989663,275.9873259989663,True,0.008449146868143645,0.028033064135039847,0.1092775160808944,0.04105126808087031,0.20863222799574332,0.24346290799892611,0.14747955806346408,0.3896523059449263,-0.0014403927170456477,0.5496093729303944,False,False,False,True,59.46951526176249,5.627008161540585,0,False,False,0
307,277.816743403562,277.816743403562,True,0.008478971550034152,0.02815773702847461,0.10927603271686367,0.04113447635900229,0.20762430892015496,0.24340393013424338,0.14734443979751735,0.3873487669457164,-0.0014552016763344808,0.5522460918045706,False,False,False,True,62.63074147744723,5.93634965514286,0,False,False,0
309,279.4535507392946,279.4535507392946,True,0.008587650697316146,0.02772278563837366,0.10927385978607666,0.04113318430415043,0.20602971750001112,0.2417476868049966,0.14651605593454506,0.3828165494009025,-0.0014880630113920132,0.5566048156883983,False,False,False,True,66.62024552266986,6.3501925632867,0,False,False,0
311,278.82323156434444,279.4535507392946,True,0.008348536337790492,0.029193908301143285,0.10926898524372113,0.041354429116472594,0.20586185383920866,0.2420253831375804,0.1468974023695207,0.3817740974430409,-0.001512032548655245,0.5583365865465668,False,False,False,True,66.2922622576267,6.32245799110723,0,False,False,1
313,278.6093709164407,279.4535507392946,True,0.008531796188294215,0.027634618511850322,0.10926293669165006,0.0408527075080201,0.2029164588389297,0.2417528219314085,0.14467437853519285,0.37563363957322304,-0.0015449369742984549,0.5642187480297354,False,False,False,True,64.61775433614007,6.156847013610315,0,False,False,2
315,279.0350181182525,279.4535507392946,True,0.008584184452936622,0.029219511926445802,0.10925737548516028,0.04121749851231773,0.19989572971438366,0.23946593165811567,0.14298822720949017,0.3739652592481838,-0.001571584697457082,0.570566404155559,False,False,False,True,61.792137301329426,5.920731453925371,0,False,False,3
317,278.8767289675836,279.4535507392946,True,0.008570559437470768,0.029499097809699986,0.10925205681059096,0.041595830108659956,0.19888077747697627,0.23830377985205917,0.14283963264380065,0.3680429966292447,-0.0015819155210515926,0.5732698547757334,False,False,False,True,63.21541120229037,6.068344327548799,0,False,False,4
319,278.5711155247642,279.4535507392946,True,0.008418111244746897,0.029830499678306904,0.10924661619485254,0.0419607053666065,0.19738698471337554,0.23792563010421067,0.14265388037181564,0.3684829573250479,-0.0015912246375794185,0.5758105447308884,False,False,False,True,61.04464439573863,5.864901986040172,0,False,False,5
