episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,grad_norm_control,grad_norm_aux,lr_scale,certifiable_frac,cert_violation,cert_mean_dV,cert_mean_V,cert_worst_slack,cert_in_ball_rate,cert_certifiable_frac,cert_alpha_q05,cert_alpha_q25,cert_alpha_q50,cert_alpha_used,cert_alpha_next,cert_alpha_nonpos_frac,cert_nstep,cert_n_samples,v_critic_violation,v_critic_mean,v_critic_min,v_agreement,v_critic_alpha_q05,v_critic_alpha_q25,v_critic_alpha_q50,v_critic_alpha_nonpos_frac,v_critic_violation_direct,v_critic_nonpos_direct,v_bellman_delta_mean,v_bellman_delta_std,v_bellman_delta_q95,softplus_beta,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha
4,28,28,4.6566128730773926e-09,0.0011416617115693434,306.98568071637834,0.6033459412200111,0.10258614724235875,0.24171315718974387,0.6183052467448371,0.2822325612817492,5.199572316476926e-05,0.005307705607265234,0.4472446015902928,7.7378378595624655,0.0,0.20180134854280254,,0.3379098081162998,-0.2656827797847135,0.4286246108157294,0.7474278786352703,0.2822325612817492,0.9184142776897976,-0.003737932820513379,0.005286939974342074,0.02158613077231816,0.010000000000000009,0.009500000000000008,0.12326084875634738,150.0,103.71428571428571,,,,,,,,,,,,,,,0.002737937790308414,1.3059569001197815,1.819392483149256,0.005489578029872584,0.0640781010900225,0.10543326128806386,0.00018449463040529475,0.006385040045383253,0.9168360188518901
7,28,28,7.2177499532699585e-09,0.006541744207165071,237.326416015625,0.6632372162171772,0.13806981313973665,0.2919055606637682,0.50981057541711,0.35780054117952076,-0.0005255372618973654,0.004543730723006385,0.5081758062754359,9.722368708678655,0.0,0.29818751780207925,,0.43008347920009066,-0.17976999801716634,0.2478623536548444,0.1906839454812663,0.35780054117952076,0.9609375,0.0038856732218326734,0.007507562105144773,0.015499583312443324,0.009500000000000008,0.008710516993469997,0.0011796033442286508,150.0,102.85714285714286,,,,,,,,,,,,,,,0.0024131863870674613,1.4502009749412537,1.9972640786852156,0.004646658677042329,0.05414939458881106,0.10551663035792964,0.0006361527962976002,0.009341509730022932,0.8444502606326799
11,28,28,8.381903171539307e-09,-0.0008283856607574437,190.96521486554826,0.5667836495808193,0.22344484978488513,0.37926750417266575,0.6783668888466698,0.053954486336026876,0.0005001726193378479,0.0054008769636441556,0.35321106761693954,7.790770070893424,0.0,0.4051111418629105,,0.7711753185306277,-0.1714433186820575,0.5905256803546634,0.8457116889102119,0.053954486336026876,0.9135525460754123,-0.007559777370521,-0.0006603045122964042,0.0022453825388635907,0.00871051699347,0.008274991143796496,0.34347363135644365,150.0,140.0,,,,,,,,,,,,,,,0.0032641642361081074,1.496624278170722,1.530951785189765,0.0037844866663882776,0.038745649225477664,0.10562624117093426,0.001229436816564495,0.013932937889226846,0.7707637770733118
14,28,28,7.2177499532699585e-09,0.011917930429003068,248.61758150373186,0.649940268269607,0.15730482579341956,0.3513816403491156,0.5180530569383076,0.18838355796677725,-0.0003665636138196403,0.005348743504977652,0.44656392080443247,10.537840715476445,0.0,0.5020038961201965,,0.3976451350109918,-0.22996424351419723,0.4316073539001601,0.6877548662679536,0.18838355796677725,0.9024367566619601,-0.0013938366887487064,0.004898199545485633,0.009872800537518092,0.008274991143796491,0.007861241586606671,0.1042967386809843,150.0,140.14285714285714,,,,,,,,,,,,,,,0.002375832700636238,1.5722146672861916,1.736698431628091,0.0038268629245326985,0.03504774307033846,0.10576508646564824,0.0019800707273783962,0.01809740113094449,0.7094945668457896
17,28,28,4.889443516731262e-09,-0.030434975200997933,229.96252386910575,0.6662543735333851,0.15131813740091665,0.41113660271678654,0.5982339190585273,0.09038064522402627,-3.6213547462336592e-06,0.00531585469642388,0.4340229907206127,9.560220880167824,0.0,0.5996986213307759,,0.46684233844280243,-0.20112997399909155,0.3950018957257271,0.5959988342864173,0.09038064522402627,0.9141216895409993,-0.01563546245285709,-0.00041544543845312934,0.008259594440460205,0.007861241586606671,0.007468179507276337,0.2590884193778038,150.0,138.85714285714286,,,,,,,,,,,,,,,0.0024198228618063566,1.6391157252447945,1.7083945189203535,0.006332101508243275,0.07838288055998939,0.10592016684157508,0.0028173091039726777,0.025664459514830793,0.6525737942802724
19,24,24,6.28642737865448e-09,-0.007786890724673867,214.8852163950602,0.6545844698945681,0.153919559593002,0.3145347535610199,0.5267577270666758,0.15058593700329462,-0.00041899741472661844,0.0053097788865367574,0.44231455276409787,7.201551695664723,0.0,0.6892176345042631,,0.38423601786295575,-0.20822851732373238,0.347655039280653,0.5545490110913912,0.15058593700329462,0.9202148467302322,-0.0029283275947970346,0.004750424375136693,0.01114586740732193,0.007468179507276342,0.00709477053191252,0.09847932603831093,150.0,156.5,,,,,,,,,,,,,,,0.0020552617885793247,1.7351511021455128,1.7510129461685817,0.005015135703918834,0.06083984409148494,0.10608682005355756,0.003715687353784839,0.023553455403695505,0.604360812369027
21,24,24,6.05359673500061e-09,-0.005003073175127308,216.0393180847168,0.633677639067173,0.14051265424738327,0.3097076068321864,0.5852212458848953,0.11705728868643443,-0.0003383837547138076,0.005357472555867086,0.41432199627161026,7.673706471920013,0.0,0.7785755290100648,,0.4596983181933562,-0.24549282031754652,0.41780755668878555,0.5287633327146372,0.11705728868643443,0.9361002594232559,-0.011318664299324155,0.0023278401543696723,0.00796241561571757,0.007094770531912517,0.006740032005316894,0.18442525062710047,150.0,152.0,,,,,,,,,,,,,,,0.002551636348168055,1.821530560652415,1.956912636756897,0.00605296716215283,0.0730468750698492,0.10625903711964686,0.004642572952434421,0.019812675037731726,0.5597098668820877
23,24,24,3.4924596548080444e-09,-0.0025975306440765658,144.58055210113525,0.6203902810811996,0.11902491996685664,0.3230992717047532,0.5391035837431749,0.033007810513178505,-0.00030226004719224875,0.005270818461819242,0.33444693436225253,7.430904060602188,0.0,0.8677492428108949,,0.5917637174328169,-0.1434311450769504,0.2874725100894769,0.4453291520476341,0.033007810513178505,0.9401367207368215,-0.012971866255005201,0.0004400865485270818,0.004230586191018422,0.006740032005316894,0.006403030405051049,0.2316652654359738,150.0,179.33333333333334,,,,,,,,,,,,,,,0.002536930958740413,1.936162864168485,1.780071347951889,0.005008551483721628,0.0560546878259629,0.10645411163568497,0.005690692438899229,0.019185743993148208,0.5183577900379751
26,28,28,6.752088665962219e-09,-0.05713330498630447,208.9728606087821,0.6577710594449725,0.14654062688350677,0.31004143932035994,0.5579159440738815,0.32533482142857145,-0.0003041402762846701,0.0049075398585825625,0.5069579311779567,15.243940251214164,0.0,0.9628857404609158,,0.2523603843791144,-0.22034793373729503,0.33586967763091835,0.36085737169820015,0.32533482142857145,0.9153180803571429,0.0026900302462828612,0.008747433977467673,0.025473785187516893,0.006403030405051051,0.006335645014478308,0.09576744293527943,150.0,94.14285714285714,,,,,,,,,,,,,,,0.002879423147533089,1.946315939937319,1.714176935808999,0.004665855900384486,0.05161830357142857,0.10668384283781052,0.006922553193622402,0.022157705122871057,0.4775089120216794
29,28,28,3.725290298461914e-09,-0.0014474990644625255,133.24971989222936,0.5588586564574923,0.1073947942682675,0.2984172786985125,0.6003962233662605,0.27442479133605957,-0.00023938215148535034,0.005112879377390657,0.399850427040032,7.238022089004517,0.0,0.9950456247998637,,0.3188565985432693,-0.23076248168945312,0.39447833597660065,0.4238208830356598,0.27442479133605957,0.9229195288249424,-0.0013278623001886963,0.004656070045062474,0.01697682057108198,0.006335645014478308,0.005894186617444572,0.08394602326942342,150.0,106.85714285714286,,,,,,,,,,,,,,,0.0028124123013445307,2.1409233808517456,1.7352023209844316,0.006626376661837899,0.08485004625150136,0.10691873995321137,0.008179387127581452,0.013108971794801099,0.4390592671312509
