episode,steps,final_battery,total_reward,total_directional_reward,total_battery_reward,total_movement_penalty,loss,episode_time,rollout_time,inference_time,env_time,update_time,peak_solar_w,mean_solar_w,min_battery
14,720,3.3181967114822353,-54.75444609302054,24.685105163093112,-58.687309137552795,15.224620170479797,-1.009914517402649,20.447860141997808,20.013406465994194,0.6409982589102583,19.372408207083936,0.2950703690003138,42.26108368706108,24.760415418381672,3.3181967114822353
15,720,18.55503604308702,-34.456225477145075,26.050365176596465,-40.77661299418624,14.679912393968111,,19.234925696990103,19.090435246995185,0.6421534021792468,18.448281844815938,0.0,42.26338440304192,26.183872555593652,18.110668227425684
16,720,1.6623030191155443,-68.21169649711204,23.608341720964535,-72.5578490998121,14.643929576915165,-1.0641764402389526,20.32424888999958,19.881851607002318,0.6413471370760817,19.240504469926236,0.29516871699888725,42.263323073397395,23.940205386359573,1.6623030191155443
17,720,0.03885866807473241,-65.24104685056986,24.5718027669304,-69.9484858457912,14.713561701006894,,19.268123703994206,19.118420097001945,0.6414228380890563,18.47699725891289,0.0,42.26319389363353,24.08796302463998,0.03885866807473241
18,720,6.58720870942137,-51.8223015815596,24.899463976508645,-57.60680180566828,14.086497533998521,-1.1944918632507324,19.41192709900497,18.973933253000723,0.6407605818239972,18.333172671176726,0.29526310598885175,42.263402767598244,25.018906652717163,6.58720870942137
19,720,1.0146606196014964,-67.17064262509783,24.001570095366052,-70.34332986378547,15.511015367884825,,19.488887237996096,19.342210254006204,0.6421782609540969,18.700031993052107,0.0,42.263403647360526,23.989027536079284,1.0146606196014964
20,720,2.4462423372356668,-59.02393525504316,24.339818151263593,-63.58168004736227,14.80330360486648,-1.2806471586227417,20.483642425999278,20.040833273000317,0.6409704733086983,19.39986279969162,0.29454389700549655,42.254670675642956,24.54331988823195,2.4462423372356668
21,720,9.129309644371846,-39.68788208322681,26.037178233620615,-46.00879584458557,14.684602415465358,,18.76811769499909,18.62825908299419,0.6429390319972299,17.98532005099696,0.0,42.26243528090725,25.767828891019974,9.129309644371846
22,720,2.405928434562021,-55.12614650229594,24.26419055036481,-58.97363122993332,15.061191633296414,-1.1672031879425049,20.049931128000026,19.675075554987416,0.643617817942868,19.031457737044548,0.2350436380074825,42.26310576664238,24.75217991270152,2.405928434562021
23,720,0.27756169820212306,-60.53558916175649,23.911155603013874,-64.58615940716115,14.628703879351722,,20.242131834995234,20.089154868997866,0.6419377079728292,19.447217161025037,0.0,42.263342293362264,24.42253074238495,0.27756169820212306
