episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha
2,24,24,2.3283064365386963e-09,-0.004163119961352398,9.408871293067932,0.025466609358166654,1.4701727231343586,0.24183572949065515,0.0031666847498854622,0.026009114594974864,0.4743668424586455,0.003378005353927923,0.02297915033220003,0.9802265618354914
4,24,24,2.7939677238464355e-09,0.0023925573332235217,8.984085987011591,0.01967438659630716,1.4706364125013351,0.1317994841374457,0.0031757961745218686,0.029720052164824057,0.4779156831403573,0.00934210621441404,0.048029664903879166,0.9608441125278292
6,24,24,2.3283064365386963e-10,0.0002391336408133308,6.521080205837886,0.017600676820923884,1.4546495825052261,0.1665598520388206,0.003202682661746318,0.03255208348855376,0.4816413049896558,0.0155544732309257,0.04617286861563722,0.9418449208830281
8,24,24,6.51925802230835e-09,-0.001918806112371385,14.553944945335388,0.018995234354709584,1.4589693595965703,0.21876288702090582,0.007316177846708645,0.10110677126795053,0.4852892595032851,0.021593778937434156,0.07369658863171935,0.9232214085793907
10,24,24,3.14321368932724e-09,0.0007630294809738795,10.779345711072287,0.018989209240923326,1.5088865906000137,0.1869046799838543,0.0033449507997526475,0.0375337881462959,0.4890929547448953,0.02784280797156195,0.08168424076090257,0.9049661471446956
12,24,24,7.683411240577698e-09,-0.006492662553985913,9.454465508460999,0.018728620605543256,1.5152431974808376,0.2003246477494637,0.004985770967323333,0.06253255261496331,0.49358953659733135,0.03517026950915655,0.07263260520994663,0.8870718549931563
14,24,24,5.122274160385132e-09,-0.0011911462449158232,20.06639579931895,0.019139745893577736,1.4572094182173412,0.2634563986212015,0.003905642307169425,0.04188797426953291,0.4983727236588796,0.042898452219863735,0.07641975022852421,0.8695313945209736
16,24,24,1.862645149230957e-09,-0.002506976722846351,10.568690538406372,0.01829933119006455,1.4809699555238087,0.27731363847851753,0.0025447868635334694,0.027018229263679434,0.5025009761253992,0.04951192795609435,0.06671256323655446,0.8523377692593145
18,24,24,5.3551048040390015e-09,0.001216853503137827,12.043235262235006,0.01954350861099859,1.4284609655539195,0.22250721355279288,0.002051744440298838,0.016992187534924597,0.5065688466032346,0.05598062230274081,0.06991663482040167,0.83548412108359
20,24,24,8.381903171539307e-09,-0.008552597020752728,11.549817283948263,0.018934689772625763,1.4588669786850612,0.3822612278163433,0.004751001605958057,0.05735677108168602,0.5106681535641352,0.06245040148496628,0.08121778536587954,0.8189637274779149
22,24,24,4.889443516731262e-09,-0.006317944265902042,9.104058047135672,0.01817945670336485,1.5339379062255223,0.48310088490446407,0.004911761643597856,0.059407552083333336,0.5153883248567581,0.06984265334904194,0.060559053594867386,0.8027699988536554
24,24,24,3.026798367500305e-09,0.0021067599300295115,8.407660702864328,0.01843193530415495,1.4909271945556004,0.3708783822755019,0.004381802980788052,0.04485677105064193,0.520451175669829,0.07770599176486333,0.058760041215767465,0.7868964759210004
26,24,24,3.958120942115784e-09,0.0009679257248838743,10.375479837258657,0.01827501691877842,1.575719838341077,0.28451702060798806,0.003686532704402149,0.042187500007761024,0.5253806238373121,0.0852978661035498,0.07527003219972055,0.7713368271125064
28,24,24,4.190951585769653e-09,-0.005815351459508141,10.782196660836538,0.019056093025331695,1.5073981086413066,0.27675531432032585,0.0027696018005372025,0.031315104298604034,0.5303223008910815,0.09284729044884443,0.06505210107813279,0.7560848460575896
30,24,24,4.889443516731262e-09,0.000153763258519272,12.20056269566218,0.018513649391631287,1.4992452959219615,0.22424624611934027,0.005620347554213367,0.07356648488591115,0.5352578982710838,0.10032722850640614,0.08837728016078472,0.7411344491069477
32,24,24,6.984919309616089e-09,-8.43930368622144e-05,10.542786598205566,0.018385548920681078,1.5373647312323253,0.26170136344929534,0.0026207735997256045,0.025227864583333332,0.5405575955907503,0.10829576042791207,0.07969737487534682,0.7264796729059442
34,24,24,7.2177499532699585e-09,0.0011066712904721498,10.887395481268564,0.018547993851825595,1.6083900779485703,0.3772595524787903,0.002859312233340461,0.03473307332023978,0.5456251899401346,0.11585469264537096,0.0866197980940342,0.7121146720159662
36,24,24,1.1641532182693481e-09,-0.0070170719603387015,6.627791275580724,0.018970539638151724,1.6737712423006694,0.38867929205298424,0.0037169017256625616,0.03606770886108279,0.5510218938191732,0.1238420195877552,0.09442733352382977,0.6980337165828199
38,24,24,6.984919309616089e-10,-0.0011310539751624067,6.497245321671168,0.018197771317015093,1.65130415558815,0.40121396134297055,0.003133244790660683,0.0298828127173086,0.5567638725042343,0.13227166794240475,0.116890757655104,0.6842311900512269
40,24,24,5.820766091346741e-09,-0.0008604241496262451,9.68181578318278,0.01806912454776466,1.6313746869564056,0.3348279645045598,0.004882302814318488,0.052766927517950535,0.5625405336419741,0.14068468722204366,0.10276895885666211,0.6707015869245209
42,24,24,6.28642737865448e-09,0.0014532030327245593,11.5340447028478,0.018905631887416046,1.6555065711339314,0.24001129468282065,0.0022795651384512894,0.02172225566270451,0.5679178287585577,0.14845624876519045,0.1065679866199692,0.6574395105686311
44,24,24,6.752088665962219e-09,0.000614504135834674,7.589160690704982,0.018712960571671527,1.639679193496704,0.30172985295454663,0.002163077989583447,0.015852864560050268,0.5731604595979055,0.1559787473330895,0.10562788570920627,0.644439671059498
46,24,24,1.6298145055770874e-09,-0.006258018198423088,8.463264087835947,0.018546977313235402,1.67776720225811,0.2760816930482785,0.008324095436061421,0.10836588544771075,0.5787139038244883,0.16389187735815844,0.11109409077713887,0.631696883073047
48,24,24,9.080395102500916e-09,0.0007911626210746666,13.780233244101206,0.018315859061355393,1.6587103108565013,0.34934548288583755,0.0024136788366983333,0.025918300574024517,0.5838688910007477,0.1711881613979737,0.13416024235387644,0.6192060638168894
50,24,24,3.958120942115784e-09,0.0009233154511700074,10.088746050993601,0.018442053037385147,1.6115550647179286,0.38263726110259694,0.0034371345585289723,0.03073278333370884,0.5887625614802042,0.17807085750003657,0.18219571746885777,0.6069622310029174
52,24,24,6.402842700481415e-09,-0.0073180993980107205,12.324747622013092,0.018468178032586973,1.644800101717313,0.5068012438714504,0.003609498147852719,0.02949218770178656,0.5940071791410446,0.18540282671650252,0.1794041432440281,0.5949605008599886
