episode,avg_reward,best_avg_reward,reward_above_threshold,avg_lyap,avg_barrier,avg_std,avg_abs_action,exploration_cleared,stable,checks_since_best
300,-57.7751807216592,-57.7751807216592,True,0.010060746213033177,3.3633829161772155e-06,0.8824159043944546,0.45681257293456123,True,True,0
302,-57.38820827632546,-57.38820827632546,True,0.010060686299241046,3.3633829161772155e-06,0.883150442565481,0.4548612321002616,True,True,0
304,-56.541384520498916,-56.541384520498916,True,0.010059530634639992,3.483870834012729e-06,0.8838901889820894,0.45715304422709674,True,True,0
306,-56.99630714741608,-56.541384520498916,True,0.010059238919186303,3.483870834012729e-06,0.8846222527325155,0.4585313599763645,True,True,1
308,-56.75564891895199,-56.541384520498916,True,0.010057729397926273,4.1140843702831055e-06,0.8853298110266528,0.46393242025127013,True,True,2
310,-57.03302558009944,-56.541384520498916,True,0.010055566872728783,4.1140843702831055e-06,0.8860110847900311,0.46990037988871336,True,True,3
312,-57.13691158560228,-56.541384520498916,True,0.01005510937021528,4.160129153913456e-06,0.8866708261271317,0.4749391540884972,True,True,4
314,-57.01702823747934,-56.541384520498916,True,0.010053277251103688,4.160129153913456e-06,0.8873082980513572,0.4816199307640394,True,True,5
316,-56.92595138957091,-56.541384520498916,True,0.01005038995968385,4.160129153913456e-06,0.88791250338157,0.4879723148213494,True,True,6
318,-56.70384415139156,-56.541384520498916,True,0.010049877734208066,4.160129153913456e-06,0.8884800342222053,0.4976443325893748,True,True,7
320,-57.06522409404609,-56.541384520498916,True,0.010049197868728595,4.160129153913456e-06,0.8890236443115607,0.5002090602906215,True,True,8
322,-57.29782220048796,-56.541384520498916,True,0.010048380781922283,4.160129153913456e-06,0.8895680678801405,0.5010619091076983,True,True,9
324,-57.446001060072646,-56.541384520498916,True,0.01004798150388524,4.160129153913456e-06,0.8901022656924195,0.5026509691650668,True,True,10
326,-57.09389979214501,-56.541384520498916,True,0.010046640327588344,4.160129153913456e-06,0.890598692289657,0.5051934133594234,True,True,11
328,-56.642960477580125,-56.541384520498916,True,0.010042261733906344,4.160129153913456e-06,0.8910647307005194,0.5019791288301347,True,True,12
330,-56.90740726881108,-56.541384520498916,True,0.010036813644304251,4.160129153913456e-06,0.8915150388247438,0.5024885223764513,True,True,13
332,-56.2650211930125,-56.2650211930125,True,0.010034059901307854,4.157173652351453e-06,0.8919455457478762,0.5022040251021582,True,True,0
334,-55.800794682063696,-55.800794682063696,True,0.010032021177337608,4.157173652351453e-06,0.8923528119093843,0.5015641815132564,True,True,0
336,-56.01353136725782,-55.800794682063696,True,0.010029939520043425,4.131210867955007e-06,0.8927342380500504,0.5042462787694401,True,True,1
338,-55.910612546850146,-55.800794682063696,True,0.010025375428247371,7.967462377362407e-07,0.8930974713630148,0.5020718427788881,True,True,2
340,-55.828533068742225,-55.800794682063696,True,0.010024631155991101,7.967462377362407e-07,0.8934600659128693,0.5057345124996371,True,True,3
342,-56.21336117665725,-55.800794682063696,True,0.010024850245746269,7.967462377362407e-07,0.8938182905730274,0.5122537913835712,True,True,4
344,-55.88509794069092,-55.800794682063696,True,0.010024349584192453,6.762583199007269e-07,0.8941510929829544,0.5155280605372455,True,True,5
346,-56.045974961184186,-55.800794682063696,True,0.010023843526788472,6.762583199007269e-07,0.894468475298749,0.5185825884756115,True,True,6
348,-55.892098068700115,-55.800794682063696,True,0.010023504388259932,4.604478363035014e-08,0.89479143064883,0.5153391315291326,True,True,7
350,-55.910227230980105,-55.800794682063696,True,0.010023335977974866,4.604478363035014e-08,0.8951249227341677,0.5128628201782703,True,True,8
352,-55.832096780970545,-55.800794682063696,True,0.010022793245863996,0.0,0.895454961227046,0.5066153718158604,True,True,9
354,-56.641129474309885,-55.800794682063696,True,0.010022841348674974,4.5536198740592225e-07,0.8957833757417069,0.500822499083976,True,True,10
356,-57.08582177345472,-55.800794682063696,True,0.010022233691739124,4.5536198740592225e-07,0.8961474663681454,0.4924963288630049,True,True,11
358,-57.22718973530782,-55.800794682063696,True,0.010022320296977544,4.5536198740592225e-07,0.8965515373067723,0.48469441862156,True,True,12
360,-57.63035833651443,-55.800794682063696,True,0.010021476124853103,9.253535305712528e-07,0.8969694267544479,0.4785247908284266,True,True,13
362,-57.642465374811245,-55.800794682063696,True,0.01002080678396548,9.253535305712528e-07,0.8973929310838381,0.4735732939301265,True,True,14
364,-57.599412451544694,-55.800794682063696,True,0.010019520881016635,9.253535305712528e-07,0.8978479645318457,0.46794938409907944,True,True,15
366,-57.92469859479551,-55.800794682063696,True,0.010019050599981308,9.253535305712528e-07,0.8983461156901388,0.46569335804217393,True,True,16
