model,seed,episode,tensor,bin_left,bin_right,count
cost,4,400,attention_pool.weight,-0.0099987620260657,0.0049409081296223345,4
cost,4,400,attention_pool.weight,0.0049409081296223345,0.019880578285310313,3
cost,4,400,attention_pool.weight,0.019880578285310313,0.03482024844099835,8
cost,4,400,attention_pool.weight,0.03482024844099835,0.04975991859668638,1
cost,4,400,attention_pool.weight,0.04975991859668638,0.06469958875237442,6
cost,4,400,attention_pool.weight,0.06469958875237442,0.07963925890806245,3
cost,4,400,attention_pool.weight,0.07963925890806245,0.09457892906375048,6
cost,4,400,attention_pool.weight,0.09457892906375048,0.10951859921943852,6
cost,4,400,attention_pool.weight,0.10951859921943852,0.12445826937512655,2
cost,4,400,attention_pool.weight,0.12445826937512655,0.13939793953081459,7
cost,4,400,attention_pool.weight,0.13939793953081459,0.15433760968650262,3
cost,4,400,attention_pool.weight,0.15433760968650262,0.16927727984219065,3
cost,4,400,attention_pool.weight,0.16927727984219065,0.18421694999787863,4
cost,4,400,attention_pool.weight,0.18421694999787863,0.19915662015356672,2
cost,4,400,attention_pool.weight,0.19915662015356672,0.2140962903092547,3
cost,4,400,attention_pool.weight,0.2140962903092547,0.2290359604649428,4
cost,4,400,attention_pool.weight,0.2290359604649428,0.24397563062063077,2
cost,4,400,attention_pool.weight,0.24397563062063077,0.25891530077631886,4
cost,4,400,attention_pool.weight,0.25891530077631886,0.27385497093200684,2
cost,4,400,critic_body.0.parametrizations.weight.original,-0.13231928646564484,-0.12586506874096104,67
cost,4,400,critic_body.0.parametrizations.weight.original,-0.12586506874096104,-0.11941085101627721,723
cost,4,400,critic_body.0.parametrizations.weight.original,-0.11941085101627721,-0.11295663329159342,849
cost,4,400,critic_body.0.parametrizations.weight.original,-0.11295663329159342,-0.1065024155669096,871
cost,4,400,critic_body.0.parametrizations.weight.original,-0.1065024155669096,-0.1000481978422258,857
cost,4,400,critic_body.0.parametrizations.weight.original,-0.1000481978422258,-0.093593980117542,829
cost,4,400,critic_body.0.parametrizations.weight.original,-0.093593980117542,-0.08713976239285819,819
cost,4,400,critic_body.0.parametrizations.weight.original,-0.08713976239285819,-0.08068554466817437,816
cost,4,400,critic_body.0.parametrizations.weight.original,-0.08068554466817437,-0.07423132694349056,847
cost,4,400,critic_body.0.parametrizations.weight.original,-0.07423132694349056,-0.06777710921880675,835
cost,4,400,critic_body.0.parametrizations.weight.original,-0.06777710921880675,-0.061322891494122955,835
cost,4,400,critic_body.0.parametrizations.weight.original,-0.061322891494122955,-0.054868673769439144,861
cost,4,400,critic_body.0.parametrizations.weight.original,-0.054868673769439144,-0.04841445604475533,860
cost,4,400,critic_body.0.parametrizations.weight.original,-0.04841445604475533,-0.041960238320071536,844
cost,4,400,critic_body.0.parametrizations.weight.original,-0.041960238320071536,-0.035506020595387724,828
cost,4,400,critic_body.0.parametrizations.weight.original,-0.035506020595387724,-0.029051802870703913,850
cost,4,400,critic_body.0.parametrizations.weight.original,-0.029051802870703913,-0.022597585146020102,830
cost,4,400,critic_body.0.parametrizations.weight.original,-0.022597585146020102,-0.01614336742133629,853
cost,4,400,critic_body.0.parametrizations.weight.original,-0.01614336742133629,-0.009689149696652494,802
cost,4,400,critic_body.0.parametrizations.weight.original,-0.009689149696652494,-0.0032349319719686687,876
cost,4,400,critic_body.0.parametrizations.weight.original,-0.0032349319719686687,0.0032192857527151286,831
cost,4,400,critic_body.0.parametrizations.weight.original,0.0032192857527151286,0.009673503477398926,831
cost,4,400,critic_body.0.parametrizations.weight.original,0.009673503477398926,0.01612772120208275,828
cost,4,400,critic_body.0.parametrizations.weight.original,0.01612772120208275,0.022581938926766548,867
cost,4,400,critic_body.0.parametrizations.weight.original,0.022581938926766548,0.029036156651450346,863
cost,4,400,critic_body.0.parametrizations.weight.original,0.029036156651450346,0.03549037437613417,841
cost,4,400,critic_body.0.parametrizations.weight.original,0.03549037437613417,0.04194459210081797,823
cost,4,400,critic_body.0.parametrizations.weight.original,0.04194459210081797,0.048398809825501765,881
cost,4,400,critic_body.0.parametrizations.weight.original,0.048398809825501765,0.05485302755018559,861
cost,4,400,critic_body.0.parametrizations.weight.original,0.05485302755018559,0.06130724527486939,821
cost,4,400,critic_body.0.parametrizations.weight.original,0.06130724527486939,0.06776146299955321,863
cost,4,400,critic_body.0.parametrizations.weight.original,0.06776146299955321,0.07421568072423701,819
cost,4,400,critic_body.0.parametrizations.weight.original,0.07421568072423701,0.08066989844892081,868
cost,4,400,critic_body.0.parametrizations.weight.original,0.08066989844892081,0.08712411617360463,827
cost,4,400,critic_body.0.parametrizations.weight.original,0.08712411617360463,0.09357833389828843,835
cost,4,400,critic_body.0.parametrizations.weight.original,0.09357833389828843,0.10003255162297225,842
cost,4,400,critic_body.0.parametrizations.weight.original,0.10003255162297225,0.10648676934765605,843
cost,4,400,critic_body.0.parametrizations.weight.original,0.10648676934765605,0.11294098707233985,852
cost,4,400,critic_body.0.parametrizations.weight.original,0.11294098707233985,0.11939520479702365,843
cost,4,400,critic_body.0.parametrizations.weight.original,0.11939520479702365,0.1258494225217075,700
cost,4,400,critic_body.0.parametrizations.weight.original,0.1258494225217075,0.1323036402463913,77
cost,4,400,critic_body.2.parametrizations.weight.original,-0.13297651708126068,-0.12653168563435718,59
cost,4,400,critic_body.2.parametrizations.weight.original,-0.12653168563435718,-0.12008685418745367,649
cost,4,400,critic_body.2.parametrizations.weight.original,-0.12008685418745367,-0.11364202274055016,868
cost,4,400,critic_body.2.parametrizations.weight.original,-0.11364202274055016,-0.10719719129364665,808
cost,4,400,critic_body.2.parametrizations.weight.original,-0.10719719129364665,-0.10075235984674313,840
cost,4,400,critic_body.2.parametrizations.weight.original,-0.10075235984674313,-0.09430752839983964,869
cost,4,400,critic_body.2.parametrizations.weight.original,-0.09430752839983964,-0.08786269695293612,857
cost,4,400,critic_body.2.parametrizations.weight.original,-0.08786269695293612,-0.08141786550603261,877
cost,4,400,critic_body.2.parametrizations.weight.original,-0.08141786550603261,-0.07497303405912911,827
cost,4,400,critic_body.2.parametrizations.weight.original,-0.07497303405912911,-0.0685282026122256,801
cost,4,400,critic_body.2.parametrizations.weight.original,-0.0685282026122256,-0.06208337116532209,821
cost,4,400,critic_body.2.parametrizations.weight.original,-0.06208337116532209,-0.05563853971841859,845
cost,4,400,critic_body.2.parametrizations.weight.original,-0.05563853971841859,-0.04919370827151508,858
cost,4,400,critic_body.2.parametrizations.weight.original,-0.04919370827151508,-0.042748876824611565,802
cost,4,400,critic_body.2.parametrizations.weight.original,-0.042748876824611565,-0.036304045377708066,892
cost,4,400,critic_body.2.parametrizations.weight.original,-0.036304045377708066,-0.029859213930804554,853
cost,4,400,critic_body.2.parametrizations.weight.original,-0.029859213930804554,-0.02341438248390104,821
cost,4,400,critic_body.2.parametrizations.weight.original,-0.02341438248390104,-0.016969551036997543,893
cost,4,400,critic_body.2.parametrizations.weight.original,-0.016969551036997543,-0.010524719590094031,813
cost,4,400,critic_body.2.parametrizations.weight.original,-0.010524719590094031,-0.004079888143190519,842
cost,4,400,critic_body.2.parametrizations.weight.original,-0.004079888143190519,0.0023649433037129797,872
cost,4,400,critic_body.2.parametrizations.weight.original,0.0023649433037129797,0.008809774750616506,862
cost,4,400,critic_body.2.parametrizations.weight.original,0.008809774750616506,0.015254606197520004,882
cost,4,400,critic_body.2.parametrizations.weight.original,0.015254606197520004,0.021699437644423503,779
cost,4,400,critic_body.2.parametrizations.weight.original,0.021699437644423503,0.02814426909132703,813
cost,4,400,critic_body.2.parametrizations.weight.original,0.02814426909132703,0.03458910053823053,840
cost,4,400,critic_body.2.parametrizations.weight.original,0.03458910053823053,0.041033931985134026,783
cost,4,400,critic_body.2.parametrizations.weight.original,0.041033931985134026,0.04747876343203755,881
cost,4,400,critic_body.2.parametrizations.weight.original,0.04747876343203755,0.05392359487894105,829
cost,4,400,critic_body.2.parametrizations.weight.original,0.05392359487894105,0.06036842632584455,858
cost,4,400,critic_body.2.parametrizations.weight.original,0.06036842632584455,0.06681325777274807,862
cost,4,400,critic_body.2.parametrizations.weight.original,0.06681325777274807,0.07325808921965157,889
cost,4,400,critic_body.2.parametrizations.weight.original,0.07325808921965157,0.07970292066655507,850
cost,4,400,critic_body.2.parametrizations.weight.original,0.07970292066655507,0.0861477521134586,897
cost,4,400,critic_body.2.parametrizations.weight.original,0.0861477521134586,0.0925925835603621,821
cost,4,400,critic_body.2.parametrizations.weight.original,0.0925925835603621,0.0990374150072656,818
cost,4,400,critic_body.2.parametrizations.weight.original,0.0990374150072656,0.10548224645416912,803
cost,4,400,critic_body.2.parametrizations.weight.original,0.10548224645416912,0.11192707790107262,822
cost,4,400,critic_body.2.parametrizations.weight.original,0.11192707790107262,0.11837190934797615,847
cost,4,400,critic_body.2.parametrizations.weight.original,0.11837190934797615,0.12481674079487964,733
cost,4,400,critic_body.2.parametrizations.weight.original,0.12481674079487964,0.13126157224178314,132
cost,4,400,critic_body.4.parametrizations.weight.original,-0.1814563125371933,-0.17256342238042413,101
cost,4,400,critic_body.4.parametrizations.weight.original,-0.17256342238042413,-0.16367053222365496,213
cost,4,400,critic_body.4.parametrizations.weight.original,-0.16367053222365496,-0.1547776420668858,192
cost,4,400,critic_body.4.parametrizations.weight.original,-0.1547776420668858,-0.14588475191011663,220
cost,4,400,critic_body.4.parametrizations.weight.original,-0.14588475191011663,-0.13699186175334743,211
cost,4,400,critic_body.4.parametrizations.weight.original,-0.13699186175334743,-0.12809897159657826,218
cost,4,400,critic_body.4.parametrizations.weight.original,-0.12809897159657826,-0.1192060814398091,202
cost,4,400,critic_body.4.parametrizations.weight.original,-0.1192060814398091,-0.11031319128303993,173
cost,4,400,critic_body.4.parametrizations.weight.original,-0.11031319128303993,-0.10142030112627076,198
cost,4,400,critic_body.4.parametrizations.weight.original,-0.10142030112627076,-0.0925274109695016,213
cost,4,400,critic_body.4.parametrizations.weight.original,-0.0925274109695016,-0.08363452081273241,210
cost,4,400,critic_body.4.parametrizations.weight.original,-0.08363452081273241,-0.07474163065596325,199
cost,4,400,critic_body.4.parametrizations.weight.original,-0.07474163065596325,-0.06584874049919408,209
cost,4,400,critic_body.4.parametrizations.weight.original,-0.06584874049919408,-0.056955850342424896,198
cost,4,400,critic_body.4.parametrizations.weight.original,-0.056955850342424896,-0.04806296018565573,207
cost,4,400,critic_body.4.parametrizations.weight.original,-0.04806296018565573,-0.03917007002888656,190
cost,4,400,critic_body.4.parametrizations.weight.original,-0.03917007002888656,-0.030277179872117393,215
cost,4,400,critic_body.4.parametrizations.weight.original,-0.030277179872117393,-0.021384289715348226,182
cost,4,400,critic_body.4.parametrizations.weight.original,-0.021384289715348226,-0.012491399558579058,184
cost,4,400,critic_body.4.parametrizations.weight.original,-0.012491399558579058,-0.0035985094018098907,198
cost,4,400,critic_body.4.parametrizations.weight.original,-0.0035985094018098907,0.005294380754959305,210
cost,4,400,critic_body.4.parametrizations.weight.original,0.005294380754959305,0.014187270911728472,198
cost,4,400,critic_body.4.parametrizations.weight.original,0.014187270911728472,0.02308016106849764,208
cost,4,400,critic_body.4.parametrizations.weight.original,0.02308016106849764,0.03197305122526681,220
cost,4,400,critic_body.4.parametrizations.weight.original,0.03197305122526681,0.040865941382035975,210
cost,4,400,critic_body.4.parametrizations.weight.original,0.040865941382035975,0.04975883153880514,248
cost,4,400,critic_body.4.parametrizations.weight.original,0.04975883153880514,0.05865172169557431,220
cost,4,400,critic_body.4.parametrizations.weight.original,0.05865172169557431,0.0675446118523435,217
cost,4,400,critic_body.4.parametrizations.weight.original,0.0675446118523435,0.07643750200911265,188
cost,4,400,critic_body.4.parametrizations.weight.original,0.07643750200911265,0.08533039216588184,200
cost,4,400,critic_body.4.parametrizations.weight.original,0.08533039216588184,0.09422328232265098,208
cost,4,400,critic_body.4.parametrizations.weight.original,0.09422328232265098,0.10311617247942018,204
cost,4,400,critic_body.4.parametrizations.weight.original,0.10311617247942018,0.11200906263618937,207
cost,4,400,critic_body.4.parametrizations.weight.original,0.11200906263618937,0.12090195279295851,208
cost,4,400,critic_body.4.parametrizations.weight.original,0.12090195279295851,0.1297948429497277,213
cost,4,400,critic_body.4.parametrizations.weight.original,0.1297948429497277,0.13868773310649685,189
cost,4,400,critic_body.4.parametrizations.weight.original,0.13868773310649685,0.14758062326326604,217
cost,4,400,critic_body.4.parametrizations.weight.original,0.14758062326326604,0.15647351342003518,233
cost,4,400,critic_body.4.parametrizations.weight.original,0.15647351342003518,0.16536640357680438,196
cost,4,400,critic_body.4.parametrizations.weight.original,0.16536640357680438,0.17425929373357352,184
cost,4,400,critic_body.4.parametrizations.weight.original,0.17425929373357352,0.1831521838903427,81
cost,4,400,critic_body.6.parametrizations.weight.original,-0.3004060983657837,-0.2857134189547562,1
cost,4,400,critic_body.6.parametrizations.weight.original,-0.2857134189547562,-0.27102073954372874,3
cost,4,400,critic_body.6.parametrizations.weight.original,-0.27102073954372874,-0.2563280601327012,2
cost,4,400,critic_body.6.parametrizations.weight.original,-0.2563280601327012,-0.24163538072167373,3
cost,4,400,critic_body.6.parametrizations.weight.original,-0.24163538072167373,-0.22694270131064626,1
cost,4,400,critic_body.6.parametrizations.weight.original,-0.22694270131064626,-0.21225002189961875,1
cost,4,400,critic_body.6.parametrizations.weight.original,-0.21225002189961875,-0.19755734248859125,0
cost,4,400,critic_body.6.parametrizations.weight.original,-0.19755734248859125,-0.18286466307756377,1
cost,4,400,critic_body.6.parametrizations.weight.original,-0.18286466307756377,-0.1681719836665363,2
cost,4,400,critic_body.6.parametrizations.weight.original,-0.1681719836665363,-0.1534793042555088,0
cost,4,400,critic_body.6.parametrizations.weight.original,-0.1534793042555088,-0.1387866248444813,2
cost,4,400,critic_body.6.parametrizations.weight.original,-0.1387866248444813,-0.12409394543345381,0
cost,4,400,critic_body.6.parametrizations.weight.original,-0.12409394543345381,-0.10940126602242634,1
cost,4,400,critic_body.6.parametrizations.weight.original,-0.10940126602242634,-0.09470858661139883,0
cost,4,400,critic_body.6.parametrizations.weight.original,-0.09470858661139883,-0.08001590720037133,0
cost,4,400,critic_body.6.parametrizations.weight.original,-0.08001590720037133,-0.06532322778934385,2
cost,4,400,critic_body.6.parametrizations.weight.original,-0.06532322778934385,-0.050630548378316376,2
cost,4,400,critic_body.6.parametrizations.weight.original,-0.050630548378316376,-0.0359378689672889,0
cost,4,400,critic_body.6.parametrizations.weight.original,-0.0359378689672889,-0.021245189556261368,5
