model,seed,episode,tensor,bin_left,bin_right,count
cost_lipschitz,8,500,actor.0.weight,-0.1597653478384018,-0.15202112277833427,94
cost_lipschitz,8,500,actor.0.weight,-0.15202112277833427,-0.14427689771826674,372
cost_lipschitz,8,500,actor.0.weight,-0.14427689771826674,-0.1365326726581992,411
cost_lipschitz,8,500,actor.0.weight,-0.1365326726581992,-0.12878844759813168,408
cost_lipschitz,8,500,actor.0.weight,-0.12878844759813168,-0.12104422253806416,407
cost_lipschitz,8,500,actor.0.weight,-0.12104422253806416,-0.11329999747799664,416
cost_lipschitz,8,500,actor.0.weight,-0.11329999747799664,-0.10555577241792911,367
cost_lipschitz,8,500,actor.0.weight,-0.10555577241792911,-0.09781154735786159,432
cost_lipschitz,8,500,actor.0.weight,-0.09781154735786159,-0.09006732229779406,413
cost_lipschitz,8,500,actor.0.weight,-0.09006732229779406,-0.08232309723772653,400
cost_lipschitz,8,500,actor.0.weight,-0.08232309723772653,-0.074578872177659,358
cost_lipschitz,8,500,actor.0.weight,-0.074578872177659,-0.06683464711759149,417
cost_lipschitz,8,500,actor.0.weight,-0.06683464711759149,-0.05909042205752396,394
cost_lipschitz,8,500,actor.0.weight,-0.05909042205752396,-0.051346196997456434,403
cost_lipschitz,8,500,actor.0.weight,-0.051346196997456434,-0.043601971937388906,427
cost_lipschitz,8,500,actor.0.weight,-0.043601971937388906,-0.03585774687732138,395
cost_lipschitz,8,500,actor.0.weight,-0.03585774687732138,-0.02811352181725385,424
cost_lipschitz,8,500,actor.0.weight,-0.02811352181725385,-0.020369296757186323,424
cost_lipschitz,8,500,actor.0.weight,-0.020369296757186323,-0.012625071697118795,432
cost_lipschitz,8,500,actor.0.weight,-0.012625071697118795,-0.004880846637051267,383
cost_lipschitz,8,500,actor.0.weight,-0.004880846637051267,0.0028633784230162607,412
cost_lipschitz,8,500,actor.0.weight,0.0028633784230162607,0.010607603483083788,408
cost_lipschitz,8,500,actor.0.weight,0.010607603483083788,0.018351828543151316,411
cost_lipschitz,8,500,actor.0.weight,0.018351828543151316,0.026096053603218816,431
cost_lipschitz,8,500,actor.0.weight,0.026096053603218816,0.033840278663286344,409
cost_lipschitz,8,500,actor.0.weight,0.033840278663286344,0.04158450372335387,422
cost_lipschitz,8,500,actor.0.weight,0.04158450372335387,0.0493287287834214,412
cost_lipschitz,8,500,actor.0.weight,0.0493287287834214,0.05707295384348893,415
cost_lipschitz,8,500,actor.0.weight,0.05707295384348893,0.06481717890355645,435
cost_lipschitz,8,500,actor.0.weight,0.06481717890355645,0.07256140396362398,454
cost_lipschitz,8,500,actor.0.weight,0.07256140396362398,0.08030562902369151,386
cost_lipschitz,8,500,actor.0.weight,0.08030562902369151,0.08804985408375904,392
cost_lipschitz,8,500,actor.0.weight,0.08804985408375904,0.09579407914382654,464
cost_lipschitz,8,500,actor.0.weight,0.09579407914382654,0.1035383042038941,440
cost_lipschitz,8,500,actor.0.weight,0.1035383042038941,0.1112825292639616,422
cost_lipschitz,8,500,actor.0.weight,0.1112825292639616,0.11902675432402915,430
cost_lipschitz,8,500,actor.0.weight,0.11902675432402915,0.12677097938409665,407
cost_lipschitz,8,500,actor.0.weight,0.12677097938409665,0.1345152044441642,414
cost_lipschitz,8,500,actor.0.weight,0.1345152044441642,0.1422594295042317,435
cost_lipschitz,8,500,actor.0.weight,0.1422594295042317,0.15000365456429926,434
cost_lipschitz,8,500,actor.0.weight,0.15000365456429926,0.15774787962436676,174
cost_lipschitz,8,500,actor.2.weight,-0.007484899368137121,-0.007128463342513253,1
cost_lipschitz,8,500,actor.2.weight,-0.007128463342513253,-0.006772027316889384,0
cost_lipschitz,8,500,actor.2.weight,-0.006772027316889384,-0.006415591291265517,1
cost_lipschitz,8,500,actor.2.weight,-0.006415591291265517,-0.0060591552656416485,0
cost_lipschitz,8,500,actor.2.weight,-0.0060591552656416485,-0.00570271924001778,0
cost_lipschitz,8,500,actor.2.weight,-0.00570271924001778,-0.005346283214393913,1
cost_lipschitz,8,500,actor.2.weight,-0.005346283214393913,-0.004989847188770044,5
cost_lipschitz,8,500,actor.2.weight,-0.004989847188770044,-0.004633411163146176,4
cost_lipschitz,8,500,actor.2.weight,-0.004633411163146176,-0.0042769751375223075,4
cost_lipschitz,8,500,actor.2.weight,-0.0042769751375223075,-0.003920539111898439,2
cost_lipschitz,8,500,actor.2.weight,-0.003920539111898439,-0.0035641030862745716,1
cost_lipschitz,8,500,actor.2.weight,-0.0035641030862745716,-0.003207667060650703,6
cost_lipschitz,8,500,actor.2.weight,-0.003207667060650703,-0.002851231035026835,4
cost_lipschitz,8,500,actor.2.weight,-0.002851231035026835,-0.0024947950094029673,6
cost_lipschitz,8,500,actor.2.weight,-0.0024947950094029673,-0.002138358983779099,8
cost_lipschitz,8,500,actor.2.weight,-0.002138358983779099,-0.0017819229581552305,7
cost_lipschitz,8,500,actor.2.weight,-0.0017819229581552305,-0.0014254869325313621,13
cost_lipschitz,8,500,actor.2.weight,-0.0014254869325313621,-0.0010690509069074938,13
cost_lipschitz,8,500,actor.2.weight,-0.0010690509069074938,-0.0007126148812836262,8
cost_lipschitz,8,500,actor.2.weight,-0.0007126148812836262,-0.00035617885565975786,18
cost_lipschitz,8,500,actor.2.weight,-0.00035617885565975786,2.5716996411052906e-07,15
cost_lipschitz,8,500,actor.2.weight,2.5716996411052906e-07,0.00035669319558797805,14
cost_lipschitz,8,500,actor.2.weight,0.00035669319558797805,0.0007131292212118473,15
cost_lipschitz,8,500,actor.2.weight,0.0007131292212118473,0.0010695652468357148,9
cost_lipschitz,8,500,actor.2.weight,0.0010695652468357148,0.0014260012724595823,12
cost_lipschitz,8,500,actor.2.weight,0.0014260012724595823,0.0017824372980834516,14
cost_lipschitz,8,500,actor.2.weight,0.0017824372980834516,0.002138873323707319,8
cost_lipschitz,8,500,actor.2.weight,0.002138873323707319,0.0024953093493311866,11
cost_lipschitz,8,500,actor.2.weight,0.0024953093493311866,0.002851745374955056,10
cost_lipschitz,8,500,actor.2.weight,0.002851745374955056,0.0032081814005789234,9
cost_lipschitz,8,500,actor.2.weight,0.0032081814005789234,0.0035646174262027926,7
cost_lipschitz,8,500,actor.2.weight,0.0035646174262027926,0.00392105345182666,4
cost_lipschitz,8,500,actor.2.weight,0.00392105345182666,0.004277489477450528,5
cost_lipschitz,8,500,actor.2.weight,0.004277489477450528,0.004633925503074397,3
cost_lipschitz,8,500,actor.2.weight,0.004633925503074397,0.0049903615286982644,2
cost_lipschitz,8,500,actor.2.weight,0.0049903615286982644,0.005346797554322134,7
cost_lipschitz,8,500,actor.2.weight,0.005346797554322134,0.005703233579946001,2
cost_lipschitz,8,500,actor.2.weight,0.005703233579946001,0.006059669605569869,3
cost_lipschitz,8,500,actor.2.weight,0.006059669605569869,0.006416105631193738,2
cost_lipschitz,8,500,actor.2.weight,0.006416105631193738,0.0067725416568176055,0
cost_lipschitz,8,500,actor.2.weight,0.0067725416568176055,0.007128977682441473,2
cost_lipschitz,8,500,attention_pool.parametrizations.weight.original,-0.26030096411705017,-0.24780092588285121,1
cost_lipschitz,8,500,attention_pool.parametrizations.weight.original,-0.24780092588285121,-0.23530088764865223,1
cost_lipschitz,8,500,attention_pool.parametrizations.weight.original,-0.23530088764865223,-0.22280084941445327,3
cost_lipschitz,8,500,attention_pool.parametrizations.weight.original,-0.22280084941445327,-0.21030081118025432,0
cost_lipschitz,8,500,attention_pool.parametrizations.weight.original,-0.21030081118025432,-0.19780077294605536,3
cost_lipschitz,8,500,attention_pool.parametrizations.weight.original,-0.19780077294605536,-0.18530073471185637,2
cost_lipschitz,8,500,attention_pool.parametrizations.weight.original,-0.18530073471185637,-0.17280069647765742,3
cost_lipschitz,8,500,attention_pool.parametrizations.weight.original,-0.17280069647765742,-0.16030065824345846,4
cost_lipschitz,8,500,attention_pool.parametrizations.weight.original,-0.16030065824345846,-0.14780062000925948,6
cost_lipschitz,8,500,attention_pool.parametrizations.weight.original,-0.14780062000925948,-0.13530058177506052,0
cost_lipschitz,8,500,attention_pool.parametrizations.weight.original,-0.13530058177506052,-0.12280054354086156,5
cost_lipschitz,8,500,attention_pool.parametrizations.weight.original,-0.12280054354086156,-0.11030050530666258,1
cost_lipschitz,8,500,attention_pool.parametrizations.weight.original,-0.11030050530666258,-0.09780046707246362,6
cost_lipschitz,8,500,attention_pool.parametrizations.weight.original,-0.09780046707246362,-0.08530042883826466,4
