model,seed,episode,source,tensor,shape,n,mean,std,kurt,sigma_max,xavier_sigma,vs_xavier,eff_rank,rank_frac,tail,eff_sig,frac_tiny,min,p1,p5,p25,median,p75,p95,p99,max
cost,8,400,episode_400.pt,actor.0.weight,128x128,16384,0.0017973019067347717,0.08862253848175375,1.8038141912366754,1.9466593870276225,2.0,0.9733296935138113,55.832083930861735,0.4361881557098573,0.0027419426141145533,nan,0.00030517578125,-0.15812234580516815,-0.15036907330155372,-0.1375383898615837,-0.07415920309722424,0.002704914193600416,0.078598128631711,0.13873318433761594,0.1505231674015522,0.1588585078716278
cost,8,400,episode_400.pt,actor.2.weight,2x128,256,-4.080123775906941e-05,0.0028039652102411702,2.9537978616328564,0.03345664505211166,1.5787044347526529,0.021192469163712434,1.8935927550882201,0.9467963775441101,0.8935927550882201,nan,0.04296875,-0.00860779918730259,-0.00603254153393209,-0.004315940081141889,-0.0019036000012420118,-0.0002291147320647724,0.0014888436417095363,0.0047929935390129685,0.006144163361750542,0.007251781411468983
cost,8,400,episode_400.pt,attention_pool.weight,1x128,128,-0.006050929434422869,0.1417298865065627,2.1328128483402993,1.6049513179381762,1.5332360113939363,1.0467738208673043,1.0,1.0,1.0,nan,0.0,-0.2800433337688446,-0.2745362481474876,-0.23250733315944672,-0.12490109354257584,-0.016549281310290098,0.09434880688786507,0.23388668000698082,0.27313081711530685,0.2797071635723114
cost,8,400,episode_400.pt,critic_body.0.parametrizations.weight.original,256x128,32768,-0.00014724823200475828,0.0723782149690898,1.8007871657107795,2.0775016488087763,1.9711971193069777,1.0539289188587961,66.42906093387428,0.5189770385458928,0.1824385866650144,1.0,0.000762939453125,-0.13028573989868164,-0.12285046219825745,-0.11305611282587051,-0.06290578097105026,0.00038861570646986365,0.06265690922737122,0.11248693987727165,0.12261210121214389,0.12987276911735535
cost,8,400,episode_400.pt,critic_body.2.parametrizations.weight.original,128x256,32768,0.0004232131713298587,0.07246575774081895,1.7983078651555617,2.164467329650149,1.9711971193069777,1.098047124993324,63.961325911603026,0.49969785868439864,0.16226460138216822,1.0,0.000701904296875,-0.12935960292816162,-0.12313406832516194,-0.1132688108831644,-0.06216057762503624,0.000540355802513659,0.06347332336008549,0.11258791759610175,0.12235909461975096,0.1306147426366806
cost,8,400,episode_400.pt,critic_body.4.parametrizations.weight.original,64x128,8192,0.003398173427004103,0.1025959432087077,1.7906869540614598,1.9615312214281981,1.9711971193069777,0.9950964326276116,35.42484003039937,0.5535131254749902,0.19035227583637127,1.0000000000000004,0.000244140625,-0.1803656369447708,-0.17284488588571548,-0.15772539079189302,-0.08568674512207508,0.006123571656644344,0.09327586740255356,0.16135544031858443,0.17397957593202593,0.18069519102573395
cost,8,400,episode_400.pt,critic_body.6.parametrizations.weight.original,1x64,64,0.021701943762309384,0.17404605696624867,1.7993379032192773,1.4031508385586746,1.5787044347526527,0.8887989465732493,1.0,1.0,1.0,1.0,0.0,-0.2650783360004425,-0.26247440457344057,-0.24262191876769065,-0.10257393680512905,0.00046884967014193535,0.16977570205926895,0.2817659646272659,0.2988918420672417,0.2994011640548706
cost,8,400,episode_400.pt,encoder.layers.0.linear1.weight,256x128,32768,-3.231418156324911e-05,0.07546904410909844,2.022360594001662,2.5677106755271093,1.9711971193069777,1.3026148680806973,55.696849887221475,0.4351316397439178,0.14017998441895155,nan,0.00054931640625,-0.22138744592666626,-0.142760763913393,-0.11800060607492924,-0.06251081451773643,0.00015626719687134027,0.06230564881116152,0.11756628230214117,0.14297903105616566,0.2533772885799408
cost,8,400,episode_400.pt,encoder.layers.0.linear2.weight,128x256,32768,0.0009362588683697881,0.07474084430711096,1.9893493937589497,2.3348145204700446,1.9711971193069777,1.1844652661073822,60.80625273542552,0.47504884949551185,0.15669120901183461,nan,0.000518798828125,-0.23590536415576935,-0.14045957416296007,-0.11589384078979492,-0.061382598243653774,0.0014822097145952284,0.06335407309234142,0.11672258861362932,0.14036489278078065,0.21797683835029602
cost,8,400,episode_400.pt,encoder.layers.0.self_attn.in_proj_weight,384x128,49152,-0.00023194227245933638,0.07932183941238947,2.707844345537131,6.027086239703492,1.9318516525781364,3.1198494106212014,28.99337418095325,0.22651073578869726,0.09451990975909061,nan,0.0008951822916666666,-0.32832571864128113,-0.1760985954105854,-0.12649276107549667,-0.05873097758740187,-0.0003728311858139932,0.058402630500495434,0.1268884941935539,0.17480628326535214,0.35445478558540344
