model,seed,episode,tensor,bin_left,bin_right,count
normal,3,500,actor.0.weight,-0.15944930911064148,-0.15166820949170648,104
normal,3,500,actor.0.weight,-0.15166820949170648,-0.14388710987277148,376
normal,3,500,actor.0.weight,-0.14388710987277148,-0.13610601025383648,404
normal,3,500,actor.0.weight,-0.13610601025383648,-0.12832491063490148,415
normal,3,500,actor.0.weight,-0.12832491063490148,-0.12054381101596646,391
normal,3,500,actor.0.weight,-0.12054381101596646,-0.11276271139703145,392
normal,3,500,actor.0.weight,-0.11276271139703145,-0.10498161177809645,420
normal,3,500,actor.0.weight,-0.10498161177809645,-0.09720051215916145,469
normal,3,500,actor.0.weight,-0.09720051215916145,-0.08941941254022645,405
normal,3,500,actor.0.weight,-0.08941941254022645,-0.08163831292129145,428
normal,3,500,actor.0.weight,-0.08163831292129145,-0.07385721330235644,424
normal,3,500,actor.0.weight,-0.07385721330235644,-0.06607611368342144,407
normal,3,500,actor.0.weight,-0.06607611368342144,-0.058295014064486436,458
normal,3,500,actor.0.weight,-0.058295014064486436,-0.05051391444555142,433
normal,3,500,actor.0.weight,-0.05051391444555142,-0.04273281482661642,416
normal,3,500,actor.0.weight,-0.04273281482661642,-0.03495171520768142,386
normal,3,500,actor.0.weight,-0.03495171520768142,-0.027170615588746422,412
normal,3,500,actor.0.weight,-0.027170615588746422,-0.01938951596981142,457
normal,3,500,actor.0.weight,-0.01938951596981142,-0.011608416350876422,368
normal,3,500,actor.0.weight,-0.011608416350876422,-0.0038273167319414214,401
normal,3,500,actor.0.weight,-0.0038273167319414214,0.0039537828869936065,419
normal,3,500,actor.0.weight,0.0039537828869936065,0.011734882505928607,450
normal,3,500,actor.0.weight,0.011734882505928607,0.019515982124863607,411
normal,3,500,actor.0.weight,0.019515982124863607,0.027297081743798607,398
normal,3,500,actor.0.weight,0.027297081743798607,0.03507818136273361,402
normal,3,500,actor.0.weight,0.03507818136273361,0.04285928098166861,397
normal,3,500,actor.0.weight,0.04285928098166861,0.05064038060060361,420
normal,3,500,actor.0.weight,0.05064038060060361,0.058421480219538635,397
normal,3,500,actor.0.weight,0.058421480219538635,0.06620257983847364,437
normal,3,500,actor.0.weight,0.06620257983847364,0.07398367945740864,435
normal,3,500,actor.0.weight,0.07398367945740864,0.08176477907634364,435
normal,3,500,actor.0.weight,0.08176477907634364,0.08954587869527864,412
normal,3,500,actor.0.weight,0.08954587869527864,0.09732697831421366,401
normal,3,500,actor.0.weight,0.09732697831421366,0.10510807793314864,417
normal,3,500,actor.0.weight,0.10510807793314864,0.11288917755208366,409
normal,3,500,actor.0.weight,0.11288917755208366,0.12067027717101864,437
normal,3,500,actor.0.weight,0.12067027717101864,0.12845137678995366,425
normal,3,500,actor.0.weight,0.12845137678995366,0.13623247640888864,422
normal,3,500,actor.0.weight,0.13623247640888864,0.14401357602782366,421
normal,3,500,actor.0.weight,0.14401357602782366,0.15179467564675864,359
normal,3,500,actor.0.weight,0.15179467564675864,0.15957577526569366,114
normal,3,500,actor.2.weight,-0.00918294582515955,-0.00880081135007303,1
normal,3,500,actor.2.weight,-0.00880081135007303,-0.008418676874986509,0
normal,3,500,actor.2.weight,-0.008418676874986509,-0.008036542399899989,1
normal,3,500,actor.2.weight,-0.008036542399899989,-0.007654407924813468,0
normal,3,500,actor.2.weight,-0.007654407924813468,-0.007272273449726948,2
normal,3,500,actor.2.weight,-0.007272273449726948,-0.006890138974640428,3
normal,3,500,actor.2.weight,-0.006890138974640428,-0.006508004499553907,2
normal,3,500,actor.2.weight,-0.006508004499553907,-0.006125870024467387,2
normal,3,500,actor.2.weight,-0.006125870024467387,-0.005743735549380866,2
normal,3,500,actor.2.weight,-0.005743735549380866,-0.0053616010742943455,4
normal,3,500,actor.2.weight,-0.0053616010742943455,-0.004979466599207826,2
normal,3,500,actor.2.weight,-0.004979466599207826,-0.004597332124121305,6
normal,3,500,actor.2.weight,-0.004597332124121305,-0.004215197649034785,1
normal,3,500,actor.2.weight,-0.004215197649034785,-0.003833063173948265,4
normal,3,500,actor.2.weight,-0.003833063173948265,-0.0034509286988617443,6
normal,3,500,actor.2.weight,-0.0034509286988617443,-0.0030687942237752237,8
normal,3,500,actor.2.weight,-0.0030687942237752237,-0.002686659748688703,4
normal,3,500,actor.2.weight,-0.002686659748688703,-0.0023045252736021826,7
normal,3,500,actor.2.weight,-0.0023045252736021826,-0.0019223907985156628,5
normal,3,500,actor.2.weight,-0.0019223907985156628,-0.0015402563234291422,13
normal,3,500,actor.2.weight,-0.0015402563234291422,-0.0011581218483426216,7
normal,3,500,actor.2.weight,-0.0011581218483426216,-0.0007759873732561019,14
normal,3,500,actor.2.weight,-0.0007759873732561019,-0.00039385289816958047,16
normal,3,500,actor.2.weight,-0.00039385289816958047,-1.1718423083060744e-05,11
normal,3,500,actor.2.weight,-1.1718423083060744e-05,0.000370416052003459,19
normal,3,500,actor.2.weight,0.000370416052003459,0.0007525505270899804,16
normal,3,500,actor.2.weight,0.0007525505270899804,0.0011346850021765002,17
normal,3,500,actor.2.weight,0.0011346850021765002,0.0015168194772630199,11
normal,3,500,actor.2.weight,0.0015168194772630199,0.0018989539523495413,14
normal,3,500,actor.2.weight,0.0018989539523495413,0.002281088427436061,7
normal,3,500,actor.2.weight,0.002281088427436061,0.0026632229025225825,8
normal,3,500,actor.2.weight,0.0026632229025225825,0.0030453573776091022,12
normal,3,500,actor.2.weight,0.0030453573776091022,0.003427491852695622,6
normal,3,500,actor.2.weight,0.003427491852695622,0.0038096263277821434,6
normal,3,500,actor.2.weight,0.0038096263277821434,0.004191760802868663,6
normal,3,500,actor.2.weight,0.004191760802868663,0.004573895277955185,4
normal,3,500,actor.2.weight,0.004573895277955185,0.004956029753041704,4
normal,3,500,actor.2.weight,0.004956029753041704,0.005338164228128224,3
normal,3,500,actor.2.weight,0.005338164228128224,0.0057202987032147455,0
normal,3,500,actor.2.weight,0.0057202987032147455,0.006102433178301265,1
normal,3,500,actor.2.weight,0.006102433178301265,0.006484567653387785,1
normal,3,500,attention_pool.weight,-0.35856661200523376,-0.33960401866494155,2
normal,3,500,attention_pool.weight,-0.33960401866494155,-0.32064142532464934,2
