episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,grad_norm_control,grad_norm_aux,lr_scale,certifiable_frac,v_critic_violation,v_critic_mean,v_critic_min,v_agreement,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha
4,48,48,0.0,0.0035481491747001805,0.0050017258181469515,,,,0.9781498101850351,0.0,-0.00012323251826273918,0.009688645659480244,,5.135411694645882,0.0,0.9998272961280055,0.961669921875,0.9983052238821983,0.8066777686278025,0.782125897705555,0.32569971835861605,,,,0.0046308736491482705,0.050618489583333336,0.1765924794599414,0.007130601714986066,0.009285255281914337,0.8576958985908947
8,48,48,0.0,0.00164577269849057,0.006490585568826646,,,,0.9623559874792894,0.0,-4.829826713148577e-05,0.008798524116476377,,4.417738060156505,0.0,0.9993093549498943,0.963623046875,0.9994105833272139,0.9155688968797525,0.8905258340140184,0.09028522530570626,,,,0.003983999806223437,0.03857421875,0.18235874269157648,0.02141693267428006,0.011276767322366746,0.7356422544596414
12,48,48,0.0,-0.001397628589378049,0.003209675026785893,,,,0.9704295334716638,0.0,-0.00016840183265761274,0.008194521971745417,,4.023239175478618,0.0,0.9984466876110786,0.96240234375,0.9860309387246767,0.9568044170737267,0.8825790422658125,0.3116691146666805,,,,0.004554373472880495,0.051676432291666664,0.1877728315691153,0.03443351624688754,0.01690758770564571,0.6309573444801939
16,48,48,0.0,-0.002491364003314326,0.0038727902647224255,,,,0.9841048866510391,0.0,-1.47127458186939e-06,0.010838297680796435,,3.2076647927363715,0.0,0.997240145460068,0.963134765625,0.9726643525063992,1.0302715624372165,0.9304196387529373,0.15859264224612465,,,,0.005441054409250985,0.058268229166666664,0.19326738578577837,0.047272284903253116,0.019062614514647674,0.5411695265464641
20,48,48,0.0,0.0037662483324917653,0.002634882551016441,,,,0.926109595845143,0.0,-0.000350989721937367,0.009631734574213624,,2.5385782197117805,0.0,0.9956909192082986,0.9619140625,0.9546409832934538,1.0743272031346958,0.9287024413545927,0.5354156444470087,,,,0.003987259019898677,0.04150390625,0.1994470413774252,0.06130168206679324,0.01578347897157073,0.46415888336127836
24,48,48,0.0,-0.008412299978469187,0.0023735443101031706,,,,0.9470483375092348,0.0,-0.00021405021912338876,0.00986692939962571,,1.787846344212691,0.0,0.993800537755042,0.962890625,0.9326703958213329,1.1463993365565937,0.9466157903273901,0.34150639983514947,,,,0.005145116745552514,0.05810546875,0.20614890350649753,0.07605437655001879,0.013632252385529378,0.3981071705534976
28,48,48,0.0,-0.007048987996919702,0.0022241668363373415,,,,0.9559685053924719,0.0,-0.00015897162695921452,0.009569994542592516,,1.575506329536438,0.0,0.9915708666785624,0.963134765625,0.9602908194065094,1.2057875990867615,0.9791659141580263,0.33398437142993015,,,,0.00411111985037375,0.04150390625,0.21353603340685368,0.09181447885930538,0.01138443210705494,0.3414548873833602
32,48,48,0.0,-0.0029089058322521546,0.0021520894260902423,,,,0.95558454717199,0.0,-0.00018980896641096479,0.009104355801052103,,1.5710608027875423,0.0,0.9890041063950216,0.962158203125,0.959486565242211,1.208697294195493,0.9786614576975504,0.3791910444075863,,,,0.006174679624261141,0.072998046875,0.22024653603633246,0.10570679791271687,0.016723781921124708,0.29286445646252396
36,48,48,0.0,-0.00821825124633809,0.0010465854763121267,,,,0.9871242952843508,0.0,-2.7907304125089166e-05,0.009788877194902549,,1.4763839580118656,0.0,0.98610278998693,0.9619140625,0.9727745813628038,1.2562324926257133,1.0093903591235478,0.3059239148472746,,,,0.007993001418071799,0.097412109375,0.2260511585821708,0.11741667194291949,0.01998143728512029,0.2511886431509579
40,48,48,0.0,-0.005748382614304622,0.0015601130071445368,,,,0.9211835873623689,0.0,-0.00027456759880806203,0.008526666768981764,,1.3686310698588688,0.0,0.9828697807033038,0.96240234375,0.9634061356385549,1.269077996412913,0.9949441639085611,0.2254053408590456,,,,0.007939437848108355,0.09814453125,0.2311421682437261,0.12746884860098362,0.028423249255865812,0.2154434690031886
