episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,grad_norm_control,grad_norm_aux,lr_scale,certifiable_frac,v_critic_violation,v_critic_mean,v_critic_min,v_agreement,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha
4,48,48,0.0,0.0012533646076917648,0.0033181896894044862,,,,0.9053464569151402,0.0,-0.00028611265940980957,0.008071518745661402,,5.417187929153442,0.0,0.9998272961280055,0.961669921875,0.9946757890284061,0.7541064880788326,0.7254240649441878,0.23490432098818323,,,,0.005295577087963466,0.05908203125,0.17649594446023306,0.006889463958941633,0.013192948458405832,0.8576958985908947
8,48,48,0.0,0.007009058240024994,0.004819681162189227,,,,0.942795687665542,0.0,-0.00028048592851822224,0.009529821031416455,,4.674306035041809,0.0,0.9993093549498943,0.962890625,0.9808834294478098,0.8393885716795921,0.7566727250814438,0.5182248676816622,,,,0.005634847354182663,0.06412760416666667,0.1820324081927538,0.020621163498920698,0.013977955396209532,0.7356422544596414
12,48,48,0.0,-0.003272000787546858,0.004450339891870196,,,,0.978664637853702,0.0,-9.465460520156437e-05,0.009803168184589595,,3.7514890134334564,0.0,0.9984466876110786,0.962646484375,0.9735425797601541,0.9383175621430079,0.8151727020740509,0.19100379738180587,,,,0.0037411545514866398,0.038655598958333336,0.18772871854404607,0.03432676331916203,0.019945696170907468,0.6309573444801939
16,48,48,0.0,0.0036446797700288394,0.0034483770844720616,,,,0.9912079436083635,0.0,-0.00014887753948755744,0.009284554825474819,,3.3242515698075294,0.0,0.997240145460068,0.963134765625,0.9791779418786367,1.0253138281404972,0.871303009490172,0.29413844893376034,,,,0.003639162016042974,0.034423828125,0.19370490747193495,0.048279673870032035,0.017092985023433965,0.5411695265464641
20,48,48,0.0,0.0021190448508908353,0.003065265973418718,,,,0.9289021380245686,0.0,-0.0003642602452297676,0.00931558242882602,,2.8829532066980996,0.0,0.9956909192082986,0.962158203125,0.968480913589398,1.0472267443935077,0.8795179054141045,0.30532655694211525,,,,0.004936891121663696,0.055094401041666664,0.1996398102492094,0.061733565758913755,0.018127505531689774,0.46415888336127836
24,48,48,0.0,-0.005828147754073143,0.002039699858869426,,,,0.9183680824935436,0.0,-0.0002176649369024138,0.00920290113814796,,2.4282310605049133,0.0,0.993800537755042,0.962158203125,0.9713441158334414,1.0749185805519421,0.8708006764451662,0.43230109599729377,,,,0.0072223128396823695,0.093017578125,0.20574471602837244,0.0751836160197854,0.01839052305634444,0.3981071705534976
28,48,48,0.0,0.00021024131759380302,0.0020566150439359867,,,,0.9062910328308741,0.0,-0.0003696793731554256,0.010433200804982334,,1.8936316668987274,0.0,0.9915708666785624,0.96142578125,0.9575773837665716,1.1019078642129898,0.8540385253727436,0.4219200611114502,,,,0.007489132270469175,0.0947265625,0.21213312602291504,0.08886509590471785,0.017001037039638806,0.3414548873833602
32,48,48,0.0,-0.004595010114523272,0.003365817086887546,,,,0.8901310712099075,0.0,-0.00032959245436359197,0.009073295688722283,,2.328187512854735,0.0,0.9890041063950216,0.963134765625,0.9471753550072511,1.1153070305784543,0.8603311975797018,0.34660606862356264,,,,0.006929832271756216,0.08829752604166667,0.21839835836241642,0.10192492914696534,0.02187762743172546,0.29286445646252396
36,48,48,0.0,-0.006271042123747368,0.0016392249175017544,,,,0.9189376334349314,0.0,-0.00025793194906024536,0.007900004042312503,,1.7073092311620712,0.0,0.98610278998693,0.9638671875,0.935736034065485,1.1051141892870266,0.8467066225906213,0.3403440558662017,,,,0.006814965432567988,0.077392578125,0.223728954171141,0.11276817026858528,0.02458911222250511,0.2511886431509579
40,48,48,0.0,-0.005650849818872909,0.0022645297431154177,,,,0.9345038756728172,0.0,-0.0003159639551692332,0.009553867838500688,,1.9428145127991836,0.0,0.9828697807033038,0.963623046875,0.8903068552414576,1.1353060056765873,0.87744465097785,0.3856300199404359,,,,0.007753668716759421,0.09578450520833333,0.22856945575525364,0.12241628859192133,0.029562268988229334,0.2154434690031886
