episode,steps,final_battery,total_reward,loss
1,720,22.03092951556825,-167.0692025207644,
2,720,22.51161407064378,-167.18723858966192,226.40939331054688
3,720,25.903149213025188,-169.13493920225676,
4,720,26.44200153201034,-169.5697919965817,210.9492645263672
5,720,26.013414925249396,-169.5095196256303,
6,720,26.138406045093472,-169.57290960972372,197.19488525390625
7,720,25.728264028757103,-169.13926426852572,
8,720,25.71871804103364,-169.07274255736368,183.2169952392578
9,720,25.01923676050976,-168.56808828429416,
10,720,25.069789701818028,-168.8365471283723,170.6547393798828
11,720,23.97869147026073,-168.00389958477882,
12,720,24.06500245589657,-167.89168955779112,158.65406799316406
13,720,23.57973483918554,-167.76175735151028,
14,720,23.28822691192586,-167.60382614814728,147.96653747558594
15,720,22.93811263694797,-167.42968131340336,
16,720,23.123649819997066,-167.52914716797142,138.28956604003906
17,720,22.595578837831045,-167.1936843324589,
18,720,22.536750273610842,-167.16472577072904,129.75025939941406
19,720,22.5152335630013,-167.0746913464898,
20,720,22.081277456232247,-166.92614285495847,121.96694946289062
21,720,22.396448766609467,-167.0589799496249,
22,720,22.094864929456058,-167.05916054535967,114.73065185546875
23,720,21.62765092425668,-166.68752090463994,
24,720,21.792215447266486,-166.81278107596148,106.91951751708984
25,720,21.17956274402042,-166.66466048081566,
26,720,21.42090510787996,-166.7723334057518,100.06614685058594
27,720,21.340848278548364,-166.7932530298252,
28,720,21.22158104879846,-166.7580173908711,93.14887237548828
29,720,20.792092492627866,-166.81089144509647,
30,720,21.151109621483354,-166.63730544046808,86.20640563964844
31,720,20.486919480137907,-166.63472835599916,
32,720,20.61955607283068,-166.64947833480855,79.70223999023438
33,720,20.464376072718142,-166.7743969956273,
34,720,20.66902698732229,-166.76606722368183,73.06855773925781
35,720,20.765740955956563,-166.72363358442607,
36,720,20.421196795668685,-166.6453033140456,66.58407592773438
37,720,19.964997417784105,-166.73502903311848,
38,720,20.123965407868628,-166.78322777917765,60.75502395629883
39,720,19.916997845466568,-166.65960636980884,
40,720,19.965977546423844,-166.70917256101188,54.75748825073242
41,720,20.027956683741802,-166.78700731324582,
42,720,19.633365781794847,-166.641978461918,49.14700698852539
43,720,20.02671142012404,-166.73434911984634,
44,720,20.155098036774312,-166.66273721178177,43.63792037963867
45,720,19.987912078337196,-166.7749863602195,
46,720,19.58312811005516,-166.6749057470566,38.354793548583984
47,720,19.74451919565903,-166.76971387363983,
48,720,19.93776485225047,-166.87019627005782,33.64076614379883
49,720,19.85485136251239,-166.7263357306415,
50,720,20.172738784171116,-166.817211012468,28.86800193786621
51,720,19.735543605368438,-166.81746534949806,
52,720,19.673170659140354,-166.79363093486853,24.73077964782715
53,720,19.83277731700731,-166.72360642069805,
54,720,19.9898657453569,-166.93687912347292,20.908946990966797
55,720,19.710606439526536,-166.88393083925362,
56,720,19.946332882337874,-166.67131752527865,17.446287155151367
57,720,19.499897001854176,-166.7160137717531,
58,720,19.823673360537384,-166.80652643513682,14.58000659942627
59,720,20.129124040587527,-166.81445769377962,
60,720,20.143815476048836,-166.94532320737892,12.260848045349121
61,720,19.97055832184189,-166.85362854006686,
62,720,19.947651536113746,-166.84988732809927,10.628471374511719
63,720,19.838514561634835,-166.89783607718252,
64,720,19.788861168635304,-167.02468016426437,9.654838562011719
65,720,19.901473275124623,-166.8174017493261,
66,720,20.075536623201643,-166.9210947787069,9.457202911376953
67,720,19.643796854373974,-166.87388688788823,
68,720,19.877844926510146,-166.77964075339403,9.838950157165527
69,720,19.666540885591704,-166.80680852138607,
70,720,19.892559178120543,-166.9271816098065,10.443553924560547
71,720,20.081508972074296,-166.72062481307356,
72,720,20.099900895358164,-166.8277911436132,10.951659202575684
73,720,20.18617395523723,-166.8211468469329,
74,720,20.108709658946648,-166.78112218397558,11.19465446472168
75,720,20.211722871226957,-166.8084813803731,
76,720,20.383870723588583,-166.7475488917805,11.064247131347656
77,720,19.951166314741755,-166.82151418010537,
78,720,20.54757374238701,-166.9668924517977,10.59708309173584
79,720,20.11856264603505,-166.66546097308492,
80,720,20.470108551451556,-166.80451234047422,9.960684776306152
81,720,20.454658269891198,-166.8261308983252,
82,720,20.371199149875387,-166.74480390186608,9.403833389282227
