episode,avg_reward,best_avg_reward,reward_above_threshold,avg_lyap,avg_barrier,avg_std,exploration_cleared,stable,checks_since_best
300,-167.57444201717968,-167.57444201717968,False,0.02287739384919405,0.0005055223005001608,1.4664783596992492,False,False,0
302,-167.56790529819256,-167.56790529819256,False,0.022859883029013872,0.0004507364118580881,1.4539778530597687,False,False,0
304,-167.5567170010715,-167.5567170010715,False,0.02285369746387005,0.0005499935205989459,1.4421163022518158,False,False,0
306,-167.55238884278978,-167.55238884278978,False,0.02280245181173086,0.0007085644984726969,1.4299662351608275,False,False,0
308,-167.54472703213344,-167.54472703213344,False,0.022760928981006144,0.0007667094522730622,1.4178699612617494,False,False,0
310,-167.54166085436188,-167.54166085436188,False,0.022730948217213155,0.0007662061495466333,1.4067261219024658,False,False,0
312,-167.55153996932054,-167.54166085436188,False,0.022651619836688043,0.0007687283035011205,1.3962532222270965,False,False,1
314,-167.54864897415698,-167.54166085436188,False,0.022598664462566375,0.0007707467693762737,1.3859390258789062,False,False,2
316,-167.55542870281818,-167.54166085436188,False,0.022591286059468984,0.0008001510284884716,1.3761866092681885,False,False,3
318,-167.5602731370306,-167.54166085436188,False,0.02254870571196079,0.0008869901143043535,1.3672111570835113,False,False,4
320,-167.5664953426448,-167.54166085436188,False,0.022511952463537453,0.0009190994758682791,1.3592410802841186,False,False,5
322,-167.57186854522868,-167.54166085436188,False,0.022446014638990163,0.0009379313632962294,1.3529095351696014,False,False,6
324,-167.58419701600062,-167.54166085436188,False,0.022394817881286146,0.0009395401571964612,1.347974318265915,False,False,7
326,-167.58802848677686,-167.54166085436188,False,0.022335489653050898,0.0009159535608887382,1.3446695685386658,False,False,8
328,-167.59272691071706,-167.54166085436188,False,0.02232502428814769,0.0008619583363724814,1.3429382026195527,False,False,9
330,-167.60076992502923,-167.54166085436188,False,0.02226246828213334,0.0008474441506677976,1.3427443027496337,False,False,10
332,-167.599811476027,-167.54166085436188,False,0.02220684792846441,0.0007360242168488185,1.3448541760444641,False,False,11
334,-167.60718756798585,-167.54166085436188,False,0.022154554072767497,0.0007084795633545582,1.3491853773593903,False,False,12
336,-167.62447005903942,-167.54166085436188,False,0.02209891676902771,0.0006589015251392994,1.3561651706695557,False,False,13
338,-167.63570352913928,-167.54166085436188,False,0.022035978455096483,0.0006362943437807189,1.365351390838623,False,False,14
340,-167.638476526014,-167.54166085436188,False,0.021949294675141572,0.0005897208957549082,1.3770743548870086,False,False,15
342,-167.63997297322155,-167.54166085436188,False,0.021887514740228653,0.0005607279210607885,1.3887659430503845,False,False,16
344,-167.63695357782012,-167.54166085436188,False,0.02180781411007047,0.00046217388774039136,1.4001670598983764,False,False,17
346,-167.6367509683678,-167.54166085436188,False,0.021737907733768224,0.0003017008195683957,1.4120862662792206,False,False,18
348,-167.63945794413797,-167.54166085436188,False,0.021685488242655992,0.00023881728814103553,1.4240825116634368,False,False,19
350,-167.63777997172764,-167.54166085436188,False,0.021622750256210566,0.00023083090875388734,1.4352420330047608,False,False,20
352,-167.63732679650016,-167.54166085436188,False,0.02158106965944171,0.0002260488145338968,1.4456112921237945,False,False,21
354,-167.6448167091117,-167.54166085436188,False,0.021501464303582907,0.00022266879389007955,1.4556707322597504,False,False,22
356,-167.64841030576727,-167.54166085436188,False,0.021395018510520458,0.00018572310360127632,1.4651127576828002,False,False,23
358,-167.65386524777637,-167.54166085436188,False,0.02134742671623826,9.69008557746065e-05,1.4734196364879608,False,False,24
360,-167.65249422197962,-167.54166085436188,False,0.02127219196408987,6.104545263099225e-05,1.480585378408432,False,False,25
362,-167.64267760391994,-167.54166085436188,False,0.021214865054935216,3.6225024533109715e-05,1.4860472142696382,False,False,26
364,-167.63480019963873,-167.54166085436188,False,0.021145582012832165,3.190348046757663e-05,1.4905135214328766,False,False,27
366,-167.6289859209867,-167.54166085436188,False,0.021091332100331782,3.130285989811909e-05,1.494519293308258,False,False,28
368,-167.62118786990973,-167.54166085436188,False,0.021027004718780516,3.086009750461471e-05,1.4983308374881745,False,False,29
370,-167.61278405401654,-167.54166085436188,False,0.02097343932837248,4.1675417006104e-05,1.5015683114528655,False,False,30
372,-167.60565807890353,-167.54166085436188,False,0.020902109611779452,4.7226846791659224e-05,1.5042201220989226,False,False,31
374,-167.60927680774606,-167.54166085436188,False,0.02084079449996352,6.215403808766951e-05,1.5061253011226654,False,False,32
376,-167.6139793508197,-167.54166085436188,False,0.020795217994600535,8.44810771837956e-05,1.5073063731193543,False,False,33
378,-167.6194640662619,-167.54166085436188,False,0.020760599803179503,0.0001028393670509331,1.50762699842453,False,False,34
380,-167.62643538999845,-167.54166085436188,False,0.020739076286554338,0.0001297180201760284,1.5070612490177155,False,False,35
382,-167.64025289470217,-167.54166085436188,False,0.020673455018550158,0.0001454440777848731,1.5052944898605347,False,False,36
384,-167.65974650943136,-167.54166085436188,False,0.020649624429643153,0.00016228687483419436,1.502602082490921,False,False,37
386,-167.6590618106024,-167.54166085436188,False,0.0206038573756814,0.0001756359080133052,1.4991245329380036,False,False,38
388,-167.66694524083618,-167.54166085436188,False,0.020541162230074406,0.00019431919164674126,1.494998526573181,False,False,39
390,-167.67736154351792,-167.54166085436188,False,0.020507848262786864,0.00020716682749082337,1.4902300536632538,False,False,40
392,-167.69954048890173,-167.54166085436188,False,0.020483462791889905,0.00022655819185786187,1.4850387036800385,False,False,41
394,-167.72456988251201,-167.54166085436188,False,0.02043580375611782,0.00025488331731651217,1.4796136796474457,False,False,42
396,-167.75481390945447,-167.54166085436188,False,0.02043792260810733,0.0002836666782826569,1.4734554648399354,False,False,43
398,-167.7915700856051,-167.54166085436188,False,0.02039855597540736,0.0003001557982088343,1.4671225190162658,False,False,44
400,-167.8237529378601,-167.54166085436188,False,0.02037657182663679,0.0003183924568929797,1.4605186820030212,False,False,45
402,-167.85467408227484,-167.54166085436188,False,0.020370358787477016,0.00032982815851028134,1.4538139283657074,False,False,46
404,-167.88963706915706,-167.54166085436188,False,0.020349673926830292,0.00033481352311355296,1.446213835477829,False,False,47
406,-167.92601732911783,-167.54166085436188,False,0.020311483647674322,0.0003359181338964845,1.4381877839565278,False,False,48
408,-167.96540261487343,-167.54166085436188,False,0.020257900841534136,0.00033373209748788213,1.4296180307865143,False,False,49
410,-167.99820481096634,-167.54166085436188,False,0.020202154573053122,0.00032394039258178966,1.4210026502609252,False,False,50
412,-168.03870923390133,-167.54166085436188,False,0.02015698729082942,0.00031358272367469907,1.4124858558177948,False,False,51
414,-168.08088431789568,-167.54166085436188,False,0.02012824425473809,0.00029972144197927265,1.4042567908763885,False,False,52
416,-168.11456669034047,-167.54166085436188,False,0.020088070910423993,0.0002814203945945337,1.3963080525398255,False,False,53
418,-168.14786393790718,-167.54166085436188,False,0.020052211172878743,0.00027011963261429627,1.3885827302932738,False,False,54
420,-168.17780819087827,-167.54166085436188,False,0.020027852803468704,0.0002708720539430942,1.3811582028865814,False,False,55
422,-168.20227637337055,-167.54166085436188,False,0.019975904002785684,0.00025717480252751557,1.3742548882961274,False,False,56
424,-168.21584176369575,-167.54166085436188,False,0.019934645667672158,0.0002375877954364114,1.3679771184921266,False,False,57
426,-168.23377022652716,-167.54166085436188,False,0.019909728690981864,0.00022200969815457938,1.3624996304512025,False,False,58
428,-168.24732580690477,-167.54166085436188,False,0.019890139158815146,0.00020114556994599297,1.3582228481769563,False,False,59
430,-168.2711469723397,-167.54166085436188,False,0.01985593857243657,0.00018780613332296524,1.3567058324813843,False,False,60
432,-168.2901630140701,-167.54166085436188,False,0.01978844851255417,0.00016824451250272432,1.3575106739997864,False,False,61
434,-168.3029071842562,-167.54166085436188,False,0.019761537667363882,0.0001413493780148656,1.3598542392253876,False,False,62
436,-168.32046740995554,-167.54166085436188,False,0.019707225169986485,0.00011331314954645677,1.3631753623485565,False,False,63
438,-168.34138498747768,-167.54166085436188,False,0.01964421011507511,9.762677219100624e-05,1.3666399419307709,False,False,64
440,-168.35559291659516,-167.54166085436188,False,0.019593692664057017,8.173233000547952e-05,1.3709333837032318,False,False,65
442,-168.36961232300135,-167.54166085436188,False,0.019521406665444375,7.071810201182415e-05,1.3760236263275147,False,False,66
444,-168.38609163092588,-167.54166085436188,False,0.01947875488549471,6.720098995742774e-05,1.3820990443229675,False,False,67
446,-168.3894312816679,-167.54166085436188,False,0.019390699919313192,6.714299711916283e-05,1.3886691868305205,False,False,68
448,-168.3843126822734,-167.54166085436188,False,0.019295777566730975,7.006296628446762e-05,1.395831710100174,False,False,69
450,-168.38344216526656,-167.54166085436188,False,0.019247044529765844,7.240006480628836e-05,1.4031075894832612,False,False,70
452,-168.3788456984459,-167.54166085436188,False,0.019219953380525113,7.472395200807114e-05,1.410086327791214,False,False,71
454,-168.36738345545416,-167.54166085436188,False,0.019143047090619803,7.648838446243645e-05,1.416416448354721,False,False,72
456,-168.3516038800242,-167.54166085436188,False,0.019078328926116227,7.621667692205846e-05,1.421852469444275,False,False,73
458,-168.33936079804903,-167.54166085436188,False,0.018987742625176905,7.386115985923425e-05,1.4263171076774597,False,False,74
460,-168.32608518768518,-167.54166085436188,False,0.018902458250522614,4.975605452841592e-05,1.430070823431015,False,False,75
462,-168.30709651785259,-167.54166085436188,False,0.01883802004158497,4.7835812534913205e-05,1.433301144838333,False,False,76
464,-168.27831653941357,-167.54166085436188,False,0.018755098059773444,4.93417549989772e-05,1.435637855529785,False,False,77
466,-168.24876651280607,-167.54166085436188,False,0.018687520176172256,5.166111573657872e-05,1.4367494940757752,False,False,78
468,-168.22006956485603,-167.54166085436188,False,0.01861457424238324,5.3266186137079784e-05,1.436094206571579,False,False,79
470,-168.1942313893103,-167.54166085436188,False,0.018538280855864286,5.4311503481585534e-05,1.4321077585220336,False,False,80
472,-168.1733710113081,-167.54166085436188,False,0.01846501771360636,5.524065504687314e-05,1.4250064194202423,False,False,81
