episode,avg_reward,best_avg_reward,reward_above_threshold,avg_lyap,avg_barrier,avg_std,avg_abs_action,avg_mean_V,avg_std_V,avg_std_barrier,avg_lyap_violation,avg_lyap_mean_dV,avg_lyap_in_ball,lyap_stable,lyap_collapsed,barrier_collapsed,exploration_cleared,reward_trend_per_window,reward_trend_t,plateau_streak,plateaued,stable,checks_since_best
300,177.26708812362037,177.26708812362037,True,0.007653206984266742,0.03536212737413331,0.3601479918178585,0.20719808898866177,0.4002029410252968,0.0984116964093927,0.09688229112782414,0.5139854604585304,-0.00011816332681494007,0.0,False,False,False,True,7.366194458992627,1.0759659253849192,1,False,False,0
302,178.68902474123635,178.68902474123635,True,0.007753752786730831,0.034481899552176606,0.35932963730560413,0.2068284248622755,0.39753886256366966,0.09974957020539377,0.09748281773386731,0.5132660592802697,-0.0001234202565165611,0.0,False,False,False,True,7.87090210319238,1.1440774793782735,2,False,False,0
304,179.75473127860536,179.75473127860536,True,0.007915051123968118,0.034147955499874025,0.35851570707228453,0.2061561939306557,0.3986545437946916,0.10182983298372064,0.09739701226871048,0.5132481556592716,-0.00014604365031169032,0.0,False,False,False,True,8.496946457810896,1.2369378256055676,3,False,False,0
306,180.244466860427,180.244466860427,True,0.007928702658844282,0.03350499240461634,0.3577195655347573,0.20328513666366535,0.40026411414146434,0.10191425295132728,0.09508654196332726,0.5134385854212774,-0.00015096054143113078,0.0,False,False,False,True,7.84408690567801,1.1485488193433508,4,False,False,0
308,180.85330776456402,180.85330776456402,True,0.007853316478495898,0.033198312388008674,0.3568762438785699,0.2007178580698868,0.4000479237486919,0.10170047313181892,0.094310632120404,0.5134516064284576,-0.0001604103646109757,0.0,False,False,False,True,9.882663853664296,1.445314554761855,5,False,False,0
310,181.0907267983611,181.0907267983611,True,0.007738740969863202,0.03253639589270784,0.35593581632193594,0.19977467774103083,0.39642876790215575,0.10147663658070896,0.09377451511617337,0.5132286246452067,-0.00015823948152097323,0.0,False,False,False,True,7.575200330518302,1.0994981587507187,6,False,False,0
312,182.5697646874138,182.5697646874138,True,0.007617252433232755,0.02918656317762927,0.35492033130592776,0.19910221255073943,0.3928962503870329,0.10117192644522421,0.09515532365896637,0.5137575959993734,-0.00017502487417510158,0.0,False,False,False,True,10.88808636569276,1.5730149542387166,7,False,False,0
314,183.45086502955058,183.45086502955058,True,0.007570106707539201,0.030342438055797383,0.3538600832637814,0.19734708716471988,0.38696503688891737,0.1027732138108048,0.09634159928084247,0.5138438590077892,-0.00017959353745532598,0.0,False,False,False,True,15.66990462273645,2.301216648303871,0,False,False,0
316,183.71030136826238,183.71030136826238,True,0.007552479431291834,0.03042238660402493,0.3527492896757192,0.196386963284264,0.3836664968480667,0.10554558799809051,0.09741709946861696,0.5138926869465246,-0.0001898938005726652,0.0,False,False,False,True,16.791355523761936,2.476699324345202,0,False,False,0
318,183.00952476282978,183.71030136826238,True,0.007515528771586509,0.027927860400975786,0.35156256326784685,0.19297839648400744,0.38318363024542734,0.10904366869168976,0.09777651293617155,0.513384331886967,-0.0002043262046602952,0.0,False,False,False,True,16.026011384467452,2.375535884304863,0,False,False,1
320,184.43901458611316,184.43901458611316,True,0.007447986135634387,0.027165059452979923,0.35033635490884374,0.19081326151887576,0.3802234570185344,0.11113200231144824,0.09720251652826038,0.5134575741365551,-0.0002094862107545244,0.0,False,False,False,True,17.07897093961252,2.5538427593190582,0,False,False,0
322,185.13544696240396,185.13544696240396,True,0.007457950314791459,0.027133930217112513,0.3491176549966136,0.18968055811193255,0.37627332583069806,0.113344094188263,0.09812687100428676,0.5126161027492747,-0.00021528684491790452,0.0,False,False,False,True,16.603831083464506,2.4916305498226037,0,False,False,0
324,187.74304675144538,187.74304675144538,True,0.007412401532767237,0.026428542410980704,0.3479477703571319,0.1872324629790253,0.37301873238757255,0.11386790050504107,0.09733029101561341,0.5121766496863629,-0.00022029141597259796,0.0,False,False,False,True,17.75194963264204,2.6511980547732614,0,False,False,0
326,187.35408259436358,187.74304675144538,True,0.007525583158389459,0.026908333510962418,0.3467896850572692,0.1857370580339597,0.36776588665735394,0.11414155777957706,0.09866198680053154,0.5120448137323061,-0.00022597539636485126,0.0,False,False,False,True,15.356482306820615,2.328381842702176,0,False,False,1
328,190.69466897682634,190.69466897682634,True,0.007661353399291533,0.02699774304961062,0.3456149400729272,0.18371114536292021,0.3665127153715326,0.11491255441990993,0.1005358721802218,0.5123041453460851,-0.00024188075572561095,0.0,False,False,False,True,17.24997162413061,2.6026538179418197,0,False,False,0
330,192.3417519426756,192.3417519426756,True,0.007619277136917746,0.029557931701937278,0.344414083680345,0.18313935648442972,0.3589985123421584,0.11504233383263152,0.10358367510036462,0.5121706819161773,-0.00024477607485601363,0.0,False,False,False,True,19.14740248571686,2.872860991094332,0,False,False,0
332,191.99533427648873,192.3417519426756,True,0.007674172879908131,0.031778670489762184,0.34323419657432375,0.1809297903854814,0.35443297741520746,0.11675322474911809,0.10557485024651718,0.5117735465367635,-0.000255805658712739,0.0,False,False,False,True,18.629364690410394,2.792396821788067,0,False,False,1
334,193.63126602647554,193.63126602647554,True,0.007738271910542003,0.03210338416392915,0.3420605145601762,0.18054128905965225,0.35277244097863647,0.11904308508253761,0.10653124436632626,0.5117062721194493,-0.00025709573058823785,0.0,False,False,False,True,21.675977309337576,3.253686835645812,0,False,False,0
336,195.4691685329416,195.4691685329416,True,0.007784817983499831,0.03210747652725938,0.3408716408535838,0.17919333047337005,0.3531565918587149,0.122006516236191,0.10834737899195816,0.5116634118474193,-0.00026710131624996497,0.0,False,False,False,True,23.004147106529718,3.435546460505959,0,False,False,0
338,196.75658582625613,196.75658582625613,True,0.00801645569412762,0.032284613091421006,0.33966172517587745,0.18054212599785793,0.35291582504287367,0.12468542796559634,0.10972166542067296,0.5111051436927584,-0.000289681986846012,0.0,False,False,False,True,25.21944349170174,3.7701339288092264,0,False,False,0
340,197.34757271439693,197.34757271439693,True,0.008145681758631123,0.03339985345761913,0.33845677934587004,0.1787110414149033,0.3538536459517975,0.1264531013245384,0.1096978206756628,0.5109472661382622,-0.0003191096142422288,0.0,False,False,False,True,24.990055728253175,3.68831354109034,0,False,False,0
342,198.24082165685093,198.24082165685093,True,0.008064950951181041,0.034698291648075814,0.33727631800704533,0.17836821752910814,0.3530748593000074,0.1265069874572671,0.11004581141492556,0.5112380647203988,-0.00035047403424262786,0.0,False,False,False,True,28.341838883863012,4.253816258075869,0,False,False,0
344,198.71583971526357,198.71583971526357,True,0.007930705550825224,0.036081002483196144,0.3360973416724139,0.17949973813568557,0.34730433526759347,0.12485504652787412,0.11074526392751267,0.511242947458393,-0.0003320599206972474,0.0,False,False,False,True,32.04604123741897,4.82613839786809,0,False,False,0
346,199.61639115025068,199.61639115025068,True,0.007990462164161726,0.03485529047255922,0.3349418909806344,0.1817637495075663,0.34373221835121515,0.1256999514324383,0.11309270236848128,0.5116775177212225,-0.00032808380410642707,0.0,False,False,False,True,32.19258413986477,4.84865964793218,0,False,False,0
348,200.68455579938706,200.68455579938706,True,0.008066545354085974,0.03530472502202934,0.33386176147808627,0.18445140324119064,0.34316934093626006,0.12673657836599478,0.11397101808753278,0.5121392146373789,-0.0003237572572692847,0.0,False,False,False,True,35.660803053131694,5.361427748376599,0,False,False,0
350,200.06626628812901,200.68455579938706,True,0.008148472541749167,0.035257179405824804,0.3328694900497794,0.1852416880325311,0.34217503239504166,0.12828578370519808,0.1148446566373524,0.5124989151333769,-0.0003227307601971713,0.0,False,False,False,True,34.86593113842091,5.224279201516289,0,False,False,1
352,200.49168760025805,200.68455579938706,True,0.008289608554332518,0.03604023600669785,0.3319280989468098,0.18520761149831946,0.34120977422636417,0.12994599536889126,0.11433843504120078,0.5119471573581299,-0.0003064498071984821,0.0,False,False,False,True,36.01046159135828,5.390827935167479,0,False,False,2
354,200.8068002678006,200.8068002678006,True,0.008504750090651216,0.03496335026704602,0.3310110432406267,0.18619108630551234,0.34587388865442736,0.1322064879712545,0.11436941733376846,0.5115549047167103,-0.0003189649248674363,0.0,False,False,False,True,34.84353596578364,5.201140077380653,0,False,False,0
356,201.92493269117492,201.92493269117492,True,0.008667020395902609,0.03489324993505659,0.3301593582456311,0.18623491701566514,0.3475331893294222,0.13290873403247033,0.11529287673636443,0.5114360896870495,-0.0003281041302014071,0.0,False,False,False,True,36.41701826242638,5.407470383735881,0,False,False,0
358,202.453015620639,202.453015620639,True,0.00882802656463658,0.03710857364478417,0.32937155993034445,0.18808975749545628,0.34519081489286496,0.13274325059933795,0.1160358623860197,0.5102918839703005,-0.000314955147172845,0.0,False,False,False,True,39.07498994156152,5.839295355064342,0,False,False,0
360,203.59209930370253,203.59209930370253,True,0.009003069563186729,0.03883166950286573,0.32861676861842476,0.18830102379951213,0.34423626885852887,0.13331396384682095,0.11605482855294316,0.510160047871371,-0.00030058911162187643,0.0,False,False,False,True,38.22901653339162,5.691462111852961,0,False,False,0
362,204.01694257718998,204.01694257718998,True,0.009148682755120617,0.03933917431794624,0.3278618271152179,0.18842468147890434,0.3457087415684429,0.13239066023896967,0.1155751881034424,0.5107020400671496,-0.0002827143872915864,0.0,False,False,False,True,42.64748599553474,6.409826565638302,0,False,False,0
364,204.81980766353598,204.81980766353598,True,0.009351109946469986,0.03954997081826959,0.3270224265754223,0.18883998193260695,0.3454089587347375,0.13413437178565396,0.1173879378164808,0.5096099176340634,-0.0003007005057649319,0.0,False,False,False,True,44.353582692420645,6.647318230848913,0,False,False,0
366,204.48958868883778,204.81980766353598,True,0.009546567596973749,0.03983131949143071,0.3261588912457228,0.1897253026978837,0.3470736758576499,0.13601759497283233,0.11744329977470139,0.5090874567213987,-0.00030918860820747793,0.0,False,False,False,True,45.329334171916145,6.815025824074459,0,False,False,1
368,205.90264723318353,205.90264723318353,True,0.00962578741050998,0.03979922143561353,0.3252705403293172,0.1903698865427739,0.3446402585547831,0.13766521771645385,0.11725787625958521,0.5092974176216456,-0.00029742551360717093,0.0,False,False,False,True,48.754371220312,7.394434405163507,0,False,False,0
