episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha
2,24,24,4.423782229423523e-09,-0.002835701704801371,10.108516792456308,0.8603139321009318,0.06908790425707896,0.19882021735732755,0.6973307281732559,0.0,0.0001457796373263894,0.026195309008471668,0.0020591006032191217,1.416761542359988,0.51678450157245,0.006242332116623099,0.07272135435293119,0.17509958955148855,0.003373057288020694,0.012529237642108152,0.969765359108249
4,24,24,4.889443516731262e-09,-0.0007866263234366974,13.259453495343527,0.9322438488403956,0.07838436495512724,0.22241940908133984,0.7529947931567827,0.0,6.444475972481693e-05,0.04999297938775271,0.002071363060773971,1.3932425727446873,0.6323761120438576,0.006470072545804821,0.07682291744276881,0.17789657538135847,0.010416709701530635,0.019874642603099346,0.9404448517263514
6,24,24,6.28642737865448e-09,-0.003978951674071141,15.325543363889059,0.9649573986728986,0.06522261925662558,0.2140283863991499,0.7829752614100774,0.0,-7.502742543389711e-05,0.09796928443635504,0.0030683277000207454,1.4552544405062993,0.9263672878344854,0.0052524664545975,0.061816406378056854,0.18071812577545643,0.01741183828562498,0.01815173270491262,0.9120108393559102
8,24,24,2.7939677238464355e-09,-0.00786193743503342,13.991261780261993,0.9123083626230558,0.10178707508991162,0.3522619580229123,0.6771158824364344,0.0,0.00027909612375272747,0.10778060089796782,0.004284000674185033,1.4587485790252686,1.2311403155326843,0.007247521377090986,0.09062500003104408,0.18368441176911196,0.02465070760808885,0.017685835831798613,0.8844365191385997
10,24,24,3.725290298461914e-09,-0.0034318959612088897,10.069421291351318,0.9219316840171814,0.12779396244635186,0.3957621331016223,0.6571289052565893,0.0,-0.0002102990226073113,0.15975639751801887,0.004871083355586355,1.4859337757031124,1.3735473950703938,0.007314016644765313,0.09765625062088172,0.1866689994931221,0.03182031695420543,0.017637248306224745,0.8576958985908939
12,24,24,6.28642737865448e-09,-0.0033531998827432594,14.200387239456177,1.0464905574917793,0.13154888090988,0.3980024456977844,0.5975260411699613,0.0,-0.00016590239344319949,0.17385842154423395,0.006461597319381933,1.4500139206647873,1.4677549451589584,0.006366431926532338,0.07949218784536545,0.1897486144055923,0.039101668943961464,0.01765416981652379,0.8317637711026707
14,24,24,2.3283064365386963e-09,-0.0028602350503206253,7.618799765904744,1.1928522139787674,0.19197769400974116,0.2970732810596625,0.5616536463300387,0.0,-7.11219278552259e-05,0.27411686535924673,0.0080297437380068,1.443869173526764,1.039643203218778,0.00425071955154029,0.048404948242629565,0.19295859895646572,0.046570766251534224,0.015994306226881843,0.8066156921766136
16,24,24,4.190951585769653e-09,-0.003096546647914996,15.251441558202108,1.2259976863861084,0.24064566319187483,0.353018619120121,0.5622721364100774,0.0,-5.026642368951192e-05,0.24810032856961092,0.008911319950129837,1.465206190943718,1.155988946557045,0.008414690655627055,0.10686848980064194,0.1962149702012539,0.05402849102392793,0.02497876916701595,0.7822279563860023
18,24,24,6.05359673500061e-09,-0.008138052420690656,9.280733495950699,1.1372176110744476,0.20671528639892736,0.3518197201192379,0.5358723973234495,0.0,7.757207883211474e-05,0.28632591882099706,0.008829390591320893,1.4611301273107529,1.2791504462560017,0.00937250192995028,0.10468750012417634,0.199324748168389,0.06103989497448007,0.03286791918799281,0.7585775750291838
20,24,24,3.958120942115784e-09,-0.001807094900868833,11.330431620279947,1.18744458258152,0.18266811221837997,0.2844749850531419,0.5456705739100774,0.0,-0.00016957892876234837,0.17192640093465647,0.006988355851111312,1.4354470272858937,0.8385391160845757,0.009460715392682081,0.11972656333819032,0.20252041146159172,0.06813939319302638,0.04257422344138225,0.7356422544596414
22,24,24,4.423782229423523e-09,0.005286138485341023,14.98371390501658,0.9960157771905264,0.1807471700012684,0.29628461475173634,0.5516276036699613,0.0,0.000439136901453215,0.31968003511428833,0.007485440738188724,1.4166652460892994,1.0740355054537456,0.0096605371509213,0.13330078125,0.20547361485660076,0.07460717670619488,0.05698114881912867,0.713400375071256
24,24,24,4.6566128730773926e-09,0.0029482310249780617,18.161113659540813,1.0888267109791439,0.2400138924519221,0.27882884815335274,0.508561197668314,0.0,0.0003132490358742264,0.16047957011808953,0.007623077758277456,1.4834367632865906,0.9431012173493704,0.010678849347944682,0.14235026098322123,0.20825676868359247,0.08062223096688588,0.0554905622266233,0.6918309709189363
26,24,24,6.05359673500061e-09,0.0010494356198857229,14.13090991973877,1.1927930265665054,0.3089773164441188,0.3063654912014802,0.5069986979166666,0.0,0.00024006123324700943,0.23084219451993704,0.008880346392591795,1.5073141704003017,1.0533259908358257,0.006323567785633107,0.07128906265522043,0.21141506731510162,0.08735792463024457,0.05683930249263843,0.670913709955411
28,24,24,5.587935447692871e-09,0.0015699655438462894,18.99586284160614,1.1390008628368378,0.26951253165801364,0.34344369545578957,0.5184895818432173,0.0,0.0001520513518092533,0.32316697606196004,0.009173136029858142,1.4869081328312557,0.9682551945249239,0.00931439281460674,0.13098958351959786,0.21473401226103306,0.09433833509683609,0.06077828568716844,0.6506288748655572
30,24,24,3.958120942115784e-09,-0.0050455338205210865,10.616744975248972,1.278398300210635,0.20766639833649,0.3204239681363106,0.51416015625,0.0,0.0003318417710336992,0.16654564905911684,0.008534382892927775,1.501572847366333,0.8257510587573051,0.007994030049303547,0.10631510429084301,0.21814235175649324,0.10140325812002023,0.06605459734176596,0.6309573444801937
32,24,24,6.752088665962219e-09,0.001095412017699952,15.924098034699758,1.1731375604867935,0.23935052938759327,0.3153691627085209,0.5211914057532946,0.0,-0.00030339717341121286,0.28998438362032175,0.009000192260524878,1.5239975949128468,0.8843156298001608,0.011142768775850223,0.14879557366172472,0.22173629390696684,0.1087479464088877,0.07579716015607119,0.6118805757518223
