episode,avg_reward,best_avg_reward,reward_above_threshold,avg_lyap,avg_barrier,avg_std,avg_abs_action,avg_mean_V,avg_std_V,lyap_collapsed,barrier_collapsed,exploration_cleared,reward_trend_per_window,reward_trend_t,plateau_streak,plateaued,stable,checks_since_best
300,56.45927978108067,56.45927978108067,True,0.026480484903893535,3.841324309582382e-06,0.748335752636194,0.3854582818845907,0.7815241869952944,0.058204329735599455,False,True,True,-2.686743245744367,-0.805908883941855,1,False,False,0
302,58.104962539544246,58.104962539544246,True,0.026548292721983873,3.5297916484624794e-06,0.7479599725455044,0.3963136569079425,0.783356186043885,0.05821486260586729,False,True,True,-1.4942821150895789,-0.4430266773413232,2,False,False,0
304,58.45482464779139,58.45482464779139,True,0.02658833696558658,2.8848770726755096e-06,0.7475298793365556,0.40419986438420075,0.7855114224470323,0.058332911599427474,False,True,True,0.06497889145195776,0.01947948704242643,3,False,False,0
306,59.44488001961113,59.44488001961113,True,0.026619506999850273,5.6395612192419425e-06,0.7470804858952759,0.41338179732362423,0.787883362132642,0.05823149371685253,False,True,True,1.8497181820760236,0.5478432396775561,4,False,False,0
308,60.88056768202978,60.88056768202978,True,0.026611635777064498,6.428852432489091e-06,0.7466178252879115,0.4232505463891559,0.7854785483330489,0.05827862608453466,False,True,True,5.138162610187221,1.528782566945602,5,False,False,0
310,61.35205181564317,61.35205181564317,True,0.026604669166004492,5.6603535035214416e-06,0.7461687448951932,0.4333473029442959,0.7852478710313638,0.0585658784231378,False,True,True,6.814122403560126,2.017319753566408,0,False,False,0
312,62.45708253195269,62.45708253195269,True,0.02660980997348411,5.639440271604852e-06,0.7457737413131528,0.44248753990978,0.7853655077103111,0.05863911874799266,False,True,True,8.720800083040086,2.5401262168411183,0,False,False,0
314,63.40329567708426,63.40329567708426,True,0.026576503254990606,7.200725412480501e-06,0.7453754598481788,0.45527466976394254,0.7838979761633608,0.05819276263678654,False,True,True,9.867261680196762,2.853557133162594,0,False,False,0
316,64.05562450037854,64.05562450037854,True,0.026574133525395553,7.200725412480501e-06,0.7449773948639632,0.46361863689704075,0.7843036024934716,0.05793818177189679,False,True,True,10.678989219288063,3.0945849462900714,0,False,False,0
318,65.434274769937,65.434274769937,True,0.026711783455943477,7.200725412480501e-06,0.7445916840185722,0.469662845465872,0.7901153024699953,0.0587407651434963,False,True,True,12.506452003660048,3.580752043474373,0,False,False,0
320,65.85380895785083,65.85380895785083,True,0.026743866117774608,7.200725412480501e-06,0.7442087994267544,0.4729690461316042,0.7938270021643904,0.05872601353718589,False,True,True,13.341406866418026,3.8661215302464877,0,False,False,0
322,66.45524360411859,66.45524360411859,True,0.02674615938319928,7.200725412480501e-06,0.7437884630014501,0.47988636197729234,0.7956017105943627,0.05846609418125202,False,True,True,13.948601834401165,4.051524886749605,0,False,False,0
324,66.40716632167218,66.45524360411859,True,0.02673807336509021,7.200725412480501e-06,0.7433192167431117,0.4872433677522672,0.7961544486797518,0.05826635751097152,False,True,True,13.487322489761283,3.94025567745482,0,False,False,1
326,66.7876229911369,66.7876229911369,True,0.026756313483282508,7.200725412480501e-06,0.7428220310558876,0.49170149214979675,0.7964649630917443,0.05863486807793378,False,True,True,14.012257734783741,4.090228956481634,0,False,False,0
328,67.64787077410061,67.64787077410061,True,0.0266883885487914,7.200725412480501e-06,0.7422911760293776,0.49805623450213005,0.7934491047014792,0.05873057756366,False,True,True,15.203314784569269,4.333078078419687,0,False,False,0
330,68.05632952141626,68.05632952141626,True,0.02664561158744618,7.200725412480501e-06,0.741754197453459,0.5035767899826169,0.7919786339832677,0.05871074251416656,False,True,True,16.29944001228021,4.58440226564417,0,False,False,0
332,69.84048512345038,69.84048512345038,True,0.02657185322993124,7.200725412480501e-06,0.7412698650939596,0.510540552292433,0.7898572608000702,0.058196937828324725,False,True,True,18.784910060367388,5.193466131571069,0,False,False,0
334,70.23603960591775,70.23603960591775,True,0.026551764299316955,6.991701126126929e-06,0.7407966704004341,0.5137915232322282,0.7884603752858109,0.05853470781973252,False,True,True,19.981520674856863,5.554906254175819,0,False,False,0
336,70.45983783848408,70.45983783848408,True,0.026575682185486792,5.88274898139692e-06,0.7403096504095528,0.5221045345274938,0.790944913484984,0.05859757824024806,False,True,True,20.224175866801605,5.617822161914261,0,False,False,0
338,71.94705299572288,71.94705299572288,True,0.026563933676677864,5.88274898139692e-06,0.7398148389740122,0.5272040001013213,0.790390170365572,0.05873820427029083,False,True,True,23.874543702049245,6.508792456668169,0,False,False,0
