episode,steps,final_battery,total_reward,total_directional_reward,total_battery_reward,total_movement_penalty,loss,episode_time,rollout_time,inference_time,env_time,update_time,peak_solar_w,mean_solar_w,start_battery,min_battery
1,720,11.397402974046217,61.543419093492815,144.73162781416357,-56.20294093702816,22.511012534733638,,19.99697921400366,19.844791013994836,0.7653417818655726,19.079449232129264,0.0,42.26346608455123,25.096010773705984,39.4988734425603,11.397402974046217
2,720,6.965624252297537,62.99704218756647,146.6020628206388,-56.420049650602024,22.76951133780561,-0.8790189027786255,20.373430430001463,19.867219670006307,0.645014030058519,19.222205639947788,0.35651507999864407,42.263502063789545,24.998925258813905,35.17564907759857,6.965624252297537
3,720,0.722458336690719,41.10043604793365,137.22570773411928,-68.70467711616584,22.543687355360106,,21.675422813990735,21.50657707299979,0.6466011029260699,20.85997597007372,0.0,42.263474107877016,24.13871569023798,35.07479689477364,0.722458336690719
4,720,12.107107925201815,64.92243926273524,147.53610117461093,-55.58559938209601,22.61278921454019,-1.0883898735046387,20.089447611986543,19.642388514010236,0.6458092041139025,18.996579309896333,0.28598130599129945,42.252793849340776,25.117775097358752,39.89990761624983,12.107107925201815
5,720,11.377232761646889,64.20786094362155,145.98490451784633,-54.57400113243768,22.49231209796178,,19.99372471899551,19.8388753580075,0.6455329088639701,19.19334244914353,0.0,42.262874422337696,25.186328891971886,38.66423332786572,11.377232761646889
6,720,7.972720347772813,53.78108256396252,143.54297391723887,-61.63684239169731,23.382156121418884,-1.1176565885543823,19.345132634000038,18.89656066900352,0.6459805157937808,18.25058015320974,0.30254684199462645,42.26342618911061,24.66645544260302,38.79114154362147,7.972720347772813
7,720,8.080255141463548,74.4084305521336,147.8981306049347,-45.811519234957544,23.065174012867907,,19.639678297986393,19.484318589005852,0.6458183568320237,18.83850023217383,0.0,42.26299662797353,25.67035785189067,30.986014758942314,8.080255141463548
8,720,1.7200140018651253,44.97765637203291,142.4560301932876,-70.85683614048483,21.859137378316007,-1.0470290184020996,20.55085756799963,20.091450100997463,0.645278728014091,19.446171372983372,0.3045945439953357,42.26340053663749,24.026984049299234,37.14843207210752,1.7200140018651253
9,720,10.968682928577774,71.74373996106671,151.6330779445851,-53.056524790034025,22.129125799932407,,19.261551388000953,19.114729347988032,0.6472996340598911,18.46742971392814,0.0,42.26338906473698,25.335587398303456,37.496945323594794,10.968682928577774
10,720,8.601977453855634,71.65776825768106,149.07439492340632,-49.51161706928694,23.144775933788306,-0.9158470630645752,20.210733738000272,19.759286840999266,0.6468068759131711,19.112479965086095,0.3022830099944258,42.26000686531395,25.441544517065395,33.3577859884991,8.601977453855634
11,720,9.01150045478588,58.762436434839444,145.3563686251265,-59.98083312907073,21.864314943384638,,20.205333646998042,20.057196274996386,0.6483402061276138,19.408856068868772,0.0,42.26274023235419,24.877705436241325,39.00191701932123,9.01150045478588
12,720,1.1314016930695103,54.42424036715131,143.71075408957654,-61.7178953930046,22.73326161795554,-1.1014230251312256,20.16224570501072,19.732593730004737,0.645821085839998,19.08677264416474,0.3055720999982441,42.263451034651304,24.600033023183727,31.990349389571826,1.1314016930695103
13,707,0.0,53.05749882679917,140.07772185015932,-60.6379076886242,21.649461165000762,,19.952307621002547,19.792314586011344,0.6352577121433569,19.157056873867987,0.0,42.263375151659055,24.523070885003794,30.31895384431203,0.0
14,720,1.685559969773916,59.94658088491016,147.8444591515675,-61.95258262096936,21.366459199381104,-1.0128800868988037,19.55716812699393,19.106488071003696,0.6469900793017587,18.459497991701937,0.3052607080026064,42.26319975796985,24.711972259067743,32.66185128025862,1.685559969773916
15,720,5.970966335338289,53.576753284232396,145.63823655280896,-65.94475240968372,21.18456274045395,,20.367587417000323,20.210804314992856,0.6483425270853331,19.562461787907523,0.0,42.26242272959472,24.542250949945412,38.94334254018014,5.970966335338289
16,720,0.8494927841889534,43.49071340312858,143.6771723947501,-74.18346956966525,21.08822234869946,-1.2013766765594482,19.992537527999957,19.56395415800216,0.6475981788971694,18.916355979104992,0.3062339699972654,42.26342236862199,23.91533859551885,37.9412275690216,0.8494927841889534
17,720,3.848910727993514,59.78256878868841,147.81755259979582,-62.32838172595358,20.804129213274305,,18.81726545499987,18.66961213000468,0.6464748389553279,18.023137291049352,0.0,42.263443602150424,24.713610210100793,35.01310159097032,3.848910727993514
18,715,0.0,46.392999135186336,141.9535561781254,-70.78121922451098,20.181137399887515,-1.0032169818878174,19.874714770005085,19.42079216601269,0.6414266880747164,18.779365477937972,0.3012995870085433,42.26331533964103,24.107765190232133,35.390609612255496,0.0
19,720,5.644935477495304,57.8012073063956,145.66947243528685,-61.082780147997774,21.907524854602407,,20.015181665003183,19.865977035005926,0.6468187719292473,19.21915826307668,0.0,42.261630324030264,24.75832126598178,36.186325551494214,5.644935477495304
20,720,9.408706243880289,81.40562269310104,157.06125512589315,-49.656752234073025,21.0915494618276,-1.115710973739624,19.42801634600619,18.977010713002528,0.6466833040030906,18.330327408999437,0.30675719199643936,42.25130249104979,25.617224542302008,34.23708236091682,9.408706243880289
21,716,0.0,57.66034506805192,146.8596233522353,-64.26741513332932,20.19498941522062,,21.275908605006407,21.13816502300324,0.6425585660617799,20.49560645694146,0.0,42.24422684578166,24.567772789271057,32.13370756666464,0.0
22,720,6.185812700718197,75.66815804208545,153.59589920501784,-51.413862697621056,21.62361322267291,-1.036117672920227,19.57117821299471,19.129576574996463,0.6459994910401292,18.483577083956334,0.299805586997536,42.242662747032334,25.38478516441917,31.89274404952871,6.185812700718197
23,693,0.0,51.295832188321924,140.81993770135855,-65.1412828035654,19.738561060097982,,18.530379977004486,18.38349252199987,0.6238246181601426,17.759667903839727,0.0,42.26248483742334,24.26894239990175,32.57064140178272,0.0
24,720,2.7723024897976623,67.47091793126226,151.16568108326092,-57.22398715604414,21.50381267255663,-0.9967548847198486,20.132983748000697,19.68718506100413,0.6482060800481122,19.038978980956017,0.30482552701141685,42.261131682543166,25.034013831153416,31.384296067819744,2.7723024897976623
25,720,0.9384646051186903,51.8987417210895,145.3429156999882,-67.54993863525947,21.059839578249605,,20.603371486999094,20.45224055700237,0.6480763889703667,19.804164168032003,0.0,42.26214145845879,24.35029593456128,34.71343392274843,0.9384646051186903
26,720,11.358458020784155,80.6124573189792,155.06483183521706,-47.639108760609744,21.660796813640545,-1.027820348739624,19.58692401200824,19.130538247991353,0.6463109828182496,18.484227265173104,0.29998563398839906,42.263464499462664,25.747041740811984,35.17801240108904,11.358458020784155
27,705,0.0,43.61085261401405,137.7667338242176,-67.59487538913338,21.501770321147102,,19.396541188005358,19.242012789996807,0.632652578089619,18.609360211907187,0.0,42.259343803782066,24.11997599487919,33.79743769456662,0.0
28,720,8.063867503523541,70.06511243267576,148.6858323615342,-51.45535444560254,21.865327013273735,-1.0864157676696777,20.246138279006118,19.799294607000775,0.6448612150852568,19.154433391915518,0.3026359250070527,42.2635523131282,25.4416923375677,33.79154472632479,8.063867503523541
29,720,5.098191954913091,68.1525341171007,151.43970553744478,-56.51796935845436,21.627503919452998,,18.925960589011083,18.778666981990682,0.6467266740655759,18.131940307925106,0.0,42.263527087292914,25.04063131256546,33.35717663414027,5.098191954913091
30,720,2.7138403934180544,50.22925875957101,144.95948680400832,-68.41641180317659,21.473603762719115,-0.9853816628456116,19.609915625987924,19.15584248599771,0.6450871960259974,18.510755289971712,0.3033738920057658,42.26355808419337,24.293063126787406,36.922046295006375,2.7138403934180544
31,720,7.236579412153257,53.75898623241517,145.26505379417233,-63.04321098659476,22.729529866478327,,19.80249090801226,19.662280144009856,0.6475864531093976,19.014693690900458,0.0,42.263347069923334,24.616363479355243,38.75818490545065,7.236579412153257
32,720,5.574673028609269,65.31308592375149,150.87683676852973,-59.99043603159953,20.46782139116901,-0.9077733159065247,19.971303508995334,19.516653152008075,0.6466575017548166,18.86999565025326,0.3013455780019285,42.25771456028986,24.94707798491692,35.569891044409,5.574673028609269
33,716,0.0,52.207153458316554,143.83213211783826,-65.55464009908589,21.054029703724655,,19.27883560099872,19.135827257006895,0.643065598065732,18.492761658941163,0.0,42.26341766074825,24.436018241446146,32.777320049542915,0.0
34,720,3.8141970731546557,55.26135224965431,146.66034289832774,-64.13044967630957,22.040150582981116,-0.9612425565719604,19.624637236993294,19.18310284499603,0.6458261793159181,18.53727666568011,0.3034507120028138,42.26339816376968,24.565092443873528,35.879421911309436,3.8141970731546557
35,719,0.0,45.439779532721296,141.50068745669287,-68.12054903058292,22.243538124963514,,20.403757527994458,20.251577190996613,0.6462280069390545,19.60534918405756,0.0,42.247381339676934,24.205442564770507,34.06027451529145,0.0
36,720,1.0035869932048513,55.09742686871925,145.11187074561363,-62.220063625112445,22.216708882354666,-0.838695764541626,20.21434897200379,19.758150681009283,0.6457041441171896,19.112446536892094,0.3061262910050573,42.260034182995135,24.52328367448825,32.11361880576111,1.0035869932048513
37,720,6.874449540445762,60.2370969784688,148.15899146355648,-60.3053372608027,22.06918110948996,,18.423928864998743,18.282650569992256,0.6472911200253293,17.635359449966927,0.0,42.26260857402889,24.826054553555664,37.027118170847096,6.874449540445762
38,698,0.0,33.87854660158698,135.55607092754553,-75.15591488839121,21.02704191315032,-0.7050825357437134,19.44894891299191,18.994795940991025,0.626906419012812,18.367889521978213,0.29997849799110554,42.263190768515436,23.602271543870646,37.57795744419562,0.0
39,720,4.847815166486362,59.40885845064144,148.09755386624525,-60.36360787317547,22.930902632406713,,19.171824684002786,19.031032326995046,0.6466486520803301,18.384383674914716,0.0,42.25784335079556,24.76723582271547,35.0296191030741,4.847815166486362
40,714,0.0,31.15056176909427,137.11531266776018,-78.56643697657674,21.941482039714383,-0.8177861571311951,20.229407737002475,19.775964465006837,0.6410633150226204,19.134901149984216,0.30060938400856685,42.26070120459265,23.470395547636453,39.2832184882884,0.0
41,720,12.57244826392917,72.11873912112343,149.77882826982756,-49.17482100343422,22.761530110381877,,20.033997517995886,19.874084830007632,0.6471055121073732,19.22697931790026,0.0,42.26264297157524,25.49746162320985,37.15985876564626,12.57244826392917
42,720,5.282066011744319,62.0126099689984,148.2359826091607,-58.323129109972754,22.338019980199046,-0.8756808042526245,19.447316703008255,19.00013845799549,0.646523165749386,18.353615292246104,0.3025806170044234,42.262565397456434,24.892453292255706,34.44363056673072,5.282066011744319
43,720,1.898262342307008,46.319737205674556,140.34814434409807,-65.22561684449268,22.948621589910218,,20.77662170199619,20.61820662500395,0.6452979567839066,19.972908668220043,0.0,42.26067864656496,24.351675263027097,34.51107076455333,1.898262342307008
44,714,0.0,50.37601472577959,141.4207777235223,-62.359913432822474,22.890432737007462,-0.8118948340415955,19.730320746006328,19.27751615300076,0.6392405010556104,18.63827565194515,0.3020687730022473,42.25860310333209,24.475494495565542,31.179956716411255,0.0
45,720,3.991618097410406,38.52347911954103,137.9762347475308,-70.96667101965116,22.528497925499387,,21.22787270799745,21.07816214299237,0.6465210080059478,20.43164113498642,0.0,42.25480949212841,24.073599003462018,39.47495360723599,3.991618097410406
46,720,0.7969132133711608,45.02570595828917,141.51984277758743,-67.51922346382594,22.90270564584242,-0.8340394496917725,19.884914212001604,19.4370210019988,0.6452367708552629,18.791784231143538,0.3031312249950133,42.25852335811876,24.243468786518996,34.556524945284096,0.7969132133711608
