episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha
2,24,24,5.587935447692871e-09,-0.004419464074696104,15.994889616966248,0.515949908643961,0.0051774912474987405,0.020297477720305324,1.150434250632922,0.18035328947007656,0.0022465794312059493,0.015104166775320968,0.4743981634577115,0.003430736551914985,0.01780923273569594,0.969765359108249
4,24,24,1.6298145055770874e-09,-0.004443290798614423,11.48244845867157,0.5913273779054483,0.052606841161226235,0.02208778983913362,1.2675762524207432,0.3499914227674405,0.0040239159667786835,0.044108072955471776,0.4784601380427678,0.010252595976150284,0.013935913399715597,0.9404448517263514
6,24,24,1.6298145055770874e-09,-0.00166536519342723,9.017814556757608,0.5778932000199953,0.052093871869146824,0.021937434716771047,1.3669534573952358,0.21489082463085651,0.003721311664169965,0.03948567718422661,0.48185042664408684,0.015902500327986974,0.03581569196345905,0.9120108393559102
8,24,24,9.313225746154785e-10,-0.003996507187063496,9.533526460329691,0.5033179124196371,0.06432794857149322,0.020601617482801277,1.358327051003774,0.21632711899777254,0.0022438192924407,0.02294921884701277,0.48562543590863544,0.022147236081461113,0.04740233098467191,0.8844365191385997
10,24,24,1.1641532182693481e-09,-0.0031974198451886573,21.47607711950938,0.48979167516032857,0.06462982079635064,0.020301047557344038,1.3799751897652943,0.2184470370411873,0.006244142423383892,0.07815755220750968,0.4893832492331664,0.028318842174485326,0.06766774924471974,0.8576958985908939
12,24,24,3.259629011154175e-09,0.002045090193860233,11.479961176713308,0.49929923191666603,0.09427611126254003,0.020763380685821176,1.4382627954085667,0.1730763198186954,0.004655605628310393,0.05309244835128387,0.49241512392958003,0.033263975366329156,0.03923569045340022,0.8317637711026707
14,24,24,2.3283064365386963e-10,-0.007175846723839641,13.23357097307841,0.4857004371782144,0.10486920084804296,0.020448320545256138,1.4474290112654369,0.1602716160317262,0.006897630145734486,0.09916981123387814,0.49622321253021556,0.039435348783930145,0.07138074577475588,0.8066156921766136
16,24,24,2.0954757928848267e-09,-0.0004984623131652673,17.82642763853073,0.46047692994276684,0.10721835990746816,0.020281950943171978,1.443039059638977,0.2092431833346685,0.001920354065077845,0.013964843878056854,0.4994426816701889,0.044618378238131605,0.06657251917446654,0.7822279563860023
18,24,24,2.0954757928848267e-09,-0.0018062439436713855,14.444934407869974,0.4700568343202273,0.09442187069604795,0.02015606896020472,1.46342500547568,0.17240211429695287,0.006336776175885461,0.08433299697935581,0.5027767941355705,0.04995292921861013,0.09210719726979733,0.7585775750291838
20,24,24,2.0954757928848267e-09,-0.004526095309605201,15.085015187660852,0.4842214571932952,0.07950467166180412,0.02017319396448632,1.4612025270859401,0.2087983942280213,0.0033233580664576343,0.02972005222303172,0.5065433209141096,0.055939833323160805,0.11054743826389313,0.7356422544596414
22,24,24,1.6298145055770874e-09,-0.0029983571730554104,10.773277739683786,0.5726557597517967,0.11545962654054165,0.022100834408774972,1.4825593878825505,0.2150304733465115,0.003942883156317596,0.04183360065023104,0.5111329779028893,0.06318088931341966,0.13542868910978237,0.713400375071256
24,24,24,1.6298145055770874e-09,-0.0004370409684876601,12.802167554696402,0.5387545451521873,0.12818588533749184,0.02126137826902171,1.503066619237264,0.2560886448870103,0.004937466423143633,0.05709953613889714,0.515717625617981,0.07035704888403416,0.10598210959384839,0.6918309709189363
26,24,24,6.984919309616089e-09,-0.0032985940342769027,28.654500246047974,0.48015210777521133,0.09178012112776439,0.02002862033744653,1.467332695921262,0.2892573556552331,0.002410809727734886,0.016666666643383603,0.5197163845101992,0.0765704835454623,0.08662690625836451,0.670913709955411
28,24,24,6.05359673500061e-09,-0.0060548260031888885,11.212745567162832,0.5129167139530182,0.11470390701045592,0.020692595823978383,1.5079264442125957,0.23820568807423115,0.007131329087618117,0.09050938409442703,0.5232978040973345,0.0820985942458113,0.12812151232113442,0.6506288748655572
30,24,24,7.2177499532699585e-09,-0.0038149592195016644,9.141953329245249,0.4926587678492069,0.13312108318010965,0.02062098798342049,1.5000827411810558,0.22731285666426024,0.004156729075475596,0.04599609400611371,0.5277440051237742,0.08891592174768448,0.13148107969512543,0.6309573444801937
32,24,24,3.259629011154175e-09,-0.0027523424553995333,9.36324750383695,0.45125238597393036,0.17209183176358542,0.019936787042145927,1.4955877115329106,0.30241993876794976,0.00490962033412264,0.05693359397506962,0.5328113734722137,0.09662646769235532,0.10595577023923397,0.6118805757518223
34,24,24,5.820766091346741e-09,-0.0008146666611234347,30.26639453570048,0.47547972078124684,0.16891931121548018,0.020338050555437803,1.4855389644702275,0.28291822597384453,0.00363489422549416,0.03747245599515736,0.5376268575588862,0.1038984681169192,0.1107338946312666,0.5933805862753282
36,24,24,1.6298145055770874e-09,0.0016699548965940874,11.022215445836386,0.5514101733764013,0.18560898738602796,0.02225424605421722,1.4449205348889034,0.23270673428972563,0.004668314984883182,0.05400267778895795,0.541552871465683,0.10978548880666494,0.10820891459782918,0.5754399373371567
38,24,24,3.958120942115784e-09,0.003956651994182418,11.086105326811472,0.557529071966807,0.18078765521446863,0.022314218028138082,1.4506452878316243,0.2578200406084458,0.003583167228498496,0.037916100661580764,0.5464186295866966,0.11703334096819162,0.11960507836192846,0.5580417174769964
40,24,24,2.7939677238464355e-09,-0.003468420395317177,15.229936997095743,0.539409959067901,0.16515283659100533,0.02162398397922516,1.374597931901614,0.19786735468854508,0.004115499037046296,0.04305964207742363,0.5511625011761984,0.1240500845015049,0.12531603251894316,0.5411695265464634
42,24,24,5.122274160385132e-09,0.00012324604904279113,9.84083648522695,0.47518569106856984,0.1571860145777464,0.02031252176190416,1.4005077133576076,0.20457958181699118,0.0020224940089974552,0.015039062515522042,0.5554837286472321,0.13039974682033062,0.12138067837804556,0.5248074602497722
44,24,24,6.28642737865448e-09,-0.001287583145312965,13.086518247922262,0.4689531661570072,0.184281620507439,0.02045695933823784,1.3919545710086823,0.23303583823144436,0.0029551064459762224,0.03009799448773265,0.5600188846389452,0.13702168439825377,0.11425009866555531,0.508940095151809
46,24,24,1.3969838619232178e-09,-0.0055460828977326555,8.134195665518442,0.5087072985867659,0.19213482240835825,0.020923286288355786,1.3816239883502324,0.2628254157801469,0.0058375759205470485,0.07363281290357311,0.5647346427043279,0.14386269015570483,0.12123593563834827,0.4935524741394807
48,24,24,5.587935447692871e-09,-0.004304878762923181,8.594701091448465,0.5309369837244352,0.17218441950778166,0.0214260205005606,1.3762252380450566,0.22228850548466048,0.00584434963335904,0.06699218756208818,0.5698287313183149,0.15120421225825945,0.15346082051595053,0.4786300923226386
50,24,24,7.450580596923828e-09,-0.0035948005582516394,8.90416040023168,0.4870894414683183,0.15689686934153238,0.020467997606222827,1.3938578019539516,0.2093097815910975,0.006847139423674283,0.08899739570915699,0.5747941906253496,0.15831275408466658,0.1529483792061607,0.46415888336127803
52,24,24,8.149072527885437e-09,-0.007292440568562597,10.663871397574743,0.461081409205993,0.16717864324649176,0.019835984567180276,1.4451183180014293,0.23859528576334318,0.0076896203875852125,0.07573056504285584,0.579086571931839,0.16442188061773777,0.19494802442689738,0.45012520620613355
54,24,24,6.170012056827545e-09,0.0031593769478301206,8.435407161712646,0.5203320321937402,0.18868009001016617,0.02127353521063924,1.4318452179431915,0.24382386232415834,0.006599405251715022,0.07937718578614295,0.5832726980249087,0.170346704001228,0.20979167396823564,0.43651583224016605
56,24,24,9.546056389808655e-09,-0.0034758991096168756,13.47981192668279,0.5134768187999725,0.2260948158800602,0.02122043042133252,1.4794948647419612,0.2404983708014091,0.005115967132345152,0.055447048779266574,0.5878312786420187,0.1767649818211794,0.26080777992804843,0.4233179328088211
58,24,24,6.51925802230835e-09,0.002170765733656784,6.038294980923335,0.5283790739874045,0.18909068405628204,0.02108108679143091,1.4460908422867458,0.23473905275265375,0.002539816739348074,0.018076670511315267,0.5918535217642784,0.18239798210561275,0.26868218804399174,0.4105190671273078
60,24,24,5.122274160385132e-09,-0.00601602962706238,6.941731731096904,0.5509917462865511,0.20417656066517034,0.02193567428427438,1.4658261090517044,0.21400556713342667,0.0035990041554517425,0.035156250097012766,0.596093200147152,0.18830699659883976,0.3073587715625763,0.39810717055349726
62,24,24,9.19681042432785e-09,-0.0032465700254154703,12.675259133179983,0.5378423606355985,0.20304729416966438,0.021863166786109407,1.4593318502108257,0.2590890036274989,0.0032683889051744095,0.031545380130410194,0.6002137660980225,0.19402179370323816,0.2898654912908872,0.3860705432153814
64,24,24,5.9371814131736755e-09,-0.00422114502483358,8.015734801689783,0.5293979334334532,0.19349473093946776,0.02123877181050678,1.4104939500490825,0.293567235271136,0.002903552672554118,0.0208333334303461,0.6042308459679285,0.199567594875892,0.28824470564723015,0.37439783898238116
66,24,24,6.51925802230835e-09,0.0007600489382942518,11.440996090571085,0.487423616151015,0.1554485366990169,0.020382992302378018,1.4616897503534954,0.27418982423841953,0.004803268694862102,0.0523437502173086,0.6084492827455202,0.20536445081233978,0.29939141869544983,0.3630780547701012
68,24,24,7.566995918750763e-09,-0.00031626383618762094,9.677989621957144,0.5134750952323278,0.1416263704498609,0.02069120768768092,1.4856259524822235,0.3006222502638896,0.0025968313105598404,0.023665364695868146,0.6122527346014977,0.21056864286462465,0.29719139883915585,0.35210052016845217
70,24,24,9.42964106798172e-09,-0.0012881300972367171,8.576397647460302,0.5218138322234154,0.13788414125641188,0.020984133550276358,1.4403857340415318,0.2193996695180734,0.006316619347974968,0.07671618795332809,0.6162630294760069,0.2160331948349873,0.3550961874425411,0.3414548873833602
72,24,24,7.916241884231567e-09,-0.007402904098853469,8.539409379164377,0.4798683722813924,0.14523157166937986,0.020404561422765255,1.4245220025380452,0.21531411136190096,0.004032054668641649,0.04003906265522043,0.6196090802550316,0.22057505200306574,0.34209391971429187,0.3311311214825911
74,24,24,7.2177499532699585e-09,0.0014782799019788702,13.773351530234018,0.4932366261879603,0.14037373724083105,0.020621213208263118,1.4703810513019562,0.23614958922068277,0.006450469857857873,0.0784505211437742,0.6231331303715706,0.22534156466523805,0.35350391392906505,0.3211194909364821
76,24,24,2.0954757928848267e-09,-0.002335285001511996,10.261264224847158,0.49024543662865955,0.15271157088379064,0.020987928767378133,1.4520473927259445,0.18935084653397402,0.006177064899626809,0.06591796906044085,0.6262986287474632,0.22960884124040604,0.36536578337351483,0.31141055844467586
78,24,24,4.0745362639427185e-09,0.0007428455476959547,10.669550836086273,0.5069399935503801,0.15100312232971191,0.020674897901092965,1.4392464061578114,0.17062660492956638,0.007451099620084278,0.09459635491172473,0.6291012590130171,0.23337570826212564,0.36143387481570244,0.3019951720402015
80,24,24,7.683411240577698e-09,-0.0025157638204594455,24.252387404441833,0.45947472006082535,0.13595825713127851,0.019763057430585224,1.420137385527293,0.1972504686564207,0.006483016923690836,0.08007812562088172,0.6316091020901998,0.236737705146273,0.38007348279158276,0.2928644564625236
82,24,24,9.546056389808655e-09,-0.006392138699690501,11.725393811861673,0.4505506530404091,0.18033685286839804,0.019841197412461042,1.4225486367940903,0.19199459441006184,0.005564643787996222,0.06303760285178821,0.6342202723026276,0.2402292788028717,0.36697864904999733,0.28400980479142146
84,24,24,6.984919309616089e-09,-0.0025958972643517577,15.832801938056946,0.43545794611175853,0.17034064730008444,0.019756936157743137,1.4161482354005177,0.19244890163342157,0.0054531394052901305,0.06721601596412559,0.6377400333682696,0.24492239331205687,0.36058411250511807,0.27542287033381646
86,24,24,8.265487849712372e-09,-0.003876443486660719,14.400005320707956,0.42594068373243016,0.19419949191311994,0.020054948593800265,1.4632255633672078,0.19711474142968655,0.007412242324789986,0.09688226017169654,0.6410493006308874,0.2493210807442665,0.37204547226428986,0.2670955587558985
88,24,24,6.05359673500061e-09,0.0010819229452560346,29.529135326544445,0.46076500539978343,0.2191456574946642,0.0213570239332815,1.426363229751587,0.21303997685511908,0.008400299921049736,0.09915364657839139,0.6437282860279083,0.2528724546233813,0.34379927317301434,0.2590200204531323
90,24,24,7.101334631443024e-09,0.0026560568173105517,11.245881915092468,0.4179457599918048,0.21371877938508987,0.020520825094232958,1.4387451261281967,0.18771903837720552,0.0031661456523579545,0.027074696961790323,0.6464670822024345,0.2564936528603236,0.3467796742916107,0.2511886431509582
92,24,24,6.402842700481415e-09,-0.0056886355159804225,8.774569829305014,0.4319531073172887,0.2207449929167827,0.020246782728160422,1.412682091196378,0.20848851837217808,0.005776291688865361,0.07083333392317097,0.6502519970138868,0.2614840281506379,0.32990867147843045,0.24359404472920265
94,24,24,7.799826562404633e-09,0.0023547890790117285,19.10624384880066,0.4084851145744324,0.208640793338418,0.019596071137736242,1.3731286525726318,0.2326823224623998,0.003149289777259886,0.031087239583333332,0.6536156460642815,0.2659055193265279,0.328911932806174,0.2362290662634461
96,24,24,7.799826562404633e-09,-0.003732440799164275,12.628766794999441,0.4244652104874452,0.21349881465236345,0.019992541288957,1.3991007854541142,0.2185211175431808,0.007437609747285023,0.06685299907500546,0.656049427886804,0.26909659306208294,0.34569622576236725,0.22908676527677732
98,24,24,7.683411240577698e-09,-0.0017434980254620314,11.594001253445944,0.4374393920103709,0.19177566592892012,0.020287427119910717,1.3954104731480281,0.17261400818824768,0.0049532040623792755,0.04835379469053199,0.6589179833730062,0.2728496628503005,0.35325468331575394,0.22216040919558114
100,24,24,6.51925802230835e-09,0.0008139683438154558,8.425013562043508,0.79824606453379,0.12228835203374426,0.026746363767112296,1.2391414145628612,0.028454484883392677,0.0037619174108840525,0.040551456389948726,0.6624227513869604,0.27742278948426247,0.3616116965810458,0.21544346900318845
102,24,24,7.916241884231567e-09,-0.0033218308041493096,10.92140773932139,0.8222705125808716,0.06476127573599418,0.026823585154488683,0.9310432175795237,0.00013638716275939564,0.00468429572841463,0.057335623811619975,0.665776384373506,0.28178659205635387,0.34951362883051235,0.20892961308540403
104,24,24,9.080395102500916e-09,-0.003472362683775524,20.57978693644206,0.7645975798368454,0.0715703487706681,0.025535074217865866,0.7509120653072993,0.0017570505169715034,0.006204118171202329,0.07001953152939677,0.6686854039629301,0.28556259721517563,0.3376350874702136,0.20261270126211436
106,24,24,8.149072527885437e-09,-0.008306794877474507,8.692680537700653,0.7798916548490524,0.0658265370875597,0.02575679635629058,0.6128486171364784,0.0,0.0064000481070252135,0.07548828128104408,0.6712350398302078,0.2888653911650181,0.3629366184274356,0.19648677899934686
108,24,24,6.984919309616089e-09,-0.007318295965281625,9.396769891182581,0.7593738908569018,0.05743818590417504,0.025333889372025926,0.4879403884212176,6.450151886383537e-06,0.005371015809942037,0.06409505215318252,0.6737822021047274,0.29215871045986813,0.35489804794390994,0.19054607179632474
110,24,24,6.05359673500061e-09,6.830793184538682e-05,11.036835551261902,0.7800187195340792,0.05669314429784814,0.025745432047794264,0.4120722884933154,0.0,0.004109457338927314,0.04378255223855376,0.6768280789256096,0.29608825221657753,0.3802018091082573,0.18478497974222916
112,24,24,7.2177499532699585e-09,-0.0013356833563496668,12.191675543785095,0.7701650386055311,0.0581748605084916,0.02560248862331112,0.34763700639208156,2.6152614736929536e-05,0.005764405005417454,0.07744140643626451,0.6798395663499832,0.29996484393874806,0.39060796797275543,0.17919807223753334
114,24,24,6.51925802230835e-09,-0.009989690889293948,16.22134526570638,0.776772640645504,0.053449215522656836,0.02571139515688022,0.3039184908072154,0.00015563717821957349,0.005449923138561037,0.06112938576067487,0.6824303641915321,0.3032930518190066,0.36478174726168316,0.1737800828749375
116,24,24,5.820766091346741e-09,-0.0013555229331056278,8.468294858932495,0.8296513681610426,0.06440245235959689,0.02676073679079612,0.26330743667980033,0.0004695112758478596,0.005331699683059317,0.052176485187374055,0.6850088735421499,0.30659972752134007,0.36854980637629825,0.16852590447507512
118,24,24,6.752088665962219e-09,0.00020003353711217642,12.931128223737081,0.789002999663353,0.06348752602934837,0.026001487703373034,0.223859004676342,3.3220093191251486e-05,0.005934901302680373,0.06025763849417368,0.6874301955103874,0.30969935407241184,0.36726664503415424,0.16343058427231372
120,24,24,6.05359673500061e-09,-0.003428146825172007,15.389043867588043,0.7576305667559305,0.062182430643588305,0.025487209282194574,0.20864597770075002,8.675240678712726e-06,0.006882095277736274,0.0902669276498879,0.6896348868807157,0.3125170518954595,0.3467603276173274,0.1584893192461113
122,24,24,4.6566128730773926e-09,-0.0023708861360015967,18.426551461219788,0.77610415716966,0.060179832857102156,0.02556358704653879,0.20552179341514906,0.0,0.008326189417857677,0.10120862691352765,0.691371351480484,0.31473349779844284,0.2940697247783343,0.15369745159352718
124,24,24,5.3551048040390015e-09,-0.006481783212317775,8.525860706965128,0.8219657068451246,0.06735325573633115,0.02658939315006137,0.19265072420239449,7.570573264577737e-07,0.010609069698451398,0.14813400711864233,0.6927806412180265,0.31653041765093803,0.32275276631116867,0.14905046433861957
126,24,24,7.683411240577698e-09,-0.005897691667390366,14.111198524634043,0.7968968227505684,0.0745098100354274,0.026298221666365862,0.19245415180921555,0.00010067676930702874,0.007250334713414001,0.08231577921348314,0.694416751464208,0.3186144158244133,0.30136819928884506,0.14454397707459285
128,24,24,6.28642737865448e-09,-0.0046641459145272774,10.379934390385946,0.8124473492304484,0.07641359729071458,0.0267436607585599,0.23493767840166888,0.0001655244006239324,0.01510253018932417,0.16672411165200174,0.6963461538155874,0.32106900836030644,0.29431714738408726,0.140173741834677
130,24,24,6.984919309616089e-09,3.76656341056029e-05,12.55164631207784,0.8009102990229925,0.05623412116741141,0.026374076725915074,0.17795221072932085,9.868199867923977e-05,0.011247539344670562,0.14147135460128388,0.6984401146570841,0.3237294852733612,0.29909726108113927,0.13593563908785264
132,24,24,5.3551048040390015e-09,-0.006613833480514586,10.94557531674703,0.761706051727136,0.05817984106640021,0.02562302250104646,0.155914389838775,4.429949512996245e-06,0.004347220674389973,0.05159505227735887,0.7004939715067545,0.3263355605304241,0.32123634964227676,0.1318256738556407
134,24,24,1.0011717677116394e-08,0.0003921406265969078,11.93495261669159,0.7673737530906996,0.07330077467486262,0.025511557003483176,0.14658102237929901,5.576511360535126e-06,0.003444387315539643,0.03216716068952034,0.7024954383571943,0.3288719815512498,0.32129761825005215,0.12783997194630237
136,24,24,1.1408701539039612e-08,-0.006343596537287037,19.43884601195653,0.7985789030790329,0.06159793228531877,0.026342554871613782,0.11398460840185483,7.102781031183743e-06,0.005204102475545369,0.05569661486273011,0.7041529218355814,0.33097006008028984,0.33639203011989594,0.12397477630289444
138,24,24,4.190951585769653e-09,-0.007019225740805268,11.146888454755148,0.7983600621422132,0.05707149983694156,0.026440805289894342,0.1286682157466809,3.1340796340373345e-06,0.00867790577467531,0.10029296933983763,0.7060342878103256,0.33334891870617867,0.3138979723056157,0.12022644346174129
140,24,24,9.313225746154785e-09,-0.007695397284502785,10.683277755975723,0.8080790614088377,0.057261868845671415,0.026491535517076652,0.10458363809933265,0.0,0.00930153335017773,0.10400390656044085,0.7082183534900347,0.33610715841253597,0.32130762562155724,0.1165914401179831
142,24,24,8.847564458847046e-09,-0.010809859852694595,10.125373442967733,0.8268212104837099,0.06144392350688577,0.026856160334621865,0.11827152750144403,8.845087222653092e-06,0.007890559286655238,0.09859664489825566,0.7102734098831812,0.3386990427970886,0.3441123316685359,0.11306633979496393
144,24,24,7.683411240577698e-09,-0.008679061817626158,12.336701035499573,0.8061090062061945,0.0575813475685815,0.02686052063169579,0.13804543918619552,3.337491701434677e-05,0.006599521225628753,0.08124331730262686,0.7122291748722395,0.34116294234991074,0.33582784980535507,0.10964781961431848
146,24,24,8.847564458847046e-09,-0.009622672689147294,20.00682286421458,0.7820746302604675,0.08957727501789729,0.026820852188393474,0.17637895296017328,0.00017372634041142496,0.010351932229241356,0.11326575015361111,0.7144806310534477,0.3439958890279134,0.29826603705684346,0.10633265716371611
148,24,24,1.1408701539039612e-08,-0.00885815421740214,11.589463392893473,0.7802718008557955,0.05775550023342172,0.026418609156583745,0.14873963377128044,4.247250444677775e-06,0.012393707016599365,0.12472951288024585,0.7160330091913542,0.34594713275631267,0.3309215394159158,0.10311772745930552
150,24,24,6.984919309616089e-09,-0.007305155139571677,16.398939967155457,0.7948798090219498,0.05676363004992405,0.027133093448355794,0.12683147781838974,0.0002990274723136584,0.012373955959143737,0.13704427052289248,0.7172163551052412,0.34743334477146465,0.2709465728451808,0.10000000000000003
152,24,24,1.0244548320770264e-08,-0.005494434231271346,10.926483472188314,0.7816341469685236,0.05834636092185974,0.026900643094753224,0.11847609716157119,2.6941120874350116e-05,0.020165782368470293,0.12656250083819032,0.7186128993829092,0.34918588151534397,0.28571346898873645,0.09697653591082493
154,24,24,5.587935447692871e-09,-0.005743672566798826,16.359981536865234,0.7731902524828911,0.055457376719762884,0.026183207985013723,0.14075815149893364,1.580468529027712e-05,0.010579587949905545,0.11025390634313226,0.7203361888726553,0.3513467187682788,0.27158761272827786,0.09404448517263518
156,24,24,5.3551048040390015e-09,-0.0034851029437656202,11.556060075759888,0.7871228034297625,0.061909792789568506,0.02655740703145663,0.15656952280551195,0.00018493076875832534,0.009013922647379028,0.1003255209652707,0.7220619693398476,0.3535090709726016,0.27299439782897633,0.09120108393559097
158,24,24,5.3551048040390015e-09,-0.012014541677975407,11.143694659074148,0.7582718854149183,0.0562871095413963,0.027557935565710068,0.14473133192708096,0.00014585879747149497,0.00781747813258941,0.09231770876795053,0.7236584077278773,0.3555077152947585,0.23671474928657213,0.08844365191386
160,24,24,6.28642737865448e-09,-0.009674796718172729,14.123036205768585,0.7575321346521378,0.06076961010694504,0.02931162730480234,0.12811295998593172,6.386544858590544e-06,0.009033583279233426,0.10276692748690645,0.725309689839681,0.3575728622575601,0.2452777400612831,0.08576958985908939
162,24,24,6.752088665962219e-09,-0.011694928786406914,15.754904548327128,0.7811047558983167,0.06047767183432976,0.02857804368250072,0.11490174755454063,6.11219547863584e-07,0.01631748182505059,0.15348307291666666,0.7265950292348862,0.3591789739827315,0.2645409610122442,0.08317637711026711
164,24,24,5.122274160385132e-09,-0.009281396371079609,14.13715265194575,0.7616799250245094,0.05481517221778631,0.02838346982995669,0.17010908325513205,0.00012558704960004738,0.009601000201655552,0.09511718790357311,0.7278509189685186,0.3607473100225131,0.291146586338679,0.08066156921766134
166,24,24,7.450580596923828e-09,-0.008368296238283316,19.47243591149648,0.7520958632230759,0.057620033621788025,0.027397491115455825,0.17298023092250028,1.3263873673471002e-05,0.013728317164350301,0.1328776047254602,0.7291118800640106,0.36232131098707515,0.26999423404534656,0.0782227956386003
168,24,24,9.778887033462524e-09,7.18490919098258e-05,17.8817963997523,0.8027551968892416,0.05719815163562695,0.027334432505692046,0.12151326611638069,2.780171750297692e-06,0.015838213769408565,0.16695963560293117,0.7306113094091415,0.36419161036610603,0.3201886974275112,0.0758577575029184
170,24,24,1.0943040251731873e-08,-0.001244316731269161,40.20376725991567,0.757765014966329,0.06661019831274946,0.026570110581815243,0.1160049078365167,2.597380398583482e-05,0.013825238905459022,0.14919500115017095,0.7315432950854301,0.36535320430994034,0.29667386164267856,0.0735642254459641
172,24,24,4.6566128730773926e-09,-0.011916816389809052,10.356106837590536,0.8275511761506399,0.0674125977481405,0.027771948371082544,0.11172882219155629,6.792444158539486e-06,0.010828153283606904,0.11965326530237992,0.7324372703830401,0.36646709963679314,0.3080488344033559,0.0713400375071256
