step,x_before,y_before,target_x,target_y,x_after,y_after,battery_before,battery_after,battery_delta,reward,directional_reward,battery_reward,movement_penalty,action_dx_norm,action_dy_norm
43,243.09187171793414,392.2858650724135,254.73905799723101,388.6962163488112,255.02484948437854,388.49825825643535,29.578387771477516,29.45402284568157,-0.12436492579594471,-0.10568926993581523,0.1814635523668489,-0.24872985159188943,0.03842297071077472,0.5823593139648438,-0.17948243021965027
44,255.02484948437854,388.49825825643535,240.06405980389758,373.48763241720195,240.2520651853021,373.5644785530904,29.45402284568157,29.20051521862399,-0.25350762705758,-0.4735135488699621,0.07272518479238642,-0.50701525411516,0.03922347954718854,-0.7480394840240479,-0.7505313158035278
45,240.2520651853021,373.5644785530904,226.82210398077328,357.0041338570455,226.3506921015985,356.5538131763856,29.20051521862399,28.98663277694313,-0.21388244168086246,-0.3912337818179946,0.07930246549486225,-0.4277648833617249,0.04277136395113197,-0.6714980602264404,-0.8280172348022461
46,226.3506921015985,356.5538131763856,224.90282721149993,366.2410518696229,226.2519851888061,367.6056183744467,28.98663277694313,28.785369696984247,-0.20126307995888126,-0.3131746588588343,0.11452353276916474,-0.4025261599177625,0.025172031710236444,-0.07239324599504471,0.4843619167804718
47,226.2519851888061,367.6056183744467,211.0656830037475,364.6429180074728,210.0039782405129,362.7925345453325,28.785369696984247,28.68523434337601,-0.10013535360823766,-0.0739710021203017,0.17903077605901907,-0.20027070721647533,0.052731070962845426,-0.7593151330947876,-0.1481350213289261
48,210.0039782405129,362.7925345453325,194.6032967448464,348.24429006901414,195.01814057519627,348.39034752440784,28.68523434337601,28.64565640333015,-0.03957794004585935,0.03706499432797379,0.18213197222367195,-0.0791558800917187,0.06591109780397945,-0.7700340747833252,-0.727412223815918
49,195.01814057519627,348.39034752440784,180.30898835351658,346.54118864131306,180.94601384074213,345.93733936316045,28.64565640333015,28.57543909212265,-0.07021731120750019,-0.007421825138169337,0.1765762085719827,-0.14043462241500038,0.043563411295151656,-0.7354575991630554,-0.09245794266462326
50,180.94601384074213,345.93733936316045,179.69851735503198,345.2330541587499,180.50111994325917,344.18054193143445,28.57543909212265,28.449229171499578,-0.12620992062307224,0.046867891390484265,0.30486092408433996,-0.25241984124614447,0.005573191447711219,-0.06237482652068138,-0.03521426022052765
51,180.50111994325917,344.18054193143445,175.36416754305165,344.83656602983075,175.79811919196993,346.74919052579827,28.449229171499578,28.351955469158842,-0.09727370234073618,0.05052419339759477,0.26331339211083993,-0.19454740468147236,0.018241794031772802,-0.256847620010376,0.032801203429698944
52,175.79811919196993,346.74919052579827,160.337064390029,331.8508522079272,160.67809961252033,332.1983683629797,28.351955469158842,28.158342462958974,-0.1936130061998682,-0.319103520794154,0.11884549880152698,-0.3872260123997364,0.05072300719594451,-0.7730527520179749,-0.7449169158935547
53,160.67809961252033,332.1983683629797,148.940513591097,335.1241598649786,156.86884857240125,336.6035635601656,28.158342462958974,28.04721378116522,-0.11112868179375468,0.005078603928285182,0.24662690954662325,-0.22225736358750936,0.01929094203082871,-0.586879312992096,0.14628957211971283
54,156.86884857240125,336.6035635601656,143.45194316926404,340.56724168173236,158.924369287339,342.48588100837605,28.04721378116522,27.975942968337282,-0.07127081282793668,0.07388438387224235,0.2367908556651128,-0.14254162565587336,0.020364846136997083,-0.6708452701568604,0.19818390905857086
55,158.924369287339,342.48588100837605,147.92331452354506,329.1117917673482,157.83936843018964,331.0924443157287,27.975942968337282,27.758244680837468,-0.21769828749981457,-0.31894588165727356,0.1467566431669933,-0.43539657499962914,0.03030594982463777,-0.5500527620315552,-0.6687044501304626
56,157.83936843018964,331.0924443157287,147.40393885713056,340.48007954674677,158.4895687220206,344.2517191537719,27.758244680837468,27.59878381090995,-0.15946086992751773,-0.17490626454998556,0.18522741528029957,-0.31892173985503547,0.041211939975249655,-0.5217714905738831,0.46938174962997437
57,158.4895687220206,344.2517191537719,143.40396500803135,335.59548536623527,158.2131420173301,339.3807558573448,27.59878381090995,27.533983906822098,-0.06479990408785241,0.12810574381521797,0.27444785255036336,-0.12959980817570482,0.01674230055944057,-0.7542802095413208,-0.4328116774559021
