episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,grad_norm_control,grad_norm_aux,lr_scale,certifiable_frac,cert_violation,cert_mean_dV,cert_mean_V,cert_worst_slack,cert_in_ball_rate,cert_certifiable_frac,cert_alpha_q05,cert_alpha_q25,cert_alpha_q50,cert_alpha_used,cert_alpha_next,cert_alpha_nonpos_frac,cert_nstep,cert_n_samples,v_critic_violation,v_critic_mean,v_critic_min,v_agreement,v_critic_alpha_q05,v_critic_alpha_q25,v_critic_alpha_q50,v_critic_alpha_nonpos_frac,v_critic_violation_direct,v_critic_nonpos_direct,v_bellman_delta_mean,v_bellman_delta_std,v_bellman_delta_q95,softplus_beta,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha
2,24,24,0.0,0.0020458551443880424,0.01693319531235223,,,,,,,,,15.72587275505066,0.0,0.1899917960600304,,0.5258618332445621,-0.20958173585434756,0.39076657096544903,0.6974188908934593,0.17060546825329462,0.9621093745032946,-0.014371886868805936,0.002385078618923823,0.008934689064820608,0.010000000000000009,0.009500000000000008,0.19363222643733025,150.0,145.83333333333334,0.9777626047531763,1.0825692191720009,0.8488943800330162,0.7107029979427656,-0.006861038079174857,-0.0032405968947083843,0.0003923251895230351,0.4778161148230235,0.9707794015606245,0.44962716350952786,-0.0004396266904980924,0.007566736933464806,0.014447361890537044,0.10000000149011612,,,,0.002880617137028215,0.023470052149302017,0.10543230921030045,0.0001793447827367345,0.0061645285071184235,0.9261187281287931
6,28,28,0.0,-0.003274127741211227,0.01435071020802882,,,,,,,,,9.090864385877337,0.0,0.2942532673252262,,0.5715666796479907,-0.10685348084994725,0.2693531545145171,0.5077488528830665,0.08977242027010236,0.9502414699111666,-0.01726054503316326,-0.0005336025995867592,0.006786171879087176,0.009500000000000008,0.009025000000000007,0.253156130867345,150.0,137.85714285714286,0.9836746496813638,1.120931135756629,0.7692478916474751,0.7395792614136424,-0.005812761739694646,-0.0019784699501802345,0.0005466949820142222,0.44491256347724367,0.9475104744945254,0.4881578396473612,-0.0009898176918535942,0.008036403534268695,0.016186472327847565,0.10000000149011612,,,,0.0052952573044292095,0.06572129307979983,0.10553425816552979,0.0007315948345681786,0.010696890630892344,0.8472906372980562
8,16,16,0.0,-0.0056548165157437325,0.014820681913988665,,,,,,,,,11.7730053961277,0.0,0.3464502047518208,,0.30582720413804054,-0.28294500708580017,0.44415692798793316,0.6695599909871817,0.19660500437021255,0.9471363760530949,-0.005971342834527604,0.007352776825428009,0.018167294561862946,0.009025000000000007,0.008789026652380719,0.11240626918151975,150.0,98.0,0.9722702465951443,1.1976623758673668,0.7036616429686546,0.681133359670639,-0.005543662322452292,-0.003292615627287887,-0.0003350077986397082,0.5135371815413237,0.9157440811395645,0.4856786672025919,-0.001173693983787416,0.009143901726929471,0.018935911124572158,0.10000000149011612,,,,0.001208717036206508,0.004825367650482804,0.10564519464969635,0.001331969011516776,0.006805833138059825,0.810364776380542
10,24,24,0.0,-0.0014466954938446481,0.016488571321436513,,,,,,,,,9.001898378133774,0.0,0.43629896046271877,,0.7183167313536009,-0.18506741461654505,0.4549821813901265,0.6331644405921301,0.07705078025658925,0.9623046889901161,-0.0016090529413001302,0.0014846442888180416,0.005363074441750844,0.008789026652380717,0.008349575319761682,0.2061296192308267,150.0,173.83333333333334,0.8234133919080099,1.0360057180126507,0.6686917766928673,0.3340797387063503,-0.005963110694816957,-0.002012566992561915,0.0034159772524920604,0.34800123299161595,0.9036945501963297,0.5020479075610638,-0.00316174596567483,0.008864142117090523,0.02020733562919001,0.10000000149011612,,,,0.0029776314404443838,0.027734375093132257,0.10576182045042515,0.0019624193276589117,0.008702810640291622,0.7504939960219218
15,28,28,0.0,-0.003011688922664949,0.011158002997815077,,,,,,,,,7.2193039911133905,0.0,0.5449854204513881,,0.3460808140890939,-0.20017359565411294,0.3405095913580486,0.5906984720911298,0.1685053195272173,0.9448188585894448,-0.009574629083674933,0.0032583044043609072,0.014979539172989982,0.008349575319761686,0.007932096553773598,0.15326392570776598,150.0,134.28571428571428,0.9428423153502601,1.1348223728793008,0.6151140864406314,0.7124685772827694,-0.006160618571032371,-0.0030242049584298263,0.0009830615246236058,0.42981540731021334,0.8586995835815158,0.4651940337249211,-0.0009074603703993489,0.009929757665044494,0.02083635762599962,0.10000000149011612,,,,0.0030342885053999324,0.027064732408949306,0.10596109687217645,0.0030380108094375047,0.01088059094867536,0.6838751953648377
16,12,12,0.0,-0.00202327404016008,0.00953132020852839,,,,,,,,,6.770232359568278,0.0,0.5898053498352213,,0.32710718115170795,-0.2417562206586202,0.40995444854100543,0.4565727611382802,0.34442607561747235,0.9622896760702133,-0.00037169455193482764,0.004830971360206604,0.015945114195346832,0.007932096553773598,0.0069167843494691685,0.07686296384781599,150.0,134.33333333333334,0.8911616454521815,0.9797701487938563,0.5704402228196462,0.4047362009684245,-0.006522225798107684,-0.0024298396383528598,0.0030467014197104922,0.3619910602768262,0.8523474981387457,0.3881062790751457,-0.0006419500811413551,0.007142557684953014,0.013662887116273245,0.10000000149011612,,,,0.0014777716181318585,0.010141226152578989,0.10613552418847878,0.003977976933432122,0.012369373813271523,0.6581277226374667
18,24,24,0.0,-0.00016823816258693114,0.011410937188581253,,,,,,,,,7.5786624153455096,0.0,0.6793407365049972,,0.5871204634507498,-0.1625927065809568,0.4134918538232644,0.6428322816888491,0.13671874751647314,0.9622070342302322,-0.002610271651064977,0.00101135050257047,0.005545833458503087,0.006916784349469168,0.006570945131995709,0.21092221202949682,150.0,163.0,0.7716960633794466,0.9923135191202164,0.6777255361278852,0.39070886218299467,-0.006860689725726843,-0.001257536106398523,0.003112540114670992,0.2960893604904413,0.8880100746949514,0.4600262741247813,-0.0019950650554771223,0.00747302071734642,0.015137065473633507,0.10000000149011612,,,,0.002516445989992159,0.02451171890910094,0.10630517980704705,0.00489064323483035,0.015594219672493637,0.6095044094353099
20,24,24,0.0,-0.004203343240078539,0.011154679639730603,,,,,,,,,8.42922928929329,0.0,0.7687175550902904,,0.3348599423964818,-0.2744386966029803,0.45797061175107956,0.7520889565348625,0.21295572817325592,0.9623046889901161,-0.0113452274138884,0.0022609662264585495,0.013232475767532984,0.006570945131995712,0.0062423978753959235,0.1966040146847566,150.0,138.0,0.7764535695314407,1.006001241505146,0.5938745737075806,0.5638746209442616,-0.007499479397665709,-0.0025890954663433754,0.0006059921837504589,0.4680678608516852,0.8221163153648376,0.4736667387187481,-0.001458352877307334,0.00958578682426984,0.018665404602264363,0.10000000149011612,,,,0.008439446663639197,0.11087239626795053,0.10653576906770468,0.006128847831860185,0.0171469987447684,0.5644734484551209
24,28,28,0.0,-0.003779661567282996,0.020273946508366083,,,,,,,,,7.760552772453853,0.0,0.8748621251570154,,0.23106119515640394,-0.26995920815638136,0.3842584863305092,0.39612260460853577,0.3222875680242266,0.9515512159892491,0.0008806756836747809,0.0076815081494195124,0.02687159606388637,0.006242397875395925,0.005556907510382514,0.03384058061055839,150.0,89.28571428571429,0.8674368198428836,1.0384306907653809,0.5164172287498202,0.6746009737253189,-0.006372881970102233,-0.0033757133579846205,0.002107765941348459,0.37928987720182966,0.8006568721362523,0.4292459264397621,-0.0006010660421712341,0.013070827616112573,0.023888104196105684,0.10000000149011612,,,,0.005241714122738423,0.05511856684461236,0.10681485970105443,0.007623802820619728,0.014624643006495066,0.5151901992357435
26,24,24,0.0,-0.004554328489272545,0.006333592760104996,,,,,,,,,8.102130691210428,0.0,0.9638111371200987,,0.4215289192895095,-0.24046447376410165,0.43187418580055237,0.6637746542692184,0.24274088442325592,0.9622070317467054,-0.0075941033428534865,-0.0008089834203322729,0.007952993114789328,0.005556907510382514,0.005279062134863388,0.2759373777856429,150.0,138.33333333333334,0.7326124062140783,0.9610809112588564,0.41119805226723355,0.5295917615294456,-0.006040887169850369,-0.0011984602645801108,0.0021226244910697765,0.334276990344127,0.7632319182157516,0.47697639216979343,-0.0011083439085268765,0.01157235874173542,0.020336463620575767,0.10000000149011612,,,,0.008769749867497012,0.10605468849341075,0.10712668330719073,0.009289676401143273,0.02013020442488293,0.47712729206062693
