d_lo,d_hi,d_mid,n,V_min,V_mean,V_max
0.0,0.0326962974348826,0.0163481487174413,1818,1.6663065252942033e-05,0.034192459173441825,0.13976073265075684
0.0326962974348826,0.0653925948697652,0.0490444461523239,1121,0.049173492938280106,0.11378662217737413,0.28355666995048523
0.0653925948697652,0.0980888923046478,0.08174074358720651,979,0.09840960055589676,0.17206981612999178,0.4039143919944763
0.0980888923046478,0.1307851897395304,0.1144370410220891,769,0.14731347560882568,0.22409921082315581,0.5219557881355286
0.1307851897395304,0.16348148717441302,0.1471333384569717,669,0.1965392529964447,0.2630454569119509,0.5961471199989319
0.16348148717441302,0.1961777846092956,0.1798296358918543,831,0.24534198641777039,0.32521922144003296,0.8307774662971497
0.1961777846092956,0.2288740820441782,0.21252593332673692,829,0.29471853375434875,0.3690796179564353,0.8602891564369202
0.2288740820441782,0.2615703794790608,0.2452222307616195,690,0.34366393089294434,0.43224396943182186,0.8430629968643188
0.2615703794790608,0.2942666769139434,0.2779185281965021,703,0.3927364945411682,0.5068461783495262,0.8881147503852844
0.2942666769139434,0.32696297434882604,0.31061482563138476,629,0.441840797662735,0.5581338169180532,0.9933724403381348
0.32696297434882604,0.3596592717837086,0.3433111230662673,548,0.4913065731525421,0.6064466449574832,1.2533973455429077
0.3596592717837086,0.3923555692185912,0.3760074205011499,587,0.5400433540344238,0.6494066446156478,1.4000922441482544
0.3923555692185912,0.42505186665347383,0.40870371793603255,658,0.5896809697151184,0.7710878801925567,1.4073443412780762
0.42505186665347383,0.4577481640883564,0.4414000153709151,514,0.6383919715881348,0.8036520844071756,1.4611464738845825
0.4577481640883564,0.490444461523239,0.47409631280579767,452,0.6869218349456787,0.8581925368150779,1.6370320320129395
0.490444461523239,0.5231407589581216,0.5067926102406803,452,0.7366862893104553,0.9552847859078804,1.7355338335037231
0.5231407589581216,0.5558370563930042,0.5394889076755629,368,0.7855961322784424,0.9691517270453598,1.529358983039856
0.5558370563930042,0.5885333538278869,0.5721852051104455,323,0.8350423574447632,0.9728546304968488,1.760425090789795
0.5885333538278869,0.6212296512627694,0.6048815025453281,277,0.884284496307373,1.085970371854004,1.7733739614486694
0.6212296512627694,0.6539259486976521,0.6375777999802108,238,0.9337785243988037,1.1575565177853369,1.905181884765625
0.6539259486976521,0.6866222461325346,0.6702740974150934,191,0.9830937385559082,1.3476884205928024,2.454970121383667
0.6866222461325346,0.7193185435674172,0.7029703948499759,183,1.0327835083007812,1.3881573905058897,2.4659018516540527
0.7193185435674172,0.7520148410022999,0.7356666922848585,165,1.0808876752853394,1.4518014062534679,2.4303736686706543
0.7520148410022999,0.7847111384371824,0.7683629897197412,85,1.129162073135376,1.4207418932634241,1.7187211513519287
